,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,171938851.37208936,0.06883868373394812
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,216964524.0254631,0.08686548811794562
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,,
2017-02-20 00:00:00.000000003,319437865.84079397,0.12789245736947694
2017-02-28 00:00:00.000000003,326425109.88186246,0.13068992099608986
2017-03-08 00:00:00.000000004,326425109.88186246,0.13068992099608986
2017-03-16 00:00:00.000000004,187026049.98654592,0.07487910383425611
2017-03-24 00:00:00.000000005,286878974.1924603,0.11485694371435107
2017-04-01 00:00:00.000000005,286878974.1924603,0.11485694371435107
2017-04-09 00:00:00.000000006,256193074.6165496,0.10257131472973922
2017-04-17 00:00:00.000000006,399370862.48993427,0.159895010790804
2017-04-25 00:00:00.000000007,399370862.48993427,0.159895010790804
2017-05-03 00:00:00.000000007,224733774.66275245,0.0899760415687927
2017-05-11 00:00:00.000000008,242303642.732083,0.09701044119179829
2017-05-19 00:00:00.000000008,242303642.732083,0.09701044119179829
2017-05-27 00:00:00.000000009,421197491.12640893,0.1686336779023636
2017-06-04 00:00:00.000000009,709369564.757097,0.284008336272561
2017-06-12 00:00:00.000000010,709369564.757097,0.284008336272561
2017-06-20 00:00:00.000000010,496557068.7598126,0.1988051841653855
2017-06-28 00:00:00.000000011,834265811.3341067,0.33401270206343087
2017-07-06 00:00:00.000000011,834265811.3341067,0.33401270206343087
2017-07-14 00:00:00.000000012,770790315.0579884,0.3085991926783355
2017-07-22 00:00:00.000000012,795326846.7729741,0.3184228162118011
2017-07-30 00:00:00.000000013,795326846.7729741,0.3184228162118011
2017-08-07 00:00:00.000000013,901546266.5012287,0.3609495923460271
2017-08-15 00:00:00.000000014,959090021.9096572,0.3839882269990646
2017-08-23 00:00:00.000000014,959090021.9096572,0.3839882269990646
2017-08-31 00:00:00.000000015,800561464.9939927,0.32051858587240467
2017-09-08 00:00:00.000000015,446652516.3958259,0.17882503616710482
2017-09-16 00:00:00.000000016,446652516.3958259,0.17882503616710482
2017-09-24 00:00:00.000000016,446438892.8185915,0.1787395082846396
2017-10-02 00:00:00.000000017,542244607.6073283,0.21709697809217185
2017-10-10 00:00:00.000000017,542244607.6073283,0.21709697809217185
2017-10-18 00:00:00.000000018,449420194.3561946,0.17993312375912282
2017-10-26 00:00:00.000000018,178881958.64802125,0.07161847644562803
2017-11-03 00:00:00.000000019,144634300.8232165,0.05790683613387411
2017-11-11 00:00:00.000000019,145966661.52487522,0.05844026971348167
2017-11-19 00:00:00.000000020,149627841.74508107,0.05990608634108215
2017-11-27 00:00:00.000000020,149627841.74508107,0.05990608634108215
2017-12-05 00:00:00.000000021,143963870.10747433,0.05763841763719226
2017-12-13 00:00:00.000000021,136275864.19769597,0.05456039191383404
2017-12-21 00:00:00.000000022,136275864.19769597,0.05456039191383404
2017-12-29 00:00:00.000000022,140089354.12085843,0.05608718835715257
2018-01-06 00:00:00.000000023,160697984.90762913,0.06433820902874063
2018-01-14 00:00:00.000000023,157170974.82399577,0.06292610972869205
2018-01-22 00:00:00.000000024,191783160.9636991,0.07678369523654985
2018-01-30 00:00:00.000000024,221728565.50093856,0.08877285426473902
2018-02-07 00:00:00.000000025,221728565.50093856,0.08877285426473902
2018-02-15 00:00:00.000000025,248700380.68758047,0.09957148552548697
2018-02-23 00:00:00.000000026,250203115.83360958,0.1001731314515117
2018-03-03 00:00:00.000000026,250203115.83360958,0.1001731314515117
2018-03-11 00:00:00.000000027,369256352.37239087,0.14783814742780454
2018-03-19 00:00:00.000000027,301342029.72047687,0.12064747736846433
2018-03-27 00:00:00.000000028,301342029.72047687,0.12064747736846433
2018-04-04 00:00:00.000000028,334628595.4572398,0.13397432789152336
2018-04-12 00:00:00.000000029,344974030.74204546,0.13811630128484087
2018-04-20 00:00:00.000000029,344974030.74204546,0.13811630128484087
2018-04-28 00:00:00.000000030,224554142.60634583,0.08990412277777615
2018-05-06 00:00:00.000000030,196219969.79709238,0.07856004815290721
2018-05-14 00:00:00.000000031,229573426.17348495,0.09191367949687716
2018-05-22 00:00:00.000000031,257219092.64456564,0.10298209873796245
2018-05-30 00:00:00.000000032,318281281.81869215,0.12742939901428932
2018-06-07 00:00:00.000000032,318281281.81869215,0.12742939901428932
2018-06-15 00:00:00.000000033,603814803.0626589,0.24174766744227466
2018-06-23 00:00:00.000000033,590119560.7946944,0.23626454106553743
2018-07-01 00:00:00.000000034,534030354.2120449,0.21380826011437912
2018-07-09 00:00:00.000000034,609792788.7755569,0.24414105709547
2018-07-17 00:00:00.000000035,592760980.9365333,0.23732207916295692
2018-07-25 00:00:00.000000035,867478431.4632659,0.3473099471875081
2018-08-02 00:00:00.000000036,900009387.5845484,0.3603342763727118
2018-08-10 00:00:00.000000036,940422293.2786603,0.3765142799707726
2018-08-18 00:00:00.000000037,940422293.2786603,0.3765142799707726
2018-08-26 00:00:00.000000037,833141196.6671233,0.3335624431907838
2018-09-03 00:00:00.000000038,723087818.7346126,0.28950067578398725
2018-09-11 00:00:00.000000038,723087818.7346126,0.28950067578398725
2018-09-19 00:00:00.000000039,625619274.9965825,0.2504774637359399
2018-09-27 00:00:00.000000039,342498574.2721441,0.13712520960504404
2018-10-05 00:00:00.000000040,230175290.19793138,0.09215464613646492
2018-10-13 00:00:00.000000040,237530342.01476872,0.09509936794788591
2018-10-21 00:00:00.000000041,221711369.93956757,0.08876596972525652
2018-10-29 00:00:00.000000041,221711369.93956757,0.08876596972525652
2018-11-06 00:00:00.000000042,174372440.1916679,0.06981301297805191
2018-11-14 00:00:00.000000042,188348254.41466257,0.0754084711746356
2018-11-22 00:00:00.000000043,188348254.41466257,0.0754084711746356
2018-11-30 00:00:00.000000043,178269518.27194864,0.07137327538130822
2018-12-08 00:00:00.000000044,169968669.16949022,0.068049887319056
2018-12-16 00:00:00.000000044,158432040.4148721,0.06343099908142034
2018-12-24 00:00:00.000000045,228172860.91899252,0.09135293904855281
2019-01-01 00:00:00.000000045,229249349.21101028,0.09178392969718253
2019-01-09 00:00:00.000000046,274865617.01917136,0.11004718903450075
2019-01-17 00:00:00.000000046,300908521.00735104,0.12047391468056316
2019-01-25 00:00:00.000000047,318016828.2250739,0.12732352045834855
2019-02-02 00:00:00.000000047,301133929.19846725,0.12056416073638745
2019-02-10 00:00:00.000000048,299446567.8292057,0.11988859651854755
2019-02-18 00:00:00.000000048,131155248.77776837,0.05251026524029507
2019-02-26 00:00:00.000000049,145260487.95357877,0.05815754094829672
2019-03-06 00:00:00.000000049,196812368.68524987,0.07879722526198284
2019-03-14 00:00:00.000000050,256147306.04896724,0.10255299049456133
2019-03-22 00:00:00.000000050,256147306.04896724,0.10255299049456133
2019-03-30 00:00:00.000000051,216626737.948318,0.08673024963781874
2019-04-07 00:00:00.000000051,207285974.05360228,0.08299051375816986
2019-04-15 00:00:00.000000052,207285974.05360228,0.08299051375816986
2019-04-23 00:00:00.000000052,347025740.9585277,0.13893773884580538
2019-05-01 00:00:00.000000053,296856008.4979715,0.11885142142360093
2019-05-09 00:00:00.000000053,296856008.4979715,0.11885142142360093
2019-05-17 00:00:00.000000054,318259265.05683947,0.12742058422406635
2019-05-25 00:00:00.000000054,267404945.1680412,0.10706018042123927
2019-06-02 00:00:00.000000055,267404945.1680412,0.10706018042123927
2019-06-10 00:00:00.000000055,261763957.37049514,0.10480171369400737
2019-06-18 00:00:00.000000056,258789428.9675672,0.10361080996077444
2019-06-26 00:00:00.000000056,258789428.9675672,0.10361080996077444
2019-07-04 00:00:00.000000057,1095257885.5666919,0.4385053790342886
2019-07-12 00:00:00.000000057,567050978.5738279,0.22702863642257673
2019-07-20 00:00:00.000000058,567050978.5738279,0.22702863642257673
2019-07-28 00:00:00.000000058,971194444.9926066,0.38883444148601515
2019-08-05 00:00:00.000000059,820100217.2642229,0.32834126223294174
2019-08-13 00:00:00.000000059,820100217.2642229,0.32834126223294174
2019-08-21 00:00:00.000000060,778235412.2594988,0.3115799657120821
2019-08-29 00:00:00.000000060,986093617.504836,0.3947995820943313
2019-09-06 00:00:00.000000061,986093617.504836,0.3947995820943313
2019-09-14 00:00:00.000000061,743479373.978446,0.29766478651912176
2019-09-22 00:00:00.000000062,437592515.90668625,0.17519770875782947
2019-09-30 00:00:00.000000062,499005494.50105494,0.19978545362689712
2019-10-08 00:00:00.000000063,426693176.0588493,0.17083397012222368
2019-10-16 00:00:00.000000063,184742480.8832495,0.07396483757022106
2019-10-24 00:00:00.000000064,176645010.0560843,0.07072287550715135
2019-11-01 00:00:00.000000064,168272403.46505547,0.06737075809710004
2019-11-09 00:00:00.000000065,159777972.93825862,0.06396986637386336
2019-11-17 00:00:00.000000065,149468187.1690724,0.05984216587879667
2019-11-25 00:00:00.000000066,156034345.7261348,0.062471040671489106
2019-12-03 00:00:00.000000066,170977318.71198046,0.06845371755462978
2019-12-11 00:00:00.000000067,170977318.71198046,0.06845371755462978
2019-12-19 00:00:00.000000067,184714826.40671828,0.0739537656237205
2019-12-27 00:00:00.000000068,174693433.92536807,0.06994152835394532
2020-01-04 00:00:00.000000068,132212144.97580582,0.05293341185629091
