,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,88137119.32250641,0.3972851237636744
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,86706807.95112553,0.39083788071139847
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,42848557.3078311,0.19314330357050383
2017-02-20 00:00:00.000000003,60116111.27600724,0.270978185945551
2017-02-28 00:00:00.000000003,27807441.553213064,0.1253442697462696
2017-03-08 00:00:00.000000004,24762548.784313817,0.1116191717417294
2017-03-16 00:00:00.000000004,29132197.40578499,0.1313157128441528
2017-03-24 00:00:00.000000005,19912094.37276989,0.08975536003545986
2017-04-01 00:00:00.000000005,19912094.37276989,0.08975536003545986
2017-04-09 00:00:00.000000006,29439240.11528475,0.13269973244658603
2017-04-17 00:00:00.000000006,46036782.90759375,0.20751448578889947
2017-04-25 00:00:00.000000007,49286682.55361441,0.22216366870993848
2017-05-03 00:00:00.000000007,48364839.04424869,0.2180083852660924
2017-05-11 00:00:00.000000008,44376034.3288412,0.20002852856994632
2017-05-19 00:00:00.000000008,44376034.3288412,0.20002852856994632
2017-05-27 00:00:00.000000009,85034090.80691075,0.3832979742251277
2017-06-04 00:00:00.000000009,83139670.86828014,0.37475872463806925
2017-06-12 00:00:00.000000010,91691683.30185014,0.41330760556605917
2017-06-20 00:00:00.000000010,122464378.01078908,0.5520179913825911
2017-06-28 00:00:00.000000011,125400582.54546028,0.565253168467105
2017-07-06 00:00:00.000000011,134221953.14713705,0.6050162029092515
2017-07-14 00:00:00.000000012,150194419.10556743,0.6770133723638889
2017-07-22 00:00:00.000000012,141046221.27246362,0.6357771380022884
2017-07-30 00:00:00.000000013,130531076.54545908,0.5883792810451665
2017-08-07 00:00:00.000000013,147015888.8739892,0.6626858927940332
2017-08-15 00:00:00.000000014,178334661.17091498,0.8038577670707686
2017-08-23 00:00:00.000000014,178334661.17091498,0.8038577670707686
2017-08-31 00:00:00.000000015,168944523.48284763,0.7615309694372867
2017-09-08 00:00:00.000000015,167337390.72693783,0.7542866898335938
2017-09-16 00:00:00.000000016,167337390.72693783,0.7542866898335938
2017-09-24 00:00:00.000000016,163989080.96700692,0.7391939154429792
2017-10-02 00:00:00.000000017,152360232.8058479,0.686775951066019
2017-10-10 00:00:00.000000017,152360232.8058479,0.686775951066019
2017-10-18 00:00:00.000000018,128678897.1975356,0.5800304343035372
2017-10-26 00:00:00.000000018,106621659.26498814,0.48060566787962206
2017-11-03 00:00:00.000000019,99023923.74553353,0.4463582665648005
2017-11-11 00:00:00.000000019,88495416.17259042,0.39890017550945356
2017-11-19 00:00:00.000000020,76728508.64182673,0.3458598974675841
2017-11-27 00:00:00.000000020,76728508.64182673,0.3458598974675841
2017-12-05 00:00:00.000000021,67973876.47680597,0.30639769187337923
2017-12-13 00:00:00.000000021,60683028.85088582,0.27353361231562895
2017-12-21 00:00:00.000000022,60683028.85088582,0.27353361231562895
2017-12-29 00:00:00.000000022,71297963.59238656,0.32138128075472633
2018-01-06 00:00:00.000000023,86035333.79665339,0.38781115718544074
