,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,86372023.22949979,0.3232611660254268
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,84774406.70761976,0.3172818296568417
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,,
2017-02-20 00:00:00.000000003,95636221.76620652,0.35793391663715535
2017-02-28 00:00:00.000000003,90905783.65960436,0.3402294924384983
2017-03-08 00:00:00.000000004,90905783.65960436,0.3402294924384983
2017-03-16 00:00:00.000000004,89368768.00520544,0.33447696454737635
2017-03-24 00:00:00.000000005,102050500.89830324,0.38194038625457616
2017-04-01 00:00:00.000000005,102050500.89830324,0.38194038625457616
2017-04-09 00:00:00.000000006,98813786.2722144,0.3698264620346828
2017-04-17 00:00:00.000000006,96720167.38249116,0.36199075715943047
2017-04-25 00:00:00.000000007,96720167.38249116,0.36199075715943047
2017-05-03 00:00:00.000000007,96968333.45718011,0.36291955854293806
2017-05-11 00:00:00.000000008,92301598.53518158,0.3454535537417262
2017-05-19 00:00:00.000000008,92301598.53518158,0.3454535537417262
2017-05-27 00:00:00.000000009,88856179.58068565,0.33255852006030995
2017-06-04 00:00:00.000000009,100256112.00686356,0.3752245976964155
2017-06-12 00:00:00.000000010,100256112.00686356,0.3752245976964155
2017-06-20 00:00:00.000000010,101359974.94388716,0.3793559819897572
2017-06-28 00:00:00.000000011,106177833.59585406,0.3973875916168961
2017-07-06 00:00:00.000000011,106177833.59585406,0.3973875916168961
2017-07-14 00:00:00.000000012,105787960.64470054,0.39592842949379997
2017-07-22 00:00:00.000000012,105577850.0577744,0.39514205688396126
2017-07-30 00:00:00.000000013,104162615.78972071,0.3898453153861435
2017-08-07 00:00:00.000000013,106979098.98149753,0.40038645598494127
2017-08-15 00:00:00.000000014,122465742.7775074,0.4583477071416555
2017-08-23 00:00:00.000000014,122465742.7775074,0.4583477071416555
2017-08-31 00:00:00.000000015,108982984.15006857,0.4078863179998916
2017-09-08 00:00:00.000000015,103617360.40960956,0.38780460957231727
2017-09-16 00:00:00.000000016,103617360.40960956,0.38780460957231727
2017-09-24 00:00:00.000000016,98408814.5958304,0.368310790507951
2017-10-02 00:00:00.000000017,106672240.79111592,0.39923798993403453
2017-10-10 00:00:00.000000017,106672240.79111592,0.39923798993403453
2017-10-18 00:00:00.000000018,113258085.07641384,0.4238865696861894
2017-10-26 00:00:00.000000018,99278112.23522778,0.3715642765098718
2017-11-03 00:00:00.000000019,99278112.23522778,0.3715642765098718
2017-11-11 00:00:00.000000019,95039926.58986838,0.3557021861902927
2017-11-19 00:00:00.000000020,93552300.91829792,0.3501345082406464
2017-11-27 00:00:00.000000020,93552300.91829792,0.3501345082406464
2017-12-05 00:00:00.000000021,93371876.8362337,0.3494592421421301
2017-12-13 00:00:00.000000021,93819305.12013784,0.3511338143399272
2017-12-21 00:00:00.000000022,93819305.12013784,0.3511338143399272
2017-12-29 00:00:00.000000022,94660574.86757456,0.3542824014556384
2018-01-06 00:00:00.000000023,96333134.5120374,0.360542224494396
2018-01-14 00:00:00.000000023,96333134.5120374,0.360542224494396
2018-01-22 00:00:00.000000024,94460811.16716167,0.35353475373001503
2018-01-30 00:00:00.000000024,93010210.71167028,0.3481056485968264
2018-02-07 00:00:00.000000025,93010210.71167028,0.3481056485968264
2018-02-15 00:00:00.000000025,96085684.77227274,0.3596161041093673
2018-02-23 00:00:00.000000026,95598542.20571128,0.3577928948316495
2018-03-03 00:00:00.000000026,95598542.20571128,0.3577928948316495
2018-03-11 00:00:00.000000027,100242898.5775668,0.37517514431554105
2018-03-19 00:00:00.000000027,101205039.15716146,0.37877610992929917
2018-03-27 00:00:00.000000028,101205039.15716146,0.37877610992929917
2018-04-04 00:00:00.000000028,104725080.51765051,0.3919504299475523
2018-04-12 00:00:00.000000029,94817291.45776294,0.35486893845900597
2018-04-20 00:00:00.000000029,94817291.45776294,0.35486893845900597
2018-04-28 00:00:00.000000030,92067759.0603217,0.3445783719585564
2018-05-06 00:00:00.000000030,93958012.07283522,0.3516529473831077
2018-05-14 00:00:00.000000031,93958012.07283522,0.3516529473831077
2018-05-22 00:00:00.000000031,93789918.08811736,0.35102382865380144
2018-05-30 00:00:00.000000032,93157550.09524232,0.3486570898986981
2018-06-07 00:00:00.000000032,93157550.09524232,0.3486570898986981
2018-06-15 00:00:00.000000033,104707324.6823778,0.3918839758829212
2018-06-23 00:00:00.000000033,104004150.61449318,0.3892522340224898
2018-07-01 00:00:00.000000034,104004150.61449318,0.3892522340224898
2018-07-09 00:00:00.000000034,115293831.2395102,0.43150567658919353
2018-07-17 00:00:00.000000035,103923580.43945251,0.38895068720493625
2018-07-25 00:00:00.000000035,103552936.53622182,0.38756349288137376
2018-08-02 00:00:00.000000036,104116857.87579983,0.3896740590457698
2018-08-10 00:00:00.000000036,106125048.88942744,0.3971900363772505
2018-08-18 00:00:00.000000037,106125048.88942744,0.3971900363772505
2018-08-26 00:00:00.000000037,109631113.05969577,0.41031204451673114
2018-09-03 00:00:00.000000038,114640887.1738765,0.4290619285778115
2018-09-11 00:00:00.000000038,114640887.1738765,0.4290619285778115
2018-09-19 00:00:00.000000039,105513955.18119606,0.39490292004852
2018-09-27 00:00:00.000000039,95213264.73233902,0.3563509320220634
2018-10-05 00:00:00.000000040,95213264.73233902,0.3563509320220634
2018-10-13 00:00:00.000000040,93432153.24915308,0.349684836296297
2018-10-21 00:00:00.000000041,92134701.52640831,0.3448289148870956
2018-10-29 00:00:00.000000041,92134701.52640831,0.3448289148870956
2018-11-06 00:00:00.000000042,93760590.68307188,0.3509140661312041
2018-11-14 00:00:00.000000042,95552577.80368236,0.3576208656763749
2018-11-22 00:00:00.000000043,95552577.80368236,0.3576208656763749
2018-11-30 00:00:00.000000043,98727425.78086688,0.36950324402857737
