,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,28386705.18727751,0.07916416106237681
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,43154374.1469754,0.12034788126972745
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,56086498.35147257,0.15641267838687614
2017-02-20 00:00:00.000000003,56097422.59096319,0.15644314364336906
2017-02-28 00:00:00.000000003,50606005.58858381,0.14112881191064397
2017-03-08 00:00:00.000000004,50204694.87386353,0.14000964623619958
2017-03-16 00:00:00.000000004,44670495.861133866,0.12457600506141005
2017-03-24 00:00:00.000000005,52710118.023657896,0.14699671009060636
2017-04-01 00:00:00.000000005,52710118.023657896,0.14699671009060636
2017-04-09 00:00:00.000000006,45765859.56098187,0.12763072901702827
2017-04-17 00:00:00.000000006,60140574.85089919,0.16771858947597446
2017-04-25 00:00:00.000000007,60140574.85089919,0.16771858947597446
2017-05-03 00:00:00.000000007,41852692.81832143,0.11671778367038946
2017-05-11 00:00:00.000000008,43738427.24357238,0.12197667450596063
2017-05-19 00:00:00.000000008,43738427.24357238,0.12197667450596063
2017-05-27 00:00:00.000000009,63345950.01431564,0.1766576626804184
2017-06-04 00:00:00.000000009,61685927.64195687,0.17202823219225255
2017-06-12 00:00:00.000000010,61727136.21666194,0.1721431536748121
2017-06-20 00:00:00.000000010,62642461.85013384,0.17469579179870284
2017-06-28 00:00:00.000000011,81658134.84708646,0.22772624355098742
2017-07-06 00:00:00.000000011,81658134.84708646,0.22772624355098742
2017-07-14 00:00:00.000000012,41110767.2327368,0.11464871943183023
2017-07-22 00:00:00.000000012,103064633.28665254,0.2874241718266097
2017-07-30 00:00:00.000000013,52119356.66704589,0.14534920902009746
2017-08-07 00:00:00.000000013,50608030.54950979,0.14113445907299804
2017-08-15 00:00:00.000000014,52881973.51764154,0.14747597656113964
2017-08-23 00:00:00.000000014,52881973.51764154,0.14747597656113964
2017-08-31 00:00:00.000000015,78819030.21508569,0.21980861680008923
2017-09-08 00:00:00.000000015,45213374.52422576,0.12608997202724148
2017-09-16 00:00:00.000000016,42944154.119852506,0.11976162471138786
2017-09-24 00:00:00.000000016,39711060.393392056,0.11074525064462981
2017-10-02 00:00:00.000000017,36428218.874478735,0.10159014113012414
2017-10-10 00:00:00.000000017,36428218.874478735,0.10159014113012414
