,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,8281845.604442042,0.257401061592964
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,8397883.026147326,0.261007522876839
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,5405128.5660693385,0.16799224441065097
2017-02-20 00:00:00.000000003,8621822.77242758,0.26796760534861064
2017-02-28 00:00:00.000000003,8084951.378311572,0.2512815581334543
2017-03-08 00:00:00.000000004,6146424.79768208,0.1910318476688475
2017-03-16 00:00:00.000000004,8055426.894551181,0.2503639325429902
2017-03-24 00:00:00.000000005,6503371.441472114,0.20212580539661779
2017-04-01 00:00:00.000000005,6503371.441472114,0.20212580539661779
2017-04-09 00:00:00.000000006,7068146.69747773,0.2196791090200651
2017-04-17 00:00:00.000000006,6107755.645148354,0.18983000433724243
2017-04-25 00:00:00.000000007,5651145.807269443,0.17563849889058405
2017-05-03 00:00:00.000000007,6089241.25702341,0.18925457424765604
2017-05-11 00:00:00.000000008,6659433.4521932,0.20697623719075728
2017-05-19 00:00:00.000000008,6659433.4521932,0.20697623719075728
2017-05-27 00:00:00.000000009,6995159.707949206,0.2174106619269389
2017-06-04 00:00:00.000000009,7017702.721194833,0.2181113023177494
2017-06-12 00:00:00.000000010,6102967.891588436,0.18968120020494766
2017-06-20 00:00:00.000000010,5897298.302956222,0.18328895710119725
2017-06-28 00:00:00.000000011,6474757.05856765,0.201236465883637
2017-07-06 00:00:00.000000011,5294586.792205627,0.1645565887244803
2017-07-14 00:00:00.000000012,6382142.7086606,0.1983579973485522
2017-07-22 00:00:00.000000012,6280462.535622415,0.19519776160726438
2017-07-30 00:00:00.000000013,6204436.639076105,0.1928348648069327
2017-08-07 00:00:00.000000013,5759373.142562206,0.17900222146261477
2017-08-15 00:00:00.000000014,5409040.408769322,0.1681138250959055
2017-08-23 00:00:00.000000014,5409040.408769322,0.1681138250959055
2017-08-31 00:00:00.000000015,5992674.614935327,0.1862532678510953
2017-09-08 00:00:00.000000015,5477238.215523893,0.17023342363654037
2017-09-16 00:00:00.000000016,5477238.215523893,0.17023342363654037
2017-09-24 00:00:00.000000016,5619948.520142341,0.1746688823088611
2017-10-02 00:00:00.000000017,5449451.318666234,0.1693698025198053
2017-10-10 00:00:00.000000017,5449451.318666234,0.1693698025198053
2017-10-18 00:00:00.000000018,3109752.9923612718,0.09665161121771665
2017-10-26 00:00:00.000000018,5349652.655945428,0.166268044414569
2017-11-03 00:00:00.000000019,5349652.655945428,0.166268044414569
2017-11-11 00:00:00.000000019,6612949.984360004,0.20553152371283762
2017-11-19 00:00:00.000000020,7136652.781451698,0.22180828886507672
2017-11-27 00:00:00.000000020,6418862.184736155,0.19949924442974817
2017-12-05 00:00:00.000000021,6784967.756068901,0.21087786306345022
2017-12-13 00:00:00.000000021,6504453.795783723,0.2021594451385466
2017-12-21 00:00:00.000000022,6504453.795783723,0.2021594451385466
2017-12-29 00:00:00.000000022,6966485.561709473,0.2165194649601154
2018-01-06 00:00:00.000000023,8044220.339578425,0.2500156310550658
2018-01-14 00:00:00.000000023,6225389.526224495,0.1934860838289995
2018-01-22 00:00:00.000000024,7591227.037548778,0.23593652811037996
2018-01-30 00:00:00.000000024,7260013.361553038,0.2256423550615991
2018-02-07 00:00:00.000000025,6321132.051913065,0.19646177655848138
2018-02-15 00:00:00.000000025,6422702.834000709,0.19961861241185255
2018-02-23 00:00:00.000000026,6399018.506631753,0.1988824997989086
2018-03-03 00:00:00.000000026,6399018.506631753,0.1988824997989086
2018-03-11 00:00:00.000000027,6994821.1468286365,0.21740013939415925
2018-03-19 00:00:00.000000027,8150669.566389162,0.2533240897363213
2018-03-27 00:00:00.000000028,6548026.890682685,0.2035137037687568
2018-04-04 00:00:00.000000028,6573492.993518583,0.20430519424294286
2018-04-12 00:00:00.000000029,7452812.988310072,0.23163459772975148
2018-04-20 00:00:00.000000029,5722218.1953779925,0.17784743987099497
2018-04-28 00:00:00.000000030,7539477.1927172225,0.23432813480855735
2018-05-06 00:00:00.000000030,5977801.217189881,0.18579100031412035
2018-05-14 00:00:00.000000031,5155846.931369855,0.1602445320682643
2018-05-22 00:00:00.000000031,5527550.367330158,0.17179713321342657
2018-05-30 00:00:00.000000032,6182320.288893612,0.19214748517110827
2018-06-07 00:00:00.000000032,6046448.536431305,0.18792456977341773
2018-06-15 00:00:00.000000033,5614811.81872317,0.17450923282231773
2018-06-23 00:00:00.000000033,5262384.781124458,0.16355574516452848
2018-07-01 00:00:00.000000034,4915979.778200787,0.1527894232898678
2018-07-09 00:00:00.000000034,5469390.264913256,0.16998950809947413
2018-07-17 00:00:00.000000035,5459581.271700571,0.1696846430504627
2018-07-25 00:00:00.000000035,4936971.02701374,0.1534418345984918
2018-08-02 00:00:00.000000036,6054678.8238217365,0.18818036839762486
2018-08-10 00:00:00.000000036,6348989.878767667,0.1973276021906571
2018-08-18 00:00:00.000000037,6348989.878767667,0.1973276021906571
2018-08-26 00:00:00.000000037,5889515.452569901,0.18304706488932318
2018-09-03 00:00:00.000000038,5618453.334306165,0.17462241169833628
2018-09-11 00:00:00.000000038,4956993.081602751,0.15406412319847726
2018-09-19 00:00:00.000000039,5136258.691892259,0.15963572651004837
2018-09-27 00:00:00.000000039,5013273.511524722,0.1558133277961884
