,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,18347759.69573613,0.05392275112890755
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,44162917.84180412,0.12979165126429082
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,59936134.23289205,0.1761480040868481
2017-02-20 00:00:00.000000003,55496403.78611951,0.16309995441044078
2017-02-28 00:00:00.000000003,48764499.66663907,0.1433153705441734
2017-03-08 00:00:00.000000004,16255126.318425436,0.04777265157015908
2017-03-16 00:00:00.000000004,22566556.392483763,0.06632149234389341
2017-03-24 00:00:00.000000005,21003545.98868704,0.06172791675681994
2017-04-01 00:00:00.000000005,11919244.92645198,0.035029806825022165
2017-04-09 00:00:00.000000006,12438904.518832425,0.036557049133421934
2017-04-17 00:00:00.000000006,22664304.314754587,0.06660876648380938
2017-04-25 00:00:00.000000007,12971517.740940558,0.0381223612314639
2017-05-03 00:00:00.000000007,,
2017-05-11 00:00:00.000000008,16697416.713881338,0.04907251135230006
2017-05-19 00:00:00.000000008,12298761.803570408,0.036145179734491495
2017-05-27 00:00:00.000000009,17641505.039099216,0.05184711929619314
2017-06-04 00:00:00.000000009,13353663.96695865,0.0392454616089565
2017-06-12 00:00:00.000000010,22161856.649500083,0.06513210879599829
2017-06-20 00:00:00.000000010,,
2017-06-28 00:00:00.000000011,14090324.135105805,0.041410453061444814
2017-07-06 00:00:00.000000011,21563123.11600557,0.06337247384031162
2017-07-14 00:00:00.000000012,15780023.942767125,0.04637635972918138
2017-07-22 00:00:00.000000012,81117747.56601657,0.23839924801044574
2017-07-30 00:00:00.000000013,32554649.660931244,0.0956757828130439
2017-08-07 00:00:00.000000013,27828420.52332994,0.08178573401192013
2017-08-15 00:00:00.000000014,38471488.60421325,0.11306494852587853
2017-08-23 00:00:00.000000014,19500862.1977335,0.057311636762491174
2017-08-31 00:00:00.000000015,17294533.365804784,0.050827394408898906
2017-09-08 00:00:00.000000015,19826088.150405195,0.05826745253495593
2017-09-16 00:00:00.000000016,23610832.48613652,0.06939054496076365
2017-09-24 00:00:00.000000016,16059256.371780308,0.04719700383104943
2017-10-02 00:00:00.000000017,13216993.70741215,0.03884379750857253
2017-10-10 00:00:00.000000017,18872977.674013566,0.05546632913520027
2017-10-18 00:00:00.000000018,,
2017-10-26 00:00:00.000000018,14951043.131770713,0.04394004452213255
2017-11-03 00:00:00.000000019,14626888.093305105,0.0429873760897885
2017-11-11 00:00:00.000000019,10626832.560254144,0.031231499482104224
2017-11-19 00:00:00.000000020,14385742.87463786,0.042278667570178785
2017-11-27 00:00:00.000000020,13472486.7476622,0.03959467324779278
2017-12-05 00:00:00.000000021,13987150.529597832,0.04110723322724503
2017-12-13 00:00:00.000000021,10931762.07778952,0.03212766548594278
2017-12-21 00:00:00.000000022,11699614.600588147,0.03438432903381976
2017-12-29 00:00:00.000000022,12877218.81820694,0.03784522345406698
2018-01-06 00:00:00.000000023,16539253.036028098,0.04860767963551586
2018-01-14 00:00:00.000000023,20800464.519147515,0.06113107486862923
2018-01-22 00:00:00.000000024,19956445.7043851,0.058650564045984996
2018-01-30 00:00:00.000000024,35500543.91896398,0.10433355496409799
2018-02-07 00:00:00.000000025,45036321.73567408,0.13235852272899143
2018-02-15 00:00:00.000000025,,
2018-02-23 00:00:00.000000026,40814734.95551496,0.11995158165876867
2018-03-03 00:00:00.000000026,,
2018-03-11 00:00:00.000000027,31058042.1360702,0.09127736052939654
2018-03-19 00:00:00.000000027,32837938.077809677,0.0965083471726364
2018-03-27 00:00:00.000000028,36878244.20962745,0.1083825174061412
2018-04-04 00:00:00.000000028,,
2018-04-12 00:00:00.000000029,36374832.04727538,0.10690302513046657
2018-04-20 00:00:00.000000029,16771744.495475173,0.04929095537681928
2018-04-28 00:00:00.000000030,13529882.46026465,0.03976335513472895
2018-05-06 00:00:00.000000030,44190655.70604683,0.12987317085988237
2018-05-14 00:00:00.000000031,,
2018-05-22 00:00:00.000000031,8493190.33120249,0.024960877846373023
2018-05-30 00:00:00.000000032,10829203.877909014,0.031826254284788316
2018-06-07 00:00:00.000000032,28387511.21299372,0.08342886148999776
