,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,28065282.26738151,0.10162537460501876
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,49313141.23607695,0.1785646195652565
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,29883581.081900407,0.10820949859168924
2017-02-20 00:00:00.000000003,56180062.58970486,0.20342998340863777
2017-02-28 00:00:00.000000003,41399405.64277198,0.14990870452643285
2017-03-08 00:00:00.000000004,40014907.23199558,0.14489538706556657
2017-03-16 00:00:00.000000004,29561082.72509661,0.1070417206941628
2017-03-24 00:00:00.000000005,11913722.925307002,0.0431400099129552
2017-04-01 00:00:00.000000005,10764263.841778535,0.03897777812622959
2017-04-09 00:00:00.000000006,18274897.714786034,0.06617404765217806
2017-04-17 00:00:00.000000006,27872686.04439881,0.1009279769048404
2017-04-25 00:00:00.000000007,27872686.04439881,0.1009279769048404
2017-05-03 00:00:00.000000007,9749917.75486935,0.035304795254395505
2017-05-11 00:00:00.000000008,12345081.246826114,0.04470197357310056
2017-05-19 00:00:00.000000008,12345081.246826114,0.04470197357310056
2017-05-27 00:00:00.000000009,36072762.67072344,0.13062074289952386
2017-06-04 00:00:00.000000009,25146146.122556604,0.09105507991086319
2017-06-12 00:00:00.000000010,29542081.952250574,0.10697291822711948
2017-06-20 00:00:00.000000010,29176231.281234074,0.10564816007441916
2017-06-28 00:00:00.000000011,19043329.48228795,0.06895656612061123
2017-07-06 00:00:00.000000011,17434218.11044425,0.06312991722441011
2017-07-14 00:00:00.000000012,21605604.739780705,0.07823465498510519
2017-07-22 00:00:00.000000012,75651413.49259873,0.27393643015377434
2017-07-30 00:00:00.000000013,63196971.19499555,0.2288384563677939
2017-08-07 00:00:00.000000013,34017155.14059694,0.12317731570361086
2017-08-15 00:00:00.000000014,31467764.60529259,0.11394588287152745
2017-08-23 00:00:00.000000014,31338193.962516204,0.11347670301491623
2017-08-31 00:00:00.000000015,36099897.31952827,0.1307189984176154
2017-09-08 00:00:00.000000015,17991319.796665948,0.0651472020325935
