,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,23983958.613854613,0.17648523268182723
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,32605422.32084281,0.2399260121162444
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,43462345.07666783,0.3198163492211272
2017-02-20 00:00:00.000000003,31597431.47730434,0.2325087420388905
2017-02-28 00:00:00.000000003,39514417.71461916,0.29076564536027144
2017-03-08 00:00:00.000000004,27045287.9151974,0.19901193157927605
2017-03-16 00:00:00.000000004,43866077.63442417,0.3227872030131988
2017-03-24 00:00:00.000000005,46894832.88494044,0.3450742067447217
2017-04-01 00:00:00.000000005,46894832.88494044,0.3450742067447217
2017-04-09 00:00:00.000000006,46791516.18255658,0.34431395392100306
2017-04-17 00:00:00.000000006,48390694.24359927,0.35608145722380474
2017-04-25 00:00:00.000000007,48390694.24359927,0.35608145722380474
2017-05-03 00:00:00.000000007,42497504.05300272,0.3127165957857563
2017-05-11 00:00:00.000000008,44907495.720865145,0.3304504464445157
2017-05-19 00:00:00.000000008,44907495.720865145,0.3304504464445157
2017-05-27 00:00:00.000000009,52923133.69936785,0.3894332756140156
2017-06-04 00:00:00.000000009,45262298.75402632,0.3330612538125495
2017-06-12 00:00:00.000000010,45937107.43003014,0.3380268130064122
2017-06-20 00:00:00.000000010,47197939.021138504,0.34730460406300695
2017-06-28 00:00:00.000000011,68230796.15837437,0.5020742459554186
2017-07-06 00:00:00.000000011,68230796.15837437,0.5020742459554186
2017-07-14 00:00:00.000000012,43120914.05180079,0.31730393937091816
2017-07-22 00:00:00.000000012,71526591.41843529,0.526326255505148
2017-07-30 00:00:00.000000013,54045285.19555712,0.3976905933945266
2017-08-07 00:00:00.000000013,52015770.71792685,0.382756472610612
2017-08-15 00:00:00.000000014,50050854.42720509,0.3682976956275654
2017-08-23 00:00:00.000000014,50050854.42720509,0.3682976956275654
2017-08-31 00:00:00.000000015,55979651.65702385,0.4119245703847418
2017-09-08 00:00:00.000000015,37430022.16146183,0.27542768384513455
2017-09-16 00:00:00.000000016,37430022.16146183,0.27542768384513455
2017-09-24 00:00:00.000000016,39296181.92243443,0.28915976389660947
2017-10-02 00:00:00.000000017,38021039.69798636,0.27977666847823507
2017-10-10 00:00:00.000000017,38021039.69798636,0.27977666847823507
2017-10-18 00:00:00.000000018,35719006.2028738,0.2628372247622336
2017-10-26 00:00:00.000000018,29159394.97354725,0.21456852430503384
2017-11-03 00:00:00.000000019,29159394.97354725,0.21456852430503384
2017-11-11 00:00:00.000000019,21054323.075795528,0.15492759835082753
2017-11-19 00:00:00.000000020,21083109.42438601,0.1551394218246271
2017-11-27 00:00:00.000000020,21083109.42438601,0.1551394218246271
2017-12-05 00:00:00.000000021,18918166.717377186,0.13920875651866862
2017-12-13 00:00:00.000000021,29332067.151697647,0.2158391272955238
2017-12-21 00:00:00.000000022,29332067.151697647,0.2158391272955238
2017-12-29 00:00:00.000000022,30815599.056967396,0.2267556518654587
2018-01-06 00:00:00.000000023,41544958.096965306,0.3057073152329502
2018-01-14 00:00:00.000000023,41544958.096965306,0.3057073152329502
2018-01-22 00:00:00.000000024,52496349.85578536,0.38629279963370805
2018-01-30 00:00:00.000000024,57694955.96553652,0.4245465851606148
2018-02-07 00:00:00.000000025,57694955.96553652,0.4245465851606148
2018-02-15 00:00:00.000000025,63577710.12579594,0.46783465338566715
2018-02-23 00:00:00.000000026,56539752.86023538,0.4160460581160063
2018-03-03 00:00:00.000000026,56539752.86023538,0.4160460581160063
2018-03-11 00:00:00.000000027,47165962.13375784,0.3470693031062017
2018-03-19 00:00:00.000000027,50776979.15169778,0.37364086240921973
2018-03-27 00:00:00.000000028,50776979.15169778,0.37364086240921973
2018-04-04 00:00:00.000000028,53656509.91238734,0.3948298022542548
2018-04-12 00:00:00.000000029,50044635.99884322,0.3682519375108997
2018-04-20 00:00:00.000000029,50044635.99884322,0.3682519375108997
2018-04-28 00:00:00.000000030,45823883.37606438,0.33719365723629746
2018-05-06 00:00:00.000000030,41503750.51457568,0.30540409048663636
2018-05-14 00:00:00.000000031,41503750.51457568,0.30540409048663636
2018-05-22 00:00:00.000000031,46688333.42715438,0.34355468674208994
2018-05-30 00:00:00.000000032,49844941.93048453,0.3667824947601477
2018-06-07 00:00:00.000000032,62179178.70173884,0.45754360228099317
2018-06-15 00:00:00.000000033,61264990.75886672,0.4508165780057133
2018-06-23 00:00:00.000000033,54593277.40461329,0.40172297745923397
2018-07-01 00:00:00.000000034,47324718.79904674,0.34823750921697766
2018-07-09 00:00:00.000000034,46620794.79840971,0.34305770578907374
2018-07-17 00:00:00.000000035,57344194.23758131,0.42196551561447676
2018-07-25 00:00:00.000000035,57344194.23758131,0.42196551561447676
2018-08-02 00:00:00.000000036,56024767.93002129,0.4122565571124495
2018-08-10 00:00:00.000000036,58347440.74066123,0.42934787460633267
2018-08-18 00:00:00.000000037,58347440.74066123,0.42934787460633267
2018-08-26 00:00:00.000000037,56465920.20569158,0.4155027627648731
2018-09-03 00:00:00.000000038,46159858.94150044,0.3396659232535987
2018-09-11 00:00:00.000000038,46159858.94150044,0.3396659232535987
2018-09-19 00:00:00.000000039,41700840.903639,0.3068543741421918
2018-09-27 00:00:00.000000039,39933489.60318374,0.2938493731532726
2018-10-05 00:00:00.000000040,39933489.60318374,0.2938493731532726
2018-10-13 00:00:00.000000040,39222137.39492836,0.28861490948470364
2018-10-21 00:00:00.000000041,38063119.80640511,0.28008631368089437
2018-10-29 00:00:00.000000041,38063119.80640511,0.28008631368089437
2018-11-06 00:00:00.000000042,30503663.899177074,0.2244602864593299
2018-11-14 00:00:00.000000042,19159056.324373797,0.14098133539215252
2018-11-22 00:00:00.000000043,19159056.324373797,0.14098133539215252
2018-11-30 00:00:00.000000043,24830124.18542883,0.1827117163991716
2018-12-08 00:00:00.000000044,27921473.447332226,0.2054593162667204
2018-12-16 00:00:00.000000044,27921473.447332226,0.2054593162667204
2018-12-24 00:00:00.000000045,36195572.534979135,0.26634402367579363
2019-01-01 00:00:00.000000045,42256366.37292438,0.31094219147401775
2019-01-09 00:00:00.000000046,42256366.37292438,0.31094219147401775
2019-01-17 00:00:00.000000046,49048679.59262039,0.3609232224758572
2019-01-25 00:00:00.000000047,48055261.87580508,0.35361318830989086
2019-02-02 00:00:00.000000047,48055261.87580508,0.35361318830989086
2019-02-10 00:00:00.000000048,56990375.16585518,0.41936194869684607
2019-02-18 00:00:00.000000048,58222966.66859748,0.4284319359189495
2019-02-26 00:00:00.000000049,58222966.66859748,0.4284319359189495
2019-03-06 00:00:00.000000049,53269076.38746189,0.391978884401365
2019-03-14 00:00:00.000000050,51371734.86295575,0.3780173542878195
2019-03-22 00:00:00.000000050,51371734.86295575,0.3780173542878195
2019-03-30 00:00:00.000000051,46981586.86041328,0.34571258324436066
2019-04-07 00:00:00.000000051,48913247.45455815,0.3599266491918829
2019-04-15 00:00:00.000000052,48913247.45455815,0.3599266491918829
2019-04-23 00:00:00.000000052,54507229.41651737,0.4010897959463148
2019-05-01 00:00:00.000000053,50987489.64208983,0.3751898974737376
2019-05-09 00:00:00.000000053,50987489.64208983,0.3751898974737376
2019-05-17 00:00:00.000000054,46935717.80404759,0.34537505718304906
2019-05-25 00:00:00.000000054,37769522.31256509,0.2779258854192635
2019-06-02 00:00:00.000000055,44814931.89524077,0.32976931833859074
2019-06-10 00:00:00.000000055,46281430.31388682,0.34056050251336545
2019-06-18 00:00:00.000000056,48373473.21525218,0.355954736808556
2019-06-26 00:00:00.000000056,48373473.21525218,0.355954736808556
2019-07-04 00:00:00.000000057,70465746.29836008,0.5185200588355247
2019-07-12 00:00:00.000000057,73372443.16423893,0.5399088996423894
2019-07-20 00:00:00.000000058,57286290.67689154,0.42153943401777416
2019-07-28 00:00:00.000000058,51480652.82206263,0.37881882378940146
2019-08-05 00:00:00.000000059,52834751.37434252,0.388782916953538
2019-08-13 00:00:00.000000059,49950798.49320371,0.3675614370691792
2019-08-21 00:00:00.000000060,56094494.89000775,0.41276964083459605
2019-08-29 00:00:00.000000060,58499077.38744595,0.43046368827670123
2019-09-06 00:00:00.000000061,61568982.01831489,0.4530534884766128
2019-09-14 00:00:00.000000061,37284970.78502528,0.2743603276870717
2019-09-22 00:00:00.000000062,44671971.11735305,0.32871734578659867
2019-09-30 00:00:00.000000062,44671971.11735305,0.32871734578659867
2019-10-08 00:00:00.000000063,41009311.75830086,0.30176577788140746
2019-10-16 00:00:00.000000063,37601988.162556745,0.2766930904531608
2019-10-24 00:00:00.000000064,37601988.162556745,0.2766930904531608
2019-11-01 00:00:00.000000064,35301719.23043569,0.2597666312204613
2019-11-09 00:00:00.000000065,29718812.89523045,0.2186849841298774
2019-11-17 00:00:00.000000065,29718812.89523045,0.2186849841298774
2019-11-25 00:00:00.000000066,25927995.993626744,0.1907903728313379
2019-12-03 00:00:00.000000066,27260665.84340179,0.20059678353743962
2019-12-11 00:00:00.000000067,27260665.84340179,0.20059678353743962
2019-12-19 00:00:00.000000067,31504248.75492896,0.2318230597999775
2019-12-27 00:00:00.000000068,27352671.80835399,0.2012738066425131
2020-01-04 00:00:00.000000068,27352671.80835399,0.2012738066425131
2020-01-12 00:00:00.000000069,42720282.68286232,0.3143559055827886
2020-01-20 00:00:00.000000069,51648363.65122818,0.3800529188437286
2020-01-28 00:00:00.000000070,51648363.65122818,0.3800529188437286
2020-02-05 00:00:00.000000070,55231567.89766115,0.4064198187104141
2020-02-13 00:00:00.000000071,61364134.25789195,0.45154612243897674
2020-02-21 00:00:00.000000071,61364134.25789195,0.45154612243897674
2020-02-29 00:00:00.000000072,57977898.70689209,0.4266286107489564
2020-03-08 00:00:00.000000072,52628514.67729155,0.38726533046781303
2020-03-16 00:00:00.000000073,52628514.67729155,0.38726533046781303
2020-03-24 00:00:00.000000073,53493454.68736249,0.39362996532191974
2020-04-01 00:00:00.000000074,53669035.02066454,0.3949219678839683
2020-04-09 00:00:00.000000074,53669035.02066454,0.3949219678839683
2020-04-17 00:00:00.000000075,50198227.39472757,0.3693821351432837
2020-04-25 00:00:00.000000075,45759398.97437136,0.3367191507204895
2020-05-03 00:00:00.000000076,45759398.97437136,0.3367191507204895
2020-05-11 00:00:00.000000076,46914248.05237769,0.3452170726659771
2020-05-19 00:00:00.000000077,44088715.32533959,0.32442547571528124
2020-05-27 00:00:00.000000077,44088715.32533959,0.32442547571528124
2020-06-04 00:00:00.000000078,48019523.82275038,0.35335021092944663
2020-06-12 00:00:00.000000078,65322822.73489286,0.48067601163811796
2020-06-20 00:00:00.000000079,65322822.73489286,0.48067601163811796
2020-06-28 00:00:00.000000079,48231403.30563486,0.35490931968373596
2020-07-06 00:00:00.000000080,56144737.39800505,0.4131393488072116
2020-07-14 00:00:00.000000080,56144737.39800505,0.4131393488072116
2020-07-22 00:00:00.000000081,52395646.98018758,0.3855517805751888
2020-07-30 00:00:00.000000081,52597430.31271455,0.3870365971130127
2020-08-07 00:00:00.000000082,52597430.31271455,0.3870365971130127
2020-08-15 00:00:00.000000082,60398600.34689447,0.4444412704131669
2020-08-23 00:00:00.000000083,56516772.74101698,0.4158769596050969
2020-08-31 00:00:00.000000083,49495950.22815846,0.3642144498939651
2020-09-08 00:00:00.000000084,45444080.48046441,0.33439888913807064
2020-09-16 00:00:00.000000084,45873038.89001942,0.3375553665961918
2020-09-24 00:00:00.000000085,45873038.89001942,0.3375553665961918
2020-10-02 00:00:00.000000085,41170463.37942864,0.3029516072021502
2020-10-10 00:00:00.000000086,42693218.97088882,0.31415675807833465
2020-10-18 00:00:00.000000086,42693218.97088882,0.31415675807833465
2020-10-26 00:00:00.000000087,35954340.78929385,0.2645689271851368
2020-11-03 00:00:00.000000087,33236615.360510025,0.24457062697179494
2020-11-11 00:00:00.000000088,33236615.360510025,0.24457062697179494
2020-11-19 00:00:00.000000088,29229750.58558893,0.21508623394427895
2020-11-27 00:00:00.000000089,23712165.35786369,0.17448525024368206
2020-12-05 00:00:00.000000089,23712165.35786369,0.17448525024368206
2020-12-13 00:00:00.000000090,25769070.926514506,0.18962092754084794
