,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,17185195.816531673,0.07302913949309411
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,29967457.343890443,0.12734784322416914
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,8505609.939150821,0.03614491108227916
2017-02-20 00:00:00.000000003,31886092.6127773,0.13550115635389912
2017-02-28 00:00:00.000000003,37068483.81834235,0.15752392375785973
2017-03-08 00:00:00.000000004,1009850.8269496243,0.004291399277369685
2017-03-16 00:00:00.000000004,26094959.7656258,0.11089151832400669
2017-03-24 00:00:00.000000005,3147350.8105324837,0.01337478628872951
2017-04-01 00:00:00.000000005,1139128.5836172665,0.004840769993061706
2017-04-09 00:00:00.000000006,8536337.203215357,0.03627548775289535
2017-04-17 00:00:00.000000006,7223360.057273027,0.030695941720022817
2017-04-25 00:00:00.000000007,1016882.4770618214,0.004321280540428456
2017-05-03 00:00:00.000000007,,
2017-05-11 00:00:00.000000008,2877673.061131705,0.012228780494589664
2017-05-19 00:00:00.000000008,1157546.8116867964,0.0049190389497419315
2017-05-27 00:00:00.000000009,8638926.086278848,0.03671144309094727
2017-06-04 00:00:00.000000009,2002488.035507651,0.008509648632438712
2017-06-12 00:00:00.000000010,164046.3075022978,0.0006971209872620561
2017-06-20 00:00:00.000000010,,
2017-06-28 00:00:00.000000011,2269744.650270021,0.009645365723375666
2017-07-06 00:00:00.000000011,343635.1978728949,0.0014602907681770835
2017-07-14 00:00:00.000000012,2545175.012545328,0.01081581746346508
2017-07-22 00:00:00.000000012,2830112.643305341,0.012026670700504562
2017-07-30 00:00:00.000000013,1114127.306484507,0.004734526120444472
2017-08-07 00:00:00.000000013,5620070.048605676,0.023882700198607172
2017-08-15 00:00:00.000000014,751681.2728531781,0.003194297994366418
2017-08-23 00:00:00.000000014,812433.542695528,0.00345246706245298
2017-08-31 00:00:00.000000015,4017696.986123688,0.017073355274681217
2017-09-08 00:00:00.000000015,324301.5747615739,0.0013781318056504336
2017-09-16 00:00:00.000000016,15394211.862093212,0.06541828545134036
2017-09-24 00:00:00.000000016,2552971.650866729,0.010848949572847454
2017-10-02 00:00:00.000000017,535990.895642419,0.002277713579920006
2017-10-10 00:00:00.000000017,587847.3665331373,0.0024980796139604687
2017-10-18 00:00:00.000000018,,
2017-10-26 00:00:00.000000018,4327980.524800588,0.018391916905887547
2017-11-03 00:00:00.000000019,846266.8070284973,0.0035962427986655572
2017-11-11 00:00:00.000000019,3492528.6542411954,0.014841632588722177
2017-11-19 00:00:00.000000020,8705967.82261194,0.036996339484727005
2017-11-27 00:00:00.000000020,1574151.568595258,0.006689416618437874
2017-12-05 00:00:00.000000021,6803876.722517155,0.02891333142590878
2017-12-13 00:00:00.000000021,1257284.9830108644,0.005342880080455419
2017-12-21 00:00:00.000000022,1452090.550931923,0.006170713708050919
2017-12-29 00:00:00.000000022,8531917.223953636,0.03625670488387792
2018-01-06 00:00:00.000000023,18396952.707128666,0.07817854622315869
2018-01-14 00:00:00.000000023,2232614.6247280943,0.009487580275736188
2018-01-22 00:00:00.000000024,15568348.568734467,0.06615828597131924
2018-01-30 00:00:00.000000024,16468369.328362886,0.06998295822430317
2018-02-07 00:00:00.000000025,3002711.040284011,0.012760134115399977
2018-02-15 00:00:00.000000025,,
2018-02-23 00:00:00.000000026,4368829.513159988,0.018565506226655176
2018-03-03 00:00:00.000000026,,
2018-03-11 00:00:00.000000027,35865249.40170932,0.1524107336031886
2018-03-19 00:00:00.000000027,25598487.15583511,0.10878173919422647
2018-03-27 00:00:00.000000028,9217364.801562082,0.03916954028562625
2018-04-04 00:00:00.000000028,,
2018-04-12 00:00:00.000000029,20027519.525319006,0.08510770157813477
2018-04-20 00:00:00.000000029,1870761.9759522981,0.007949873761041002
2018-04-28 00:00:00.000000030,6563706.674416277,0.027892719724298156
2018-05-06 00:00:00.000000030,2356792.3086572085,0.010015278039462856
2018-05-14 00:00:00.000000031,,
2018-05-22 00:00:00.000000031,1294169.1439651188,0.0054996207172320335
2018-05-30 00:00:00.000000032,2207403.0166299855,0.009380442593727884
2018-06-07 00:00:00.000000032,387609.56452370435,0.00164716150218252
2018-06-15 00:00:00.000000033,1552834.531723531,0.006598829064132137
2018-06-23 00:00:00.000000033,3384233.414037518,0.014381427870212975
2018-07-01 00:00:00.000000034,,
2018-07-09 00:00:00.000000034,4941759.643416282,0.021000194480951
2018-07-17 00:00:00.000000035,2997163.7438309914,0.0127365606693478
2018-07-25 00:00:00.000000035,1112979.1239758362,0.004729646875454515
2018-08-02 00:00:00.000000036,3568985.262483096,0.015166537836708668
2018-08-10 00:00:00.000000036,4420081.157867192,0.01878330202895685
2018-08-18 00:00:00.000000037,790793.990668323,0.0033605089677978934
2018-08-26 00:00:00.000000037,5484023.806646668,0.023304566548714274
2018-09-03 00:00:00.000000038,3357457.4441426294,0.014267642373591771
2018-09-11 00:00:00.000000038,760436.8533244114,0.0032315051646776
2018-09-19 00:00:00.000000039,2930939.39727849,0.012455137804350869
2018-09-27 00:00:00.000000039,3794083.2756391633,0.016123100355861297
2018-10-05 00:00:00.000000040,853625.0528384041,0.0036275119424922005
2018-10-13 00:00:00.000000040,3867771.5770423138,0.01643624157925097
2018-10-21 00:00:00.000000041,4309805.090514807,0.018314679710572785
2018-10-29 00:00:00.000000041,964706.4345155904,0.004099556474553056
2018-11-06 00:00:00.000000042,3038265.540318298,0.012911224307815092
2018-11-14 00:00:00.000000042,7835319.719628489,0.033296487446904346
2018-11-22 00:00:00.000000043,1854944.3505732515,0.007882656163837676
2018-11-30 00:00:00.000000043,7698166.55071408,0.03271364986905522
2018-12-08 00:00:00.000000044,9880332.000512576,0.04198684446815565
2018-12-16 00:00:00.000000044,1713908.6056508087,0.00728331943241996
2018-12-24 00:00:00.000000045,8579156.5238038,0.03645745007497985
2019-01-01 00:00:00.000000045,2617152.2440033853,0.01112168743041772
2019-01-09 00:00:00.000000046,195685.22526023714,0.0008315717647232236
2019-01-17 00:00:00.000000046,83340.15141490861,0.0003541571250064044
2019-01-25 00:00:00.000000047,228763.9896342857,0.0009721412248283994
2019-02-02 00:00:00.000000047,163986.79403312533,0.0006968680825242624
2019-02-10 00:00:00.000000048,,
2019-02-18 00:00:00.000000048,342208.68968200684,0.0014542287676754546
2019-02-26 00:00:00.000000049,2495880.2220409317,0.01060633738709811
2019-03-06 00:00:00.000000049,,
2019-03-14 00:00:00.000000050,4293357.772995472,0.018244786212807035
2019-03-22 00:00:00.000000050,7464234.122973394,0.03171954517104541
2019-03-30 00:00:00.000000051,,
2019-04-07 00:00:00.000000051,769119.4549616795,0.003268402208674099
2019-04-15 00:00:00.000000052,5704488.142662588,0.024241438081633957
2019-04-23 00:00:00.000000052,,
2019-05-01 00:00:00.000000053,1320400.896665925,0.005611093542307014
2019-05-09 00:00:00.000000053,2051619.8870732025,0.008718436293623408
2019-05-17 00:00:00.000000054,,
2019-05-25 00:00:00.000000054,936485.8555789724,0.003979632057180075
2019-06-02 00:00:00.000000055,698948.3022403492,0.0029702072416113684
2019-06-10 00:00:00.000000055,,
2019-06-18 00:00:00.000000056,428345.3494424857,0.0018202697606483674
2019-06-26 00:00:00.000000056,1119923.1838270598,0.004759155920386989
2019-07-04 00:00:00.000000057,,
2019-07-12 00:00:00.000000057,656500.7440005433,0.0027898247376858675
