,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,1068433.9479839252,0.12247354045165625
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,1145850.407114246,0.13134771358777975
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,1211147.2797973638,0.13883263036060658
2017-02-25 00:00:00.000000003,1012225.8913062307,0.11603046578502446
2017-03-05 00:00:00.000000003,1496691.8846283855,0.17156432966360413
2017-03-13 00:00:00.000000004,1301920.236001228,0.14923784571765142
2017-03-21 00:00:00.000000004,731173.4002016252,0.08381369309328242
2017-03-29 00:00:00.000000005,1596778.9372958916,0.1830372108058507
2017-04-06 00:00:00.000000005,1779900.4104372803,0.2040282465087767
2017-04-14 00:00:00.000000006,1216705.1241670798,0.13946972063513677
2017-04-22 00:00:00.000000006,850159.7362967998,0.09745298064535297
2017-04-30 00:00:00.000000007,1380913.5426196824,0.1582927713420204
2017-05-08 00:00:00.000000007,1087549.5382148302,0.12466474189917638
2017-05-16 00:00:00.000000008,1141671.6406059712,0.13086870566225012
2017-05-24 00:00:00.000000008,467057.0752068911,0.05353829658962132
2017-06-01 00:00:00.000000009,562399.2199213365,0.06446727356519004
2017-06-09 00:00:00.000000009,619727.5608229694,0.07103876531878986
2017-06-17 00:00:00.000000010,939034.8819422406,0.10764065183072932
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,513647.5013165343,0.058878911652973036
2017-07-11 00:00:00.000000011,856222.4286286598,0.09814794114895087
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,776237.2550054216,0.08897931877808457
2017-08-04 00:00:00.000000013,957715.060615899,0.10978194247649126
2017-08-12 00:00:00.000000013,519287.98664335365,0.05952547497974181
2017-08-20 00:00:00.000000014,635494.8256156176,0.07284615148995954
2017-08-28 00:00:00.000000014,598991.2607863483,0.06866178348837819
2017-09-05 00:00:00.000000015,784332.2871710982,0.08990724441286173
2017-09-13 00:00:00.000000015,962850.4900842407,0.1103706117432385
2017-09-21 00:00:00.000000016,682654.4991788082,0.07825201883321176
2017-09-29 00:00:00.000000016,534032.5352503458,0.06121562819292578
2017-10-07 00:00:00.000000017,1028006.5592420392,0.11783938834541047
2017-10-15 00:00:00.000000017,430916.6096829582,0.049395550306952966
2017-10-23 00:00:00.000000018,546622.2931858737,0.0626587798549475
2017-10-31 00:00:00.000000018,809337.3085705626,0.09277354560596825
2017-11-08 00:00:00.000000019,1099534.1221912166,0.12603852306103283
2017-11-16 00:00:00.000000019,597562.4016678155,0.06849799476247376
2017-11-24 00:00:00.000000020,1011677.0316335941,0.11596755053654721
2017-12-02 00:00:00.000000020,1201165.7996529671,0.1376884630355802
2017-12-10 00:00:00.000000021,456988.12325095397,0.052384102456228064
2017-12-18 00:00:00.000000021,1013414.6245652746,0.11616672911806668
2017-12-26 00:00:00.000000022,1001655.2874162559,0.11481876778014533
2018-01-03 00:00:00.000000022,738023.9181680715,0.08459896128029719
2018-01-11 00:00:00.000000023,997655.6497766231,0.11436029322196244
2018-01-19 00:00:00.000000023,1051586.6284592869,0.12054234866090849
2018-01-27 00:00:00.000000024,1014849.6448545271,0.11633122409295618
2018-02-04 00:00:00.000000024,1056531.4116099335,0.12110916432636738
2018-02-12 00:00:00.000000025,787331.849919039,0.09025108136248357
2018-02-20 00:00:00.000000025,932070.3480962116,0.10684231411474035
2018-02-28 00:00:00.000000026,976727.0817184143,0.1119612718959283
