,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,112278.95349423273,0.06828469433011808
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,103563.71355082195,0.06298434660662411
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,70558.59149148977,0.04291162058798074
2017-02-25 00:00:00.000000003,119410.11779985606,0.07262165472806434
2017-03-05 00:00:00.000000003,80741.19800531723,0.04910437668021037
2017-03-13 00:00:00.000000004,38285.81487833658,0.023284285120104786
2017-03-21 00:00:00.000000004,47664.6394956701,0.028988205153553454
2017-03-29 00:00:00.000000005,110252.86912153654,0.06705249053972832
2017-04-06 00:00:00.000000005,88526.57403094723,0.053839209038462454
2017-04-14 00:00:00.000000006,127878.78174968051,0.07777204232254754
2017-04-22 00:00:00.000000006,58897.82800607121,0.03581989372842724
2017-04-30 00:00:00.000000007,77329.83520798026,0.04702968807102898
2017-05-08 00:00:00.000000007,112393.56502924902,0.0683543976306186
2017-05-16 00:00:00.000000008,79383.27161548089,0.048278526549201284
2017-05-24 00:00:00.000000008,20103.309781003463,0.012226230479517307
2017-06-01 00:00:00.000000009,22263.18775431315,0.013539803527785721
2017-06-09 00:00:00.000000009,14911.055945512358,0.00906845731716676
2017-06-17 00:00:00.000000010,31646.656531689216,0.01924654800017915
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,17141.861266700897,0.010425166252605712
2017-07-11 00:00:00.000000011,37506.564851558884,0.022810368609224724
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,49936.18146347345,0.030369688896519174
2017-08-04 00:00:00.000000013,31937.373484652646,0.019423353337705836
2017-08-12 00:00:00.000000013,22562.867677456725,0.013722059875141003
2017-08-20 00:00:00.000000014,41199.809896940336,0.025056489553191747
2017-08-28 00:00:00.000000014,23765.329083610985,0.014453360862616142
2017-09-05 00:00:00.000000015,65984.80965238086,0.040129983557205956
2017-09-13 00:00:00.000000015,29509.103289884686,0.017946552184503216
2017-09-21 00:00:00.000000016,25741.051189736758,0.015654935831917804
2017-09-29 00:00:00.000000016,22204.369797560747,0.013504032209359902
2017-10-07 00:00:00.000000017,63929.39542837702,0.038879942230314816
2017-10-15 00:00:00.000000017,19735.45130181406,0.012002509977798517
2017-10-23 00:00:00.000000018,23118.408138020826,0.014059922932793933
2017-10-31 00:00:00.000000018,57018.440444138476,0.0346769065415989
2017-11-08 00:00:00.000000019,57986.16034961776,0.035265444783952736
2017-11-16 00:00:00.000000019,33425.73760334092,0.020328531785969203
2017-11-24 00:00:00.000000020,94865.23932429297,0.05769419528964153
2017-12-02 00:00:00.000000020,47792.87206854727,0.029066192361036042
2017-12-10 00:00:00.000000021,10889.442268371582,0.006622632413112183
2017-12-18 00:00:00.000000021,71210.72960827395,0.043308231444955936
2017-12-26 00:00:00.000000022,31581.347482778507,0.019206828994051368
2018-01-03 00:00:00.000000022,104832.84371568264,0.06375619353497206
2018-01-11 00:00:00.000000023,58967.89897392126,0.03586250879093138
2018-01-19 00:00:00.000000023,36804.22806010527,0.02238322842285249
2018-01-27 00:00:00.000000024,108930.4325350593,0.0662482242434344
2018-02-04 00:00:00.000000024,73130.33267128143,0.04447567649421316
2018-02-12 00:00:00.000000025,58456.23663144579,0.03555133108960052
2018-02-20 00:00:00.000000025,111361.40346419397,0.0677266679023334
2018-02-28 00:00:00.000000026,77701.22585078227,0.0472555567287922
2018-03-08 00:00:00.000000026,71147.35141613531,0.04326968672804597
2018-03-16 00:00:00.000000027,106052.63196752213,0.06449803219067886
