,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,26401781.416065734,0.09222818132508623
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,23628153.19476656,0.08253918790107827
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,26427484.689989746,0.09231796944092412
2017-02-25 00:00:00.000000003,19781191.704321645,0.06910076659532957
2017-03-05 00:00:00.000000003,22624739.01721764,0.07903400530552694
2017-03-13 00:00:00.000000004,19610315.151721913,0.06850385105281305
2017-03-21 00:00:00.000000004,11640071.80118911,0.04066175065231892
2017-03-29 00:00:00.000000005,22615489.93920055,0.07900169590825533
2017-04-06 00:00:00.000000005,22804296.72637165,0.07966124635025797
2017-04-14 00:00:00.000000006,16620467.914093195,0.058059549252839265
2017-04-22 00:00:00.000000006,19742551.62397204,0.06896578690283311
2017-04-30 00:00:00.000000007,27939453.63597813,0.09759966403232248
2017-05-08 00:00:00.000000007,21255950.31768048,0.07425247596903213
2017-05-16 00:00:00.000000008,22187113.873936526,0.07750526864829566
2017-05-24 00:00:00.000000008,15696967.40966812,0.05483352557535757
2017-06-01 00:00:00.000000009,22326272.17868784,0.07799138423122697
2017-06-09 00:00:00.000000009,32164891.13335821,0.11236019891990585
2017-06-17 00:00:00.000000010,40128737.54446752,0.14017995317338142
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,42834287.610034585,0.1496311321714538
2017-07-11 00:00:00.000000011,52886907.33810797,0.1847475063456874
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,54201872.20906372,0.18934101527008246
2017-08-04 00:00:00.000000013,53798778.786435,0.18793290675318788
2017-08-12 00:00:00.000000013,52424774.4417368,0.1831331578329438
2017-08-20 00:00:00.000000014,64619901.70476349,0.22573385930729645
2017-08-28 00:00:00.000000014,60727365.61728491,0.21213623426704215
2017-09-05 00:00:00.000000015,61662650.29093038,0.2154034230643503
2017-09-13 00:00:00.000000015,57919811.94954182,0.20232873057371348
2017-09-21 00:00:00.000000016,57242512.85133035,0.1999627514355348
2017-09-29 00:00:00.000000016,53077669.76951461,0.18541388835364842
2017-10-07 00:00:00.000000017,58790214.03189721,0.20536926786974447
2017-10-15 00:00:00.000000017,56598136.78012707,0.19771178085896912
2017-10-23 00:00:00.000000018,53155169.14539567,0.18568461351339047
2017-10-31 00:00:00.000000018,53280867.52572466,0.18612371013458276
2017-11-08 00:00:00.000000019,43727980.64592323,0.1527530307306453
2017-11-16 00:00:00.000000019,37376305.39387901,0.13056500305054602
2017-11-24 00:00:00.000000020,40396001.31908472,0.14111357395747073
2017-12-02 00:00:00.000000020,38348666.707682796,0.1339617100435228
2017-12-10 00:00:00.000000021,29530388.801488705,0.10315720784381238
2017-12-18 00:00:00.000000021,33315810.76391452,0.11638065582411146
2017-12-26 00:00:00.000000022,30979796.47169677,0.10822035988326444
2018-01-03 00:00:00.000000022,29080366.13052366,0.10158516344862216
2018-01-11 00:00:00.000000023,34647906.34258596,0.12103400669600738
2018-01-19 00:00:00.000000023,31861434.80626909,0.11130014828476237
2018-01-27 00:00:00.000000024,23264275.29350382,0.08126806923946288
2018-02-04 00:00:00.000000024,28115265.510475647,0.09821381991766714
2018-02-12 00:00:00.000000025,20989049.326429427,0.07332012248011305
2018-02-20 00:00:00.000000025,14609747.325833848,0.05103558749489433
2018-02-28 00:00:00.000000026,14125776.129551634,0.049344952209970955
2018-03-08 00:00:00.000000026,21941903.52837473,0.07664868613756028
2018-03-16 00:00:00.000000027,17682376.342187613,0.06176906724003589
2018-03-24 00:00:00.000000027,14606150.981891407,0.051023024544841686
2018-04-01 00:00:00.000000028,15155456.87664834,0.05294189065717732
2018-04-09 00:00:00.000000028,13814920.050231935,0.048259052345954324
2018-04-17 00:00:00.000000029,11236966.194541512,0.039253599573527295
2018-04-25 00:00:00.000000029,12711859.711715635,0.044405780200791924
2018-05-03 00:00:00.000000030,10849019.951146323,0.037898404031363415
2018-05-11 00:00:00.000000030,14888233.90400148,0.05200841240481567
2018-05-19 00:00:00.000000031,19345351.471123848,0.06757826508595513
2018-05-27 00:00:00.000000031,19092652.568817228,0.06669552312944445
2018-06-04 00:00:00.000000032,24415542.52359883,0.08528974039784241
2018-06-12 00:00:00.000000032,27534897.84162152,0.09618644707661618
2018-06-20 00:00:00.000000033,,
2018-06-28 00:00:00.000000033,34557476.616222434,0.1207181125118688
2018-07-06 00:00:00.000000034,38468767.75041349,0.13438125373156948
2018-07-14 00:00:00.000000034,37387135.95551984,0.13060283697497416
2018-07-22 00:00:00.000000035,35324954.34807883,0.12339910870304042
2018-07-30 00:00:00.000000035,39007388.41374664,0.13626279359512958
2018-08-07 00:00:00.000000036,39569562.60236943,0.13822661195221345
2018-08-15 00:00:00.000000036,43960136.82696595,0.153564011702858
2018-08-23 00:00:00.000000037,43389286.106752776,0.15156988399974247
2018-08-31 00:00:00.000000037,42183804.553920105,0.14735882833320915
2018-09-08 00:00:00.000000038,46715636.29924938,0.16318967676560606
2018-09-16 00:00:00.000000038,46243718.89399181,0.1615411484584944
2018-09-24 00:00:00.000000039,47675858.2059606,0.16654397770192825
2018-10-02 00:00:00.000000039,45732312.75887221,0.15975467590888565
2018-10-10 00:00:00.000000040,39069612.51163937,0.13648015829839724
2018-10-18 00:00:00.000000040,35091765.20186833,0.12258451931905828
2018-10-26 00:00:00.000000041,34145639.16109246,0.11927945885098075
2018-11-03 00:00:00.000000041,30933820.85429269,0.108059755281944
2018-11-11 00:00:00.000000042,26984300.383950897,0.09426306920438376
2018-11-19 00:00:00.000000042,30898789.34408256,0.10793738124873632
2018-11-27 00:00:00.000000043,27114958.559555557,0.0947194916601783
2018-12-05 00:00:00.000000043,,
2018-12-13 00:00:00.000000044,24553264.328876633,0.08577083792036981
2018-12-21 00:00:00.000000044,28852694.72378341,0.1007898489411473
2018-12-29 00:00:00.000000045,24293280.6300144,0.08486264830458723
2019-01-06 00:00:00.000000045,19444765.564089544,0.06792554396262707
2019-01-14 00:00:00.000000046,18329316.085241128,0.06402899337867277
2019-01-22 00:00:00.000000046,14528568.004185427,0.050752007342523164
2019-01-30 00:00:00.000000047,14189760.398433553,0.04956846564110647
2019-02-07 00:00:00.000000047,12297691.378322318,0.0429589841854267
2019-02-15 00:00:00.000000048,9790521.747259252,0.03420079883033822
2019-02-23 00:00:00.000000048,17297143.499451794,0.06042335030100398
2019-03-03 00:00:00.000000049,13634195.282131873,0.047627734465558416
2019-03-11 00:00:00.000000049,8075078.094245968,0.028208314997910017
2019-03-19 00:00:00.000000050,14491713.26579662,0.05062326430654215
2019-03-27 00:00:00.000000050,19334638.13904733,0.06754084067440584
2019-04-04 00:00:00.000000051,9450334.319360353,0.033012437056928405
2019-04-12 00:00:00.000000051,10915450.460639352,0.038130462807189534
2019-04-20 00:00:00.000000052,14535297.547413966,0.050775515359779116
2019-04-28 00:00:00.000000052,16280676.58113143,0.0568725711404449
2019-05-06 00:00:00.000000053,24488994.33865444,0.08554632639144824
2019-05-14 00:00:00.000000053,21457375.316025227,0.07495610505291811
2019-05-22 00:00:00.000000054,,
2019-05-30 00:00:00.000000054,20540731.30912497,0.07175403287654947
2019-06-07 00:00:00.000000055,19791159.51686048,0.06913558671628123
2019-06-15 00:00:00.000000055,18689563.109314688,0.06528742845676418
2019-06-23 00:00:00.000000056,23875448.96567875,0.08340305533643011
2019-07-01 00:00:00.000000056,31572102.0510102,0.11028943490164701
2019-07-09 00:00:00.000000057,31994359.507617544,0.11176448829520909
2019-07-17 00:00:00.000000057,55164045.625249,0.19270213332858266
2019-07-25 00:00:00.000000058,64316862.21408871,0.2246752647884581
2019-08-02 00:00:00.000000058,65355868.47265276,0.22830477963454474
2019-08-10 00:00:00.000000059,64845249.68694353,0.22652105749798732
2019-08-18 00:00:00.000000059,61243138.08139662,0.2139379595215977
2019-08-26 00:00:00.000000060,54414657.48922109,0.19008432872656464
2019-09-03 00:00:00.000000060,55326986.4887377,0.19327132747750314
2019-09-11 00:00:00.000000061,,
2019-09-19 00:00:00.000000061,49996992.47138704,0.1746522938999161
2019-09-27 00:00:00.000000062,52488087.70287324,0.1833543272622468
2019-10-05 00:00:00.000000062,50043572.97390555,0.1748150115197914
2019-10-13 00:00:00.000000063,49173067.50547235,0.17177411306972387
2019-10-21 00:00:00.000000063,39596853.65985464,0.13832194660250216
2019-10-29 00:00:00.000000064,40490786.27731687,0.1414446820814629
2019-11-06 00:00:00.000000064,37885676.37528381,0.13234436628723095
2019-11-14 00:00:00.000000065,38870121.32653726,0.1357832845192227
2019-11-22 00:00:00.000000065,38189721.67626733,0.13340647435896455
2019-11-30 00:00:00.000000066,32797522.881341994,0.11457014356892678
2019-12-08 00:00:00.000000066,32911425.53224271,0.1149680346875271
2019-12-16 00:00:00.000000067,30789641.39436056,0.10755609951855366
2019-12-24 00:00:00.000000067,26578308.460712787,0.09284483548284632
2020-01-01 00:00:00.000000068,27167625.32949519,0.0949034701702361
2020-01-09 00:00:00.000000068,31853276.39642513,0.11127164887062983
2020-01-17 00:00:00.000000069,28778486.537918605,0.1005306207506745
2020-01-25 00:00:00.000000069,34465413.80394988,0.12039651354058106
2020-02-02 00:00:00.000000070,27985248.364897653,0.09775963674385901
2020-02-10 00:00:00.000000070,27680454.50525029,0.09669491376508213
2020-02-18 00:00:00.000000071,23999870.555910297,0.0838376918029546
2020-02-26 00:00:00.000000071,17372120.26132408,0.060685263324225865
2020-03-05 00:00:00.000000072,16728833.55015259,0.05843809816112667
2020-03-13 00:00:00.000000072,22737174.66956416,0.07942677182262678
2020-03-21 00:00:00.000000073,23181428.310617097,0.08097866351946613
2020-03-29 00:00:00.000000073,28280192.17039828,0.09878995096189394
2020-04-06 00:00:00.000000074,24266072.055718426,0.08476760178919417
2020-04-14 00:00:00.000000074,21778716.570649896,0.07607863231847302
2020-04-22 00:00:00.000000075,20116626.44138312,0.07027252600295854
2020-04-30 00:00:00.000000075,12615454.585469235,0.044069012415164005
2020-05-08 00:00:00.000000076,7718674.111672825,0.026963304647595672
2020-05-16 00:00:00.000000076,18029095.002827425,0.06298024428140103
2020-05-24 00:00:00.000000077,25341677.22869391,0.08852496601261808
2020-06-01 00:00:00.000000077,30689051.72878268,0.10720471406580155
2020-06-09 00:00:00.000000078,32919126.828340884,0.11499493728632477
2020-06-17 00:00:00.000000078,33927100.0418312,0.11851604576152963
2020-06-25 00:00:00.000000079,43499431.67234951,0.1519546506575646
2020-07-03 00:00:00.000000079,44799606.74431318,0.15649649502790144
2020-07-11 00:00:00.000000080,52534779.07134379,0.1835174321652742
2020-07-19 00:00:00.000000080,72496391.54460488,0.25324845469410806
2020-07-27 00:00:00.000000081,74920064.57850865,0.2617149650602449
2020-08-04 00:00:00.000000081,86107588.31806353,0.30079584948126775
2020-08-12 00:00:00.000000082,78101506.27477051,0.2728285553522803
2020-08-20 00:00:00.000000082,74839200.69863805,0.2614324868267565
2020-08-28 00:00:00.000000083,73747595.17866403,0.2576192292951884
2020-09-05 00:00:00.000000083,63969593.98323133,0.22346216795763338
2020-09-13 00:00:00.000000084,64115334.40286425,0.22397127655286322
2020-09-21 00:00:00.000000084,66790018.73911866,0.23331463365684
2020-09-29 00:00:00.000000085,66705108.58496373,0.23301802075143294
