,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,1845679.3236237762,0.0909208133844034
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,1172618.2098833872,0.05776485658550572
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,2095688.4683263442,0.10323662279882906
2017-02-25 00:00:00.000000003,1276691.3830063157,0.06289165051482933
2017-03-05 00:00:00.000000003,2793213.970444296,0.137597730493535
2017-03-13 00:00:00.000000004,3301821.015450872,0.16265244375447302
2017-03-21 00:00:00.000000004,1242862.341022207,0.06122518333722049
2017-03-29 00:00:00.000000005,2426393.1246462055,0.11952760897273086
2017-04-06 00:00:00.000000005,2552508.9863627097,0.12574025738958924
2017-04-14 00:00:00.000000006,1006900.8021714451,0.049601379155665974
2017-04-22 00:00:00.000000006,2232292.6259959517,0.10996593973272983
2017-04-30 00:00:00.000000007,3090582.4286617823,0.1522465276870344
2017-05-08 00:00:00.000000007,2500798.8518024203,0.12319294191920323
2017-05-16 00:00:00.000000008,2527940.576971733,0.12452998226931383
2017-05-24 00:00:00.000000008,1724796.8725959344,0.08496597029184891
2017-06-01 00:00:00.000000009,2233574.735083606,0.110029098267154
2017-06-09 00:00:00.000000009,2753931.9385843924,0.13566264120560703
2017-06-17 00:00:00.000000010,4060442.153159712,0.20002321017540572
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,3832496.294624778,0.18879426991458556
2017-07-11 00:00:00.000000011,4196549.540212807,0.20672805547550716
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,4327084.780080513,0.21315840880514075
2017-08-04 00:00:00.000000013,4703653.9631315665,0.23170874741503522
2017-08-12 00:00:00.000000013,4548585.678623718,0.22406986108352667
2017-08-20 00:00:00.000000014,4776241.866301805,0.2352845317420485
2017-08-28 00:00:00.000000014,5043054.356832857,0.24842809809710328
2017-09-05 00:00:00.000000015,5085254.830942093,0.2505069540403372
2017-09-13 00:00:00.000000015,4971528.498398599,0.24490463161859705
2017-09-21 00:00:00.000000016,4934571.749229067,0.24308408909448187
2017-09-29 00:00:00.000000016,4998400.062730325,0.24622836345796933
2017-10-07 00:00:00.000000017,5485607.936813475,0.2702289228357237
2017-10-15 00:00:00.000000017,5211890.259782285,0.2567451970796681
2017-10-23 00:00:00.000000018,5019276.0712869065,0.24725674561184072
2017-10-31 00:00:00.000000018,4827790.3947484065,0.23782388626325104
2017-11-08 00:00:00.000000019,4420425.867449617,0.21775652478182136
2017-11-16 00:00:00.000000019,3619550.544449002,0.17830425652768797
2017-11-24 00:00:00.000000020,3949035.433666361,0.19453515522286066
2017-12-02 00:00:00.000000020,3976546.6967414985,0.19589039954076995
2017-12-10 00:00:00.000000021,2906379.060006536,0.14317240528022349
2017-12-18 00:00:00.000000021,3494849.816633968,0.17216131963857045
2017-12-26 00:00:00.000000022,3249911.602880202,0.16009531156318563
2018-01-03 00:00:00.000000022,3070188.1721950457,0.1512418773327761
2018-01-11 00:00:00.000000023,2851789.1971889995,0.14048323026136458
2018-01-19 00:00:00.000000023,2544361.4305365514,0.12533889709187798
2018-01-27 00:00:00.000000024,1932598.4776112263,0.09520257570252214
2018-02-04 00:00:00.000000024,2172886.7328833183,0.1070395201470009
2018-02-12 00:00:00.000000025,1190845.5260168924,0.058662760347801296
2018-02-20 00:00:00.000000025,960331.379412542,0.04730730252930577
2018-02-28 00:00:00.000000026,1278127.6807051718,0.06296240460161497
2018-03-08 00:00:00.000000026,2588262.1238517934,0.12750150827426054
2018-03-16 00:00:00.000000027,1983962.0453273382,0.09773281879258652
2018-03-24 00:00:00.000000027,1608656.9941781438,0.0792447531351335
2018-04-01 00:00:00.000000028,1769762.8516390938,0.08718105897865454
2018-04-09 00:00:00.000000028,1363407.602278915,0.06716341597753446
2018-04-17 00:00:00.000000029,777066.7155158247,0.03827942206662939
2018-04-25 00:00:00.000000029,1339790.445632067,0.06600000093317977
2018-05-03 00:00:00.000000030,1468101.5572682992,0.07232079051287668
2018-05-11 00:00:00.000000030,2041428.1329553043,0.10056368077509803
2018-05-19 00:00:00.000000031,1798816.7733680285,0.0886122968766958
2018-05-27 00:00:00.000000031,1869464.815287781,0.09209252085338737
2018-06-04 00:00:00.000000032,1878032.6825107343,0.09251458629395969
2018-06-12 00:00:00.000000032,2228813.4152423027,0.10979454881578742
2018-06-20 00:00:00.000000033,,
2018-06-28 00:00:00.000000033,2513774.705567961,0.1238321511055551
2018-07-06 00:00:00.000000034,2568957.5113941585,0.12655053534832847
2018-07-14 00:00:00.000000034,2683175.150396937,0.13217706023163783
2018-07-22 00:00:00.000000035,2860829.0512482286,0.14092854645113892
2018-07-30 00:00:00.000000035,2937812.8846128886,0.14472088061091143
2018-08-07 00:00:00.000000036,3206776.36316047,0.1579704077239049
2018-08-15 00:00:00.000000036,3358697.697146369,0.16545427075452154
2018-08-23 00:00:00.000000037,3262565.85302393,0.16071867809339008
2018-08-31 00:00:00.000000037,3336738.0588562917,0.16437250744417517
2018-09-08 00:00:00.000000038,3600366.589950264,0.17735922738604376
2018-09-16 00:00:00.000000038,3518985.301642772,0.1733502682822162
2018-09-24 00:00:00.000000039,3775436.359283952,0.18598341557686485
2018-10-02 00:00:00.000000039,3418592.630704365,0.16840478117472055
2018-10-10 00:00:00.000000040,3114811.5151862344,0.15344008727572775
2018-10-18 00:00:00.000000040,2877821.161679883,0.14176560220713577
2018-10-26 00:00:00.000000041,2987656.77854818,0.14717626238868683
2018-11-03 00:00:00.000000041,2747619.372966453,0.13535167516010863
2018-11-11 00:00:00.000000042,2413673.4861249444,0.11890102131716888
2018-11-19 00:00:00.000000042,2794607.2299343045,0.13766636445636143
2018-11-27 00:00:00.000000043,2521804.1838234114,0.12422769473260542
2018-12-05 00:00:00.000000043,,
2018-12-13 00:00:00.000000044,2216182.6319060386,0.1091723382942107
2018-12-21 00:00:00.000000044,2595921.72102021,0.12787883102791311
2018-12-29 00:00:00.000000045,2470828.349217075,0.12171655193220979
2019-01-06 00:00:00.000000045,2224231.567949392,0.10956884043982931
2019-01-14 00:00:00.000000046,373309.95557221037,0.01838978438490626
2019-01-22 00:00:00.000000046,301260.858183438,0.01484054240426922
2019-01-30 00:00:00.000000047,176979.75111508832,0.00871827663559671
2019-02-07 00:00:00.000000047,149413.41833672614,0.00736031950504117
2019-02-15 00:00:00.000000048,113386.05307536408,0.005585559766589581
2019-02-23 00:00:00.000000048,1408887.1158575616,0.06940380211285666
2019-03-03 00:00:00.000000049,986516.9492368514,0.04859724129433774
2019-03-11 00:00:00.000000049,465471.9376761644,0.022929815943345276
2019-03-19 00:00:00.000000050,1133172.8104962222,0.05582171957863272
2019-03-27 00:00:00.000000050,1302505.4119942763,0.06416328664482933
2019-04-04 00:00:00.000000051,430614.0335321464,0.021212665538567967
2019-04-12 00:00:00.000000051,631143.7000358131,0.031091044817596513
2019-04-20 00:00:00.000000052,898870.4986321542,0.044279651300649654
2019-04-28 00:00:00.000000052,1725333.1332399857,0.08499238726110198
2019-05-06 00:00:00.000000053,2150685.098615069,0.10594583576732815
2019-05-14 00:00:00.000000053,1716500.6550534416,0.08455728670455248
2019-05-22 00:00:00.000000054,,
2019-05-30 00:00:00.000000054,1476531.157353031,0.07273604471570552
2019-06-07 00:00:00.000000055,1050926.9051596844,0.05177016819859517
2019-06-15 00:00:00.000000055,813899.156378772,0.04009384098508867
2019-06-23 00:00:00.000000056,1560744.870333713,0.07688453312553996
2019-07-01 00:00:00.000000056,1651492.4361031612,0.08135488850461703
2019-07-09 00:00:00.000000057,1990358.176073172,0.09804790137626222
2019-07-17 00:00:00.000000057,3979111.8137432924,0.19601676088710143
2019-07-25 00:00:00.000000058,5026897.467907779,0.24763218655167546
2019-08-02 00:00:00.000000058,5156838.239952088,0.25403325554283146
2019-08-10 00:00:00.000000059,5451022.61732058,0.2685252003422195
2019-08-18 00:00:00.000000059,5087066.622251948,0.2505962054815092
2019-08-26 00:00:00.000000060,4826346.560219954,0.2377527609014186
2019-09-03 00:00:00.000000060,5174971.219862818,0.2549265121673515
2019-09-11 00:00:00.000000061,,
2019-09-19 00:00:00.000000061,4285825.877381118,0.21112593602140076
2019-09-27 00:00:00.000000062,4592763.765043497,0.22624613704850113
2019-10-05 00:00:00.000000062,4006242.060309197,0.19735323578472794
2019-10-13 00:00:00.000000063,3838334.3271318623,0.18908185977774042
2019-10-21 00:00:00.000000063,3183985.6164055625,0.15684770281733112
2019-10-29 00:00:00.000000064,3253657.7029666062,0.16027984983184138
2019-11-06 00:00:00.000000064,2727033.6511004283,0.13433759294538822
2019-11-14 00:00:00.000000065,3554460.494284958,0.17509782720467476
2019-11-22 00:00:00.000000065,3229098.5770706474,0.15907003202985917
2019-11-30 00:00:00.000000066,2609598.201817679,0.1285525541077711
2019-12-08 00:00:00.000000066,3068669.4057319495,0.15116706071626085
2019-12-16 00:00:00.000000067,3512444.621261268,0.17302806497595272
2019-12-24 00:00:00.000000067,2400702.605935487,0.11826205713631559
2020-01-01 00:00:00.000000068,3124136.394172521,0.15389944420262863
2020-01-09 00:00:00.000000068,3057709.464243033,0.15062715826296724
2020-01-17 00:00:00.000000069,1829721.8135282327,0.09013472352637322
2020-01-25 00:00:00.000000069,2258720.018802626,0.11126779104506633
2020-02-02 00:00:00.000000070,1709252.4783571125,0.0842002311140449
2020-02-10 00:00:00.000000070,1273694.4267056335,0.0627440161446287
2020-02-18 00:00:00.000000071,1476209.9586776437,0.0727202220078004
2020-02-26 00:00:00.000000071,1151481.791642611,0.05672364627671209
2020-03-05 00:00:00.000000072,929672.5929324878,0.04579700668946708
2020-03-13 00:00:00.000000072,1794313.3284783168,0.0883904507156842
2020-03-21 00:00:00.000000073,2663272.411516975,0.1311966227393921
2020-03-29 00:00:00.000000073,2243138.973742617,0.11050024639518985
2020-04-06 00:00:00.000000074,2159100.15220391,0.10636037338888453
2020-04-14 00:00:00.000000074,1103557.5329969223,0.05436282848938625
2020-04-22 00:00:00.000000075,813576.8166314516,0.04007796206634186
2020-04-30 00:00:00.000000075,492309.58856326813,0.024251877157744794
2020-05-08 00:00:00.000000076,354791.2641694312,0.017477527058509152
2020-05-16 00:00:00.000000076,1727738.284167361,0.08511086844893902
2020-05-24 00:00:00.000000077,2695626.656865857,0.13279043931733545
2020-06-01 00:00:00.000000077,2701623.9290452874,0.1330858735553757
2020-06-09 00:00:00.000000078,2501540.2326123114,0.12322946340232334
2020-06-17 00:00:00.000000078,2826055.771348725,0.13921556475814423
2020-06-25 00:00:00.000000079,2962666.133570176,0.14594518733717687
2020-07-03 00:00:00.000000079,2945145.2271273145,0.1450820823304581
