,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,43196145.78540409,0.1134768474056063
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,47044862.61168035,0.12358747751071893
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,41113398.27643993,0.10800544209937193
2017-02-25 00:00:00.000000003,63414366.20914761,0.1665903803869052
2017-03-05 00:00:00.000000003,30624708.930676635,0.08045151619387682
2017-03-13 00:00:00.000000004,37139937.43009029,0.09756710780044182
2017-03-21 00:00:00.000000004,33958568.69805193,0.08920960998246591
2017-03-29 00:00:00.000000005,67995015.17433327,0.17862380592036242
2017-04-06 00:00:00.000000005,86837791.00197054,0.22812402772055235
2017-04-14 00:00:00.000000006,73729056.84190337,0.19368720936753073
2017-04-22 00:00:00.000000006,36809214.12599647,0.09669829329790318
2017-04-30 00:00:00.000000007,31459093.16593724,0.08264345463701228
2017-05-08 00:00:00.000000007,31574760.800491683,0.08294731504579295
2017-05-16 00:00:00.000000008,26924309.09362628,0.07073051678493
2017-05-24 00:00:00.000000008,20055290.15890314,0.05268551301644144
2017-06-01 00:00:00.000000009,21182867.866972774,0.055647674597992004
2017-06-09 00:00:00.000000009,21079448.921841014,0.0553759916586421
2017-06-17 00:00:00.000000010,25526696.651280634,0.0670589703779859
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,28082418.1528343,0.07377288463051693
2017-07-11 00:00:00.000000011,55644378.3762313,0.14617851938338966
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,50453901.40490423,0.13254306759647083
2017-08-04 00:00:00.000000013,60473755.45651934,0.1588653569713199
2017-08-12 00:00:00.000000013,80202876.73045835,0.21069402000463072
2017-08-20 00:00:00.000000014,125482458.04211584,0.3296440801470077
2017-08-28 00:00:00.000000014,66387513.62197349,0.17440087803999946
2017-09-05 00:00:00.000000015,57764911.50700848,0.1517491880188549
2017-09-13 00:00:00.000000015,53138030.34862397,0.13959430990120383
2017-09-21 00:00:00.000000016,39392731.84806175,0.10348522859006859
2017-09-29 00:00:00.000000016,38974385.24018231,0.1023862265073173
2017-10-07 00:00:00.000000017,39967738.62679433,0.10499577901768277
2017-10-15 00:00:00.000000017,43927895.29665401,0.11539916306866926
2017-10-23 00:00:00.000000018,41656518.67068468,0.1094322265723841
2017-10-31 00:00:00.000000018,36430407.20166047,0.09570316248779308
2017-11-08 00:00:00.000000019,34451817.96060528,0.09050538233164172
2017-11-16 00:00:00.000000019,31455535.99920665,0.08263410991287211
2017-11-24 00:00:00.000000020,35063762.69179274,0.0921129692498498
2017-12-02 00:00:00.000000020,31547818.48753605,0.08287653723262393
2017-12-10 00:00:00.000000021,26473413.23677132,0.06954600739378336
2017-12-18 00:00:00.000000021,30642276.760038573,0.08049766711441626
2017-12-26 00:00:00.000000022,29706696.257375617,0.07803988473578057
2018-01-03 00:00:00.000000022,32864986.25595626,0.08633675441512793
2018-01-11 00:00:00.000000023,36220237.15530863,0.09515104299089212
2018-01-19 00:00:00.000000023,39742268.19961952,0.10440346521760205
2018-01-27 00:00:00.000000024,43188456.87757967,0.11345664854285954
2018-02-04 00:00:00.000000024,46010939.12247948,0.12087134680322503
2018-02-12 00:00:00.000000025,42585991.990173504,0.11187396529989009
2018-02-20 00:00:00.000000025,43464936.24329481,0.11418296350044675
2018-02-28 00:00:00.000000026,33181964.04371483,0.08716945926410083
2018-03-08 00:00:00.000000026,42951314.67272331,0.11283367282813717
2018-03-16 00:00:00.000000027,49080690.48693076,0.12893562431741692
2018-03-24 00:00:00.000000027,44235287.52148272,0.11620668651679932
2018-04-01 00:00:00.000000028,25755443.56180028,0.06765989154323285
2018-04-09 00:00:00.000000028,31359566.10589322,0.08238199573136241
2018-04-17 00:00:00.000000029,35940835.88627621,0.09441705215456993
2018-04-25 00:00:00.000000029,23617478.39233067,0.062043428711116434
2018-05-03 00:00:00.000000030,22832029.13833493,0.05998004311224111
2018-05-11 00:00:00.000000030,22358131.924566776,0.058735108851673774
2018-05-19 00:00:00.000000031,20545929.5477927,0.05397442919291692
2018-05-27 00:00:00.000000031,19909533.21240025,0.0523026075864342
2018-06-04 00:00:00.000000032,23813556.16856099,0.06255852762765998
2018-06-12 00:00:00.000000032,24661492.82593566,0.06478606846328329
2018-06-20 00:00:00.000000033,,
2018-06-28 00:00:00.000000033,27677110.71103324,0.07270813660984615
2018-07-06 00:00:00.000000034,39703826.64000466,0.10430247873107337
2018-07-14 00:00:00.000000034,35778860.809542045,0.09399154148152547
2018-07-22 00:00:00.000000035,44936758.33154386,0.11804945963059162
2018-07-30 00:00:00.000000035,57240949.75876461,0.1503727335627739
2018-08-07 00:00:00.000000036,58604445.27884366,0.1539546543628125
2018-08-15 00:00:00.000000036,54607262.82477458,0.14345400308604903
2018-08-23 00:00:00.000000037,42513015.70519316,0.11168225563217847
2018-08-31 00:00:00.000000037,39880286.485754795,0.10476604108427229
2018-09-08 00:00:00.000000038,50576726.09380907,0.13286572968187393
2018-09-16 00:00:00.000000038,50042188.06198619,0.13146149118867592
2018-09-24 00:00:00.000000039,36270856.10317649,0.09528401963773396
2018-10-02 00:00:00.000000039,31417456.21991365,0.08253407382804319
2018-10-10 00:00:00.000000040,29248830.31714459,0.07683706484323874
2018-10-18 00:00:00.000000040,27411082.429634023,0.07200927678925273
2018-10-26 00:00:00.000000041,30605742.14369768,0.08040169019313874
2018-11-03 00:00:00.000000041,31853420.72095148,0.08367935834959064
2018-11-11 00:00:00.000000042,30341270.223701984,0.07970691895457699
2018-11-19 00:00:00.000000042,33149846.88467518,0.087085087061693
2018-11-27 00:00:00.000000043,34122193.65080896,0.08963945490168629
2018-12-05 00:00:00.000000043,,
2018-12-13 00:00:00.000000044,33352534.866807226,0.08761755107673762
2018-12-21 00:00:00.000000044,35347138.386868834,0.0928574009560571
2018-12-29 00:00:00.000000045,36941823.45963386,0.097046659774683
2019-01-06 00:00:00.000000045,42308101.18588177,0.11114394247445807
2019-01-14 00:00:00.000000046,42802090.70135055,0.11244165947785241
2019-01-22 00:00:00.000000046,43181466.47178261,0.11343828465419512
2019-01-30 00:00:00.000000047,47174476.63478899,0.12392797526704642
2019-02-07 00:00:00.000000047,29791829.70528196,0.07826353143160326
2019-02-15 00:00:00.000000048,28315132.072180323,0.07438422718052083
2019-02-23 00:00:00.000000048,27380298.92045372,0.0719284081026987
2019-03-03 00:00:00.000000049,23045872.684989564,0.060541812943118035
2019-03-11 00:00:00.000000049,17641247.590324666,0.04634379119833931
2019-03-19 00:00:00.000000050,24610789.31600069,0.06465286967077057
2019-03-27 00:00:00.000000050,46509066.88763956,0.12217993504339775
2019-04-04 00:00:00.000000051,32808798.70010589,0.0861891489613219
2019-04-12 00:00:00.000000051,34077055.311798275,0.08952087588694028
2019-04-20 00:00:00.000000052,53286257.27693782,0.1399837040061602
2019-04-28 00:00:00.000000052,43315969.56036162,0.11379162605030226
2019-05-06 00:00:00.000000053,31536624.989830665,0.08284713176581772
2019-05-14 00:00:00.000000053,31171491.43924425,0.08188792108974481
2019-05-22 00:00:00.000000054,20061890.22531085,0.052702851478357356
2019-05-30 00:00:00.000000054,25892790.009213407,0.0680207024806769
2019-06-07 00:00:00.000000055,22558303.45096848,0.05926096210416717
2019-06-15 00:00:00.000000055,21459279.35243856,0.056373811233264605
2019-06-23 00:00:00.000000056,25627355.76739727,0.06732340320994033
2019-07-01 00:00:00.000000056,25031771.950578965,0.06575879663059185
2019-07-09 00:00:00.000000057,22947894.212091547,0.060284422196422306
2019-07-17 00:00:00.000000057,76667481.54064229,0.20140648999057953
2019-07-25 00:00:00.000000058,68350656.62570363,0.1795580807260072
2019-08-02 00:00:00.000000058,68044555.22003792,0.17875394827692406
2019-08-10 00:00:00.000000059,68306177.84969689,0.17944123439201298
2019-08-18 00:00:00.000000059,74331596.24612467,0.19527008836716103
2019-08-26 00:00:00.000000060,51528506.34741064,0.13536606902090148
2019-09-03 00:00:00.000000060,46430505.92881301,0.12197355436348507
2019-09-11 00:00:00.000000061,,
2019-09-19 00:00:00.000000061,52068822.10089319,0.13678548566546475
2019-09-27 00:00:00.000000062,83589466.5363049,0.21959063630305253
2019-10-05 00:00:00.000000062,48845222.47312162,0.12831704672476166
2019-10-13 00:00:00.000000063,37945939.18065933,0.0996844850801731
2019-10-21 00:00:00.000000063,32059546.92180056,0.08422085461076755
2019-10-29 00:00:00.000000064,32570705.94895426,0.08556367614888538
2019-11-06 00:00:00.000000064,32177022.332663994,0.08452946407186825
2019-11-14 00:00:00.000000065,32561026.14708545,0.08553824718110108
2019-11-22 00:00:00.000000065,32997913.40497458,0.08668595579712511
2019-11-30 00:00:00.000000066,28346645.03543593,0.07446701215259728
2019-12-08 00:00:00.000000066,34993722.85333646,0.09192897366607014
2019-12-16 00:00:00.000000067,37584900.92826463,0.09873603280671996
2019-12-24 00:00:00.000000067,28272748.652999826,0.07427288537667642
2020-01-01 00:00:00.000000068,22160365.259164788,0.05821557320089541
2020-01-09 00:00:00.000000068,31921517.481957376,0.08385824944315884
2020-01-17 00:00:00.000000069,27720163.8782106,0.0728212378505537
2020-01-25 00:00:00.000000069,40534434.28204032,0.1064844960137602
2020-02-02 00:00:00.000000070,42760500.644769534,0.11233240184807033
2020-02-10 00:00:00.000000070,45479306.31328188,0.11947474036836309
2020-02-18 00:00:00.000000071,49799792.95968488,0.13082471604275522
2020-02-26 00:00:00.000000071,24906345.33902489,0.065429299259909
2020-03-05 00:00:00.000000072,28718828.804833274,0.07544474384691471
2020-03-13 00:00:00.000000072,46834290.70727542,0.12303430232738717
2020-03-21 00:00:00.000000073,51272478.28885688,0.13469347991824418
2020-03-29 00:00:00.000000073,71551949.46504879,0.18796791943790866
2020-04-06 00:00:00.000000074,76674089.01765917,0.20142384792026394
2020-04-14 00:00:00.000000074,55077913.96564156,0.14469040987008863
2020-04-22 00:00:00.000000075,48220332.28490566,0.12667545191938892
2020-04-30 00:00:00.000000075,26948254.402981903,0.07079342142992605
2020-05-08 00:00:00.000000076,19968674.210989565,0.052457971773453925
2020-05-16 00:00:00.000000076,22527350.44922737,0.05917964815840981
2020-05-24 00:00:00.000000077,22408877.1963998,0.058868417353246105
2020-06-01 00:00:00.000000077,19491110.079513516,0.05120340447147464
2020-06-09 00:00:00.000000078,21705068.19888222,0.05701950179002051
2020-06-17 00:00:00.000000078,28621075.32426817,0.0751879441580591
2020-06-25 00:00:00.000000079,68963490.96695265,0.18116800466163593
2020-07-03 00:00:00.000000079,76855952.45473228,0.2019016055794757
2020-07-11 00:00:00.000000080,99031358.46677808,0.2601566910375068
2020-07-19 00:00:00.000000080,127835809.18336716,0.3358263647812498
2020-07-27 00:00:00.000000081,130311218.00980946,0.34232929657197453
2020-08-04 00:00:00.000000081,140264287.3074097,0.3684761415130073
2020-08-12 00:00:00.000000082,133347270.2318542,0.3503050459924896
2020-08-20 00:00:00.000000082,127473720.69712538,0.3348751535295628
2020-08-28 00:00:00.000000083,93064060.24232604,0.2444805195243368
2020-09-05 00:00:00.000000083,73954924.60617791,0.19428056697743784
2020-09-13 00:00:00.000000084,67077741.40731019,0.17621411557885014
2020-09-21 00:00:00.000000084,78128582.12719977,0.20524482059370128
2020-09-29 00:00:00.000000085,79542316.89097008,0.20895872055267797
2020-10-07 00:00:00.000000085,65590134.22913161,0.17230615180827932
2020-10-15 00:00:00.000000086,51096529.04686708,0.13423125892789012
2020-10-23 00:00:00.000000086,44759381.08383572,0.11758348725029179
2020-10-31 00:00:00.000000087,45761077.39157612,0.12021495672502036
2020-11-08 00:00:00.000000087,45116631.88310412,0.11852198983419152
2020-11-16 00:00:00.000000088,39676585.65381698,0.10423091629936583
