,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,29603935.021917984,0.10440214057398918
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,33189029.63346406,0.11704544462558128
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,18998370.465740137,0.06700023299512095
2017-02-25 00:00:00.000000003,22246741.638661854,0.07845603789338124
2017-03-05 00:00:00.000000003,23033519.85216115,0.08123071394862492
2017-03-13 00:00:00.000000004,29071453.84767645,0.10252427621693636
2017-03-21 00:00:00.000000004,26697864.00168556,0.0941535018390483
2017-03-29 00:00:00.000000005,50845132.18974844,0.17931199465365066
2017-04-06 00:00:00.000000005,54805250.50646299,0.193277868747252
2017-04-14 00:00:00.000000006,36508087.14558131,0.12875053412455054
2017-04-22 00:00:00.000000006,32626283.51673287,0.11506084699884896
2017-04-30 00:00:00.000000007,18034819.00242384,0.06360214300306613
2017-05-08 00:00:00.000000007,15388763.184353994,0.05427048181409855
2017-05-16 00:00:00.000000008,12819823.395332638,0.04521078036626902
2017-05-24 00:00:00.000000008,11642484.756414613,0.04105874199729866
2017-06-01 00:00:00.000000009,23290881.1983545,0.08213833232515819
2017-06-09 00:00:00.000000009,24353164.22588169,0.0858846120642248
2017-06-17 00:00:00.000000010,27874666.91264133,0.09830365089343993
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,22962765.33350953,0.08098118890416572
2017-07-11 00:00:00.000000011,44410398.81999644,0.15661906760433764
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,28203976.11316098,0.0994650027684358
2017-08-04 00:00:00.000000013,25130073.63929255,0.08862448450794297
2017-08-12 00:00:00.000000013,37795823.42215052,0.13329190417110232
2017-08-20 00:00:00.000000014,83981477.64072786,0.2961716416336921
2017-08-28 00:00:00.000000014,22776510.48864884,0.08032433688495491
2017-09-05 00:00:00.000000015,18701481.23866652,0.06595321438773331
2017-09-13 00:00:00.000000015,17330943.443916198,0.061119833980583044
2017-09-21 00:00:00.000000016,15448269.56523363,0.05448033883266873
2017-09-29 00:00:00.000000016,17293740.28419184,0.06098863218229294
2017-10-07 00:00:00.000000017,22002954.74346865,0.07759629158995188
2017-10-15 00:00:00.000000017,27827182.38983165,0.09813619052637067
2017-10-23 00:00:00.000000018,21108034.47238745,0.07444023845462519
2017-10-31 00:00:00.000000018,18022866.985037014,0.06355999265384943
2017-11-08 00:00:00.000000019,18601184.385667894,0.06559950444551994
2017-11-16 00:00:00.000000019,19280647.407376934,0.06799571947081216
2017-11-24 00:00:00.000000020,24397657.16951704,0.08604152223689372
2017-12-02 00:00:00.000000020,26858840.05936572,0.09472120491603883
2017-12-10 00:00:00.000000021,23123830.30731501,0.08154920555547697
2017-12-18 00:00:00.000000021,27720097.99289613,0.09775854342459632
2017-12-26 00:00:00.000000022,25265127.24754887,0.08910076868380547
