,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,6580365.60108472,0.046555754174471393
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,12109676.140777558,0.08567534689099457
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,14336682.86101179,0.10143130692382768
2017-02-25 00:00:00.000000003,12760704.939275013,0.09028134274908987
2017-03-05 00:00:00.000000003,7104328.9405829925,0.050262768329748055
2017-03-13 00:00:00.000000004,2800473.825006193,0.0198132108263921
2017-03-21 00:00:00.000000004,4138608.0318923057,0.02928044273490062
2017-03-29 00:00:00.000000005,16481079.718960622,0.11660280635460671
2017-04-06 00:00:00.000000005,19894663.22745357,0.14075373721614276
2017-04-14 00:00:00.000000006,23188901.17842557,0.16406030428779386
2017-04-22 00:00:00.000000006,12411333.135414995,0.08780955488774103
2017-04-30 00:00:00.000000007,8470647.96020265,0.05992940636439341
2017-05-08 00:00:00.000000007,9902353.842599733,0.07005865314971425
2017-05-16 00:00:00.000000008,8903482.744014066,0.06299169059218207
2017-05-24 00:00:00.000000008,2841897.3693555943,0.020106280309863982
2017-06-01 00:00:00.000000009,3863814.319205938,0.027336291100771355
2017-06-09 00:00:00.000000009,3623376.217842102,0.025635203681034953
2017-06-17 00:00:00.000000010,4340095.51699856,0.0307059565124775
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,4411048.508707383,0.031207945344130676
2017-07-11 00:00:00.000000011,14635830.409788845,0.10354776071789416
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,16045815.3284659,0.11352333278228223
2017-08-04 00:00:00.000000013,9924797.652686078,0.07021744197216906
2017-08-12 00:00:00.000000013,15953444.134851405,0.11286981125423674
2017-08-20 00:00:00.000000014,77413668.22415583,0.5476977915928847
2017-08-28 00:00:00.000000014,30878466.62663058,0.21846359134165133
2017-09-05 00:00:00.000000015,25355774.44067114,0.1793908231434195
2017-09-13 00:00:00.000000015,16254484.18004485,0.11499965436483647
