,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,75525812.98358296,0.3960820363656051
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,102577793.945737,0.537951461982283
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,41544253.04425571,0.21787163480959282
2017-02-25 00:00:00.000000003,52605331.2042329,0.27587954215850413
2017-03-05 00:00:00.000000003,32389209.96489545,0.16985959809472728
2017-03-13 00:00:00.000000004,9913549.907085313,0.05198989431155049
2017-03-21 00:00:00.000000004,36338664.45018931,0.1905718276394592
2017-03-29 00:00:00.000000005,69191104.61856101,0.3628607562511425
2017-04-06 00:00:00.000000005,25393329.67510677,0.13317091641245504
2017-04-14 00:00:00.000000006,49874506.16814735,0.26155820355224435
2017-04-22 00:00:00.000000006,41030958.87908443,0.21517975252240953
2017-04-30 00:00:00.000000007,12819501.123439293,0.06722965181807058
2017-05-08 00:00:00.000000007,43065386.55050595,0.22584895584644826
2017-05-16 00:00:00.000000008,29493595.68552569,0.15467405086266506
2017-05-24 00:00:00.000000008,4697285.112053247,0.0246340976558082
2017-06-01 00:00:00.000000009,10859278.43667561,0.05694960367516367
2017-06-09 00:00:00.000000009,8386080.065091691,0.0439793434600768
2017-06-17 00:00:00.000000010,20003733.39263344,0.10490611281193564
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,40841979.09919593,0.2141886808199913
2017-07-11 00:00:00.000000011,73812798.1483361,0.38709842695491853
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,94311692.78831859,0.4946013271092423
2017-08-04 00:00:00.000000013,53958660.71122205,0.28297684420434166
2017-08-12 00:00:00.000000013,99451879.42998374,0.521558145075208
2017-08-20 00:00:00.000000014,110554497.77273016,0.579783902713077
2017-08-28 00:00:00.000000014,70340709.81813,0.3688896614753835
2017-09-05 00:00:00.000000015,77126739.03723566,0.4044778155879929
2017-09-13 00:00:00.000000015,63125528.02154324,0.33105089104915414
2017-09-21 00:00:00.000000016,25768000.12461089,0.13513581064852062
2017-09-29 00:00:00.000000016,43741747.86450421,0.2293960155335195
2017-10-07 00:00:00.000000017,33350406.65307321,0.17490042753517407
2017-10-15 00:00:00.000000017,25853263.73606885,0.13558296088126945
2017-10-23 00:00:00.000000018,25729301.05193392,0.13493286006903216
2017-10-31 00:00:00.000000018,13738462.838102635,0.07204898725991488
2017-11-08 00:00:00.000000019,8783758.756448634,0.046064900432844585
2017-11-16 00:00:00.000000019,14853709.000447135,0.07789770246840066
2017-11-24 00:00:00.000000020,23073176.34807656,0.1210032744083853
2017-12-02 00:00:00.000000020,7075806.896150357,0.03710784291678165
2017-12-10 00:00:00.000000021,13373180.299593424,0.07013332629598754
2017-12-18 00:00:00.000000021,17640489.44067209,0.09251248949370641
2017-12-26 00:00:00.000000022,8402397.12403388,0.0440649154476928
2018-01-03 00:00:00.000000022,38776870.211338185,0.20335857517389644
2018-01-11 00:00:00.000000023,40857193.94368743,0.21426847243495198
2018-01-19 00:00:00.000000023,49510235.9124777,0.2596478513302244
2018-01-27 00:00:00.000000024,80465168.19083524,0.42198562868108
2018-02-04 00:00:00.000000024,98081021.20212984,0.514368916690802
2018-02-12 00:00:00.000000025,66267014.7196296,0.34752587356756776
2018-02-20 00:00:00.000000025,90705782.74186814,0.4756907568322995
2018-02-28 00:00:00.000000026,35224248.59536412,0.18472746683485294
2018-03-08 00:00:00.000000026,12214744.79570764,0.06405811207118953
2018-03-16 00:00:00.000000027,38672641.203763984,0.2028119642082213
2018-03-24 00:00:00.000000027,51859860.15248269,0.27197004842961153
2018-04-01 00:00:00.000000028,16609705.523415415,0.08710672189093085
2018-04-09 00:00:00.000000028,66784801.65865153,0.3502413174285415
2018-04-17 00:00:00.000000029,37953198.42383797,0.19903897123979647
2018-04-25 00:00:00.000000029,5221585.0675719315,0.027383697902989612
2018-05-03 00:00:00.000000030,23297798.996134616,0.1221812689554418
2018-05-11 00:00:00.000000030,21536585.074938502,0.11294488779216398
2018-05-19 00:00:00.000000031,8807443.796614762,0.046189112521001
2018-05-27 00:00:00.000000031,21333526.50683863,0.11187998232504953
2018-06-04 00:00:00.000000032,26448150.054293737,0.1387027390739222
2018-06-12 00:00:00.000000032,9511401.489244075,0.04988089663291064
2018-06-20 00:00:00.000000033,,
2018-06-28 00:00:00.000000033,9452807.63360614,0.049573611312266286
2018-07-06 00:00:00.000000034,28453040.191707365,0.14921703792018182
2018-07-14 00:00:00.000000034,35964261.62148933,0.188608336894318
2018-07-22 00:00:00.000000035,54069757.97261779,0.283559474536806
2018-07-30 00:00:00.000000035,62022710.82034773,0.32526735737327717
2018-08-07 00:00:00.000000036,83013761.75981916,0.4353512859417422
2018-08-15 00:00:00.000000036,40841890.90489936,0.2141882183002884
2018-08-23 00:00:00.000000037,18477829.76350023,0.09690377569235872
2018-08-31 00:00:00.000000037,27299573.240199845,0.14316788040720232
2018-09-08 00:00:00.000000038,33290504.187849414,0.17458627943835955
2018-09-16 00:00:00.000000038,26497950.29605768,0.13896390781067777
2018-09-24 00:00:00.000000039,36358959.20807607,0.1906782599797914
2018-10-02 00:00:00.000000039,39573107.58047949,0.20753430405573492
2018-10-10 00:00:00.000000040,9329101.689722784,0.0489248569297812
2018-10-18 00:00:00.000000040,34431738.85597669,0.180571286861201
2018-10-26 00:00:00.000000041,25513151.356120303,0.133799300451524
2018-11-03 00:00:00.000000041,8325734.207798737,0.04366287007040251
2018-11-11 00:00:00.000000042,26065036.90971414,0.13669356858678686
2018-11-19 00:00:00.000000042,2305979.1791737587,0.012093308142242245
2018-11-27 00:00:00.000000043,4143130.1612691237,0.021727928060303575
2018-12-05 00:00:00.000000043,,
2018-12-13 00:00:00.000000044,7664213.776454014,0.040193640820246325
2018-12-21 00:00:00.000000044,24561237.141393144,0.12880715133428833
2018-12-29 00:00:00.000000045,76253051.8535527,0.39989591457707757
2019-01-06 00:00:00.000000045,78476657.2400126,0.4115572276401228
2019-01-14 00:00:00.000000046,54342415.98957962,0.2849893822507835
2019-01-22 00:00:00.000000046,96485366.70344096,0.5060007832247775
2019-01-30 00:00:00.000000047,108105380.14717668,0.5669399297969698
2019-02-07 00:00:00.000000047,65558429.69767223,0.34380982222898704
2019-02-15 00:00:00.000000048,91659908.29525341,0.4806945029318674
2019-02-23 00:00:00.000000048,65496814.27455592,0.3434866908213881
2019-03-03 00:00:00.000000049,17913345.909704674,0.09394343795517411
2019-03-11 00:00:00.000000049,32466129.311266266,0.1702629882754207
2019-03-19 00:00:00.000000050,68307099.68804444,0.35822474560518824
2019-03-27 00:00:00.000000050,15841592.896146584,0.08307848834337665
2019-04-04 00:00:00.000000051,52113679.21316756,0.2733011585024859
2019-04-12 00:00:00.000000051,53140133.93246292,0.2786842223768723
2019-04-20 00:00:00.000000052,16723685.328203127,0.08770446922262372
2019-04-28 00:00:00.000000052,47665226.81920061,0.2499720209100064
2019-05-06 00:00:00.000000053,39736768.12763656,0.20839259343031966
2019-05-14 00:00:00.000000053,3013725.58238675,0.01580496149016408
2019-05-22 00:00:00.000000054,,
2019-05-30 00:00:00.000000054,31100427.42949239,0.1631008014543544
2019-06-07 00:00:00.000000055,7908699.720417876,0.041475804980055146
2019-06-15 00:00:00.000000055,18580977.62702558,0.09744471678544914
2019-06-23 00:00:00.000000056,18705522.86214041,0.09809787268533517
2019-07-01 00:00:00.000000056,8012792.512036761,0.04202170158476102
2019-07-09 00:00:00.000000057,30470671.778508194,0.15979815708945644
2019-07-17 00:00:00.000000057,112832163.70775688,0.5917287269535264
2019-07-25 00:00:00.000000058,108587067.68736422,0.5694660566173576
2019-08-02 00:00:00.000000058,122706812.68194596,0.6435146120646542
2019-08-10 00:00:00.000000059,105239994.83911093,0.5519129131657491
2019-08-18 00:00:00.000000059,95419693.25747828,0.5004120435356145
2019-08-26 00:00:00.000000060,54220950.03500205,0.2843523751039868
2019-09-03 00:00:00.000000060,37071311.69300037,0.19441406912494086
2019-09-11 00:00:00.000000061,,
2019-09-19 00:00:00.000000061,28063999.477786284,0.1471767813229773
2019-09-27 00:00:00.000000062,38201420.50868288,0.20034072894292318
2019-10-05 00:00:00.000000062,14939901.55424254,0.07834972437823773
2019-10-13 00:00:00.000000063,21436763.7303643,0.11242139205117412
2019-10-21 00:00:00.000000063,20853346.85147881,0.10936176334530028
2019-10-29 00:00:00.000000064,8805462.313144343,0.046178720974363034
2019-11-06 00:00:00.000000064,17619016.637240693,0.09239987909768944
2019-11-14 00:00:00.000000065,18118288.231545568,0.09501822244229882
2019-11-22 00:00:00.000000065,10990672.833478713,0.05763867881645498
2019-11-30 00:00:00.000000066,22763877.99832104,0.11938121281942478
2019-12-08 00:00:00.000000066,44078536.65631363,0.23116224598130006
2019-12-16 00:00:00.000000067,24346993.42540649,0.127683587297646
2019-12-24 00:00:00.000000067,45140626.67743716,0.23673219301995874
2020-01-01 00:00:00.000000068,28828334.984965574,0.151185206418857
2020-01-09 00:00:00.000000068,26879555.008701377,0.14096516758796057
2020-01-17 00:00:00.000000069,50584966.0874585,0.26528408746504745
2020-01-25 00:00:00.000000069,74355888.05733436,0.38994656785652526
2020-02-02 00:00:00.000000070,80410513.18693548,0.4216989999857108
2020-02-10 00:00:00.000000070,110432583.83986072,0.5791445462217704
2020-02-18 00:00:00.000000071,106183657.53190354,0.5568617886063192
2020-02-26 00:00:00.000000071,40454159.29229061,0.2121548270580283
2020-03-05 00:00:00.000000072,47832451.245233096,0.2508490004296762
2020-03-13 00:00:00.000000072,31596763.629777044,0.1657037506337753
2020-03-21 00:00:00.000000073,15654045.964769607,0.08209493096664162
2020-03-29 00:00:00.000000073,63395159.88218546,0.3324649286107946
2020-04-06 00:00:00.000000074,72252571.17854036,0.37891608702401886
2020-04-14 00:00:00.000000074,17241398.220257327,0.0904195247571087
2020-04-22 00:00:00.000000075,48142356.2343057,0.252474243433395
2020-04-30 00:00:00.000000075,26634028.200809285,0.13967754479767847
2020-05-08 00:00:00.000000076,11502342.646677986,0.06032204247124714
2020-05-16 00:00:00.000000076,25075129.60049046,0.13150217127027283
2020-05-24 00:00:00.000000077,25416562.590189453,0.1332927574089718
2020-06-01 00:00:00.000000077,18084213.03156656,0.09483952096178401
2020-06-09 00:00:00.000000078,27240952.400874075,0.14286045357528382
2020-06-17 00:00:00.000000078,34483856.47239225,0.18084460866767907
2020-06-25 00:00:00.000000079,65473601.1589874,0.3433649536599918
2020-07-03 00:00:00.000000079,92977880.14872704,0.4876063778918875
2020-07-11 00:00:00.000000080,112101906.83043092,0.5878990213255431
2020-07-19 00:00:00.000000080,121811979.74401598,0.6388218158104865
2020-07-27 00:00:00.000000081,125924418.13423067,0.6603887861968681
2020-08-04 00:00:00.000000081,121201307.43810175,0.6356192507413603
2020-08-12 00:00:00.000000082,106933333.51774934,0.560793334383294
2020-08-20 00:00:00.000000082,112773232.01875128,0.5914196699243373
2020-08-28 00:00:00.000000083,82394670.12885629,0.43210456718160145
2020-09-05 00:00:00.000000083,62079881.44529888,0.3255671788072533
2020-09-13 00:00:00.000000084,76117473.59448911,0.39918489789529116
2020-09-21 00:00:00.000000084,74420372.39001118,0.3902847447630865
2020-09-29 00:00:00.000000085,51587487.65215531,0.2705416380581388
2020-10-07 00:00:00.000000085,57683677.285916895,0.30251204802560305
2020-10-15 00:00:00.000000086,37210465.84076273,0.19514383893524948
2020-10-23 00:00:00.000000086,15208407.05919767,0.07975785496269261
2020-10-31 00:00:00.000000087,27150981.295841504,0.14238861570836658
2020-11-08 00:00:00.000000087,23676497.894119896,0.12416728969137251
2020-11-16 00:00:00.000000088,15529921.580175387,0.08144398214437085
2020-11-24 00:00:00.000000088,39162432.42313168,0.2053805893695727
2020-12-02 00:00:00.000000089,29952008.33762057,0.15707811656635984
2020-12-10 00:00:00.000000089,16934876.63237745,0.08881202541454788
2020-12-18 00:00:00.000000090,59306019.61463727,0.31102014119080157
