,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,102655631.31028232,0.37418774539275695
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,126405249.72602063,0.4607569482264771
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,7435784.127731025,0.02710401039347783
2017-02-25 00:00:00.000000003,89959847.60640737,0.327910628204825
2017-03-05 00:00:00.000000003,59329770.67049586,0.21626161992769796
2017-03-13 00:00:00.000000004,9565379.146613987,0.034866549560051974
2017-03-21 00:00:00.000000004,79326494.35165563,0.28915123011263527
2017-03-29 00:00:00.000000005,104829384.98484512,0.3821112462873679
2017-04-06 00:00:00.000000005,31859868.209692884,0.11613169294007594
2017-04-14 00:00:00.000000006,66250845.89273809,0.24148947640326465
2017-04-22 00:00:00.000000006,36130530.47386453,0.13169858842907434
2017-04-30 00:00:00.000000007,5257025.874871975,0.019162267422466257
2017-05-08 00:00:00.000000007,46047938.06397993,0.16784830899403466
2017-05-16 00:00:00.000000008,55655776.75451151,0.20286962688784618
2017-05-24 00:00:00.000000008,16836657.278764047,0.06137092282886028
2017-06-01 00:00:00.000000009,51368003.86210351,0.18724036183060985
2017-06-09 00:00:00.000000009,7681950.9399154065,0.028001307534083596
2017-06-17 00:00:00.000000010,9991317.333260868,0.036419127316418186
2017-06-25 00:00:00.000000010,9979164.636704536,0.03637482979404349
2017-07-03 00:00:00.000000011,32327975.47521333,0.11783798026256714
2017-07-11 00:00:00.000000011,21566403.72842682,0.07861121581317161
2017-07-19 00:00:00.000000012,58334647.6946626,0.21263431942832164
2017-07-27 00:00:00.000000012,105703947.83147748,0.3852990957565948
2017-08-04 00:00:00.000000013,80089038.61293164,0.2919307631421153
2017-08-12 00:00:00.000000013,111835447.61485869,0.4076488884619248
2017-08-20 00:00:00.000000014,61417941.73456208,0.22387316556317902
2017-08-28 00:00:00.000000014,34338408.869114965,0.12516616605543956
2017-09-05 00:00:00.000000015,41859812.93573012,0.15258226777291775
2017-09-13 00:00:00.000000015,32632370.530428156,0.11894752386933984
2017-09-21 00:00:00.000000016,9736188.807168547,0.03548916403291052
2017-09-29 00:00:00.000000016,35928408.40118271,0.13096183778319578
2017-10-07 00:00:00.000000017,32255830.377267666,0.11757500577985384
2017-10-15 00:00:00.000000017,11407526.220732896,0.04158131865306884
2017-10-23 00:00:00.000000018,17775124.172362708,0.06479170751021905
2017-10-31 00:00:00.000000018,16909544.842163794,0.06163660365579209
2017-11-08 00:00:00.000000019,6914982.861556435,0.025205649347910492
2017-11-16 00:00:00.000000019,18702735.411476832,0.06817292248824558
2017-11-24 00:00:00.000000020,29956811.39759331,0.10919490312363125
2017-12-02 00:00:00.000000020,7238840.495636228,0.02638613556554687
2017-12-10 00:00:00.000000021,16566569.228032073,0.06038643091671713
2017-12-18 00:00:00.000000021,28034820.83378704,0.10218909831236819
2017-12-26 00:00:00.000000022,10633848.743452158,0.03876120418696806
2018-01-03 00:00:00.000000022,58922914.69407362,0.214778598308973
2018-01-11 00:00:00.000000023,78146716.78640029,0.28485084929988164
2018-01-19 00:00:00.000000023,47169153.15206042,0.17193522503121805
2018-01-27 00:00:00.000000024,110614653.75569564,0.40319900007373866
2018-02-04 00:00:00.000000024,137906638.4242901,0.5026804028968115
2018-02-12 00:00:00.000000025,95959502.14291298,0.3497798347500055
2018-02-20 00:00:00.000000025,114387873.02309015,0.41695267722245094
2018-02-28 00:00:00.000000026,46163887.44950874,0.16827095350556234
2018-03-08 00:00:00.000000026,8356990.209910285,0.030461878077237575
2018-03-16 00:00:00.000000027,58553512.94019589,0.21343210023903425
2018-03-24 00:00:00.000000027,62909476.0008172,0.229309923753084
2018-04-01 00:00:00.000000028,18561521.655915864,0.06765818738665053
2018-04-09 00:00:00.000000028,29078437.0400898,0.10599316040138736
2018-04-17 00:00:00.000000029,52903979.11145255,0.19283911085389338
2018-04-25 00:00:00.000000029,10983402.4447978,0.040035354564601736
2018-05-03 00:00:00.000000030,24108511.555576704,0.08787739618969048
2018-05-11 00:00:00.000000030,53505144.50041555,0.1950304053657775
2018-05-19 00:00:00.000000031,16781711.67940835,0.061170641853722944
2018-05-27 00:00:00.000000031,30823765.558873914,0.11235501834408058
2018-06-04 00:00:00.000000032,31288375.48913205,0.11404855760803877
2018-06-12 00:00:00.000000032,4183220.25603898,0.015248162581137923
2018-06-20 00:00:00.000000033,4847397.302115706,0.01766913947486414
2018-06-28 00:00:00.000000033,18871937.28432524,0.06878967645010091
2018-07-06 00:00:00.000000034,18871937.28432524,0.06878967645010091
2018-07-14 00:00:00.000000034,29606572.71272909,0.10791825592789636
2018-07-22 00:00:00.000000035,86227513.43200742,0.3143059803940315
2018-07-30 00:00:00.000000035,86438500.41268645,0.31507504431775224
2018-08-07 00:00:00.000000036,143924934.99817672,0.5246175611154472
2018-08-15 00:00:00.000000036,73589810.3298829,0.2682405715083393
2018-08-23 00:00:00.000000037,28967849.01065247,0.10559005844902093
2018-08-31 00:00:00.000000037,46867490.00288032,0.17083563943402272
2018-09-08 00:00:00.000000038,34273800.70871923,0.12493066429519632
2018-09-16 00:00:00.000000038,11752966.15750002,0.04284047403945785
2018-09-24 00:00:00.000000039,41543309.20173438,0.1514285870919789
2018-10-02 00:00:00.000000039,60210843.04648631,0.21947319713677682
2018-10-10 00:00:00.000000040,8781146.035522075,0.03200795898926429
2018-10-18 00:00:00.000000040,64639190.28742674,0.23561486660735131
2018-10-26 00:00:00.000000041,46794911.33393432,0.17057108455135464
2018-11-03 00:00:00.000000041,2683816.224942285,0.009782718487447117
2018-11-11 00:00:00.000000042,1887848.3045565442,0.006881353625797592
2018-11-19 00:00:00.000000042,9547056.923951242,0.03479976363607247
2018-11-27 00:00:00.000000043,9547056.923951242,0.03479976363607247
2018-12-05 00:00:00.000000043,28213318.10258445,0.10283973471406922
2018-12-13 00:00:00.000000044,31527849.11633196,0.11492145756977701
2018-12-21 00:00:00.000000044,31527849.11633196,0.11492145756977701
2018-12-29 00:00:00.000000045,145510471.7922222,0.5303969658166651
2019-01-06 00:00:00.000000045,134125389.04946062,0.48889745538311297
2019-01-14 00:00:00.000000046,62435961.71789984,0.22758392743242847
2019-01-22 00:00:00.000000046,135547638.29382625,0.4940816642895602
2019-01-30 00:00:00.000000047,156718205.88372746,0.5712500266486219
2019-02-07 00:00:00.000000047,106267978.60566026,0.38735503171480506
2019-02-15 00:00:00.000000048,153839090.7473732,0.5607554284678141
2019-02-23 00:00:00.000000048,110613410.58713163,0.40319446862781433
2019-03-03 00:00:00.000000049,56181404.76145464,0.20478558177821993
2019-03-11 00:00:00.000000049,37478960.96303152,0.13661372224219337
2019-03-19 00:00:00.000000050,62791368.87742013,0.22887941411951898
2019-03-27 00:00:00.000000050,9859385.037322367,0.035938223855676694
2019-04-04 00:00:00.000000051,42351414.16953243,0.1543741924336583
2019-04-12 00:00:00.000000051,31769552.55972649,0.11580248538464766
2019-04-20 00:00:00.000000052,10023982.36058616,0.03653819387683999
2019-04-28 00:00:00.000000052,68207469.6646034,0.248621521946516
2019-05-06 00:00:00.000000053,120439061.09394582,0.4390097275009409
2019-05-14 00:00:00.000000053,51031621.10881041,0.18601422058110254
2019-05-22 00:00:00.000000054,55364991.05224548,0.2018096904290805
2019-05-30 00:00:00.000000054,68060094.04503423,0.24808432637225894
2019-06-07 00:00:00.000000055,32901578.506061494,0.11992880783942729
2019-06-15 00:00:00.000000055,50925316.38665462,0.1856267316162951
2019-06-23 00:00:00.000000056,71180019.24204068,0.25945669591848725
2019-07-01 00:00:00.000000056,12931843.860165644,0.0471375747832147
2019-07-09 00:00:00.000000057,31286736.29629856,0.1140425826229084
2019-07-17 00:00:00.000000057,38457104.66357935,0.14017913196503493
2019-07-25 00:00:00.000000058,40087041.187104575,0.14612037712700512
2019-08-02 00:00:00.000000058,72752854.82473433,0.2651898037183191
2019-08-10 00:00:00.000000059,103604206.09447671,0.3776453741200236
2019-08-18 00:00:00.000000059,103604206.09447671,0.3776453741200236
2019-08-26 00:00:00.000000060,72836174.46010184,0.26549351025742635
2019-09-03 00:00:00.000000060,51774846.60581128,0.18872333521506332
2019-09-11 00:00:00.000000061,15579979.002059253,0.05679023295298864
2019-09-19 00:00:00.000000061,37755604.50054466,0.1376221094125633
2019-09-27 00:00:00.000000062,28577230.57904468,0.10416622394168268
2019-10-05 00:00:00.000000062,6710992.974612546,0.024462090374046272
2019-10-13 00:00:00.000000063,39896614.33646597,0.14542625647338672
2019-10-21 00:00:00.000000063,34980431.48772977,0.12750638834119513
2019-10-29 00:00:00.000000064,5230820.812033202,0.01906674793409179
2019-11-06 00:00:00.000000064,23966254.698352315,0.08735885890155516
2019-11-14 00:00:00.000000065,16979410.855371185,0.061891270697706585
2019-11-22 00:00:00.000000065,4785192.0493716085,0.01744239649955141
2019-11-30 00:00:00.000000066,34456615.679091275,0.12559703905432468
2019-12-08 00:00:00.000000066,74120694.46119219,0.27017568538006626
2019-12-16 00:00:00.000000067,31290785.45032014,0.11405734210365723
2019-12-24 00:00:00.000000067,82524409.33398134,0.300807878480783
2020-01-01 00:00:00.000000068,34953008.05317245,0.12740642779332303
2020-01-09 00:00:00.000000068,34569353.99948797,0.12600797898416738
2020-01-17 00:00:00.000000069,81464112.96255794,0.296943015895
2020-01-25 00:00:00.000000069,117790958.83628955,0.42935718919676497
2020-02-02 00:00:00.000000070,76585257.27244979,0.279159208153755
2020-02-10 00:00:00.000000070,147220281.7708049,0.5366293559229818
2020-02-18 00:00:00.000000071,119736821.00879438,0.43645000787491284
2020-02-26 00:00:00.000000071,61386881.01034933,0.22375994681214623
2020-03-05 00:00:00.000000072,74147861.90913534,0.27027471283685717
2020-03-13 00:00:00.000000072,65816164.33722796,0.2399050283886348
2020-03-21 00:00:00.000000073,10681079.156776994,0.03893336271008474
2020-03-29 00:00:00.000000073,96811984.93249188,0.352887200697174
2020-04-06 00:00:00.000000074,67947950.77987446,0.2476755554649496
2020-04-14 00:00:00.000000074,20824029.743159607,0.07590520500558379
2020-04-22 00:00:00.000000075,48696928.99487511,0.17750408658115513
2020-04-30 00:00:00.000000075,37288774.47528166,0.13592047772996407
2020-05-08 00:00:00.000000076,6003225.520319353,0.021882223058400877
2020-05-16 00:00:00.000000076,73454359.79965162,0.2677468438104763
2020-05-24 00:00:00.000000077,53725013.39866299,0.19583184456854788
2020-06-01 00:00:00.000000077,17798306.70044765,0.06487620962477318
2020-06-09 00:00:00.000000078,38819601.68096919,0.14150046173445321
2020-06-17 00:00:00.000000078,46964564.4985909,0.17118948350688504
2020-06-25 00:00:00.000000079,19454807.095118865,0.07091428215925234
2020-07-03 00:00:00.000000079,33670790.49017508,0.12273264523627278
2020-07-11 00:00:00.000000080,34504971.71570938,0.12577330056172867
2020-07-19 00:00:00.000000080,62781367.30246964,0.22884295760239148
2020-07-27 00:00:00.000000081,108898961.5335495,0.39694516873298835
2020-08-04 00:00:00.000000081,135320459.04452246,0.49325357828967903
2020-08-12 00:00:00.000000082,87308896.58379658,0.3182477059312371
2020-08-20 00:00:00.000000082,131197336.68457095,0.4782244772052441
2020-08-28 00:00:00.000000083,66230919.3640513,0.2414168426592835
2020-09-05 00:00:00.000000083,35894499.31076741,0.13083823651623294
2020-09-13 00:00:00.000000084,48617826.04600318,0.17721575019167016
2020-09-21 00:00:00.000000084,41891191.06781635,0.1526966435002901
2020-09-29 00:00:00.000000085,13200030.103311036,0.048115134459065394
2020-10-07 00:00:00.000000085,42257808.09026646,0.15403299100799347
2020-10-15 00:00:00.000000086,58757766.31072848,0.21417661963103382
2020-10-23 00:00:00.000000086,9328938.150871215,0.03400470377540144
2020-10-31 00:00:00.000000087,23649903.01486184,0.08620573245651184
2020-11-08 00:00:00.000000087,38967394.50909852,0.1420391780663004
2020-11-16 00:00:00.000000088,6987681.894111662,0.025470642965278175
2020-11-24 00:00:00.000000088,47037096.75445609,0.17145386921027045
2020-12-02 00:00:00.000000089,60280212.23627497,0.21972605321876112
2020-12-10 00:00:00.000000089,21872542.89101332,0.07972711682671099
2020-12-18 00:00:00.000000090,105511787.96277715,0.3845986581176054
