,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,40647108.27718638,0.17453586294672815
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,64196746.45485699,0.2756563754661853
2017-02-03 00:00:00.000000002,61074843.07756555,0.2622511389540054
2017-02-11 00:00:00.000000002,,
2017-02-19 00:00:00.000000003,56269739.00854637,0.24161835544783394
2017-02-27 00:00:00.000000003,44532543.40133397,0.19121965180797038
2017-03-07 00:00:00.000000004,28943727.695465744,0.12428235868032363
2017-03-15 00:00:00.000000004,28465300.561412804,0.12222802575878769
2017-03-23 00:00:00.000000005,17329919.197968516,0.07441347072928547
2017-03-31 00:00:00.000000005,42528618.57486881,0.18261493763046088
2017-04-08 00:00:00.000000006,22638709.870805517,0.09720904956772396
2017-04-16 00:00:00.000000006,24955305.226564866,0.10715634930571724
2017-04-24 00:00:00.000000007,33794024.08775067,0.14510919488726698
2017-05-02 00:00:00.000000007,49535397.90947562,0.21270156198029894
2017-05-10 00:00:00.000000008,31500786.73553009,0.13526219279594884
2017-05-18 00:00:00.000000008,27461466.21371736,0.11791763071331958
2017-05-26 00:00:00.000000009,32436828.75140208,0.13928149227183081
2017-06-03 00:00:00.000000009,13721760.20820268,0.05892028635234837
2017-06-11 00:00:00.000000010,,
2017-06-19 00:00:00.000000010,14372249.20759921,0.06171344098644442
2017-06-27 00:00:00.000000011,9366706.790731603,0.040219989120526996
2017-07-05 00:00:00.000000011,22740034.831223316,0.09764413191808367
2017-07-13 00:00:00.000000012,,
2017-07-21 00:00:00.000000012,45739957.84948908,0.19640420568093006
2017-07-29 00:00:00.000000013,49275323.69133116,0.21158482133089057
2017-08-06 00:00:00.000000013,67272758.46882844,0.288864557648098
2017-08-14 00:00:00.000000014,42446080.62611051,0.18226052540477078
2017-08-22 00:00:00.000000014,34837338.71472257,0.14958911551290438
2017-08-30 00:00:00.000000015,31446833.965631604,0.13503052334511403
2017-09-07 00:00:00.000000015,22414460.97588115,0.09624614037075062
2017-09-15 00:00:00.000000016,35198122.403041616,0.15113829564026932
2017-09-23 00:00:00.000000016,25636988.70816744,0.11008345088221029
2017-10-01 00:00:00.000000017,21392870.010395106,0.09185949964039973
2017-10-09 00:00:00.000000017,32575835.95659406,0.1398783795669502
2017-10-17 00:00:00.000000018,26976070.00001163,0.11583337304725201
2017-10-25 00:00:00.000000018,25773934.350134317,0.11067148596786723
2017-11-02 00:00:00.000000019,27926044.28530375,0.11991249672143774
2017-11-10 00:00:00.000000019,25097865.093886744,0.10776849148554754
2017-11-18 00:00:00.000000020,20813815.04284111,0.08937307778311965
2017-11-26 00:00:00.000000020,30301146.26385596,0.13011101983865925
2017-12-04 00:00:00.000000021,25955787.010068104,0.11145234867313661
2017-12-12 00:00:00.000000021,21442527.635053687,0.0920727260355609
2017-12-20 00:00:00.000000022,26684875.03515748,0.11458300207055237
2017-12-28 00:00:00.000000022,39938293.18127812,0.17149226010073057
2018-01-05 00:00:00.000000023,31584752.218455896,0.1356227347543154
2018-01-13 00:00:00.000000023,43608833.81661512,0.1872533069358665
2018-01-21 00:00:00.000000024,56637648.04735017,0.24319813133584128
2018-01-29 00:00:00.000000024,50110992.79807508,0.21517312649859996
2018-02-06 00:00:00.000000025,70257114.18574686,0.30167917404935146
2018-02-14 00:00:00.000000025,66849336.81341915,0.28704641443571427
2018-02-22 00:00:00.000000026,48248792.62545222,0.20717696815218448
2018-03-02 00:00:00.000000026,33965407.80017063,0.1458451046582216
2018-03-10 00:00:00.000000027,30265800.77471856,0.1299592487604856
2018-03-18 00:00:00.000000027,14953262.838135935,0.06420827320668517
2018-03-26 00:00:00.000000028,23116536.03950821,0.09926080198573942
2018-04-03 00:00:00.000000028,8105330.889661753,0.034803728512463085
2018-04-11 00:00:00.000000029,10143883.57575878,0.04355713231683684
2018-04-19 00:00:00.000000029,12599881.53092122,0.05410301714526057
2018-04-27 00:00:00.000000030,12143002.677620415,0.05214121104630805
2018-05-05 00:00:00.000000030,13565953.888792,0.058251264826254735
2018-05-13 00:00:00.000000031,20714690.34400384,0.08894744320333806
2018-05-21 00:00:00.000000031,19138994.41684942,0.08218151421001045
2018-05-29 00:00:00.000000032,13309298.85169196,0.057149205903036765
2018-06-06 00:00:00.000000032,15888179.35161827,0.06822273985339052
2018-06-14 00:00:00.000000033,5339974.145396812,0.022929478506178366
2018-06-22 00:00:00.000000033,11855460.704419002,0.05090652576232977
2018-06-30 00:00:00.000000034,15045418.998908488,0.06460398536747675
2018-07-08 00:00:00.000000034,13327662.339128468,0.05722805744407594
2018-07-16 00:00:00.000000035,17859803.031863734,0.076688755150006
2018-07-24 00:00:00.000000035,58557156.68534517,0.2514403682566456
2018-08-01 00:00:00.000000036,67106832.66595471,0.2881520837620787
2018-08-09 00:00:00.000000036,40172565.652081095,0.17249820983711586
2018-08-17 00:00:00.000000037,28082453.54542213,0.1205841072330997
2018-08-25 00:00:00.000000037,21360528.493542552,0.09172062741080905
2018-09-02 00:00:00.000000038,15669823.843572758,0.0672851364508064
2018-09-10 00:00:00.000000038,16704969.55773504,0.07172998033157822
2018-09-18 00:00:00.000000039,22002683.194543514,0.09447799514580747
2018-09-26 00:00:00.000000039,12064371.07545905,0.05180357240189259
2018-10-04 00:00:00.000000040,24866168.91546724,0.10677360416992011
2018-10-12 00:00:00.000000040,23042878.72652465,0.09894452259394962
2018-10-20 00:00:00.000000041,16343332.1157138,0.07017713424504736
2018-10-28 00:00:00.000000041,8970511.105254916,0.03851875233416364
2018-11-05 00:00:00.000000042,9099863.092693403,0.03907418079410459
2018-11-13 00:00:00.000000042,9407433.226409402,0.04039486560982842
2018-11-21 00:00:00.000000043,11583275.89134791,0.049737783058509434
2018-11-29 00:00:00.000000043,11319998.45255202,0.048607288001855285
2018-12-07 00:00:00.000000044,14488917.696477702,0.062214407383518404
2018-12-15 00:00:00.000000044,22784361.518541407,0.09783446763815197
2018-12-23 00:00:00.000000045,57617934.11351929,0.24740741169415673
2018-12-31 00:00:00.000000045,33979476.602469586,0.14590551511923472
2019-01-08 00:00:00.000000046,53817323.78100098,0.23108785460323708
2019-01-16 00:00:00.000000046,53262310.18374407,0.2287046647220821
2019-01-24 00:00:00.000000047,37821911.20301124,0.16240466271538262
2019-02-01 00:00:00.000000047,58841500.99114248,0.2526613229786369
2019-02-09 00:00:00.000000048,85032574.62893169,0.36512397610760555
2019-02-17 00:00:00.000000048,68268671.10637972,0.2931409374197957
2019-02-25 00:00:00.000000049,77592767.32931012,0.33317795971839975
2019-03-05 00:00:00.000000049,26077038.94499455,0.11197299606955241
2019-03-13 00:00:00.000000050,21986257.162122004,0.09440746290218688
2019-03-21 00:00:00.000000050,15503111.311003026,0.0665692844020538
2019-03-29 00:00:00.000000051,19823643.00662973,0.08512134775530684
2019-04-06 00:00:00.000000051,10393064.791441137,0.04462709916940246
2019-04-14 00:00:00.000000052,24879263.79385813,0.10682983266924043
2019-04-22 00:00:00.000000052,36500776.36352641,0.15673180137169168
2019-04-30 00:00:00.000000053,23069648.27558381,0.09905946918040477
2019-05-08 00:00:00.000000053,43125073.70370577,0.18517607457311
2019-05-16 00:00:00.000000054,18080406.649813905,0.07763601178055243
2019-05-24 00:00:00.000000054,,
2019-06-01 00:00:00.000000055,26638636.97919656,0.11438445906613777
2019-06-09 00:00:00.000000055,18587568.32267336,0.07981372881819256
2019-06-17 00:00:00.000000056,12178777.65678059,0.05229482632484256
2019-06-25 00:00:00.000000056,23326921.82785211,0.1001641839648442
2019-07-03 00:00:00.000000057,15720402.684345413,0.06750231848404972
2019-07-11 00:00:00.000000057,6761070.071844302,0.02903156582223483
2019-07-19 00:00:00.000000058,19974723.50308685,0.08577007692550376
2019-07-27 00:00:00.000000058,16640065.375835614,0.07145128627739317
2019-08-04 00:00:00.000000059,22487946.974833824,0.09656168415197713
2019-08-12 00:00:00.000000059,66682742.12433314,0.2863310683987051
2019-08-20 00:00:00.000000060,63380624.58087629,0.27215200475982265
2019-08-28 00:00:00.000000060,32521838.8938698,0.13964651992579447
2019-09-05 00:00:00.000000061,25778431.251033884,0.11069079534834614
2019-09-13 00:00:00.000000061,23598902.98620336,0.10133205218942659
2019-09-21 00:00:00.000000062,12074753.595173165,0.05184815422123155
2019-09-29 00:00:00.000000062,20411195.73978765,0.08764425842853628
2019-10-07 00:00:00.000000063,17428059.053337604,0.0748348764595407
2019-10-15 00:00:00.000000063,12816203.805074476,0.05503188998257205
2019-10-23 00:00:00.000000064,15428686.824278915,0.06624971081944668
2019-10-31 00:00:00.000000064,17479986.526883982,0.07505784942834959
2019-11-08 00:00:00.000000065,8236968.720539946,0.03536897222554799
2019-11-16 00:00:00.000000065,15436894.222341824,0.0662849528173199
2019-11-24 00:00:00.000000066,18569118.40458706,0.07973450614993952
2019-12-02 00:00:00.000000066,19149002.79160129,0.08222448947683877
2019-12-10 00:00:00.000000067,26232787.40054648,0.11264176913225102
