,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,67110726.0959204,0.16765363288244267
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,101992374.40575491,0.2547937280695065
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,51185553.47184858,0.127869932123646
2017-02-25 00:00:00.000000003,37208573.05029844,0.09295313594637886
2017-03-05 00:00:00.000000003,30711164.28385847,0.07672154008405799
2017-03-13 00:00:00.000000004,36264100.2117476,0.09059368743861691
2017-03-21 00:00:00.000000004,21582756.699283853,0.053917276399022246
2017-03-29 00:00:00.000000005,25097468.829796374,0.06269760543873791
2017-04-06 00:00:00.000000005,38859511.03063339,0.09707745058531082
2017-04-14 00:00:00.000000006,20961066.79450839,0.05236419275464364
2017-04-22 00:00:00.000000006,24858898.55375755,0.06210161764658516
2017-04-30 00:00:00.000000007,18226811.48373584,0.045533573228579594
2017-05-08 00:00:00.000000007,14910763.017660337,0.0372495387009662
2017-05-16 00:00:00.000000008,24364377.21718212,0.060866222003625604
2017-05-24 00:00:00.000000008,16031990.013442935,0.04005054816792005
2017-06-01 00:00:00.000000009,42963694.24415077,0.10733037535292342
2017-06-09 00:00:00.000000009,23653519.50749772,0.059090382515303824
2017-06-17 00:00:00.000000010,41343382.926783614,0.10328257115588829
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,40664949.86630888,0.1015877337748477
2017-07-11 00:00:00.000000011,58437259.09384191,0.14598588560600778
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,66646595.01425888,0.1664941570951744
2017-08-04 00:00:00.000000013,76169306.00697443,0.1902834555530164
2017-08-12 00:00:00.000000013,137473140.66186446,0.3434305184357361
2017-08-20 00:00:00.000000014,114959577.4244262,0.2871879341953224
2017-08-28 00:00:00.000000014,76015938.23871556,0.18990031764032383
2017-09-05 00:00:00.000000015,67555839.69688872,0.16876559987473932
2017-09-13 00:00:00.000000015,54812979.83853506,0.13693183986577545
2017-09-21 00:00:00.000000016,33484788.02136212,0.08365050841583904
2017-09-29 00:00:00.000000016,42306626.33059073,0.10568891162324512
2017-10-07 00:00:00.000000017,44403574.48944757,0.11092743305268127
2017-10-15 00:00:00.000000017,52655613.29247253,0.1315423833668326
2017-10-23 00:00:00.000000018,47032038.68517921,0.11749376897171143
2017-10-31 00:00:00.000000018,37792511.399933904,0.09441190999623549
2017-11-08 00:00:00.000000019,35969771.009021394,0.08985840467577043
2017-11-16 00:00:00.000000019,29866999.891000755,0.07461267857345066
2017-11-24 00:00:00.000000020,37317061.14769577,0.09322415705896779
2017-12-02 00:00:00.000000020,38571972.63604445,0.09635913237821647
2017-12-10 00:00:00.000000021,32955080.14474669,0.08232721100799861
2017-12-18 00:00:00.000000021,37963429.44195924,0.09483889137965465
2017-12-26 00:00:00.000000022,47828871.02683429,0.11948438723272915
2018-01-03 00:00:00.000000022,53982457.47776451,0.13485705839531018
2018-01-11 00:00:00.000000023,78702185.68486342,0.19661100562370493
2018-01-19 00:00:00.000000023,111757166.28476956,0.2791877844013944
2018-01-27 00:00:00.000000024,110377013.39906415,0.275739935470495
2018-02-04 00:00:00.000000024,120932270.25250924,0.30210870333270035
2018-02-12 00:00:00.000000025,75334301.24121219,0.18819747629756764
