,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,125604882.8482932,0.393095951253035
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,148365540.42409843,0.4643282324989175
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,53178785.5668591,0.16642955930410872
2017-02-25 00:00:00.000000003,116821948.75570402,0.3656086772424452
2017-03-05 00:00:00.000000003,82747252.42023523,0.25896771818174086
2017-03-13 00:00:00.000000004,17711285.769707233,0.05542965026261328
2017-03-21 00:00:00.000000004,46688812.55661554,0.14611838941790647
2017-03-29 00:00:00.000000005,49331721.04507548,0.15438969705170838
2017-04-06 00:00:00.000000005,16112425.531043522,0.050425820218861876
2017-04-14 00:00:00.000000006,50857705.06190939,0.15916545198329626
2017-04-22 00:00:00.000000006,43862507.31906156,0.13727311906938347
2017-04-30 00:00:00.000000007,8243506.795681792,0.02579906984526459
2017-05-08 00:00:00.000000007,31567236.66765301,0.0987935551939362
2017-05-16 00:00:00.000000008,33834494.294983745,0.10588921719003658
2017-05-24 00:00:00.000000008,7918102.705801991,0.024780677666933225
2017-06-01 00:00:00.000000009,39994662.27779957,0.12516822162180086
2017-06-09 00:00:00.000000009,10255783.215430703,0.03209673674696178
2017-06-17 00:00:00.000000010,18269082.616328433,0.05717534419629051
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,28664734.90835311,0.08970981844571069
2017-07-11 00:00:00.000000011,27503964.85319845,0.08607704558951389
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,123781151.78360376,0.3873883602625662
2017-08-04 00:00:00.000000013,59238398.91780301,0.18539386563041535
2017-08-12 00:00:00.000000013,121684742.20663948,0.3808273882829331
2017-08-20 00:00:00.000000014,50252593.32025229,0.1572716802579695
2017-08-28 00:00:00.000000014,22328853.17151588,0.06988089617859672
2017-09-05 00:00:00.000000015,44721619.84965981,0.13996181754822215
2017-09-13 00:00:00.000000015,34259757.51379359,0.10722013081170598
2017-09-21 00:00:00.000000016,8637156.272375397,0.02703104436721077
2017-09-29 00:00:00.000000016,37951451.17719905,0.11877374082624605
2017-10-07 00:00:00.000000017,48372356.3591024,0.15138724710486476
2017-10-15 00:00:00.000000017,12730602.51183705,0.039841988551186834
2017-10-23 00:00:00.000000018,21865417.78396364,0.06843051805329566
2017-10-31 00:00:00.000000018,20655306.343869947,0.06464332525570074
2017-11-08 00:00:00.000000019,10807005.924441766,0.033821856107271134
2017-11-16 00:00:00.000000019,21692693.08077174,0.06788995482066938
2017-11-24 00:00:00.000000020,32170640.24528926,0.10068198100957024
2017-12-02 00:00:00.000000020,14070082.968493745,0.044034057620112116
2017-12-10 00:00:00.000000021,22569454.06515668,0.07063388630934103
2017-12-18 00:00:00.000000021,31754900.29330929,0.09938087162439734
2017-12-26 00:00:00.000000022,20170067.504959792,0.06312471054390892
2018-01-03 00:00:00.000000022,68940809.86325347,0.2157587557012597
2018-01-11 00:00:00.000000023,70408587.89700046,0.2203523478397195
