,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,78650858.32754692,0.34076749345093216
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,48628157.23444621,0.2106893122883594
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,30328212.450155124,0.1314018582536816
2017-02-20 00:00:00.000000003,27730402.225023866,0.12014642763660559
2017-02-28 00:00:00.000000003,26741454.36072115,0.11586165195788858
2017-03-08 00:00:00.000000004,20822333.15726901,0.09021610734688724
2017-03-16 00:00:00.000000004,53683264.05903836,0.2325913756398999
2017-03-24 00:00:00.000000005,26923149.06652641,0.11664887349351012
2017-04-01 00:00:00.000000005,44633263.80554887,0.19338079399222596
2017-04-09 00:00:00.000000006,83511828.02857351,0.36182842649073843
2017-04-17 00:00:00.000000006,109412096.68986422,0.47404550611442675
2017-04-25 00:00:00.000000007,112111457.3464902,0.4857409203087348
2017-05-03 00:00:00.000000007,114225153.73219372,0.49489884985443444
2017-05-11 00:00:00.000000008,106203739.70005094,0.46014478344257354
2017-05-19 00:00:00.000000008,102311840.01844686,0.4432825021215037
2017-05-27 00:00:00.000000009,109936035.48879874,0.4763155552280812
2017-06-04 00:00:00.000000009,119393646.40560316,0.5172921756322966
2017-06-12 00:00:00.000000010,120270503.48218828,0.5210912999451964
2017-06-20 00:00:00.000000010,161027766.05811465,0.6976786952165773
2017-06-28 00:00:00.000000011,158965188.39025992,0.688742245737595
2017-07-06 00:00:00.000000011,157850882.8762699,0.6839143378798122
2017-07-14 00:00:00.000000012,154914506.46797732,0.6711920148211729
2017-07-22 00:00:00.000000012,148542679.1062164,0.643585047968672
2017-07-30 00:00:00.000000013,140535655.82285893,0.6088933317904478
2017-08-07 00:00:00.000000013,172301022.87303382,0.7465218934923064
2017-08-15 00:00:00.000000014,172451769.97786978,0.7471750295692962
2017-08-23 00:00:00.000000014,170724994.370148,0.7396934965242911
2017-08-31 00:00:00.000000015,157241542.22845164,0.6812742715203319
2017-09-08 00:00:00.000000015,143015546.43455297,0.6196378567168019
2017-09-16 00:00:00.000000016,142477169.56095716,0.6173052523225415
2017-09-24 00:00:00.000000016,133271833.9474134,0.5774216552441961
2017-10-02 00:00:00.000000017,129096919.73046207,0.5593331679303217
2017-10-10 00:00:00.000000017,125843873.21458536,0.545238820699195
2017-10-18 00:00:00.000000018,131284006.64177649,0.5688090737319361
2017-10-26 00:00:00.000000018,120972552.36136477,0.5241330396276891
2017-11-03 00:00:00.000000019,115745863.32325196,0.5014875687397846
2017-11-11 00:00:00.000000019,106285286.3221244,0.46049809729819147
2017-11-19 00:00:00.000000020,94092654.00080794,0.4076715567739843
2017-11-27 00:00:00.000000020,93622277.84958136,0.40563357644622944
2017-12-05 00:00:00.000000021,85768331.60956892,0.37160509117831936
2017-12-13 00:00:00.000000021,86420822.75580308,0.37443211401226173
2017-12-21 00:00:00.000000022,86420822.75580308,0.37443211401226173
2017-12-29 00:00:00.000000022,93464961.2300364,0.40495197689016027
2018-01-06 00:00:00.000000023,95477492.58368611,0.41367159266369125
2018-01-14 00:00:00.000000023,95477492.58368611,0.41367159266369125
2018-01-22 00:00:00.000000024,102781423.2477245,0.4453170469873859
2018-01-30 00:00:00.000000024,86378967.11212571,0.3742507677042111
2018-02-07 00:00:00.000000025,86378967.11212571,0.3742507677042111
2018-02-15 00:00:00.000000025,42134229.382328,0.18255332542345248
2018-02-23 00:00:00.000000026,13329352.373473372,0.05775156297362207
2018-03-03 00:00:00.000000026,10623888.23731067,0.04602970447257309
2018-03-11 00:00:00.000000027,21126454.597321752,0.09153376239904024
2018-03-19 00:00:00.000000027,41071313.34773632,0.17794807075034802
2018-03-27 00:00:00.000000028,41071313.34773632,0.17794807075034802
2018-04-04 00:00:00.000000028,19784414.224580593,0.08571915663816725
2018-04-12 00:00:00.000000029,22809327.15469866,0.09882507841731483
2018-04-20 00:00:00.000000029,7515456.831332668,0.032561925464136186
2018-04-28 00:00:00.000000030,11583094.191341115,0.05018561854151952
2018-05-06 00:00:00.000000030,53393489.25794823,0.23133587970848243
2018-05-14 00:00:00.000000031,59409316.38974893,0.25740041830767324
2018-05-22 00:00:00.000000031,86820539.3109268,0.37616395027542227
2018-05-30 00:00:00.000000032,98350977.94970822,0.426121430166664
2018-06-07 00:00:00.000000032,98350977.94970822,0.426121430166664
2018-06-15 00:00:00.000000033,126792971.98233184,0.5493509437579851
2018-06-23 00:00:00.000000033,148822406.637349,0.644797012487054
2018-07-01 00:00:00.000000034,147903617.25237334,0.6408162097039034
2018-07-09 00:00:00.000000034,161778409.739869,0.7009309796969442
2018-07-17 00:00:00.000000035,147933825.33111206,0.6409470910635306
2018-07-25 00:00:00.000000035,137081025.98918524,0.5939255924134768
2018-08-02 00:00:00.000000036,147240742.52407017,0.6379441983306121
2018-08-10 00:00:00.000000036,139341026.94182882,0.6037174100262203
2018-08-18 00:00:00.000000037,135649097.84077543,0.587721533407492
2018-08-26 00:00:00.000000037,144293424.80661133,0.6251744702902735
2018-09-03 00:00:00.000000038,133743794.10007451,0.5794664985129278
2018-09-11 00:00:00.000000038,130305652.36377244,0.5645701964696689
2018-09-19 00:00:00.000000039,130704111.71993013,0.5662965857161086
2018-09-27 00:00:00.000000039,118430335.86733888,0.5131184777919996
2018-10-05 00:00:00.000000040,117640687.89896932,0.5096972009666497
2018-10-13 00:00:00.000000040,107566265.84225674,0.4660481470944641
2018-10-21 00:00:00.000000041,95095709.09652248,0.41201745430171816
2018-10-29 00:00:00.000000041,94374209.81830928,0.4088914426371098
2018-11-06 00:00:00.000000042,87668050.66751193,0.37983592953662715
2018-11-14 00:00:00.000000042,74689565.29491001,0.3236045542756894
2018-11-22 00:00:00.000000043,73024775.89581865,0.316391586449077
2018-11-30 00:00:00.000000043,65934311.58912437,0.28567100945126367
2018-12-08 00:00:00.000000044,70370650.76518722,0.3048921624465594
2018-12-16 00:00:00.000000044,70370650.76518722,0.3048921624465594
2018-12-24 00:00:00.000000045,84463007.64500143,0.36594956516111243
2019-01-01 00:00:00.000000045,96060230.71177328,0.4161963993278418
2019-01-09 00:00:00.000000046,96060230.71177328,0.4161963993278418
2019-01-17 00:00:00.000000046,93195892.98950271,0.40378619546267647
2019-01-25 00:00:00.000000047,71104048.48671311,0.3080697260304964
2019-02-02 00:00:00.000000047,65264078.82911437,0.2827671182221795
2019-02-10 00:00:00.000000048,39106963.21247591,0.1694372078546758
2019-02-18 00:00:00.000000048,19164331.087466214,0.08303254671605213
2019-02-26 00:00:00.000000049,19164331.087466214,0.08303254671605213
2019-03-06 00:00:00.000000049,12030644.05146966,0.05212470029184421
2019-03-14 00:00:00.000000050,27028130.71843133,0.1171037233850268
2019-03-22 00:00:00.000000050,27028130.71843133,0.1171037233850268
2019-03-30 00:00:00.000000051,11374074.809500655,0.04928000845223343
2019-04-07 00:00:00.000000051,17931217.271622904,0.07768988278205327
2019-04-15 00:00:00.000000052,17931217.271622904,0.07768988278205327
2019-04-23 00:00:00.000000052,8999764.406932935,0.03899292676282613
2019-05-01 00:00:00.000000053,30326232.85365076,0.13139328133343967
2019-05-09 00:00:00.000000053,31565124.371694595,0.13676097809147433
2019-05-17 00:00:00.000000054,44428832.41058181,0.19249506209397402
2019-05-25 00:00:00.000000054,74465637.59185573,0.3226343514869767
2019-06-02 00:00:00.000000055,98231093.76415306,0.42560201265127073
2019-06-10 00:00:00.000000055,105819527.98061304,0.45848012437372937
2019-06-18 00:00:00.000000056,101343880.30930126,0.4390886610006178
2019-06-26 00:00:00.000000056,117897704.20272002,0.5108107654396578
2019-07-04 00:00:00.000000057,153215429.83328426,0.6638304920317565
2019-07-12 00:00:00.000000057,183876167.89509535,0.7966730709794239
2019-07-20 00:00:00.000000058,183876167.89509535,0.7966730709794239
2019-07-28 00:00:00.000000058,182024482.18408382,0.7886503448221011
2019-08-05 00:00:00.000000059,182554522.078952,0.7909468279151529
2019-08-13 00:00:00.000000059,179201482.88217998,0.7764192463118057
2019-08-21 00:00:00.000000060,181939888.4244681,0.7882838287529974
2019-08-29 00:00:00.000000060,136128262.99254453,0.5897975934936692
2019-09-06 00:00:00.000000061,136128262.99254453,0.5897975934936692
2019-09-14 00:00:00.000000061,143836561.98211384,0.6231950386239773
2019-09-22 00:00:00.000000062,126745265.27700494,0.5491442467842872
2019-09-30 00:00:00.000000062,122990753.56600344,0.5328772209425355
2019-10-08 00:00:00.000000063,121297162.89043777,0.5255394669533683
2019-10-16 00:00:00.000000063,108432811.24831076,0.46980259443631883
2019-10-24 00:00:00.000000064,103369833.51071684,0.4478664290882863
2019-11-01 00:00:00.000000064,108346848.89169118,0.4694301487005788
2019-11-09 00:00:00.000000065,97976654.94110346,0.4244996155279472
2019-11-17 00:00:00.000000065,97976654.94110346,0.4244996155279472
2019-11-25 00:00:00.000000066,85351409.69798687,0.36979870994109354
2019-12-03 00:00:00.000000066,86597434.12261829,0.37519731116413413
2019-12-11 00:00:00.000000067,86597434.12261829,0.37519731116413413
2019-12-19 00:00:00.000000067,93308234.48705694,0.40427293306918355
2019-12-27 00:00:00.000000068,94697288.21973255,0.4102912317733281
2020-01-04 00:00:00.000000068,94697288.21973255,0.4102912317733281
2020-01-12 00:00:00.000000069,121390451.57606807,0.5259436551878716
2020-01-20 00:00:00.000000069,115466526.74906763,0.5002772981052603
2020-01-28 00:00:00.000000070,115466526.74906763,0.5002772981052603
2020-02-05 00:00:00.000000070,83603701.07944185,0.36222648125995294
2020-02-13 00:00:00.000000071,45111990.00053733,0.1954549522275517
