,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08 00:00:00.000000000,181637730.4802699,0.5536910683934598
2017-01-16 00:00:00.000000000,,
2017-01-24 00:00:00.000000001,,
2017-02-01 00:00:00.000000001,219033856.3453233,0.6676866618709221
2017-02-09 00:00:00.000000002,,
2017-02-17 00:00:00.000000002,115492070.56529348,0.3520575145548646
2017-02-25 00:00:00.000000003,178289668.5784002,0.5434850832900782
2017-03-05 00:00:00.000000003,129006027.35196924,0.39325246425861204
2017-03-13 00:00:00.000000004,53317473.2913224,0.1625290553490965
2017-03-21 00:00:00.000000004,107827473.95905162,0.32869332324673817
2017-03-29 00:00:00.000000005,99205298.17118733,0.3024101181481291
2017-04-06 00:00:00.000000005,,
2017-04-14 00:00:00.000000006,53105192.05469561,0.16188195287541446
2017-04-22 00:00:00.000000006,63710905.52242929,0.19421162802328928
2017-04-30 00:00:00.000000007,8723789.835704431,0.026592957871689953
2017-05-08 00:00:00.000000007,26701290.950707603,0.08139424708121328
2017-05-16 00:00:00.000000008,45883663.54353732,0.13986837768811936
2017-05-24 00:00:00.000000008,7689248.317813562,0.02343933776851096
2017-06-01 00:00:00.000000009,40917238.38784684,0.12472909333745348
2017-06-09 00:00:00.000000009,12201774.286083952,0.0371949892948675
2017-06-17 00:00:00.000000010,36140158.96494991,0.11016699656124694
2017-06-25 00:00:00.000000010,,
2017-07-03 00:00:00.000000011,55297585.79619141,0.16856508434737372
2017-07-11 00:00:00.000000011,55408348.96817458,0.16890272663607578
2017-07-19 00:00:00.000000012,,
2017-07-27 00:00:00.000000012,181113422.01957843,0.5520928051306432
2017-08-04 00:00:00.000000013,122012793.8962564,0.37193480688984676
2017-08-12 00:00:00.000000013,193539293.25093615,0.5899709150344518
2017-08-20 00:00:00.000000014,94527564.00940564,0.2881508581427922
2017-08-28 00:00:00.000000014,68641687.10551612,0.20924225913465244
2017-09-05 00:00:00.000000015,84808704.80218023,0.2585246041492763
2017-09-13 00:00:00.000000015,60446808.57237626,0.18426159548965215
2017-09-21 00:00:00.000000016,29023132.17511796,0.08847197671802677
2017-09-29 00:00:00.000000016,51264663.07864747,0.1562714200171661
2017-10-07 00:00:00.000000017,54760062.8565727,0.16692653904108448
2017-10-15 00:00:00.000000017,34458609.06206022,0.10504108379066733
2017-10-23 00:00:00.000000018,44249710.479455136,0.13488755561241794
2017-10-31 00:00:00.000000018,30345439.24600831,0.09250280012068449
2017-11-08 00:00:00.000000019,17677537.709867287,0.05388690287674172
2017-11-16 00:00:00.000000019,24913808.80551909,0.0759454182718753
2017-11-24 00:00:00.000000020,37478880.95076902,0.11424785798056813
2017-12-02 00:00:00.000000020,31599325.494596977,0.09632505453219475
2017-12-10 00:00:00.000000021,24700879.728998866,0.07529634097081686
2017-12-18 00:00:00.000000021,66668167.97077046,0.20322632887983705
2017-12-26 00:00:00.000000022,89224810.65094516,0.2719863356908233
2018-01-03 00:00:00.000000022,129930887.03190579,0.3960717383320333
2018-01-11 00:00:00.000000023,153347413.19657478,0.4674529505718952
2018-01-19 00:00:00.000000023,160631796.68500167,0.4896581282386183
2018-01-27 00:00:00.000000024,211214886.6702844,0.6438518910792962
2018-02-04 00:00:00.000000024,227854458.61514688,0.694574735630371
2018-02-12 00:00:00.000000025,155114537.70898417,0.47283972267410723
2018-02-20 00:00:00.000000025,195349184.18626547,0.5954880531478185
2018-02-28 00:00:00.000000026,82927051.47375491,0.2527887108466726
2018-03-08 00:00:00.000000026,49418288.57706192,0.15064306808976524
2018-03-16 00:00:00.000000027,85827674.18976049,0.26163075531829694
2018-03-24 00:00:00.000000027,130297293.61636606,0.3971886651548899
2018-04-01 00:00:00.000000028,43859556.32569087,0.13369823844981804
2018-04-09 00:00:00.000000028,103056782.70234977,0.31415069968546483
2018-04-17 00:00:00.000000029,49143004.0210986,0.14980391094163015
2018-04-25 00:00:00.000000029,7876144.78393046,0.024009059178977867
2018-05-03 00:00:00.000000030,29918774.724991485,0.09120218744586883
2018-05-11 00:00:00.000000030,17924892.164909247,0.05464091996406126
