,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,55700266.12525339,0.3210596102982745
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,57589374.42614079,0.3319485416640649
2017-02-03 00:00:00.000000002,57768258.27783053,0.332979638707354
2017-02-11 00:00:00.000000002,57178353.30669652,0.3295793917548635
2017-02-19 00:00:00.000000003,93820749.26978482,0.5407883174330562
2017-02-27 00:00:00.000000003,56807665.01517889,0.3274427226382536
2017-03-07 00:00:00.000000004,28655820.564343594,0.16517383530047866
2017-03-15 00:00:00.000000004,6918932.8043741835,0.039881135663823855
2017-03-23 00:00:00.000000005,6347552.559128135,0.03658766632099683
2017-03-31 00:00:00.000000005,7525346.185946089,0.043376538065121616
2017-04-08 00:00:00.000000006,3299055.750456208,0.019015951399800123
2017-04-16 00:00:00.000000006,2948649.6017822567,0.016996189747559613
2017-04-24 00:00:00.000000007,3885094.526001185,0.02239391337350142
2017-05-02 00:00:00.000000007,2770333.7442947985,0.015968366656262566
2017-05-10 00:00:00.000000008,1537454.7986510932,0.00886197989424573
2017-05-18 00:00:00.000000008,3182375.6581164207,0.018343400484299298
2017-05-26 00:00:00.000000009,3128742.063590495,0.018034253290663497
2017-06-03 00:00:00.000000009,3331392.917494082,0.01920234473271497
2017-06-11 00:00:00.000000010,2614235.4342200183,0.015068606815113333
2017-06-19 00:00:00.000000010,2669605.560058893,0.015387763477381697
2017-06-27 00:00:00.000000011,2768046.218313808,0.015955181221953288
2017-07-05 00:00:00.000000011,12744263.536274474,0.07345868465500403
2017-07-13 00:00:00.000000012,37088211.21195439,0.2137786309960113
2017-07-21 00:00:00.000000012,91037375.19336972,0.5247447855354052
2017-07-29 00:00:00.000000013,99603708.58834454,0.5741216351054071
2017-08-06 00:00:00.000000013,103819934.28759292,0.5984242080390135
2017-08-14 00:00:00.000000014,88773080.63091403,0.5116932584890572
2017-08-22 00:00:00.000000014,72967427.87823552,0.4205885463163426
2017-08-30 00:00:00.000000015,28895237.79357862,0.16655385029258013
2017-09-07 00:00:00.000000015,19937054.476752304,0.11491835472397295
2017-09-15 00:00:00.000000016,16334826.06410107,0.09415489826632366
2017-09-23 00:00:00.000000016,13856290.378027065,0.07986847278153579
2017-10-01 00:00:00.000000017,13599679.86109747,0.07838935466783432
2017-10-09 00:00:00.000000017,15871029.013284724,0.09148154478435395
2017-10-17 00:00:00.000000018,9253919.091511298,0.053340133969402355
2017-10-25 00:00:00.000000018,9616157.241273616,0.05542809597188783
2017-11-02 00:00:00.000000019,6477207.170456292,0.03733500312712242
2017-11-10 00:00:00.000000019,5659784.052240946,0.03262332819198179
2017-11-18 00:00:00.000000020,6361089.792407287,0.03666569572989315
2017-11-26 00:00:00.000000020,18672258.1596088,0.10762799435521558
2017-12-04 00:00:00.000000021,9627359.948289372,0.055492669034082474
2017-12-12 00:00:00.000000021,9345378.272773324,0.053867310069928606
2017-12-20 00:00:00.000000022,28436234.64586669,0.16390812915008704
2017-12-28 00:00:00.000000022,34439897.64194088,0.19851359580166997
2018-01-05 00:00:00.000000023,50336815.29279972,0.2901443642157999
2018-01-13 00:00:00.000000023,54708721.718804605,0.31534429001574626
2018-01-21 00:00:00.000000024,54541962.40589301,0.3143830795271535
2018-01-29 00:00:00.000000024,64520189.36321351,0.37189816663968356
2018-02-06 00:00:00.000000025,76024946.22978684,0.4382122619413535
2018-02-14 00:00:00.000000025,91102973.88355578,0.5251229002442265
2018-02-22 00:00:00.000000026,90241917.66669635,0.5201597215619533
2018-03-02 00:00:00.000000026,62814307.10199396,0.3620653609441004
2018-03-10 00:00:00.000000027,21337897.30272402,0.12299289517202483
2018-03-18 00:00:00.000000027,9757429.54938082,0.056242397865613844
2018-03-26 00:00:00.000000028,11873418.905359196,0.06843908497834751
2018-04-03 00:00:00.000000028,4569607.724434228,0.026339487713105857
2018-04-11 00:00:00.000000029,3366217.055016881,0.019403073109791332
2018-04-19 00:00:00.000000029,3397703.891385665,0.01958456508671214
2018-04-27 00:00:00.000000030,3267553.416606052,0.01883437009448511
2018-05-05 00:00:00.000000030,2884443.7623957014,0.016626103512675804
2018-05-13 00:00:00.000000031,3237483.1832026765,0.018661043500383098
2018-05-21 00:00:00.000000031,3555238.349268985,0.02049260296830563
2018-05-29 00:00:00.000000032,2683009.124746315,0.015465022412652752
2018-06-06 00:00:00.000000032,12250659.672721472,0.07061352295114999
2018-06-14 00:00:00.000000033,6254238.284729365,0.03604979735451173
2018-06-22 00:00:00.000000033,3976451.6243512314,0.022920501062118383
2018-06-30 00:00:00.000000034,11567613.817996098,0.06667640646698736
2018-07-08 00:00:00.000000034,14339203.464402527,0.08265201221689494
2018-07-16 00:00:00.000000035,16446085.143419033,0.0947962021438966
2018-07-24 00:00:00.000000035,96135548.48980103,0.5541309562963238
2018-08-01 00:00:00.000000036,99424508.11671962,0.5730887130461877
2018-08-09 00:00:00.000000036,92646175.99990718,0.5340180080157604
2018-08-17 00:00:00.000000037,78622433.5658195,0.4531843317333729
2018-08-25 00:00:00.000000037,77633962.421722,0.4474867259158102
2018-09-02 00:00:00.000000038,41360938.6826968,0.23840688346400699
2018-09-10 00:00:00.000000038,18423727.901957557,0.10619545133128448
2018-09-18 00:00:00.000000039,7534964.19136894,0.04343197681412083
2018-09-26 00:00:00.000000039,8924348.17185639,0.05144046780277922
2018-10-04 00:00:00.000000040,22959043.61782953,0.13233727788994298
2018-10-12 00:00:00.000000040,35661569.17691915,0.20555538238937873
2018-10-20 00:00:00.000000041,16629370.576419402,0.09585267016076608
2018-10-28 00:00:00.000000041,11461811.079257835,0.0660665532574639
2018-11-05 00:00:00.000000042,1279489.9399896064,0.007375055275137734
2018-11-13 00:00:00.000000042,1567055.7991779402,0.009032601802446628
2018-11-21 00:00:00.000000043,2455437.098510024,0.014153283867384178
2018-11-29 00:00:00.000000043,3179194.090628082,0.018325061742153134
2018-12-07 00:00:00.000000044,8813871.511056906,0.05080367383156952
2018-12-15 00:00:00.000000044,11099201.424423067,0.06397644987788847
2018-12-23 00:00:00.000000045,56097329.36385311,0.3233483061612697
2018-12-31 00:00:00.000000045,62722783.49249496,0.3615378134754265
2019-01-08 00:00:00.000000046,76787448.56466816,0.44260737025085456
2019-01-16 00:00:00.000000046,75865870.26649605,0.4372953387319182
2019-01-24 00:00:00.000000047,70808169.83409612,0.4081424559399359
2019-02-01 00:00:00.000000047,75127352.70809238,0.4330384800848459
2019-02-09 00:00:00.000000048,90966552.59886365,0.5243365599348075
2019-02-17 00:00:00.000000048,89510587.10506043,0.5159442891869975
2019-02-25 00:00:00.000000049,98051092.48718481,0.5651722645716967
2019-03-05 00:00:00.000000049,44429200.6386891,0.25609252585696657
2019-03-13 00:00:00.000000050,27762572.89948575,0.16002510321840555
2019-03-21 00:00:00.000000050,15475966.694609135,0.08920438234149786
2019-03-29 00:00:00.000000051,9080762.517961599,0.05234204929419744
2019-04-06 00:00:00.000000051,3777595.581429007,0.021774283133778535
2019-04-14 00:00:00.000000052,4514067.948440613,0.02601935317736656
2019-04-22 00:00:00.000000052,8944113.84294969,0.051554398293600014
2019-04-30 00:00:00.000000053,4624980.39932628,0.026658659068266675
2019-05-08 00:00:00.000000053,2345405.769539747,0.013519056815032949
2019-05-16 00:00:00.000000054,1381533.5033745558,0.007963240376805776
