,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,57298976.55943142,0.14762977602918084
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,104332078.61006004,0.2688097121924387
2017-02-03 00:00:00.000000002,195778463.21064857,0.5044196669926013
2017-02-11 00:00:00.000000002,212149862.3659388,0.5466002806039626
2017-02-19 00:00:00.000000003,159948420.02741137,0.4121042092327102
2017-02-27 00:00:00.000000003,71269484.67115304,0.18362453732143702
2017-03-07 00:00:00.000000004,64400290.41577464,0.16592618265064094
2017-03-15 00:00:00.000000004,52252342.39314336,0.13462721444071063
2017-03-23 00:00:00.000000005,38084298.233093105,0.09812350509521656
2017-03-31 00:00:00.000000005,17841388.78391637,0.04596801528360927
2017-04-08 00:00:00.000000006,9558713.861051822,0.02462785325616486
2017-04-16 00:00:00.000000006,9800817.653184928,0.02525162929466624
2017-04-24 00:00:00.000000007,7380836.711624654,0.019016592198901148
2017-05-02 00:00:00.000000007,5049976.210821711,0.013011172305722216
2017-05-10 00:00:00.000000008,6212317.701754643,0.01600592411944563
2017-05-18 00:00:00.000000008,6043492.9726580465,0.015570950260551898
2017-05-26 00:00:00.000000009,4995037.550242464,0.012869623841095714
2017-06-03 00:00:00.000000009,10868022.578378595,0.028001263468675704
2017-06-11 00:00:00.000000010,11784168.290143002,0.030361696313363426
2017-06-19 00:00:00.000000010,13839125.000042008,0.035656255082967096
2017-06-27 00:00:00.000000011,10995285.463475876,0.028329153988748988
2017-07-05 00:00:00.000000011,9363580.905127792,0.02412509672701294
2017-07-13 00:00:00.000000012,14477925.335750805,0.03730211258602807
2017-07-21 00:00:00.000000012,152245736.26121914,0.3922583839229492
2017-07-29 00:00:00.000000013,153173262.9291847,0.39464813959530093
2017-08-06 00:00:00.000000013,117368115.08400506,0.30239682422332476
2017-08-14 00:00:00.000000014,96343599.79072304,0.2482275411009647
2017-08-22 00:00:00.000000014,70808834.52222426,0.1824376805502061
2017-08-30 00:00:00.000000015,28718472.52154904,0.07399262466510169
2017-09-07 00:00:00.000000015,25387408.115195185,0.06541019751234566
2017-09-15 00:00:00.000000016,17841064.177524105,0.045967178941114774
2017-09-23 00:00:00.000000016,10932391.771356922,0.028167109529341604
2017-10-01 00:00:00.000000017,10216113.840875246,0.026321632405645064
2017-10-09 00:00:00.000000017,14991227.25859153,0.03862462569977846
2017-10-17 00:00:00.000000018,7060042.0093726935,0.018190070454735554
2017-10-25 00:00:00.000000018,7923489.531239137,0.020414727366955963
2017-11-02 00:00:00.000000019,9160459.704482704,0.023601758629919537
2017-11-10 00:00:00.000000019,4120598.449016556,0.010616647323596464
2017-11-18 00:00:00.000000020,11346904.898232074,0.029235095098303073
2017-11-26 00:00:00.000000020,42278012.13942848,0.1089285330712502
2017-12-04 00:00:00.000000021,15222385.494852792,0.039220200711683854
2017-12-12 00:00:00.000000021,78042107.58580363,0.2010740776807297
2017-12-20 00:00:00.000000022,114016309.13992336,0.293760956874022
2017-12-28 00:00:00.000000022,16458233.69005037,0.04240434121851905
2018-01-05 00:00:00.000000023,166745471.12614706,0.42961668836616307
2018-01-13 00:00:00.000000023,146988694.65684092,0.37871371137848475
2018-01-21 00:00:00.000000024,62222934.43159882,0.16031626436621454
2018-01-29 00:00:00.000000024,152700271.46031725,0.3934294856366183
2018-02-06 00:00:00.000000025,194999868.93755957,0.5024136329400645
2018-02-14 00:00:00.000000025,179371985.02333853,0.46214867289015005
2018-02-22 00:00:00.000000026,185972427.90220317,0.4791545945035929
2018-03-02 00:00:00.000000026,138715859.98029694,0.3573989025675829
2018-03-10 00:00:00.000000027,25267843.47166469,0.06510214137233576
2018-03-18 00:00:00.000000027,27931929.949755434,0.0719661119648117
2018-03-26 00:00:00.000000028,24936462.713873714,0.06424834484767498
2018-04-03 00:00:00.000000028,9744530.429127743,0.025106606280647002
2018-04-11 00:00:00.000000029,24984145.56426176,0.06437119884866956
2018-04-19 00:00:00.000000029,33294746.604730465,0.08578331201267554
2018-04-27 00:00:00.000000030,29181934.08432345,0.07518672499322104
2018-05-05 00:00:00.000000030,5395109.75124455,0.013900402625917092
2018-05-13 00:00:00.000000031,5021160.909538448,0.0129369302035051
2018-05-21 00:00:00.000000031,4514402.702993415,0.011631276856353328
2018-05-29 00:00:00.000000032,5550043.213637887,0.014299585887573255
2018-06-06 00:00:00.000000032,22234928.655796096,0.057287891243141
2018-06-14 00:00:00.000000033,19250647.596977565,0.049598945108744665
2018-06-22 00:00:00.000000033,16104589.140921833,0.041493182438437956
2018-06-30 00:00:00.000000034,45120617.5313703,0.11625245441418101
2018-07-08 00:00:00.000000034,60344283.52564596,0.15547595430945163
2018-07-16 00:00:00.000000035,77720862.21393354,0.20024639479444986
2018-07-24 00:00:00.000000035,164448895.15661594,0.42369960194727707
