,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,25919444.939346466,0.14500943776836264
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,35860931.79666419,0.20062827617847093
2017-02-03 00:00:00.000000002,39460605.58346847,0.22076708212881016
2017-02-11 00:00:00.000000002,,
2017-02-19 00:00:00.000000003,50609023.51491852,0.2831382409259733
2017-02-27 00:00:00.000000003,50019198.99474819,0.2798383970345612
2017-03-07 00:00:00.000000004,50966629.00833719,0.2851389076711473
2017-03-15 00:00:00.000000004,17500131.10850349,0.09790657858820295
2017-03-23 00:00:00.000000005,29905990.39993,0.16731264361362688
2017-03-31 00:00:00.000000005,39067803.25956933,0.21856950250177684
2017-04-08 00:00:00.000000006,49879438.57578921,0.2790564906386898
2017-04-16 00:00:00.000000006,36142688.90225484,0.20220460003743285
2017-04-24 00:00:00.000000007,17207396.25677739,0.09626883841423929
2017-05-02 00:00:00.000000007,17916473.84420597,0.10023585786730935
2017-05-10 00:00:00.000000008,15589121.364419982,0.08721520579037176
2017-05-18 00:00:00.000000008,17326079.840020925,0.09693282792939878
2017-05-26 00:00:00.000000009,13670632.555326272,0.07648199046795333
2017-06-03 00:00:00.000000009,12283270.768600686,0.06872022885827508
2017-06-11 00:00:00.000000010,,
2017-06-19 00:00:00.000000010,12906832.798927525,0.07220882128928544
2017-06-27 00:00:00.000000011,13520594.64822439,0.07564258543425377
2017-07-05 00:00:00.000000011,14217619.83793812,0.0795421763054047
2017-07-13 00:00:00.000000012,,
2017-07-21 00:00:00.000000012,15953869.086258564,0.08925583058750283
2017-07-29 00:00:00.000000013,17601958.38187711,0.09847626345977127
2017-08-06 00:00:00.000000013,21238273.83778297,0.11882006561461061
2017-08-14 00:00:00.000000014,22265838.34527254,0.12456889827096086
2017-08-22 00:00:00.000000014,22084458.31454476,0.12355414597438227
2017-08-30 00:00:00.000000015,17009206.232119888,0.09516004059414188
2017-09-07 00:00:00.000000015,21897657.28002769,0.1225090652231063
2017-09-15 00:00:00.000000016,21998255.31550634,0.12307187297610783
2017-09-23 00:00:00.000000016,16102889.830846775,0.09008954498374577
2017-10-01 00:00:00.000000017,14967675.793350447,0.0837384541440572
2017-10-09 00:00:00.000000017,15398936.97156085,0.08615119643579816
2017-10-17 00:00:00.000000018,14931978.873663684,0.08353874345326298
2017-10-25 00:00:00.000000018,14611725.38259941,0.08174704695701243
2017-11-02 00:00:00.000000019,14692563.015341122,0.08219930277120259
2017-11-10 00:00:00.000000019,15605826.45870722,0.08730866444028222
2017-11-18 00:00:00.000000020,15061730.46593966,0.08426465427000762
2017-11-26 00:00:00.000000020,16888480.70777189,0.09448462719501392
2017-12-04 00:00:00.000000021,19732584.04634426,0.11039630381643085
2017-12-12 00:00:00.000000021,14839038.97734044,0.08301878007659264
2017-12-20 00:00:00.000000022,15893275.677550014,0.0889168335082885
2017-12-28 00:00:00.000000022,19024505.985123307,0.10643487633239185
2018-01-05 00:00:00.000000023,21490535.04461248,0.12023137113672794
2018-01-13 00:00:00.000000023,25073709.68581817,0.1402778706417514
2018-01-21 00:00:00.000000024,26675961.62489004,0.14924186093520786
2018-01-29 00:00:00.000000024,25600248.25912387,0.14322365372688642
2018-02-06 00:00:00.000000025,32573675.52078576,0.1822373273953805
2018-02-14 00:00:00.000000025,38412117.39347608,0.2149011894257314
2018-02-22 00:00:00.000000026,23199911.067911614,0.1297946799442034
2018-03-02 00:00:00.000000026,21719656.37307946,0.1215132178390584
2018-03-10 00:00:00.000000027,31369274.93523529,0.17549916412964492
2018-03-18 00:00:00.000000027,35448535.02214547,0.1983210730516144
2018-03-26 00:00:00.000000028,40095312.72788856,0.22431802723489935
2018-04-03 00:00:00.000000028,20556916.159764685,0.11500812851334181
2018-04-11 00:00:00.000000029,19893937.006926604,0.11129901227145599
2018-04-19 00:00:00.000000029,20369236.408265512,0.11395813167471015
2018-04-27 00:00:00.000000030,20247648.910649028,0.1132778958629369
2018-05-05 00:00:00.000000030,14494623.788659215,0.08109190807040498
2018-05-13 00:00:00.000000031,15103871.340707358,0.08450041643896729
2018-05-21 00:00:00.000000031,15822981.866538106,0.08852356636706361
2018-05-29 00:00:00.000000032,12706824.087570718,0.07108984860871705
2018-06-06 00:00:00.000000032,12763184.816593487,0.07140516545469626
2018-06-14 00:00:00.000000033,13464511.68451745,0.07532882257958781
2018-06-22 00:00:00.000000033,14965372.522223642,0.08372556821799253
2018-06-30 00:00:00.000000034,12064996.26777644,0.06749906603176543
2018-07-08 00:00:00.000000034,16448020.008962166,0.09202041708392082
2018-07-16 00:00:00.000000035,16306201.469686767,0.09122699628754267
2018-07-24 00:00:00.000000035,20009235.01238118,0.11194406076635649
2018-08-01 00:00:00.000000036,22203237.79008629,0.12421867197048306
2018-08-09 00:00:00.000000036,18943754.79377774,0.10598310412494114
2018-08-17 00:00:00.000000037,18703783.67601753,0.1046405569774816
2018-08-25 00:00:00.000000037,17032319.273038473,0.09528934926863565
2018-09-02 00:00:00.000000038,18245747.576014496,0.10207801918029959
2018-09-10 00:00:00.000000038,18425304.86896829,0.10308257395218488
2018-09-18 00:00:00.000000039,17315387.816506267,0.09687301012380553
2018-09-26 00:00:00.000000039,15416304.035083422,0.08624835855184612
2018-10-04 00:00:00.000000040,16032731.741433404,0.08969703715325239
2018-10-12 00:00:00.000000040,15366713.735641658,0.08597091968470824
2018-10-20 00:00:00.000000041,14673425.826213576,0.08209223747553958
2018-10-28 00:00:00.000000041,14595183.629162693,0.08165450213704525
2018-11-05 00:00:00.000000042,13483660.319892164,0.07543595191265093
2018-11-13 00:00:00.000000042,13776548.225841966,0.07707454836679262
2018-11-21 00:00:00.000000043,14152987.783441225,0.07918058453882401
2018-11-29 00:00:00.000000043,13978244.290418582,0.07820296114695781
2018-12-07 00:00:00.000000044,23798037.701537114,0.13314097100326278
2018-12-15 00:00:00.000000044,25541875.00037625,0.1428970775424231
2018-12-23 00:00:00.000000045,23310178.30587706,0.1304115832081065
2018-12-31 00:00:00.000000045,25293787.09409176,0.14150912004982907
2019-01-08 00:00:00.000000046,31596292.25038657,0.1767692396775899
2019-01-16 00:00:00.000000046,43953956.12874125,0.24590566969466723
2019-01-24 00:00:00.000000047,34370637.43901133,0.19229064597773507
2019-02-01 00:00:00.000000047,43448731.02596481,0.2430791273720398
2019-02-09 00:00:00.000000048,35154063.78318036,0.19667361845136322
2019-02-17 00:00:00.000000048,35797275.96495451,0.20027214600714593
2019-02-25 00:00:00.000000049,33591877.00674928,0.18793377750686982
2019-03-05 00:00:00.000000049,21564878.14958424,0.12064729253778946
2019-03-13 00:00:00.000000050,29509716.13050105,0.16509563977166847
2019-03-21 00:00:00.000000050,36087918.41713697,0.20189818000136228
2019-03-29 00:00:00.000000051,40057370.23030924,0.22410575338974642
2019-04-06 00:00:00.000000051,22455655.655673284,0.12563085393877418
2019-04-14 00:00:00.000000052,24307000.60039618,0.13598842487356044
2019-04-22 00:00:00.000000052,21443984.71634231,0.11997093975225247
2019-04-30 00:00:00.000000053,20324115.05541185,0.11370569486427812
2019-05-08 00:00:00.000000053,17114936.65982011,0.09575156212987289
2019-05-16 00:00:00.000000054,,
2019-05-24 00:00:00.000000054,,
2019-06-01 00:00:00.000000055,15816370.643279346,0.08848657908705213
2019-06-09 00:00:00.000000055,15206666.6422198,0.08507551705984982
2019-06-17 00:00:00.000000056,14244438.830166442,0.0796922183681743
2019-06-25 00:00:00.000000056,14326915.53950552,0.08015364419261738
2019-07-03 00:00:00.000000057,13990299.66037347,0.07827040635742966
2019-07-11 00:00:00.000000057,13717990.349989928,0.0767469393198364
2019-07-19 00:00:00.000000058,16179385.93360312,0.09051751158866829
2019-07-27 00:00:00.000000058,18334783.055992726,0.10257613883229415
2019-08-04 00:00:00.000000059,17725417.25949115,0.09916696893098097
2019-08-12 00:00:00.000000059,18891299.715281,0.10568963790841111
2019-08-20 00:00:00.000000060,20117091.61942824,0.11254747746698786
2019-08-28 00:00:00.000000060,18464995.845790427,0.10330462987378829
2019-09-05 00:00:00.000000061,17137463.09536636,0.0958775889703832
2019-09-13 00:00:00.000000061,16634124.486814199,0.09306160086554306
2019-09-21 00:00:00.000000062,17212096.23366572,0.09629513299761852
2019-09-29 00:00:00.000000062,18196914.73973688,0.10180481803151642
2019-10-07 00:00:00.000000063,17936261.36044605,0.10034656149586006
2019-10-15 00:00:00.000000063,16412587.339001453,0.09182218476985475
2019-10-23 00:00:00.000000064,16934170.01475977,0.09474024149284486
2019-10-31 00:00:00.000000064,15542801.882523308,0.08695606590356954
2019-11-08 00:00:00.000000065,15458465.679213658,0.08648423691749099
2019-11-16 00:00:00.000000065,17291365.553973548,0.09673861470014021
2019-11-24 00:00:00.000000066,18106832.76686848,0.10130084364976251
2019-12-02 00:00:00.000000066,19524662.930927776,0.10923306424408392
2019-12-10 00:00:00.000000067,16868493.41954224,0.09437280591815102
2019-12-18 00:00:00.000000067,23631097.52106089,0.13220700417764386
2019-12-26 00:00:00.000000068,27448709.59306981,0.15356509195595744
2020-01-03 00:00:00.000000068,20328830.58225682,0.1137320764437514
2020-01-11 00:00:00.000000069,24084773.487583704,0.1347451486860791
2020-01-19 00:00:00.000000069,24247273.74677573,0.13565427584052978
2020-01-27 00:00:00.000000070,26169142.951110914,0.14640640318882484
2020-02-04 00:00:00.000000070,32283877.55692151,0.18061601799216181
2020-02-12 00:00:00.000000071,31207082.378117613,0.17459175845128705
2020-02-20 00:00:00.000000071,35187588.427367754,0.1968611760868131
2020-02-28 00:00:00.000000072,31071585.42632861,0.1738337045329169
2020-03-07 00:00:00.000000072,32651372.268361457,0.18267201115148513
2020-03-15 00:00:00.000000073,35145228.02361819,0.19662418573668258
2020-03-23 00:00:00.000000073,34025395.87829477,0.19035915073426318
2020-03-31 00:00:00.000000074,32652763.08791511,0.18267979225798586
2020-04-08 00:00:00.000000074,40270666.0174062,0.2252990622062612
2020-04-16 00:00:00.000000075,41220985.86069136,0.2306157403410505
2020-04-24 00:00:00.000000075,29977270.151115194,0.16771142671518716
2020-05-02 00:00:00.000000076,22284618.213348586,0.12467396449122306
2020-05-10 00:00:00.000000076,15362751.7750739,0.08594875402198918
2020-05-18 00:00:00.000000077,15721733.675331742,0.08795712124000725
2020-05-26 00:00:00.000000077,15320770.857231347,0.08571388675119715
2020-06-03 00:00:00.000000078,17858877.089142654,0.09991362592567023
2020-06-11 00:00:00.000000078,15615830.006011952,0.08736463048329522
2020-06-19 00:00:00.000000079,15777638.70584493,0.08826988862611876
2020-06-27 00:00:00.000000079,16898655.759471536,0.09454155273989663
2020-07-05 00:00:00.000000080,17624383.34296165,0.09860172258925712
2020-07-13 00:00:00.000000080,18476584.17313914,0.10336946215848594
2020-07-21 00:00:00.000000081,20541690.8784489,0.11492294885426217
2020-07-29 00:00:00.000000081,21935217.717743143,0.12271920158861092
2020-08-06 00:00:00.000000082,23284548.14322132,0.1302681921947064
2020-08-14 00:00:00.000000082,23366538.91088973,0.13072689936029638
2020-08-22 00:00:00.000000083,23248522.17118441,0.1300666405811454
2020-08-30 00:00:00.000000083,23139534.281387955,0.12945689478373626
2020-09-07 00:00:00.000000084,21276280.72141033,0.11903269967521754
2020-09-15 00:00:00.000000084,17989489.98067011,0.10064435538419134
2020-09-23 00:00:00.000000085,18809842.31870232,0.10523391475123743
2020-10-01 00:00:00.000000085,18818207.86319682,0.10528071679142818
2020-10-09 00:00:00.000000086,17217403.43169326,0.09632482475235708
2020-10-17 00:00:00.000000086,18674065.634421285,0.10447429583595128
2020-10-25 00:00:00.000000087,19172821.6469466,0.10726464605869451
2020-11-02 00:00:00.000000087,18071378.539137,0.10110249072816699
2020-11-10 00:00:00.000000088,19754276.853857595,0.11051766682510974
2020-11-18 00:00:00.000000088,19571152.0250617,0.10949315304685328
2020-11-26 00:00:00.000000089,22281197.1785122,0.12465482510226734
2020-12-04 00:00:00.000000089,24902439.61392696,0.13931967972024017
2020-12-12 00:00:00.000000090,27164706.09515786,0.15197620038621773
