,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,9145465.578166498,0.02960228108181358
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,20540842.74741055,0.06648713457714236
2017-02-03 00:00:00.000000002,73653046.24173391,0.2384020976017638
2017-02-11 00:00:00.000000002,114663284.11303563,0.37114510322813177
2017-02-19 00:00:00.000000003,75489268.33258013,0.24434562907069562
2017-02-27 00:00:00.000000003,59424583.64675842,0.19234703944222317
2017-03-07 00:00:00.000000004,33979785.07863455,0.1099866529921395
2017-03-15 00:00:00.000000004,9611147.522310115,0.03110961252245397
2017-03-23 00:00:00.000000005,8270415.994171712,0.02676989780678617
2017-03-31 00:00:00.000000005,8408780.625530317,0.027217760047833512
2017-04-08 00:00:00.000000006,3681030.8909016927,0.011914856621783545
2017-04-16 00:00:00.000000006,12462938.675867835,0.04034036437348982
2017-04-24 00:00:00.000000007,9011027.982231677,0.029167129971264687
2017-05-02 00:00:00.000000007,4065392.682009708,0.01315896887394183
2017-05-10 00:00:00.000000008,4114234.377232989,0.013317060944613828
2017-05-18 00:00:00.000000008,3984859.1594582964,0.012898295871490552
2017-05-26 00:00:00.000000009,2088732.6294152946,0.006760864154179363
2017-06-03 00:00:00.000000009,4014211.257702727,0.012993303507257832
2017-06-11 00:00:00.000000010,1906176.1049357997,0.006169960442960714
2017-06-19 00:00:00.000000010,4916269.519819912,0.01591310917479156
2017-06-27 00:00:00.000000011,12618452.71264472,0.0408437362564727
2017-07-05 00:00:00.000000011,71457965.10506998,0.23129700183058277
2017-07-13 00:00:00.000000012,26572995.08587311,0.08601216231086295
2017-07-21 00:00:00.000000012,34282915.82616215,0.11096783448762015
2017-07-29 00:00:00.000000013,67094624.67957259,0.21717362794357406
2017-08-06 00:00:00.000000013,52733976.95772038,0.17069070952397386
2017-08-14 00:00:00.000000014,25579618.99117887,0.0827967767054219
2017-08-22 00:00:00.000000014,23398572.379996385,0.07573710825170225
2017-08-30 00:00:00.000000015,15971616.046660716,0.05169734263423273
2017-09-07 00:00:00.000000015,8785940.345186602,0.02843856044761389
2017-09-15 00:00:00.000000016,8090320.437797218,0.026186959821200072
2017-09-23 00:00:00.000000016,6246733.77382962,0.02021959051025538
2017-10-01 00:00:00.000000017,7502608.105911164,0.024284637244504418
2017-10-09 00:00:00.000000017,7608654.376916862,0.024627890575366358
2017-10-17 00:00:00.000000018,7170066.4899536725,0.023208257884390127
2017-10-25 00:00:00.000000018,9765880.534575667,0.03161045636496492
2017-11-02 00:00:00.000000019,11353658.028916305,0.03674981589577541
2017-11-10 00:00:00.000000019,8011040.467736246,0.02593034435008557
2017-11-18 00:00:00.000000020,9201427.773764007,0.02978342097347616
2017-11-26 00:00:00.000000020,10361951.15963069,0.03353983328259459
2017-12-04 00:00:00.000000021,7654317.7273587985,0.024775694896903212
2017-12-12 00:00:00.000000021,12706024.179351386,0.04112718985979567
2017-12-20 00:00:00.000000022,15305218.079661235,0.049540328345254056
2017-12-28 00:00:00.000000022,6785056.439682815,0.021962047330096397
2018-01-05 00:00:00.000000023,20740779.976045284,0.06713429660407012
2018-01-13 00:00:00.000000023,19101171.48349747,0.061827169148864096
2018-01-21 00:00:00.000000024,8762253.85809856,0.02836189140953944
2018-01-29 00:00:00.000000024,33266122.09588671,0.10767665006966144
2018-02-06 00:00:00.000000025,81720142.56857716,0.264513885015998
2018-02-14 00:00:00.000000025,62138193.24722248,0.20113052164470602
2018-02-22 00:00:00.000000026,109707736.82055688,0.35510485873621755
2018-03-02 00:00:00.000000026,70617426.81492102,0.22857632560996277
2018-03-10 00:00:00.000000027,37623045.23804204,0.12177925232687728
