,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,44836955.35455047,0.15413632439399333
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,57872559.92674333,0.19894891613049762
2017-02-03 00:00:00.000000002,90989230.5599848,0.3127943333139436
2017-02-11 00:00:00.000000002,112979255.3525628,0.3883895999429647
2017-02-19 00:00:00.000000003,98553457.72255841,0.338797931517718
2017-02-27 00:00:00.000000003,54706902.48316456,0.18806631273369503
2017-03-07 00:00:00.000000004,25581092.914032616,0.08794030737749559
2017-03-15 00:00:00.000000004,7261192.272880166,0.024961852980640145
2017-03-23 00:00:00.000000005,7466755.827653803,0.025668520293610497
2017-03-31 00:00:00.000000005,6815838.644576219,0.02343085760462757
2017-04-08 00:00:00.000000006,9610130.993055128,0.033036816538970934
2017-04-16 00:00:00.000000006,5782039.662983045,0.01987695939889551
2017-04-24 00:00:00.000000007,4062609.732547954,0.013966062741560656
2017-05-02 00:00:00.000000007,4212688.833023131,0.01448199074632097
2017-05-10 00:00:00.000000008,3184563.2134138527,0.010947595897947577
2017-05-18 00:00:00.000000008,3560038.3833309095,0.012238369594211759
2017-05-26 00:00:00.000000009,3574088.8701646393,0.012286671054009195
2017-06-03 00:00:00.000000009,2838125.7534628776,0.009756645346399584
2017-06-11 00:00:00.000000010,2015414.6978272083,0.006928405624250066
2017-06-19 00:00:00.000000010,2817075.881675062,0.009684282050527189
2017-06-27 00:00:00.000000011,4141493.204260374,0.014237241020483557
2017-07-05 00:00:00.000000011,21750304.017796144,0.07477117679478561
2017-07-13 00:00:00.000000012,28830689.616057605,0.09911146936769394
2017-07-21 00:00:00.000000012,40616449.39324851,0.1396274606494795
2017-07-29 00:00:00.000000013,104877120.16217165,0.3605368314372776
2017-08-06 00:00:00.000000013,105978355.48874168,0.3643225560518973
2017-08-14 00:00:00.000000014,117070570.50180116,0.4024543435022542
2017-08-22 00:00:00.000000014,43771117.9346831,0.15047228741822527
2017-08-30 00:00:00.000000015,19851483.3385914,0.06824358726820948
2017-09-07 00:00:00.000000015,10232941.119506923,0.035177855396929324
2017-09-15 00:00:00.000000016,7826212.224078368,0.026904226136852363
2017-09-23 00:00:00.000000016,7653134.560150865,0.026309235804847658
2017-10-01 00:00:00.000000017,5780727.1235166965,0.0198724472725175
2017-10-09 00:00:00.000000017,8973344.309082631,0.030847730368547037
2017-10-17 00:00:00.000000018,4837299.592723742,0.01662921965416922
2017-10-25 00:00:00.000000018,5480729.512828631,0.018841143325298307
2017-11-02 00:00:00.000000019,6792895.496812828,0.023351985780296205
2017-11-10 00:00:00.000000019,8985498.184001967,0.0308895118319046
2017-11-18 00:00:00.000000020,8644392.575304726,0.029716890623818208
2017-11-26 00:00:00.000000020,19495288.80506924,0.06701909475456322
2017-12-04 00:00:00.000000021,32026114.31117581,0.1100964038595345
2017-12-12 00:00:00.000000021,37153043.93397357,0.12772128675436575
2017-12-20 00:00:00.000000022,51459676.8525101,0.17690330179262656
