,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,13580594.147067448,0.0684980851075104
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,30499953.375661634,0.15383630343980959
2017-02-03 00:00:00.000000002,43935101.08230129,0.2216007827457536
2017-02-11 00:00:00.000000002,74424548.99294788,0.37538409850115834
2017-02-19 00:00:00.000000003,69637303.3600203,0.35123808874313606
2017-02-27 00:00:00.000000003,71787244.3004144,0.36208200587345074
2017-03-07 00:00:00.000000004,43699357.10629439,0.22041173234359646
2017-03-15 00:00:00.000000004,,
2017-03-23 00:00:00.000000005,20042354.10046237,0.10109004525584644
2017-03-31 00:00:00.000000005,28251946.74267236,0.14249776051589796
2017-04-08 00:00:00.000000006,14390921.38066756,0.072585230574858
2017-04-16 00:00:00.000000006,27453189.905874897,0.13846897405820288
2017-04-24 00:00:00.000000007,16844441.16284913,0.08496034502367054
2017-05-02 00:00:00.000000007,11483752.641019147,0.0579219920159374
2017-05-10 00:00:00.000000008,5983031.783672857,0.030177340982350156
2017-05-18 00:00:00.000000008,3134095.7779252008,0.015807817905946823
2017-05-26 00:00:00.000000009,4116379.747802525,0.020762282360134887
2017-06-03 00:00:00.000000009,4825680.673671169,0.024339869221272167
2017-06-11 00:00:00.000000010,,
2017-06-19 00:00:00.000000010,4980852.5873601865,0.025122528568504096
2017-06-27 00:00:00.000000011,5477740.314526068,0.027628741290547303
2017-07-05 00:00:00.000000011,48458865.90251519,0.24441784246388715
2017-07-13 00:00:00.000000012,,
2017-07-21 00:00:00.000000012,65982798.1457412,0.33280541882584935
2017-07-29 00:00:00.000000013,73664027.84141766,0.37154816599338747
2017-08-06 00:00:00.000000013,38921044.490188375,0.196310779122857
2017-08-14 00:00:00.000000014,59274808.67736216,0.2989715210943182
2017-08-22 00:00:00.000000014,23693018.893963903,0.1195033447784051
2017-08-30 00:00:00.000000015,,
2017-09-07 00:00:00.000000015,13469611.22836417,0.06793830713841038
2017-09-15 00:00:00.000000016,6057198.533296622,0.030551424786995265
2017-09-23 00:00:00.000000016,6330584.88076669,0.03193033657048891
2017-10-01 00:00:00.000000017,15456105.464418512,0.07795782835915255
2017-10-09 00:00:00.000000017,14930034.761833522,0.0753044219346615
2017-10-17 00:00:00.000000018,13021197.109040175,0.06567658661453353
2017-10-25 00:00:00.000000018,9374607.67895388,0.04728384249529803
2017-11-02 00:00:00.000000019,9328156.357393727,0.047049550347021823
2017-11-10 00:00:00.000000019,5695563.5553502375,0.02872740271336801
2017-11-18 00:00:00.000000020,12697004.725559508,0.06404141828284014
2017-11-26 00:00:00.000000020,36193610.78852162,0.1825540919117747
2017-12-04 00:00:00.000000021,36188179.73266061,0.1825266986385083
2017-12-12 00:00:00.000000021,62718996.14981985,0.3163433859818034
2017-12-20 00:00:00.000000022,56315472.27361144,0.2840451581789193
2017-12-28 00:00:00.000000022,25283890.432754386,0.12752741595519654
2018-01-05 00:00:00.000000023,53985505.65165772,0.27229322374660236
2018-01-13 00:00:00.000000023,41771733.19217493,0.21068914248524778
2018-01-21 00:00:00.000000024,27476493.43832344,0.13858651290309285
2018-01-29 00:00:00.000000024,41077291.99594803,0.20718650543960843
