,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,11484700.003404835,0.03316111756706843
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,24729144.65475978,0.07140335167539545
2017-02-03 00:00:00.000000002,47426651.97686036,0.13694051926048087
2017-02-11 00:00:00.000000002,90781407.01887168,0.2621237742530677
2017-02-19 00:00:00.000000003,67529668.63935474,0.19498631051319756
2017-02-27 00:00:00.000000003,68207693.58540878,0.19694405124154374
2017-03-07 00:00:00.000000004,41373655.340789616,0.11946299411639322
2017-03-15 00:00:00.000000004,,
2017-03-23 00:00:00.000000005,22470648.346060034,0.0648821311302024
2017-03-31 00:00:00.000000005,34100023.217753336,0.09846098536561146
2017-04-08 00:00:00.000000006,7371828.051907407,0.0212855413411792
2017-04-16 00:00:00.000000006,28721713.82726788,0.08293156361693008
2017-04-24 00:00:00.000000007,13238495.993011745,0.038225057851339325
2017-05-02 00:00:00.000000007,9176886.95474372,0.026497499030513072
2017-05-10 00:00:00.000000008,5070255.678867145,0.014639942237251576
2017-05-18 00:00:00.000000008,4105654.3089097864,0.011854735882272508
2017-05-26 00:00:00.000000009,3853840.480495019,0.011127644363416981
2017-06-03 00:00:00.000000009,3627373.02153422,0.01047373838159004
2017-06-11 00:00:00.000000010,,
2017-06-19 00:00:00.000000010,1378482.011147323,0.003980252337648629
2017-06-27 00:00:00.000000011,3579292.0244631893,0.010334908495207148
2017-07-05 00:00:00.000000011,53108454.51042565,0.15334625225764817
2017-07-13 00:00:00.000000012,,
2017-07-21 00:00:00.000000012,56375781.09094859,0.16278038643917725
2017-07-29 00:00:00.000000013,67004892.25385622,0.1934710622776513
2017-08-06 00:00:00.000000013,40870745.49444965,0.11801088369686362
2017-08-14 00:00:00.000000014,59083229.1964444,0.17059791801653373
2017-08-22 00:00:00.000000014,23862221.23511633,0.06890018229074296
2017-08-30 00:00:00.000000015,,
2017-09-07 00:00:00.000000015,14228128.43627864,0.04108253935191221
2017-09-15 00:00:00.000000016,10595045.588528592,0.030592314321269565
2017-09-23 00:00:00.000000016,11633295.582221385,0.03359017496148198
2017-10-01 00:00:00.000000017,15973852.516583726,0.04612317266836774
2017-10-09 00:00:00.000000017,21193337.650870234,0.061194002566086196
2017-10-17 00:00:00.000000018,14407837.06569193,0.041601433096287256
2017-10-25 00:00:00.000000018,14193581.04796244,0.04098278663697416
2017-11-02 00:00:00.000000019,16150294.74209374,0.04663263494271519
2017-11-10 00:00:00.000000019,10339871.681598706,0.02985552085472351
2017-11-18 00:00:00.000000020,20773339.04489806,0.05998129146814554
2017-11-26 00:00:00.000000020,36330899.25120091,0.1049024546596094
2017-12-04 00:00:00.000000021,26989554.55537624,0.0779300975583428
2017-12-12 00:00:00.000000021,48662476.64728038,0.1405088603730857
2017-12-20 00:00:00.000000022,35623582.51439049,0.10286013631785283
2017-12-28 00:00:00.000000022,11123666.945701718,0.032118664593238734
2018-01-05 00:00:00.000000023,41763127.98284197,0.12058756402840014
2018-01-13 00:00:00.000000023,31950756.628196385,0.0922551565639762
2018-01-21 00:00:00.000000024,14361224.763482733,0.04146684394435707
2018-01-29 00:00:00.000000024,33484243.03295404,0.09668297121656563
