,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,31234184.92767795,0.06567464307054645
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,70392562.06400609,0.14801111023320618
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,61882422.07336522,0.1301172414589819
2017-02-20 00:00:00.000000003,151086332.03168845,0.317682083012399
2017-02-28 00:00:00.000000003,126982201.91266295,0.266999468890773
2017-03-08 00:00:00.000000004,60914033.94531757,0.12808105755309337
2017-03-16 00:00:00.000000004,52222241.56349544,0.10980523688925319
2017-03-24 00:00:00.000000005,17755526.672982253,0.03733370598521225
2017-04-01 00:00:00.000000005,17755526.672982253,0.03733370598521225
2017-04-09 00:00:00.000000006,19445824.11300617,0.04088781445046177
2017-04-17 00:00:00.000000006,56813316.13464101,0.11945867220278555
2017-04-25 00:00:00.000000007,37834723.19485988,0.07955328263723876
2017-05-03 00:00:00.000000007,8849575.370710606,0.01860758349043064
2017-05-11 00:00:00.000000008,18180403.159682628,0.038227073674419604
2017-05-19 00:00:00.000000008,20530606.590148866,0.04316873524799469
2017-05-27 00:00:00.000000009,96595880.29529186,0.20310758789344688
2017-06-04 00:00:00.000000009,82229655.17439227,0.17290040594613998
2017-06-12 00:00:00.000000010,64146138.08714442,0.1348770500328976
2017-06-20 00:00:00.000000010,57491304.25512678,0.12088424575055298
2017-06-28 00:00:00.000000011,52617836.36209069,0.11063703535809317
2017-07-06 00:00:00.000000011,7128590.199105595,0.014988949383711698
2017-07-14 00:00:00.000000012,13820244.201063747,0.029059173695560485
2017-07-22 00:00:00.000000012,19567763.031011064,0.041144209644859285
2017-07-30 00:00:00.000000013,24376917.32022753,0.05125619086501272
2017-08-07 00:00:00.000000013,37703499.18637591,0.07927736412233512
2017-08-15 00:00:00.000000014,22864834.749905936,0.04807680637558216
2017-08-23 00:00:00.000000014,33649896.031963125,0.0707540445309283
2017-08-31 00:00:00.000000015,76166244.14227206,0.1601511584070555
2017-09-08 00:00:00.000000015,14504230.290407967,0.030497358888704248
2017-09-16 00:00:00.000000016,12400816.963002672,0.0260746111900838
2017-09-24 00:00:00.000000016,15481627.260675795,0.03255248526095325
2017-10-02 00:00:00.000000017,2798740.608867601,0.005884779479919929
2017-10-10 00:00:00.000000017,2798740.608867601,0.005884779479919929
2017-10-18 00:00:00.000000018,4918367.1392059615,0.010341617913359453
2017-10-26 00:00:00.000000018,9286512.636599133,0.019526310809484866
2017-11-03 00:00:00.000000019,7018473.8063831115,0.014757412853944378
2017-11-11 00:00:00.000000019,9339801.438787004,0.01963835865294385
2017-11-19 00:00:00.000000020,11272861.95649408,0.023702913557390206
2017-11-27 00:00:00.000000020,7035170.973420894,0.01479252119719184
2017-12-05 00:00:00.000000021,19712641.673068684,0.04144883911182668
2017-12-13 00:00:00.000000021,2726195.498979157,0.005732242309205568
2017-12-21 00:00:00.000000022,2726195.498979157,0.005732242309205568
2017-12-29 00:00:00.000000022,11539193.24101844,0.024262915750184993
2018-01-06 00:00:00.000000023,23355860.57508772,0.04910926314952723
2018-01-14 00:00:00.000000023,15813160.90616877,0.03324958537366769
2018-01-22 00:00:00.000000024,39173033.15431682,0.08236728367836106
2018-01-30 00:00:00.000000024,67206836.49746092,0.14131263578964326
2018-02-07 00:00:00.000000025,55066536.77311745,0.11578580187315518
2018-02-15 00:00:00.000000025,49812354.51996867,0.10473808140591266
2018-02-23 00:00:00.000000026,27115885.5177814,0.05701528972328093
2018-03-03 00:00:00.000000026,27115885.5177814,0.05701528972328093
2018-03-11 00:00:00.000000027,54229787.78262347,0.1140264093544269
2018-03-19 00:00:00.000000027,62466146.81244029,0.1313446118539184
2018-03-27 00:00:00.000000028,29055243.29667631,0.061093085580926194
2018-04-04 00:00:00.000000028,10523968.09363098,0.02212824985942147
2018-04-12 00:00:00.000000029,32683535.40682385,0.06872212375949135
2018-04-20 00:00:00.000000029,15640564.61537323,0.032886675317921284
2018-04-28 00:00:00.000000030,11744395.822632914,0.024694385511150104
2018-05-06 00:00:00.000000030,45853459.69850234,0.09641390054588196
2018-05-14 00:00:00.000000031,20345774.811106667,0.04278009820992894
2018-05-22 00:00:00.000000031,55067114.35326544,0.11578701632360913
2018-05-30 00:00:00.000000032,65561060.31781101,0.1378521400724416
2018-06-07 00:00:00.000000032,62624158.295011595,0.1316768551233665
2018-06-15 00:00:00.000000033,98333281.7058025,0.2067607396491195
2018-06-23 00:00:00.000000033,14290924.994203752,0.030048851933081558
2018-07-01 00:00:00.000000034,8714000.404181805,0.018322516421874283
2018-07-09 00:00:00.000000034,13331261.1022434,0.028031012065701574
2018-07-17 00:00:00.000000035,12368910.011530198,0.026007521952625675
2018-07-25 00:00:00.000000035,12486033.35016635,0.02625379165609227
2018-08-02 00:00:00.000000036,29565946.65291536,0.06216691736855219
2018-08-10 00:00:00.000000036,24898044.13715949,0.052351939570341295
2018-08-18 00:00:00.000000037,24898044.13715949,0.052351939570341295
2018-08-26 00:00:00.000000037,37299722.91520882,0.07842836285815433
2018-09-03 00:00:00.000000038,31654160.48768368,0.06655770581303817
2018-09-11 00:00:00.000000038,26393696.640498504,0.05549677733517493
2018-09-19 00:00:00.000000039,14496649.076326344,0.030481418228494775
2018-09-27 00:00:00.000000039,9197425.956516793,0.019338992461645957
2018-10-05 00:00:00.000000040,6244797.8784616515,0.013130641080127736
2018-10-13 00:00:00.000000040,10626390.735353684,0.02234360910292522
2018-10-21 00:00:00.000000041,17472031.137657315,0.03673761333423802
2018-10-29 00:00:00.000000041,11705154.327585347,0.024611874275887492
2018-11-06 00:00:00.000000042,10036183.805133987,0.02110260891131807
2018-11-14 00:00:00.000000042,18361218.039882496,0.03860726456931461
2018-11-22 00:00:00.000000043,10235849.60439938,0.021522436741963014
2018-11-30 00:00:00.000000043,25788564.62614327,0.054224394875208
2018-12-08 00:00:00.000000044,29711467.21080956,0.06247289656158244
2018-12-16 00:00:00.000000044,21031267.253127813,0.04422145073958635
2018-12-24 00:00:00.000000045,12839908.35333632,0.026997867884704905
2019-01-01 00:00:00.000000045,17644472.50655733,0.03710019764304351
2019-01-09 00:00:00.000000046,24796561.01402453,0.05213855580812675
2019-01-17 00:00:00.000000046,30299173.26354003,0.06370863827640051
2019-01-25 00:00:00.000000047,48355765.33215293,0.10167538022668494
2019-02-02 00:00:00.000000047,52217206.28821441,0.1097946494541205
2019-02-10 00:00:00.000000048,66464643.35783045,0.1397520613854287
2019-02-18 00:00:00.000000048,87753543.59099017,0.18451522480443902
2019-02-26 00:00:00.000000049,87753543.59099017,0.18451522480443902
2019-03-06 00:00:00.000000049,42605467.51773703,0.08958450103820781
2019-03-14 00:00:00.000000050,20716388.92423524,0.04355937097318448
2019-03-22 00:00:00.000000050,20716388.92423524,0.04355937097318448
2019-03-30 00:00:00.000000051,26835689.150822774,0.05642613407755877
2019-04-07 00:00:00.000000051,20161744.438717894,0.042393146251721685
2019-04-15 00:00:00.000000052,14239777.143077055,0.029941305766138217
2019-04-23 00:00:00.000000052,5936361.848875636,0.012482107231715767
2019-05-01 00:00:00.000000053,5486653.166159626,0.011536526058668162
2019-05-09 00:00:00.000000053,18891989.58786732,0.03972329279437053
2019-05-17 00:00:00.000000054,20232747.914154112,0.04254244190060253
2019-05-25 00:00:00.000000054,55758422.30116144,0.11724059684235894
2019-06-02 00:00:00.000000055,55758422.30116144,0.11724059684235894
2019-06-10 00:00:00.000000055,27570914.88150889,0.057972058440589114
2019-06-18 00:00:00.000000056,9742774.098140312,0.020485670200579773
2019-06-26 00:00:00.000000056,9742774.098140312,0.020485670200579773
2019-07-04 00:00:00.000000057,6272627.046674183,0.01318915615563043
2019-07-12 00:00:00.000000057,42723678.11357141,0.08983305686595089
2019-07-20 00:00:00.000000058,36131590.709148295,0.07597218652860162
2019-07-28 00:00:00.000000058,30686250.164265506,0.06452252656434082
2019-08-05 00:00:00.000000059,54638662.18207961,0.11488613021178697
2019-08-13 00:00:00.000000059,54638662.18207961,0.11488613021178697
2019-08-21 00:00:00.000000060,40912809.91009157,0.0860254299601515
