,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,36912922.1025567,0.10528104001888638
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,58943145.27222917,0.1681144510587195
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,79900514.1692146,0.2278879251663482
2017-02-20 00:00:00.000000003,128991790.67957881,0.36790340897189316
2017-02-28 00:00:00.000000003,128284876.80562302,0.3658871874533944
2017-03-08 00:00:00.000000004,23319313.84693541,0.0665100857502184
2017-03-16 00:00:00.000000004,48675513.66706485,0.13882966751004414
2017-03-24 00:00:00.000000005,12319996.185868476,0.03513842680547656
2017-04-01 00:00:00.000000005,80326381.46574642,0.22910256083686845
2017-04-09 00:00:00.000000006,55487302.28832208,0.1582578826061637
2017-04-17 00:00:00.000000006,92158069.64484654,0.2628482619551375
2017-04-25 00:00:00.000000007,72283655.93273038,0.20616353405514062
2017-05-03 00:00:00.000000007,,
2017-05-11 00:00:00.000000008,45435039.58637543,0.1295873625952133
2017-05-19 00:00:00.000000008,56258818.04927951,0.16045835813283393
2017-05-27 00:00:00.000000009,43412242.94712442,0.12381805142186939
2017-06-04 00:00:00.000000009,116929168.41077708,0.3334990501328387
2017-06-12 00:00:00.000000010,152350343.52407312,0.43452541006874335
2017-06-20 00:00:00.000000010,,
2017-06-28 00:00:00.000000011,123644521.39788684,0.352652216728877
2017-07-06 00:00:00.000000011,147090218.18475077,0.4195227650650524
2017-07-14 00:00:00.000000012,131239406.8190116,0.3743139381644961
2017-07-22 00:00:00.000000012,139280098.13116992,0.39724716305151253
2017-07-30 00:00:00.000000013,123001176.60580952,0.3508173035076356
2017-08-07 00:00:00.000000013,112377694.15181924,0.3205175814138103
2017-08-15 00:00:00.000000014,101761602.6796114,0.2902389394784904
2017-08-23 00:00:00.000000014,130861203.59548174,0.37323524738512376
2017-08-31 00:00:00.000000015,109545567.7520284,0.31243994366932326
2017-09-08 00:00:00.000000015,91568160.98705132,0.2611657563860505
2017-09-16 00:00:00.000000016,59349010.31318808,0.16927203737769864
2017-09-24 00:00:00.000000016,55270548.17741381,0.15763966825398126
2017-10-02 00:00:00.000000017,50727320.76040192,0.14468172073152813
2017-10-10 00:00:00.000000017,44243993.75620819,0.12619032609504743
2017-10-18 00:00:00.000000018,,
2017-10-26 00:00:00.000000018,53291942.25653659,0.15199639545756802
2017-11-03 00:00:00.000000019,40408613.088921815,0.11525126078890977
2017-11-11 00:00:00.000000019,37522682.81173321,0.10702016653524284
2017-11-19 00:00:00.000000020,36077427.78483785,0.10289808831284364
2017-11-27 00:00:00.000000020,33158748.12623875,0.09457358804473838
2017-12-05 00:00:00.000000021,37641510.74661275,0.10735908114440482
2017-12-13 00:00:00.000000021,41891387.44013696,0.11948034959893512
2017-12-21 00:00:00.000000022,36210841.93513951,0.1032786049367503
2017-12-29 00:00:00.000000022,43803540.35279305,0.12493408871935097
2018-01-06 00:00:00.000000023,48697816.61662845,0.13889327877655458
2018-01-14 00:00:00.000000023,40864901.36809701,0.11655266154083412
2018-01-22 00:00:00.000000024,45569200.41746486,0.1299700088616793
2018-01-30 00:00:00.000000024,48037650.10568084,0.13701038755853878
2018-02-07 00:00:00.000000025,34580736.44646451,0.09862930622473336
2018-02-15 00:00:00.000000025,,
2018-02-23 00:00:00.000000026,41131027.16873617,0.11731169115624376
2018-03-03 00:00:00.000000026,,
2018-03-11 00:00:00.000000027,52082183.43019416,0.14854598676178674
2018-03-19 00:00:00.000000027,60385890.53083823,0.17222937105575103
2018-03-27 00:00:00.000000028,12882345.251358813,0.03674232839592721
2018-04-04 00:00:00.000000028,,
2018-04-12 00:00:00.000000029,20805185.323625904,0.05933942435040366
2018-04-20 00:00:00.000000029,12566696.49885996,0.03584205209562744
2018-04-28 00:00:00.000000030,18567203.54562396,0.05295637376240804
2018-05-06 00:00:00.000000030,103141247.0593032,0.2941738865614281
2018-05-14 00:00:00.000000031,,
2018-05-22 00:00:00.000000031,42115138.13420562,0.12011851922720371
2018-05-30 00:00:00.000000032,63799421.34097014,0.18196525901468097
2018-06-07 00:00:00.000000032,87400778.15371233,0.2492797724579346
2018-06-15 00:00:00.000000033,120910009.45259903,0.3448529896521339
2018-06-23 00:00:00.000000033,108970019.70187595,0.3107983966486745
2018-07-01 00:00:00.000000034,,
2018-07-09 00:00:00.000000034,65592644.41269593,0.18707979287500834
2018-07-17 00:00:00.000000035,83264179.98230726,0.23748159087762602
2018-07-25 00:00:00.000000035,99130378.09591992,0.2827343030282887
2018-08-02 00:00:00.000000036,114836801.67652456,0.3275313148971672
