,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,175148253.54678148,0.6627579063306915
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,87865071.8779067,0.3324798843160789
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,13707881.053836508,0.05187038045483145
2017-02-20 00:00:00.000000003,55278539.41237707,0.20917301945109157
2017-02-28 00:00:00.000000003,135278829.76797763,0.5118927090183276
2017-03-08 00:00:00.000000004,66912170.32306573,0.2531944739004369
2017-03-16 00:00:00.000000004,173984875.2349377,0.6583557032906128
2017-03-24 00:00:00.000000005,36871572.08905351,0.13952137932300449
2017-04-01 00:00:00.000000005,94724926.86429828,0.35843745475396344
2017-04-09 00:00:00.000000006,217914409.08422503,0.8245842855942354
2017-04-17 00:00:00.000000006,222795313.7663505,0.8430535429383351
2017-04-25 00:00:00.000000007,219630664.47820345,0.8310785657746431
2017-05-03 00:00:00.000000007,220219724.8359042,0.8333075597923761
2017-05-11 00:00:00.000000008,208824565.47657496,0.7901884774928973
2017-05-19 00:00:00.000000008,208557847.18257225,0.7891792201664113
2017-05-27 00:00:00.000000009,220740272.45848417,0.8352773028272067
2017-06-04 00:00:00.000000009,233324454.74520224,0.8828956269402781
2017-06-12 00:00:00.000000010,229688257.67006683,0.8691363212565428
2017-06-20 00:00:00.000000010,238768546.84908304,0.9034959755682236
2017-06-28 00:00:00.000000011,239897399.16952088,0.9077675328649687
2017-07-06 00:00:00.000000011,236136406.77616,0.8935360038952337
2017-07-14 00:00:00.000000012,240179688.3702277,0.9088357102281546
2017-07-22 00:00:00.000000012,235430978.042006,0.8908666739907334
2017-07-30 00:00:00.000000013,229192060.48926023,0.8672587198644699
2017-08-07 00:00:00.000000013,241079847.15412423,0.9122418952108733
2017-08-15 00:00:00.000000014,236825260.0625384,0.8961426125973138
2017-08-23 00:00:00.000000014,236600389.03190717,0.8952917045783207
2017-08-31 00:00:00.000000015,239379363.13086683,0.9058072936194743
2017-09-08 00:00:00.000000015,230978202.1112169,0.8740174483005598
2017-09-16 00:00:00.000000016,231522036.40442902,0.8760753076868872
2017-09-24 00:00:00.000000016,234271233.80168536,0.8864782222132872
2017-10-02 00:00:00.000000017,222060869.81229916,0.8402744199528223
2017-10-10 00:00:00.000000017,222060869.81229916,0.8402744199528223
2017-10-18 00:00:00.000000018,219861090.82606345,0.8319504950161776
2017-10-26 00:00:00.000000018,225018552.6749797,0.8514662398080899
2017-11-03 00:00:00.000000019,217478245.5092728,0.8229338503092736
2017-11-11 00:00:00.000000019,214915275.72586405,0.8132356177934288
2017-11-19 00:00:00.000000020,199030250.02415633,0.7531269603396389
2017-11-27 00:00:00.000000020,185730355.5831042,0.7028003940412397
2017-12-05 00:00:00.000000021,190772387.59668005,0.7218793543694243
2017-12-13 00:00:00.000000021,168571092.15578246,0.6378700434783606
2017-12-21 00:00:00.000000022,168571092.15578246,0.6378700434783606
