,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03 00:00:00.000000000,19454174.78219302,0.0611054242786973
2017-01-11 00:00:00.000000000,,
2017-01-19 00:00:00.000000001,,
2017-01-27 00:00:00.000000001,14484160.274542086,0.04549464414736672
2017-02-04 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,59376714.48323484,0.18650183682394847
2017-02-20 00:00:00.000000003,21063459.99373848,0.06616017765363502
2017-02-28 00:00:00.000000003,25153721.39867123,0.07900765956214398
2017-03-08 00:00:00.000000004,15161275.831042035,0.047621459282363235
2017-03-16 00:00:00.000000004,5082667.38574482,0.015964622018185843
2017-03-24 00:00:00.000000005,13624630.608285973,0.04279486759427531
2017-04-01 00:00:00.000000005,121754226.61288632,0.3824291576590021
2017-04-09 00:00:00.000000006,86796409.82397118,0.27262690438126996
2017-04-17 00:00:00.000000006,54530054.8153627,0.1712785133648183
2017-04-25 00:00:00.000000007,60823382.9393395,0.19104581212953675
2017-05-03 00:00:00.000000007,,
2017-05-11 00:00:00.000000008,28980665.104249176,0.09102806245448757
2017-05-19 00:00:00.000000008,47909394.30785647,0.15048306591737953
2017-05-27 00:00:00.000000009,26986256.46829301,0.08476363914948314
2017-06-04 00:00:00.000000009,81516690.34572238,0.25604334314555005
2017-06-12 00:00:00.000000010,129331518.73992243,0.40622937820240873
2017-06-20 00:00:00.000000010,,
2017-06-28 00:00:00.000000011,97486744.46078904,0.30620516925128316
2017-07-06 00:00:00.000000011,108601991.76895358,0.34111808179228365
2017-07-14 00:00:00.000000012,80052305.07519224,0.2514437194521758
2017-07-22 00:00:00.000000012,85920820.79374158,0.2698766854804443
2017-07-30 00:00:00.000000013,74295747.67188543,0.23336241369379884
2017-08-07 00:00:00.000000013,61145796.0576809,0.19205850943537683
2017-08-15 00:00:00.000000014,133028271.80007376,0.41784085320575276
2017-08-23 00:00:00.000000014,89483303.42693852,0.28106641803009963
2017-08-31 00:00:00.000000015,58253093.44759616,0.1829725511626509
2017-09-08 00:00:00.000000015,106976735.25638668,0.33601316267471615
2017-09-16 00:00:00.000000016,69849422.42080297,0.2193965377833403
2017-09-24 00:00:00.000000016,40796957.31926714,0.12814295204932377
2017-10-02 00:00:00.000000017,54188219.60896266,0.17020481141886942
2017-10-10 00:00:00.000000017,46496408.42083226,0.14604488732110948
2017-10-18 00:00:00.000000018,,
2017-10-26 00:00:00.000000018,51631731.82495588,0.16217490151757516
2017-11-03 00:00:00.000000019,43032379.70309049,0.13516439781790263
2017-11-11 00:00:00.000000019,25128272.13326889,0.07892772360097361
2017-11-19 00:00:00.000000020,43139572.47477092,0.13550108954944487
2017-11-27 00:00:00.000000020,45159145.90214723,0.14184455528486997
2017-12-05 00:00:00.000000021,23644243.954007924,0.07426640167133369
2017-12-13 00:00:00.000000021,42583276.03417824,0.13375376639604855
2017-12-21 00:00:00.000000022,42156167.445447296,0.13241222136421463
2017-12-29 00:00:00.000000022,23201599.88635861,0.07287605981098826
2018-01-06 00:00:00.000000023,48364634.82601284,0.15191297313895244
2018-01-14 00:00:00.000000023,48171070.02488458,0.15130498747876445
2018-01-22 00:00:00.000000024,17066727.283535328,0.053606468708393355
2018-01-30 00:00:00.000000024,47964229.63981025,0.15065530330405943
2018-02-07 00:00:00.000000025,38950647.00366739,0.1223437045125881
2018-02-15 00:00:00.000000025,,
2018-02-23 00:00:00.000000026,26871874.06774837,0.08440436484494189
2018-03-03 00:00:00.000000026,,
2018-03-11 00:00:00.000000027,9612021.305044942,0.030191290383504963
2018-03-19 00:00:00.000000027,44593850.05261487,0.14006896505216168
2018-03-27 00:00:00.000000028,14083856.63398222,0.044237293266613485
2018-04-04 00:00:00.000000028,,
2018-04-12 00:00:00.000000029,16617334.29184133,0.05219492852574474
2018-04-20 00:00:00.000000029,14527410.884025365,0.045630494003368174
2018-04-28 00:00:00.000000030,8489969.260532964,0.026666932912149135
2018-05-06 00:00:00.000000030,32162697.654339485,0.10102280400579046
2018-05-14 00:00:00.000000031,,
2018-05-22 00:00:00.000000031,16176831.036688862,0.050811310942187465
2018-05-30 00:00:00.000000032,44235338.64259032,0.1389428832695329
2018-06-07 00:00:00.000000032,63704134.74619632,0.2000942330145354
2018-06-15 00:00:00.000000033,113843845.26930921,0.35758270626143307
2018-06-23 00:00:00.000000033,123792593.89100936,0.3888316547456187
2018-07-01 00:00:00.000000034,,
2018-07-09 00:00:00.000000034,103091256.09417243,0.3238089003304475
2018-07-17 00:00:00.000000035,74173090.71688554,0.23297714907271289
2018-07-25 00:00:00.000000035,104048174.53815788,0.32681457433998523
2018-08-02 00:00:00.000000036,79987179.72039698,0.25123916117712075
2018-08-10 00:00:00.000000036,80146418.26869401,0.2517393283219189
2018-08-18 00:00:00.000000037,53603990.86807849,0.16836975310942043
2018-08-26 00:00:00.000000037,40391027.47280177,0.12686792929593732
2018-09-03 00:00:00.000000038,69039251.28382462,0.21685179601877416
2018-09-11 00:00:00.000000038,65158688.07904764,0.2046629746617642
2018-09-19 00:00:00.000000039,35144177.082916625,0.11038760963240449
2018-09-27 00:00:00.000000039,36247807.575596586,0.11385410514080532
2018-10-05 00:00:00.000000040,36661238.08431969,0.11515268742086207
2018-10-13 00:00:00.000000040,25120151.775740147,0.0789022176158756
2018-10-21 00:00:00.000000041,37745085.66358522,0.11855704493928433
2018-10-29 00:00:00.000000041,40423645.16381799,0.12697038123084858
2018-11-06 00:00:00.000000042,23040554.71684597,0.07237021808183344
2018-11-14 00:00:00.000000042,40815428.32911166,0.1282009693595434
2018-11-22 00:00:00.000000043,43790387.10803614,0.13754529367209195
2018-11-30 00:00:00.000000043,22153349.179491505,0.06958351181495662
2018-12-08 00:00:00.000000044,38389198.66582082,0.12058019928665135
2018-12-16 00:00:00.000000044,40126221.82368044,0.12603617664016464
2018-12-24 00:00:00.000000045,21124849.13337229,0.06635300050350793
2019-01-01 00:00:00.000000045,45630175.00884379,0.14332405435047177
2019-01-09 00:00:00.000000046,49691239.23134985,0.15607982811716029
2019-01-17 00:00:00.000000046,23721614.435834266,0.07450942180308318
2019-01-25 00:00:00.000000047,53199827.67447832,0.16710027940008698
2019-02-02 00:00:00.000000047,27584695.925534114,0.086643333217684
2019-02-10 00:00:00.000000048,,
2019-02-18 00:00:00.000000048,21737502.632696413,0.06827734077654257
2019-02-26 00:00:00.000000049,16848552.42039295,0.05292118301889371
2019-03-06 00:00:00.000000049,,
2019-03-14 00:00:00.000000050,47539609.34729807,0.1493215739929066
2019-03-22 00:00:00.000000050,43339419.23638813,0.136128806802737
2019-03-30 00:00:00.000000051,,
2019-04-07 00:00:00.000000051,15882014.729252243,0.04988529502262849
2019-04-15 00:00:00.000000052,12470720.751994265,0.03917044496327194
2019-04-23 00:00:00.000000052,,
2019-05-01 00:00:00.000000053,28091868.10957435,0.08823635743151491
2019-05-09 00:00:00.000000053,26566663.644472454,0.08344570108164381
2019-05-17 00:00:00.000000054,,
2019-05-25 00:00:00.000000054,27514208.93910345,0.08642193409589163
2019-06-02 00:00:00.000000055,37607124.43583392,0.11812370970660875
2019-06-10 00:00:00.000000055,,
2019-06-18 00:00:00.000000056,44649311.45954191,0.14024316893586858
2019-06-26 00:00:00.000000056,110325015.887867,0.3465300882642829
2019-07-04 00:00:00.000000057,,
2019-07-12 00:00:00.000000057,139027914.84746182,0.43668568923893947
2019-07-20 00:00:00.000000058,131234979.81701346,0.4122081358734921
2019-07-28 00:00:00.000000058,,
2019-08-05 00:00:00.000000059,126652207.42679958,0.3978136804719173
2019-08-13 00:00:00.000000059,125180124.71274516,0.3931898791633176
2019-08-21 00:00:00.000000060,110884881.21699409,0.3482886212711189
2019-08-29 00:00:00.000000060,52022548.96820343,0.16340245537791104
2019-09-06 00:00:00.000000061,61166136.21763668,0.1921223977327685
2019-09-14 00:00:00.000000061,46561589.55442055,0.14624962079695575
2019-09-22 00:00:00.000000062,51587426.724525705,0.16203573951302824
2019-09-30 00:00:00.000000062,45298977.0051779,0.14228376378246546
2019-10-08 00:00:00.000000063,22637561.05885208,0.0711044178755003
2019-10-16 00:00:00.000000063,36318649.362869896,0.11407661868951463
2019-10-24 00:00:00.000000064,47717178.49823909,0.14987931742990865
2019-11-01 00:00:00.000000064,24624294.002276514,0.07734473188499179
2019-11-09 00:00:00.000000065,40033789.30749992,0.12574584676590403
2019-11-17 00:00:00.000000065,43540065.61278251,0.1367590356403428
2019-11-25 00:00:00.000000066,18734984.80123868,0.05884645367648863
2019-12-03 00:00:00.000000066,46948006.90377735,0.1474633549360522
2019-12-11 00:00:00.000000067,49894421.00956142,0.15671802063379597
2019-12-19 00:00:00.000000067,21360396.839164466,0.06709285416789873
2019-12-27 00:00:00.000000068,55116672.00188056,0.1731210737649726
2020-01-04 00:00:00.000000068,51407904.07010071,0.16147186013551187
2020-01-12 00:00:00.000000069,20357535.983449508,0.06394287537069725
2020-01-20 00:00:00.000000069,72472600.64537458,0.2276359218829325
2020-01-28 00:00:00.000000070,83757507.81754641,0.263081734847071
2020-02-05 00:00:00.000000070,20215593.538321696,0.06349703516262892
2020-02-13 00:00:00.000000071,74676079.49252212,0.23455703323057644
2020-02-21 00:00:00.000000071,66069965.09009538,0.20752528925587715
2020-02-29 00:00:00.000000072,,
2020-03-08 00:00:00.000000072,56525954.03551087,0.17754761858414164
2020-03-16 00:00:00.000000073,39847292.72243989,0.12516006232198856
2020-03-24 00:00:00.000000073,9372721.259000352,0.029439650645136265
2020-04-01 00:00:00.000000074,84582538.16496545,0.26567314928568225
2020-04-09 00:00:00.000000074,51461418.63366946,0.16163994899811174
2020-04-17 00:00:00.000000075,5925183.255560363,0.018610958357969203
2020-04-25 00:00:00.000000075,16262515.36050597,0.05108044479235057
2020-05-03 00:00:00.000000076,15856234.393230753,0.04980431917100396
2020-05-11 00:00:00.000000076,,
2020-05-19 00:00:00.000000077,30235349.773874506,0.0949690180556272
2020-05-27 00:00:00.000000077,113246765.06774536,0.3557072816056227
2020-06-04 00:00:00.000000078,,
2020-06-12 00:00:00.000000078,110838165.13528496,0.34814188639156557
2020-06-20 00:00:00.000000079,133500518.831354,0.4193241777637879
2020-06-28 00:00:00.000000079,,
2020-07-06 00:00:00.000000080,121251430.21421279,0.38084987775580775
2020-07-14 00:00:00.000000080,141968588.8057123,0.4459223251742087
2020-07-22 00:00:00.000000081,133010982.28079742,0.4177865469489835
