Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,187465532.2815399,0.08332373248434655
2017-01-09,363763519.47729415,0.16168377096099998
2017-01-28,365992940.40170914,0.1626746927077346
2017-02-02,393659772.14564955,0.17497190627475642
2017-02-21,394436026.4913385,0.17531693188374603
2017-02-24,309887254.3397323,0.13773712088115495
2017-02-26,441821571.72760147,0.19637861958088265
2017-03-05,442823915.6049488,0.19682413632242415
2017-03-08,313900348.2457087,0.13952084058144604
2017-03-10,283964679.51076686,0.12621518581359123
2017-03-17,284779589.9959234,0.1265773931081135
2017-03-20,293030546.535942,0.13024473657714106
2017-03-22,331503213.37477154,0.14734487312290165
2017-04-01,428324429.92023796,0.19037947819434206
2017-04-03,467162457.1095427,0.20764200826243648
2017-04-10,467138459.72452223,0.20763134202600658
2017-04-13,344921455.32457995,0.1533089454994543
2017-04-15,362900246.9347971,0.161300067943615
2017-04-22,365709594.728336,0.16254875265464108
2017-04-25,476868847.90027845,0.2119562557925966
2017-04-27,544196900.0341028,0.2418818881817318
2017-05-07,263606803.48875403,0.11716661995210711
2017-05-09,335479023.0763887,0.14911202092844436
2017-05-19,260814799.2779796,0.1159256440291073
2017-05-21,289232621.28947,0.1285566539553324
2017-05-28,293347539.9272221,0.1303856321978606
2017-05-31,315830574.5976437,0.14037877783650007
2017-06-02,399906069.83227617,0.17774822910660598
2017-06-03,399766286.33247465,0.17768609884297065
2017-06-06,385542914.1847732,0.1713641662645567
2017-06-09,386534879.8632304,0.1718050701566988
2017-06-12,636052712.1705818,0.2827094953927351
2017-06-24,645161297.1557243,0.28675803321926807
2017-07-03,635785204.2723093,0.2825905948338866
2017-07-06,469214832.493469,0.20855423770198434
2017-07-15,470081586.5896461,0.20893948818275598
2017-07-18,535349618.2117337,0.2379494930645666
2017-07-27,542465806.8218553,0.24111246061834296
2017-07-30,408290292.99917185,0.18147480625252257
2017-08-01,327590302.8327845,0.14560568241798819
2017-08-08,339810662.0451036,0.1510373259285439
2017-08-11,679033527.2173917,0.30181339087332437
2017-08-13,587677827.1504233,0.2612080709478019
