Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,497987455.3256123,0.14570022867169413
2017-01-28,541834872.7915537,0.15852902321888546
2017-02-19,662337830.44788,0.19378555086507335
2017-02-21,229527378.66559365,0.06715468673026137
2017-03-03,306926963.3888672,0.08980011097272846
2017-03-05,265754518.43530482,0.07775395482852518
2017-03-15,182538246.92986655,0.0534066953586649
2017-03-17,228153724.87355757,0.06675278569947228
2017-03-27,138958630.96190694,0.0406562536677098
2017-04-08,1616700019.5597272,0.47301103677273637
2017-04-10,1499994932.166607,0.4388656828316225
2017-04-20,851434946.3514446,0.24911122771428731
2017-04-22,756243570.1149789,0.2212603147306305
2017-05-02,962728972.9734365,0.28167342371983767
2017-05-14,515285565.72654307,0.15076127712592854
2017-05-26,822671969.4109664,0.24069581027216286
2017-05-28,686508655.9819955,0.2008574053261492
2017-06-07,1285372101.808106,0.3760717406811052
2017-06-09,1009788278.7998183,0.29544194649427546
2017-06-19,1777060098.0455556,0.5199288855163738
2017-07-01,1539602868.2673295,0.4504540979319904
2017-07-03,1572415224.9275677,0.46005427524072995
2017-07-13,1559920243.3782701,0.456398517149814
2017-07-15,1429282515.809331,0.4181767776734662
2017-07-25,1314452280.364913,0.3845799643727444
2017-07-27,1151701672.636731,0.3369626991005729
2017-08-06,1240806124.0438776,0.3630327111196476
2017-08-08,1185956643.3338137,0.3469849536982189
2017-08-18,1638352741.1359375,0.47934614913607004
2017-08-30,1308613744.1226094,0.38287173647159095
2017-09-01,1134559191.5349164,0.3319471843725936
2017-09-11,1465221177.5281978,0.4286916434087282
2017-09-23,995106660.1515336,0.29114642625285286
2017-09-25,784250619.4769313,0.2294545643102464
2017-10-05,772336256.2138512,0.22596868242036353
2017-10-17,673445267.7357062,0.19703534387790056
2017-10-29,739291727.1538335,0.2163005765496143
2017-10-31,623175184.2706866,0.18232741784910247
2017-11-10,632423004.1272511,0.185033127507863
2017-11-12,533175651.3098609,0.15599552456041713
2017-11-22,603093831.2122645,0.17645205351741255
2017-11-24,489696057.3960323,0.14327434713305592
2017-12-04,599150879.6462733,0.17529843219891827
2017-12-06,507151095.30724335,0.14838130914171466
2017-12-16,632223915.6816517,0.18497487858665118
2017-12-18,601445430.277068,0.17596976748664553
2017-12-28,586909738.1178554,0.17171694214164993
2017-12-30,503344194.6327471,0.1472674933359694
2018-01-09,605364026.684165,0.17711626301877254
2018-01-11,468298781.9442684,0.13701397271411644
2018-01-21,558513213.420432,0.16340874060434263
2018-01-23,353324697.4120066,0.10337507231909346
2018-02-02,451669934.66546744,0.13214873599950122
2018-02-04,318345639.3777877,0.09314096561659871
2018-02-14,329299817.4966233,0.09634591835136436
2018-02-26,292777937.2647227,0.0856604156456209
2018-03-12,371686941.0719762,0.10874746287144907
2018-03-22,313396202.47974396,0.09169286872152818
2018-03-24,210383943.9605805,0.06155373677810178
2018-04-03,156395282.31226498,0.04575783617113779
2018-04-15,212828632.29949632,0.06226899907276774
2018-04-17,191905869.3280528,0.05614745661867173
2018-04-27,204579877.72865534,0.059855594047449626
2018-04-29,268546379.0131363,0.0785707921208292
2018-05-09,637509148.6207564,0.18652122205288812
2018-05-11,787848484.9736196,0.23050722099866583
2018-05-23,496445638.83159566,0.1452491269153233
2018-06-02,657441006.1329502,0.19235284726015245
2018-06-04,567903228.0765685,0.16615605334886765
2018-06-14,1158254419.0733879,0.33887988927080376
2018-06-16,1803610236.7703333,0.5276968749347739
2018-06-26,1873382181.9812536,0.5481106188220632
2018-06-28,1586591189.3213198,0.4642018521158562
2018-07-10,1536946214.62942,0.4496768192306789
2018-07-20,1151521986.07951,0.33691012674720067
2018-07-22,1054703179.045342,0.3085830631359793
2018-08-01,1421628426.235886,0.4159373586093949
2018-08-03,1324618954.5494883,0.387554510694508
2018-08-13,1167456121.9189696,0.34157210610163463
2018-08-15,950746228.6271296,0.2781675350218386
2018-08-25,881833485.8256952,0.25800517495194986
2018-08-27,871576676.8776909,0.2550042571714227
2018-09-06,1020209314.0384436,0.2984909132925871
2018-09-08,731709287.5047914,0.21408212068503354
2018-09-18,805823269.7845155,0.2357662495731098
2018-09-20,627484352.2392769,0.18358818607065902
2018-09-30,512676700.97979856,0.14999798040809123
2018-10-02,466408964.6608574,0.13646105354437418
2018-10-12,508815917.5584524,0.14886839969009058
2018-10-14,510259226.40801954,0.14929068026599046
2018-10-24,536435763.68414634,0.1569493620785093
2018-10-26,507825432.6793928,0.1485786054958162
2018-11-05,563101477.3842186,0.1647511662047881
2018-11-07,473113391.9041561,0.13842262219839307
2018-11-17,540948317.9519249,0.15826963667915936
2018-11-19,464375684.09789413,0.1358661601593917
2018-11-29,540739929.181526,0.15820866668649178
2018-12-01,487732430.45433617,0.14269983287296487
2018-12-11,457797960.40850294,0.1339416621917534
2018-12-13,419311151.55591506,0.1226812643831393
2018-12-23,527736245.62494415,0.15440407352353852
2018-12-25,425714325.16536874,0.12455469281822296
2019-01-04,534796025.06975794,0.15646961045319577
2019-01-16,507785172.09423786,0.1485668261298888
2019-01-18,272549156.1663528,0.07974191709658615
2019-01-28,422282057.3262495,0.12355048637953829
2019-01-30,202951747.48636627,0.05937923877770952
2019-02-09,236762424.7878923,0.06927150285322958
2019-02-21,252682726.35742345,0.07392943460310938
2019-03-05,261743019.76528555,0.07658027812786243
2019-03-17,474550797.7946445,0.13884317569768004
2019-03-29,395721125.5364093,0.11577933914655708
2019-04-10,223385016.13295257,0.06535756590719749
2019-04-22,140470087.0475573,0.041098472633170464
2019-05-04,472712975.1436592,0.13830546901924273
2019-05-16,460759052.4051345,0.1348080128927867
2019-05-28,658790907.6042355,0.19274779888181917
2019-06-09,620141645.0046254,0.1814398706628773
2019-06-21,652315565.017558,0.19085325538375134
2019-07-03,1335911064.75253,0.39085833495990724
2019-07-15,1890099623.2788904,0.5530017762073004
2019-07-23,1799982849.732727,0.5266355808896972
2019-07-27,1893783832.3119926,0.5540796951244472
2019-08-08,1810492337.3678122,0.5297104269230235
2019-08-10,1706775360.1866732,0.49936510972512743
2019-08-20,1771611668.2110808,0.5183347942108698
2019-08-22,1692220019.2179747,0.49510653556858125
2019-09-01,745328850.9590386,0.21806690682466626
2019-09-03,550961715.3630601,0.16119933757218485
2019-09-13,711037106.8685256,0.20803389313705822
2019-09-15,798434298.1038622,0.2336043982011391
2019-09-25,638165412.1935861,0.1867132304089373
2019-09-27,496294021.2416403,0.14520476692735393
2019-10-07,581282902.9000616,0.1700706533262129
2019-10-09,474775470.2092667,0.13890890992820454
2019-10-19,506675400.59224397,0.1482421312808828
2019-10-21,464080309.96763486,0.13577974015450556
2019-10-31,640798464.7103524,0.1874836039388219
2019-11-02,521979903.65931404,0.1527198938685382
2019-11-12,543461079.8150251,0.159004815796898
2019-11-14,390865031.83121675,0.11435855242646771
2019-11-24,533965363.35193294,0.15622657701743023
2019-11-26,409011674.4581778,0.1196678628359899
2019-12-06,524561029.0610508,0.15347507466122998
2019-12-08,442198579.92196184,0.12937762492591565
2019-12-18,525929471.86155754,0.15387545106996423
2019-12-20,477997782.72472966,0.13985168803502981
2019-12-30,582758821.5581899,0.1705024748182814
2020-01-01,565259014.9466984,0.1653824144678905
2020-01-11,570104603.225502,0.16680012753017828
2020-01-13,453342438.10968477,0.13263807389681295
2020-01-23,703986969.3873148,0.20597117723489228
2020-01-25,727750704.6172924,0.21292392598402982
2020-02-04,785313493.785683,0.22976553806707153
2020-02-06,701946588.5856817,0.20537420647549653
2020-02-16,737591883.1120851,0.2158032393919403
2020-02-18,647925236.660353,0.18956874140905625
2020-02-28,698795334.6965902,0.20445221856730117
2020-03-11,512122441.5377456,0.14983581622787556
2020-03-13,575168300.962516,0.16828165464560504
2020-03-23,464024105.3073077,0.13576329590119254
2020-03-25,596454979.316483,0.1745096707746577
2020-04-04,765553269.6425498,0.22398412902660494
2020-04-06,871661747.4518262,0.2550291469592521
2020-04-16,550925973.1030042,0.16118888016927702
2020-04-18,144301852.06863785,0.04221956320245517
2020-04-28,156927004.47212166,0.04591340643591538
2020-04-30,173445514.4788806,0.05074636087997217
2020-05-10,191671055.32988498,0.056078755182797216
2020-05-22,362450182.1378399,0.10604498939647165
2020-05-24,564671155.1147673,0.1652104195490963
2020-05-28,1362323077.8811538,0.3985859118523895
2020-05-30,1148887585.7934368,0.33613935888951907
2020-06-03,1332342325.6534529,0.389814200017863
2020-06-15,1384383168.323933,0.4050402114289312
2020-06-27,1726225673.2669377,0.5050558455724343
2020-07-09,1627047286.0623055,0.4760384204536503
2020-07-17,1770784888.128035,0.5180928964564732
2020-07-21,1939903522.9192007,0.5675733070535757
2020-07-23,1832637099.043203,0.5361894994488062
2020-07-27,1717125675.5486047,0.5023933854355498
2020-08-02,1710007183.4647043,0.5003106704728931
2020-08-04,1595378590.1629517,0.4667728532492451
2020-08-14,1650083577.9733512,0.4827783352111268
2020-08-16,1568215890.2699661,0.45882564184175917
2020-08-26,1638464870.9926498,0.479378955877664
2020-08-28,872726390.5460583,0.2553406382239907
2020-09-07,976406726.3792136,0.28567523496553204
2020-09-09,889364661.1272591,0.26020863199061567
