Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,3301707915.6363335,0.2667960564656201
2017-01-09,2762736885.531146,0.22324424962641232
2017-01-28,2846845561.5672073,0.23004069063644053
2017-02-02,2241529623.8649726,0.18112785242627427
2017-02-19,1789927843.0105665,0.14463595874476257
2017-02-21,2141194994.5086744,0.1730202656490106
2017-02-24,1784248097.2940571,0.14417700422861174
2017-02-26,1676110476.1473613,0.13543889304049614
2017-03-03,1359900850.9661164,0.10988742599058034
2017-03-05,2487079724.790233,0.200969643482758
2017-03-08,1915365199.324618,0.15477198314582227
2017-03-10,1672659022.7793474,0.13515999673252774
2017-03-15,738406443.9205536,0.059667278978200435
2017-03-17,2077439577.589748,0.1678684792866446
2017-03-20,1510885195.7622063,0.12208778677624323
2017-03-22,1263346536.6122928,0.10208530933987799
2017-03-27,556346741.8938386,0.04495585937866507
2017-04-01,945493976.5526043,0.07640108416665191
2017-04-03,1167828839.6759374,0.09436695704571801
2017-04-08,4296059648.128855,0.3471451145129408
2017-04-10,4419434714.643619,0.35711449461965405
2017-04-13,4367208602.644761,0.3528943391480452
2017-04-15,4376644521.258855,0.35365681297665025
2017-04-20,3420799693.1660876,0.2764193233972426
2017-04-22,4049962333.1080465,0.32725910556484916
2017-04-25,4030618767.3273993,0.32569603966073957
2017-04-27,4059067310.9294333,0.3279948375675042
2017-05-02,4228290713.784692,0.34166901399288147
2017-05-07,4275879176.7899923,0.34551442206273103
2017-05-09,4262251064.694409,0.3444131960739166
2017-05-14,3358833461.9534945,0.2714121130249192
2017-05-19,3377514845.5098,0.27292167098385917
2017-05-21,3432676311.5106206,0.27737901911213686
2017-05-26,3767812776.3158274,0.3044598783136468
2017-05-28,3758014049.889149,0.3036680876296064
2017-05-31,3559859161.2808743,0.28765608893047767
2017-06-02,3782837688.3068647,0.3056739733730455
2017-06-03,3885298524.7631526,0.313953369312113
2017-06-06,4059895767.5405655,0.3280617813924731
2017-06-07,5186621746.168319,0.41910740247592254
2017-06-09,4938662557.855303,0.39907094398332477
2017-06-12,4763755965.24445,0.3849375347446033
2017-06-19,6215393136.233848,0.5022377570945983
2017-06-24,6353171410.687164,0.5133709951732
2017-07-01,5656095808.129052,0.4570434742134735
2017-07-03,5734274224.682949,0.4633607178250382
2017-07-06,5531999637.199891,0.44701582492639147
2017-07-13,5695062276.800083,0.4601921779878407
2017-07-15,5596082910.052166,0.4521941038412004
2017-07-18,5406832297.26695,0.43690161932563215
2017-07-25,5177722874.63715,0.41838832498870254
2017-07-27,5031976833.2015915,0.40661124776260044
2017-07-30,4883074999.775172,0.39457916528476167
2017-08-01,4836779952.393992,0.39083827227096907
2017-08-06,4987844894.269851,0.4030451457414588
2017-08-08,5050059369.632459,0.4080724155987388
2017-08-11,4924095444.814801,0.3978938415828098
2017-08-13,5143081702.074737,0.4155891287947486
2017-08-18,6068877168.368413,0.49039846560227146
2017-08-23,6026488614.461981,0.48697323862566383
2017-08-25,5967065399.6127405,0.48217151788313384
2017-08-30,5431245934.832243,0.4388743747579205
2017-09-01,5280779724.619842,0.42671588208027283
2017-09-04,5117918359.619976,0.4135557931072912
2017-09-06,5094578919.055904,0.41166983866743334
2017-09-11,5268374649.849045,0.42571348419603366
2017-09-16,5246720393.289024,0.4239637018398936
2017-09-18,5230665051.83782,0.4226663424447441
2017-09-23,4375857176.6254635,0.35359319122432215
2017-09-25,4226457332.29498,0.34152086674183735
2017-09-28,4051442866.5893598,0.3273787407671059
2017-09-30,4058908138.567919,0.32798197557018777
2017-10-05,3853413418.7464294,0.3113768783678465
2017-10-10,3897697377.989003,0.31495526446149524
2017-10-12,3852943643.5572424,0.31133891796338226
2017-10-17,3624724406.3409824,0.292897555476248
2017-10-22,3772171826.850447,0.30481211343628234
2017-10-24,3820990035.3529077,0.3087568916677216
2017-10-29,3834979358.517471,0.30988730548635557
2017-10-31,3884825903.9342637,0.31391517896439813
2017-11-03,3729657800.980697,0.3013767476388385
2017-11-05,3669268060.369583,0.29649692632886604
2017-11-10,3483448085.114656,0.28148165608773723
2017-11-12,3567502460.7746468,0.2882737093304128
2017-11-15,3418395976.3279033,0.2762250899309052
2017-11-17,3333414885.847547,0.26935815306258526
2017-11-22,3256292656.751763,0.2631262551738746
2017-11-24,3371885541.080379,0.27246679239956606
2017-11-27,3232042917.7946544,0.26116674364548115
2017-11-29,3089719369.919724,0.24966622261653085
2017-12-04,3066426440.621669,0.24778402654133505
2017-12-06,3404003331.599241,0.27506208552414574
2017-12-09,3196664641.0239925,0.25830798540031313
2017-12-11,3146841370.3724585,0.2542819926505921
2017-12-16,3203332525.1035523,0.25884678690027974
2017-12-18,3370832208.8131247,0.2723816773917483
2017-12-21,3369734126.7876143,0.27229294635872914
2017-12-23,3224037312.608566,0.26051984696417446
2017-12-28,2997734751.239555,0.24223336236770623
2017-12-30,3398323321.3826456,0.27460310963494144
