Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,9358337.877631754,0.06092090681215067
2017-02-02,6652478.551014204,0.04330630408684576
2017-02-24,21751246.832740907,0.14159626406658776
2017-02-26,23061324.30584095,0.1501246062464731
2017-03-08,37701340.798161134,0.2454281838816385
2017-03-10,4806777.488297675,0.031291159526442694
2017-03-20,37213482.59164481,0.2422523245863931
2017-03-22,18390441.31796299,0.11971809272283623
2017-04-01,65316742.08382349,0.4251989199142772
2017-04-03,56592038.18627072,0.3684028435109184
2017-04-13,29533449.48324057,0.19225684596303225
2017-04-15,25460622.484897666,0.16574355724954018
2017-04-25,67385837.15022784,0.4386683147335418
2017-04-27,75993603.78869253,0.49470315298147977
2017-05-07,9545439.735303096,0.0621389024631541
2017-05-09,14685265.000600627,0.09559813636903314
2017-05-19,12644562.975122755,0.08231357456424333
2017-05-21,8345838.847785317,0.05432974074706335
2017-05-31,51672811.19522938,0.3363796602247765
2017-06-02,52703889.09837285,0.34309177103706173
2017-06-06,22507627.600062266,0.1465201514964941
2017-06-12,64881481.6060269,0.42236546130724856
2017-06-24,56198171.35079956,0.3658388492318181
2017-07-06,45870779.51557395,0.2986095950808063
2017-07-18,63160286.51421288,0.4111608257015432
2017-07-30,47691231.92458996,0.31046037595832743
2017-08-01,21966989.47888949,0.14300070551904265
2017-08-11,61855312.99533126,0.40266570924222705
2017-08-13,59171874.40757996,0.3851970610401495
2017-08-23,69309825.10136539,0.45119309127095536
2017-08-25,69226365.05321619,0.4506497830593564
2017-09-04,45186484.26472826,0.2941549699375521
2017-09-06,50705924.86146518,0.33008542368326604
2017-09-16,21832695.010988306,0.14212647540773726
2017-09-18,34415268.33180257,0.22403650972767378
2017-09-28,28919753.52211241,0.18826180806765513
2017-09-30,7416033.164562863,0.04827689182007656
2017-10-10,61983231.35962866,0.4034984321950445
2017-10-12,6882496.4202326415,0.044803674384757255
2017-10-22,62488183.84258176,0.40678557180902203
2017-10-24,5405847.272257399,0.03519098393541363
2017-11-03,4869089.420126583,0.03169679773291389
2017-11-05,2682658.12160504,0.017463567523650667
2017-11-15,3889582.2575116027,0.02532040212123907
2017-11-17,4264057.301718738,0.027758159719855728
2017-11-27,5351338.099933402,0.0348361401318473
2017-11-29,3772107.547304969,0.024555665266590067
2017-12-09,2364346.989719137,0.015391425754839191
2017-12-11,2422874.86793919,0.015772430529573726
2017-12-21,7371429.295230823,0.04798652955675911
2017-12-23,3106333.6930508786,0.02022161070868347
2018-01-02,8066377.6317484835,0.05251050415586446
2018-01-04,9778607.782702938,0.06365677979061939
2018-01-14,12663436.98630413,0.08243644060000598
2018-01-16,12831802.971294867,0.08353246946924278
2018-01-26,11893670.769370193,0.07742541657179024
2018-01-28,9107047.052690033,0.059285053829580533
2018-02-07,13097340.541979264,0.08526106591556844
2018-02-09,7809505.848975625,0.05083832025466336
2018-02-19,24409454.91859165,0.15890066675036857
2018-02-21,19706863.193259712,0.1282877356913933
2018-03-03,36587232.67061471,0.2381755629243269
2018-03-05,31522655.258382946,0.20520617748346115
2018-03-15,83799792.67427954,0.545519880468267
2018-03-17,53348175.57415842,0.34728594706114807
2018-03-27,50188585.35928255,0.32671764705296896
2018-03-29,42267002.61613168,0.27514972864582116
2018-04-08,51039630.39889675,0.3322577799514832
2018-04-10,61258413.25497042,0.3987800113828202
2018-04-20,55323265.68721041,0.36014338844616567
2018-04-22,41206097.56500369,0.26824344906910386
2018-05-02,38531249.50021601,0.25083072345240176
2018-05-04,27237692.62711688,0.17731192825178366
2018-05-14,31711801.258487277,0.20643748009263377
2018-05-16,50323846.63900225,0.3275981709157365
2018-05-26,13005400.88815625,0.0846625571679541
2018-05-28,15185740.133722335,0.09885612933160633
2018-06-07,13575844.562207175,0.08837603133001669
2018-06-09,12082557.113705086,0.0786550288738656
2018-06-19,71691618.06602094,0.46669808683137814
2018-07-01,60796124.73580475,0.3957706056352746
2018-07-13,66261965.65979962,0.4313521362376936
2018-07-15,73720531.74996471,0.47990590889183954
2018-07-25,42016068.80476543,0.27351619975018254
2018-07-27,46328352.28988243,0.3015883022730368
2018-08-06,44610772.07171429,0.2904071987713651
2018-08-08,55607417.61882795,0.36199316065709863
2018-08-18,70772133.81366672,0.46071242835384013
2018-08-20,51788772.63309644,0.3371345459793278
2018-08-30,62686385.03228968,0.4080758218904082
2018-09-01,66810940.82617334,0.434925854711011
2018-09-11,69076298.06246898,0.44967287698068803
2018-09-13,68821957.48535784,0.4480171707218051
2018-09-23,57465975.95549358,0.37409200349793925
2018-09-25,41650402.98904298,0.2711357884661166
2018-10-05,11459364.81889568,0.07459817174661025
2018-10-07,9807487.39763214,0.06384478030447965
