Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,35600148.32030236,0.1912891936909448
2017-02-02,41067082.45291833,0.22066450451214228
2017-02-24,18911855.88122701,0.10161849973687248
2017-02-26,46321642.76651821,0.24889867355395326
2017-03-08,22004909.14014288,0.11823830869434654
2017-03-10,33462429.11873769,0.17980265215393237
2017-03-20,22795506.589809284,0.12248640191351319
2017-03-22,42778039.89234983,0.22985794005863766
2017-04-01,50554781.96411833,0.2716444715940324
2017-04-03,75891780.31659415,0.407786993860713
2017-04-13,27444563.653654385,0.14746703876830278
2017-04-15,48148655.20675138,0.2587157039048133
2017-04-25,36750633.10387005,0.19747105857033515
2017-04-27,71322211.2564899,0.38323346747768006
2017-05-07,20670014.369623244,0.1110655592434872
2017-05-09,46494244.19297221,0.24982610754662185
2017-05-19,22492221.718705013,0.12085677054427778
2017-05-21,40690657.0655196,0.21864186943229796
2017-05-31,44393355.53763883,0.23853746646295562
2017-06-02,29454768.673528753,0.15826841223297355
2017-06-06,16291672.573712962,0.08753954850028454
2017-06-12,48760223.89069904,0.2620018273048179
2017-06-24,35313305.20271425,0.1897479082955709
2017-07-06,19803995.374828186,0.10641220573088638
2017-07-18,37312050.1802845,0.2004877038636471
2017-07-30,28689276.432632986,0.15415521606816662
2017-08-01,25726448.367293473,0.13823514218070804
2017-08-11,43547291.90148668,0.23399133847172823
2017-08-13,52615077.04040198,0.2827149924346145
2017-08-23,46449117.33481637,0.24958362877286028
2017-08-25,63262164.28583705,0.33992466234980767
2017-09-04,22052903.08207369,0.1184961930821135
2017-09-06,35222608.60630584,0.18926057103390045
2017-09-16,14788287.943785494,0.07946145761485471
2017-09-18,32637520.76716061,0.17537019720957708
2017-09-28,18586899.85954021,0.0998724234336444
2017-09-30,26590507.86592964,0.1428779667922239
2017-10-10,35469780.211104706,0.19058869069677017
2017-10-12,23682209.63017056,0.12725089637875922
2017-10-22,36391731.55415537,0.19554258379428488
2017-10-24,27047274.68866812,0.1453322980618661
2017-11-03,16331940.166373575,0.0877559171306234
2017-11-05,26748138.41074014,0.14372495820210712
2017-11-15,13180982.190162128,0.07082497051769031
2017-11-17,40662291.34532672,0.21848945277112736
2017-11-27,14784443.600690292,0.07944080092308095
2017-11-29,26694422.872108065,0.14343633013288798
2017-12-09,13899113.36015478,0.07468368288136573
2017-12-11,26781878.34215005,0.1439062519488781
2017-12-21,20345923.73725972,0.10932413291037689
2017-12-23,35008149.21809718,0.18810822292903337
2018-01-02,15904346.283756627,0.0854583399324315
2018-01-04,59981359.827563904,0.32229601558591703
2018-01-14,20048085.40121461,0.10772376724224202
2018-01-16,47498307.01554313,0.2552212077584688
2018-01-26,19937533.424329296,0.1071297416688353
2018-01-28,42812438.71955421,0.23004277423013145
2018-02-07,21827579.230943944,0.11728546728922778
2018-02-09,37090911.88261168,0.19929946817778907
2018-02-19,25298422.645438224,0.13593524459387743
2018-02-21,48054799.50431036,0.25821139191482645
2018-03-03,25298950.46703077,0.13593808072157956
2018-03-05,52361571.11267298,0.2813528367470917
2018-03-15,93712059.41275796,0.5035401572740451
2018-03-17,68060467.91144773,0.36570724121350184
2018-03-27,25122992.3896281,0.13499261053850817
2018-03-29,50925441.58437622,0.27363612565274564
2018-04-08,26436649.09342953,0.14205124213172465
2018-04-10,68447482.84532496,0.3677867767812093
2018-04-20,38587147.51495496,0.20733914557203698
2018-04-22,67823864.4431562,0.36443590699694867
2018-05-02,23275091.71569201,0.12506334207710118
2018-05-04,39832520.81217542,0.21403087201447085
2018-05-14,21196337.001983874,0.1138936326284552
2018-05-16,47435299.99711329,0.2548826540635831
2018-05-26,16841278.07244748,0.09049272700266395
2018-05-28,31218285.87192074,0.167744265532948
2018-06-07,16575132.873017035,0.08906265710110875
2018-06-09,27731219.16114204,0.1490073160840327
2018-06-19,52047378.65078005,0.2796645959521792
2018-07-01,40667804.07532204,0.2185190741554641
2018-07-13,39969261.34549262,0.21476561576126021
2018-07-15,62648129.42545921,0.3366252875190342
2018-07-25,19678970.70418371,0.1057404144724938
2018-07-27,36946285.23370436,0.19852235020606626
2018-08-06,25788342.05954097,0.13856771367389553
2018-08-08,45345332.98499365,0.24365269791306216
2018-08-18,48737885.73758963,0.26188179838644376
2018-08-20,42742170.61615378,0.22966520476832122
2018-08-30,42658225.03681316,0.22921414254123418
2018-09-01,57985418.48238824,0.3115712846904748
2018-09-11,41507010.53758904,0.22302835670291168
2018-09-13,57057563.74565065,0.30658567106729673
2018-09-23,24874973.301193483,0.13365993711760657
2018-09-25,42147673.73147415,0.22647081274784503
2018-10-05,13830118.070491232,0.0743129525908774
2018-10-07,26616675.30764717,0.14301857151055442
2018-10-17,15375662.35416598,0.08261757866090948
2018-10-19,31840181.35129376,0.17108587758857716
2018-10-29,18439716.925749507,0.09908156985414301
2018-10-31,45991816.55609925,0.24712642841380583
2018-11-10,10730049.034059672,0.05765544596956171
2018-11-12,10095398.03915798,0.05424529509048049
2018-11-22,10051117.96390022,0.0540073663094984
2018-11-24,11102129.508512126,0.05965473466088336
2018-12-04,9401650.72557708,0.05051760376048488
2018-12-16,15252065.35156839,0.08195345864779066
2018-12-18,61471711.40303375,0.3303040763564131
2018-12-28,27127380.462021723,0.14576272797628478
2018-12-30,61090839.622237295,0.3282575496062243
2019-01-09,23051558.55261975,0.12386223813386583
2019-01-11,62790412.861256994,0.3373898147750573
2019-01-21,22052563.976898752,0.11849437097859566
2019-01-23,66939449.53431502,0.3596837072791739
2019-02-02,20664523.336036246,0.1110360544398011
2019-02-04,50787260.55836585,0.2728936417504008
2019-02-14,26188374.943343915,0.14071719819581505
2019-02-16,50730399.4383733,0.27258811162457447
2019-02-26,20879269.719076164,0.112189944645262
2019-02-28,43204603.18257596,0.23214997960609593
2019-03-10,26675658.510200974,0.14333550415803423
2019-03-12,58042857.39066231,0.3118799194284927
2019-03-22,28026489.05069055,0.15059388079676278
2019-03-24,51013710.91944669,0.2741104205849282
2019-04-03,23249632.34088708,0.12492654199316634
2019-04-05,53805112.87667989,0.2891093757820319
2019-04-15,21037041.423345614,0.11303769454297066
2019-04-17,73169830.99042127,0.39316122637270834
2019-04-27,25666465.32126121,0.1379128371046897
2019-04-29,71000920.38021673,0.3815070849887761
2019-05-05,69527086.25075772,0.37358777690831996
2019-05-09,51152761.07378717,0.27485757454808235
2019-05-11,69442465.15120034,0.37313308492900754
2019-05-21,38109615.88782303,0.2047732394108006
2019-05-23,51290247.62713917,0.2755963268616241
2019-06-02,26932804.28216341,0.14471721770981957
2019-06-04,59968837.04415829,0.32222872729489993
2019-06-14,15020615.880515635,0.0807098182477694
2019-06-16,51572953.77396491,0.2771153831978846
2019-06-26,18415884.474689625,0.0989535116700617
2019-06-28,48573651.3733296,0.26099932287446037
2019-07-08,51723508.61031569,0.27792435491880824
2019-07-10,51369773.30375205,0.2760236397598776
2019-07-20,49996746.92561809,0.26864599890213264
2019-07-22,74510180.86916596,0.40036328759059964
2019-08-01,40442223.69307975,0.2173069699517573
2019-08-03,66362453.17310425,0.3565833502889287
2019-08-13,25935141.36813507,0.13935650593180135
2019-08-25,24653525.056664005,0.13247003600373505
2019-08-27,36689768.61613886,0.1971440172704574
2019-09-06,44067278.39521366,0.2367853660757787
2019-09-08,35351090.001600884,0.18995093620567308
2019-09-20,47629879.3019663,0.2559281811214873
2019-09-30,29090346.510423616,0.15631027371297931
2019-10-02,62486787.40853408,0.33575835336897397
2019-10-12,17501690.735716015,0.09404130227047774
2019-10-14,30851437.365132157,0.16577308961427084
2019-10-24,13985636.627576316,0.07514859572138141
2019-10-26,29947677.905306675,0.16091694640932838
2019-11-05,15100837.65125688,0.08114087144742141
2019-11-07,43177077.112377465,0.2320020746106904
2019-11-17,16239939.084438605,0.08726157051656734
2019-11-19,24522484.59614756,0.13176592028467818
2019-11-29,16829332.907620206,0.09042854241197754
2019-12-01,32334752.50609337,0.1737433417253337
2019-12-11,15502476.914715998,0.08329898748026683
2019-12-13,50311525.53290724,0.27033738921426687
2019-12-23,18766459.21772788,0.10083724426917431
2019-12-25,52912752.61503577,0.28431448354181066
2020-01-04,14784826.865846673,0.07944286031008334
2020-01-06,41051627.12219162,0.22058145885383942
2020-01-16,23770548.27004383,0.12772556370432975
2020-01-18,48766794.81427754,0.26203713464853534
2020-01-28,28807424.443025645,0.15479005717727828
2020-01-30,67710510.0365772,0.36382682321334414
2020-02-09,25230964.119713213,0.1355727717502978
2020-02-11,68463892.04180285,0.36787494781732777
2020-02-21,26539941.44584245,0.14260625978585728
2020-02-23,58618585.84905189,0.31497346363508993
2020-03-04,30115276.30085964,0.1618174977682939
2020-03-06,40219164.9216089,0.21610841504247855
2020-03-16,28616100.588150445,0.1537620225296797
2020-03-18,61733186.60677995,0.3317090531122617
2020-03-28,37932686.54351649,0.20382255034882935
2020-03-30,82591103.79358652,0.44378426484561667
2020-04-09,35346550.940905005,0.1899265466089552
2020-04-11,63701201.49868806,0.3422837276461367
2020-04-21,32583908.00061301,0.17508212136247217
2020-04-23,42148321.84796676,0.22647429525247317
2020-05-03,20122776.379460506,0.10812510200287549
2020-05-05,48987588.36149845,0.26322351789728055
2020-05-15,19383571.94272542,0.10415315729625235
2020-05-17,50528403.32102771,0.2715027320337905
2020-05-23,62303799.11148289,0.33477510792058807
2020-05-27,56428447.58023012,0.3032052603190471
2020-05-29,48007357.52363344,0.25795647336366934
2020-06-08,50442377.00186058,0.2710404894307085
2020-06-10,68004162.33259606,0.3654046961599832
2020-06-20,35305144.131754234,0.18970405666131504
2020-06-22,67447502.65097436,0.36241361363134816
2020-07-02,25967969.41701368,0.1395328998879146
2020-07-04,62801398.74060346,0.33744884486625987
2020-07-14,31537438.49668826,0.16945915862010155
2020-07-16,46324717.06853306,0.24891519260742156
2020-07-20,39541717.12759448,0.21246830542499065
2020-07-22,51571809.13687111,0.27710923275421867
2020-07-26,49979008.13721413,0.2685506836101761
2020-07-28,51203789.14863925,0.2751317621499494
2020-08-07,55282167.10027838,0.2970459862963434
2020-08-09,69781872.48279662,0.3749568120160327
2020-08-19,45859810.01945525,0.24641712170728952
2020-08-21,65346537.71012119,0.35112456264501973
2020-08-31,29919086.190957155,0.16076331542063269
2020-09-02,40215787.70194461,0.21609026833082198
2020-09-12,21752787.821856413,0.11688359288660895
2020-09-14,34491577.6660065,0.1853325447269638
2020-09-24,38846704.532403976,0.20873381539582345
2020-09-26,30703840.30150395,0.16498001080351515
2020-10-06,35435720.5258323,0.1904056788262997
2020-10-08,39674475.2646818,0.21318165068329856
2020-10-18,22798816.169659074,0.12250418517821271
2020-10-20,43571510.85804973,0.23412147345406872
2020-10-30,16351072.600702295,0.0878587208578202
2020-11-01,44555517.177477375,0.23940880466787617
2020-11-11,14100585.350750765,0.07576624619783474
2020-11-13,36727639.84665389,0.19734750960099845
2020-11-23,13836590.086956846,0.0743477284800148
2020-11-25,29112283.23637441,0.1564281456550171
2020-12-05,21180980.835884716,0.11381111980842808
2020-12-07,36238716.80222297,0.19472039428381935
2020-12-17,22320986.56203904,0.1199366778874869
2020-12-19,61743040.47913394,0.33176200062473743
2020-12-29,19965471.951668084,0.10727986290764208
