Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,3342976.4379180013,0.004261376605343586
2017-01-23,16713788.05543297,0.021305488306238594
2017-01-28,4536877.056515623,0.005783271916207854
2017-02-19,39157859.88951451,0.049915514257235734
2017-02-21,11012764.049531616,0.014038248833746055
2017-03-03,42176426.83404976,0.05376335787743103
2017-03-05,10657820.893128635,0.013585793816185571
2017-03-15,9732839.936865717,0.012406697199560293
2017-03-17,4102665.443814176,0.0052297713927979906
2017-03-27,19111490.617770117,0.024361900397518343
2017-04-05,20970662.790186893,0.026731834181968485
2017-04-08,20643015.40365882,0.026314173772545357
2017-04-10,3886761.358736733,0.004954552995590222
2017-04-17,21341414.831888687,0.02720444118540742
2017-04-20,67599477.62817009,0.0861707636436524
2017-04-22,2213910.3937751018,0.0028221275661266376
2017-04-29,13647864.010310125,0.017397277392319093
2017-05-02,49933939.16201466,0.06365205502022105
2017-05-14,69834232.83130975,0.08901946261541668
2017-05-23,46947356.54173276,0.05984498262699731
2017-05-26,44259374.81166645,0.05641854433979557
2017-05-28,991274.5254942052,0.0012636027058105408
2017-06-03,2709380.7011997,0.0034537160968602086
2017-06-07,51568300.87799037,0.06573541723065458
2017-06-09,756565.5818925147,0.0009644132798892314
2017-06-16,812110.8892604753,0.0010352182878664523
2017-06-19,3184025.158894797,0.004058757390282418
2017-07-01,3966470.904341215,0.005056160769132609
2017-07-03,1511564.360272456,0.0019268293157183734
2017-07-10,4175994.2919763294,0.005323245529950332
2017-07-13,11543619.015659347,0.014714943083764776
2017-07-15,1614004.5016978248,0.0020574123545835914
2017-07-22,4355206.609099983,0.005551692002655889
2017-07-25,8503024.99783032,0.010839020996203208
2017-07-27,1493377.5704420798,0.0019036461547991379
2017-08-06,22591749.44351429,0.028798274334333553
2017-08-08,1303765.5583305508,0.0016619429278965218
2017-08-18,10257644.573903644,0.013075678942082558
2017-08-30,8476130.552119177,0.010804737966126415
2017-09-01,1426277.8316582772,0.0018181124208982065
2017-09-08,4249063.891823323,0.005416389196719255
2017-09-11,9153988.287564356,0.011668820363720665
2017-09-20,9384157.508066576,0.011962222889802839
2017-09-25,1194928.4170237822,0.0015232054715099044
2017-10-05,12562561.788910003,0.016013815204687802
2017-10-17,13887796.054521687,0.01770312483667386
2017-10-29,15622074.892679008,0.01991385392953842
2017-10-31,862765.3570669136,0.0010997888189710396
2017-11-07,4056966.9686615583,0.005171518390860435
2017-11-10,18826736.824612908,0.02399891753629342
2017-11-12,1074561.5190445243,0.0013697707427189237
2017-11-19,4415901.258805997,0.005629061007532217
2017-11-22,27646803.25673981,0.03524207926639826
2017-11-24,2296984.942971712,0.0029280247948448804
2017-12-01,7486659.067503536,0.009543433642120557
2017-12-04,38198125.99162167,0.04869211718705391
2017-12-06,1850265.315032959,0.002358579988099076
2017-12-13,3931101.4559533214,0.0050110744388209465
2017-12-16,24423345.82785265,0.031133056564360995
2017-12-28,28848204.693053603,0.03677353605929216
2017-12-30,1962647.6612723256,0.002501836606867326
2018-01-06,7404230.009656779,0.009438359237549685
2018-01-09,35949215.3699839,0.04582537394535626
2018-01-11,2981569.2074123905,0.0038006816690556735
2018-01-21,26577241.14013504,0.03387868138839827
2018-01-23,2455930.923040293,0.0031306372551945854
2018-01-30,19362623.331189025,0.02468202561816342
2018-02-02,34060599.0234352,0.04341790692753173
2018-02-04,3830779.565168882,0.004883191587615779
2018-02-11,12313658.612178728,0.015696532030840805
2018-02-14,22443157.879776333,0.028608860910331463
2018-02-26,33750519.624454096,0.04302264087610841
2018-03-07,34092704.00327714,0.04345883195723331
2018-03-12,6960142.242305472,0.008872269330051348
2018-03-19,24005242.92242857,0.03060009021748779
2018-03-22,44108467.89018244,0.05622617947072192
2018-03-24,9955821.145296104,0.012690936984878158
2018-03-31,32425902.58193957,0.04133411803401314
2018-04-03,86123504.84350029,0.10978380958582433
2018-04-12,67157758.7183706,0.08560769337878099
2018-04-15,93204030.8415261,0.11880953513365554
2018-04-17,20688491.044792026,0.02637214272232316
2018-04-24,16924390.363493558,0.021573948394207294
2018-04-27,70531991.99166735,0.08990891386263035
2018-04-29,14970403.313555844,0.01908315168762484
2018-05-06,14862047.571212199,0.018945027882670527
2018-05-09,32783148.04329181,0.04178950785791502
2018-05-11,10692014.64683452,0.013629381458754147
2018-05-18,8536703.07776573,0.010881951296375775
2018-05-23,1516541.8095115512,0.0019331741961372661
2018-06-02,12994373.999811387,0.016564257149945086
2018-06-04,1029970.2087728464,0.0013129290718539952
2018-06-14,9320859.022831248,0.011881534709929364
2018-06-16,2007628.718073946,0.0025591750974902016
2018-06-26,16713826.164109835,0.021305536884332718
2018-06-28,2210464.4767307057,0.0028177349685269697
2018-07-10,2296125.2425035965,0.0029269289129173633
2018-07-20,19240811.867010288,0.02452674946430659
2018-07-22,1830038.2366868262,0.0023327960198123165
2018-08-01,20711654.92451411,0.02640167030559209
2018-08-03,2201512.736543064,0.0028063239589308365
2018-08-10,8530024.223243384,0.010873437591615792
2018-08-13,23132299.68400439,0.02948732739576403
2018-08-22,15953999.193621796,0.020336966229924102
2018-08-25,18005956.68898782,0.02295264834085099
2018-08-27,2655759.7501780195,0.003385364114582292
2018-09-03,7946826.793918503,0.010130021080080534
2018-09-06,18740720.666464746,0.023889270564254817
2018-09-08,1887201.5945218557,0.0024056635976384974
2018-09-15,5958046.779012343,0.0075948729011797705
2018-09-18,31526568.02837557,0.040187713535475435
2018-09-20,2693633.820711831,0.0034336431500822952
2018-09-27,7723462.30927489,0.009845292722881066
2018-09-30,18520610.62096504,0.023608690722933014
2018-10-02,1653105.6130093143,0.002107255529993314
2018-10-12,10163679.210140662,0.01295589891662071
2018-10-14,2192543.830646261,0.0027948910677711345
2018-10-21,8054782.182188503,0.010267634543572688
2018-10-24,26742864.58321332,0.0340898057797116
2018-10-26,2302032.753070726,0.0029344593660312547
2018-11-02,6838909.963227695,0.008717731478089618
2018-11-05,21473259.24052938,0.027372506587291238
2018-11-07,2245091.1700759293,0.0028618744902023426
2018-11-14,10456803.309386367,0.013329551618691803
2018-11-17,31482445.67030789,0.040131469649844195
2018-11-19,3545049.5568854236,0.004518964320282098
2018-11-26,13390985.160993213,0.017069827426931836
2018-11-29,50584776.90320222,0.06448169434783134
2018-12-01,3384871.5484268186,0.004314781362187085
2018-12-08,15549522.345862713,0.01982136936334339
2018-12-11,26233024.31285412,0.03343989949382589
2018-12-13,2698902.097592044,0.003440358755850009
2018-12-20,9730210.375682667,0.01240334523142176
2018-12-23,32462437.26350086,0.04138068971651831
2018-12-25,2637517.3569354485,0.0033621100745873872
2019-01-01,17168890.744083926,0.02188561921247196
2019-01-04,44538595.0851104,0.05677447348350582
2019-01-13,38626050.92637539,0.049237603923101135
2019-01-16,56230469.2511598,0.07167840115667061
2019-01-18,5300288.184396481,0.006756411386684208
2019-01-25,5254063.549157117,0.006697487675178108
2019-01-28,6305760.455800105,0.008038112318249725
2019-01-30,1812903.4598212445,0.0023109538864234712
2019-02-06,5354988.171798706,0.006826138843923961
2019-02-09,5277878.8049501,0.006727845583997142
2019-02-21,5656552.286476225,0.007210550247104018
2019-03-05,50542241.87379153,0.06442747387018083
2019-03-17,35186963.5858729,0.04485371231970179
2019-03-29,59361673.68396664,0.07566982663163486
2019-04-10,88777679.42387147,0.11316715304436678
2019-04-22,134230512.58783364,0.17110702892698718
2019-05-04,62595208.73314238,0.07979169553110511
2019-05-16,144017633.96434996,0.18358292005038365
2019-05-28,40034825.098373495,0.05103340398638362
2019-06-09,17871019.6350635,0.022780640665814783
2019-06-21,22934073.46245184,0.029234643418243757
2019-07-03,18303595.19215393,0.02333205566776337
2019-07-15,14342637.147525892,0.018282922280320864
2019-07-27,15194544.119406994,0.019368869641099802
2019-08-08,21735176.35539536,0.027706378957185685
2019-08-10,2552166.281769068,0.0032533109006448223
2019-08-17,10191438.101526447,0.01299128387745978
2019-08-20,22888371.72345216,0.02917638625579781
2019-08-22,2238589.0856849817,0.0028535861187991597
2019-08-29,10708185.790539613,0.01364999522458417
2019-09-01,18660551.422884837,0.023787076802077933
2019-09-03,2822648.2591303205,0.0035981011173572583
2019-09-10,5600676.748111501,0.0071393242853240715
2019-09-13,14199747.57282963,0.0181007773259468
2019-09-15,2565545.2067108154,0.003270365354605293
2019-09-22,8632243.067182532,0.011003738536978972
2019-09-25,22935080.685138386,0.029235927350473766
2019-09-27,2470132.5311732567,0.0031487404042235866
2019-10-04,7096794.548098157,0.009046463480020852
2019-10-07,28181685.34798171,0.03592390699464125
2019-10-09,2158284.7376244343,0.002751220135524174
2019-10-16,6972516.426313843,0.00888804301533533
2019-10-19,25063736.257321347,0.031949378439523064
2019-10-21,1952197.236921004,0.0024885151866677955
2019-10-28,8382154.43959925,0.010684944238952268
2019-10-31,23384941.760472763,0.029809376639658273
2019-11-02,2061047.127055149,0.0026272688943070723
2019-11-09,8683513.254760804,0.011069093941647542
2019-11-12,21434462.24433444,0.027323051075111293
2019-11-14,1626456.2802640132,0.002073284951612699
2019-11-21,12311294.581932787,0.015693518541702766
2019-11-24,42066697.46773005,0.0536234830792571
2019-11-26,2878975.836660228,0.003669903304892603
2019-12-03,16624193.71610649,0.021191280136164007
2019-12-06,62656677.77558146,0.07987005167398176
2019-12-08,3535767.8726992137,0.004507132722727096
2019-12-15,18265339.02089206,0.023283289558802434
2019-12-18,70693520.71916063,0.09011481861643696
2019-12-20,5830467.059496861,0.007432243806372819
2019-12-27,24602319.66807335,0.031361199044527555
2019-12-30,85755271.36481391,0.10931441305835263
2020-01-01,4745152.3084577685,0.006048765646893871
2020-01-08,20252102.779727627,0.025815867565101274
2020-01-11,36530872.87896397,0.046566827481485225
2020-01-13,3559421.1195194023,0.004537284114611492
2020-01-20,17185094.838318527,0.021906274981175224
2020-01-23,61952584.76073383,0.07897252650227395
2020-01-25,10312486.392921267,0.013145587195669212
2020-02-01,21425168.229933973,0.02731120375992036
2020-02-04,91285066.98985071,0.11636338338359342
2020-02-06,9232393.391309792,0.01176876533223753
2020-02-13,37725385.75735916,0.04808950325539678
2020-02-16,53736829.05227599,0.0684996949339352
2020-02-18,11738338.012213105,0.014963156312885511
2020-02-25,34040766.42465302,0.043392625812321076
2020-02-28,66458885.5529666,0.08471682208116281
2020-03-08,76594639.68075779,0.09763712418912027
