Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,7984718.214652549,0.10977238191270977
2017-01-09,5758989.777911643,0.07917349220567546
2017-01-28,9886670.00024143,0.13592005202135468
2017-02-02,7232937.523243475,0.0994370444651692
2017-02-21,20535822.98062945,0.2823225745129882
2017-02-24,25187235.46445017,0.34626930549098706
2017-02-26,11211082.250897797,0.15412781884299806
2017-03-05,16593250.162647985,0.22812083595946775
2017-03-08,17981039.71762508,0.24719990186361682
2017-03-10,9769993.533831913,0.1343160062320584
2017-03-17,6868059.638758399,0.09442077295621397
2017-03-20,10180230.781378593,0.1399558696063068
2017-03-22,6028013.05719988,0.08287197289886333
2017-04-01,8126386.139255033,0.11172000549893818
2017-04-03,6239301.995688573,0.08577673289492052
2017-04-10,8920132.718760954,0.12263228196569419
2017-04-13,10423793.36644771,0.14330432153524156
2017-04-15,5982703.7827891065,0.08224906964278098
2017-04-22,10920175.794115543,0.1501284924026267
2017-04-25,9182781.994558126,0.12624313407554016
2017-04-27,7324255.713108025,0.10069246950884744
2017-05-07,10479402.21391007,0.14406882135568128
2017-05-09,7020431.631497794,0.09651555402802382
2017-05-19,9936882.500955325,0.13661036389673722
2017-05-21,6726862.368621856,0.09247961983774602
2017-05-28,9489819.39724415,0.1304642256811634
2017-05-31,7690347.137884137,0.10572542453808641
2017-06-02,9079631.787836222,0.12482504472257175
2017-06-03,9053637.537934318,0.12446768073663547
2017-06-06,9156919.729784293,0.12588758459595165
2017-06-09,8797515.721026488,0.1209465668856557
2017-06-12,9380086.53141576,0.12895563918727992
2017-06-24,12220587.88743987,0.16800630964235705
2017-07-03,10419866.673990043,0.14325033811685042
2017-07-06,12040564.121189816,0.1655313772664216
2017-07-15,20390044.502142448,0.2803184398165673
2017-07-18,20589638.66168867,0.2830624222239925
2017-07-27,12579615.881983524,0.17294215798100945
2017-07-30,11517757.137985513,0.15834392665337177
2017-08-01,9452070.133269066,0.12994525600551568
2017-08-08,10080643.36950934,0.13858676087691554
2017-08-11,10868357.796789534,0.14941610846627384
2017-08-13,16214815.767999312,0.22291819213641495
2017-08-23,35042950.584810205,0.4817637957323196
2017-08-25,26681424.14058208,0.3668111262035838
2017-09-01,19911624.82938497,0.27374121747500557
2017-09-04,18047946.518997926,0.2481197237978937
2017-09-06,15021525.846638845,0.20651307006964098
2017-09-16,20286761.636081185,0.27889852668832305
2017-09-18,14289532.17058209,0.19644976073226983
2017-09-25,18862662.542302124,0.2593202841753953
2017-09-28,25441173.836941365,0.34976040176489714
2017-09-30,21595215.446412027,0.29688689991847683
2017-10-10,17661820.834732927,0.2428113415932891
2017-10-12,10218708.42989705,0.14048485297362462
2017-10-22,15409533.517215705,0.21184732546283236
2017-10-24,9472650.155197198,0.13022818621872234
2017-10-31,8810511.893490586,0.12112523578401639
2017-11-03,9599111.975394603,0.13196675918409154
2017-11-05,7864323.878685294,0.108117223562391
2017-11-12,8133335.976856069,0.11181555053971022
2017-11-15,9463891.792057185,0.13010777791404712
2017-11-17,6744125.755265213,0.09271695358212836
2017-11-24,9365481.995473724,0.1287548588148248
2017-11-27,10694502.84399652,0.1470259837602586
2017-11-29,6819967.946970993,0.0937596175571383
2017-12-06,9145417.52431942,0.12572945447073175
2017-12-09,10035630.126870407,0.13796792740912667
2017-12-11,6401623.432436089,0.08800829702382991
2017-12-21,8538082.011916317,0.11737992177284358
2017-12-23,6076911.4390315525,0.08354421851868869
2017-12-30,6595925.272048999,0.09067952162699627
2018-01-02,8688284.591145119,0.11944487816180183
2018-01-04,6053533.872097988,0.08322282819073547
2018-01-11,8176320.429251881,0.1124064925864869
2018-01-14,9536303.777460344,0.13110328406755753
2018-01-16,5846050.878110915,0.08037039159321774
2018-01-23,9279977.56151634,0.1275793601776436
2018-01-26,12097116.463137513,0.16630884806895396
2018-01-28,7855812.996647048,0.10800021758066432
2018-02-04,13910618.908024834,0.1912405335246149
2018-02-07,19426669.253687005,0.2670741407873743
2018-02-09,12288647.288070148,0.16894197729121999
2018-02-19,26724091.98312451,0.36739771555852985
2018-02-21,15676003.490918346,0.2155107037981978
2018-03-03,12937672.00142783,0.177864645166305
2018-03-05,8282216.030044735,0.11386232509310903
2018-03-12,7588730.0709630335,0.10432841249845763
2018-03-15,9761534.233749025,0.1341997093892081
2018-03-17,6400298.5600197315,0.08799008293073805
2018-03-24,7864974.174660596,0.10812616370733265
2018-03-27,6266391.138979862,0.08614914926618365
2018-03-29,5789727.173397281,0.07959606405173758
2018-04-08,8131568.806440017,0.11179125581814325
2018-04-10,5724349.888701886,0.07869726962079207
2018-04-17,9851608.195350707,0.13543802902022353
2018-04-20,8694070.437198836,0.11952442086896102
2018-04-22,5717096.344849112,0.0785975492844418
