Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,35347842.12869787,0.16052280536661587
2017-01-09,11539537.228796504,0.052403733213888144
2017-01-28,46574702.28171842,0.2115065989645398
2017-02-02,19653400.559371974,0.0892506813088571
2017-02-19,16110596.064518288,0.07316197879884848
2017-02-21,24222734.41623467,0.11000109336200944
2017-02-24,30884286.656663395,0.14025275765983447
2017-02-26,3502388.946138958,0.015905166065648076
2017-03-03,3417253.633510215,0.015518546730607126
2017-03-05,10617124.402830297,0.048214841173713746
2017-03-08,16327812.128834393,0.07414840767017152
2017-03-10,2752831.4326029164,0.012501250363570596
2017-03-15,3044726.446660748,0.01382681378434445
2017-03-17,10632249.506711027,0.04828352780237856
2017-03-20,16196241.318632182,0.07355091389725261
2017-03-22,2206954.921214115,0.01002229765486391
2017-03-27,1834772.600851709,0.008332130827850566
2017-04-01,8571041.482734468,0.03892310084199357
2017-04-03,5414558.360367659,0.0245887738963798
2017-04-08,4771867.931182322,0.021670166579432812
2017-04-10,5873012.472701968,0.02667072107651665
2017-04-13,10955213.01973449,0.049750180531923656
2017-04-15,6172227.841855995,0.02802952793919688
2017-04-20,19200060.53367424,0.08719195839035417
2017-04-22,22286036.38833464,0.10120609536879087
2017-04-25,32430334.812794726,0.14727372336264885
2017-04-27,33951766.83853252,0.15418290146910435
2017-05-02,31919681.3916647,0.14495472693193598
2017-05-07,32653055.163717635,0.14828514848478824
2017-05-09,28177120.328218736,0.12795888319774473
2017-05-14,28194511.019979805,0.1280378583900235
2017-05-19,33898815.56867548,0.15394243738775448
2017-05-21,30289681.64451246,0.13755251745031888
2017-05-26,28598573.49314799,0.12987280043542976
2017-05-28,30651755.71044889,0.13919678033355232
2017-05-31,28586424.389239885,0.129817628517582
2017-06-02,53934920.60475544,0.24493106909267418
2017-06-03,53757201.85492644,0.24412400674966234
2017-06-06,48739298.14585554,0.22133653424973126
2017-06-09,47798530.48032501,0.21706428859696036
2017-06-12,49714199.15781447,0.22576378739929054
2017-06-19,54562223.12721888,0.24777979633188615
2017-06-24,65346439.35327551,0.29675344049335955
2017-07-01,63735591.59849522,0.2894382046813858
2017-07-03,62098352.19989465,0.2820031182519728
