Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,27263888.19784277,0.4127721071605212
2017-01-28,31055633.79712358,0.4701786960327428
2017-02-19,28213497.91607708,0.42714908822541203
2017-02-21,29429223.103577387,0.44555502664957003
2017-03-03,26353723.619377654,0.3989923209396535
2017-03-05,29125284.984481514,0.44095343875589843
2017-03-15,18344557.334619768,0.2777344717301597
2017-03-17,23460222.37623088,0.355185047503879
2017-03-20,29814760.53526932,0.451392018677777
2017-03-27,14891155.327105066,0.22545036561990184
2017-04-01,30933389.43745633,0.4683279305967133
2017-04-08,18455021.73101276,0.2794068898876314
2017-04-10,21008497.08786178,0.3180662108172276
2017-04-13,31079556.685280204,0.47054088578653425
2017-04-20,21096422.537694428,0.31939739193626293
2017-04-22,30126530.02001709,0.45611217253968545
2017-04-25,33905240.57455445,0.513321412345382
2017-05-02,16804990.10356893,0.25442560230314865
2017-05-07,27410636.954485256,0.41499386632645335
2017-05-14,20703470.16426744,0.3134481385496524
2017-05-19,29524951.74178037,0.44700434713606535
2017-05-26,9991084.995645138,0.15126386876830802
2017-05-28,14232709.615683012,0.21548157386935488
2017-05-31,36238731.98164067,0.5486502017738891
2017-06-03,25072845.819028504,0.3795999795087975
2017-06-06,22573134.38802655,0.34175463818475404
2017-06-09,23624634.94028083,0.3576742346665498
2017-06-12,24972350.13596009,0.37807848651558723
2017-06-19,24837345.6812652,0.37603453471986076
2017-06-24,26200631.209624026,0.39667451960091094
2017-07-01,25785888.085355844,0.3903953567723287
2017-07-03,29986454.03846485,0.4539914384151789
2017-07-06,39102393.81749667,0.5920057100419643
2017-07-13,21475896.635486726,0.3251425857920299
2017-07-15,20555393.762465525,0.3112062789898938
2017-07-18,18914546.82637112,0.28636404656784464
2017-07-25,36946725.01441034,0.5593691342266135
2017-07-27,33394504.917906314,0.505588933703053
2017-07-30,23919956.07428594,0.3621453624047412
2017-08-06,7376777.737327042,0.11168355990149022
2017-08-08,15611856.2060724,0.23636169339109347
2017-08-11,21905667.565489803,0.3316492678575668
2017-08-18,12599030.921062272,0.1907478677923468
2017-08-23,23537282.98203745,0.35635173614370264
2017-08-30,11560759.654895345,0.17502856116850818
2017-09-01,11857327.85289014,0.17951856931095633
2017-09-04,24965573.47197349,0.3779758886083126
2017-09-11,17382929.95784237,0.26317554470789223
2017-09-16,13353187.250537325,0.20216570720640706
2017-09-25,29037710.855267186,0.4396275765903029
2017-09-28,17262997.19232432,0.261359776539345
2017-10-05,9096068.580590313,0.1377134239856498
2017-10-10,25290215.617194977,0.3828909330577242
2017-10-17,7101179.307172437,0.10751103161353864
2017-10-22,23586839.10905029,0.3571020101626308
2017-10-29,6247947.229362336,0.09459319685354678
2017-10-31,7794103.215740128,0.11800181927250585
2017-11-03,8872006.827325208,0.1343211550121937
2017-11-10,5168290.107335502,0.07824731316902
2017-11-12,6404564.915791508,0.09696437047254255
2017-11-15,9493917.434198432,0.14373680951465204
2017-11-22,6714402.98764017,0.10165528296702839
2017-11-24,10163102.445775416,0.15386819302475332
2017-11-27,18282934.87979432,0.27680151490675553
2017-12-04,10857568.985355467,0.16438233593844143
2017-12-06,15578286.439675722,0.2358534510189164
2017-12-09,20498103.868914224,0.3103389166419935
2017-12-16,12630183.898492845,0.19121952025970687
2017-12-21,26078849.283020616,0.3948307553478674
2017-12-28,15414042.028067242,0.2333668096647189
2017-12-30,18457497.23786312,0.27944436877441003
2018-01-02,25605685.45493361,0.3876671098350067
2018-01-09,18478805.40234282,0.27976697191480526
2018-01-11,24267198.93946012,0.3674025791345892
2018-01-14,31603884.214015845,0.47847914379683537
2018-01-21,22787704.093151346,0.34500319864958834
2018-01-23,28119684.41251633,0.425728762655417
2018-01-26,36804778.92376722,0.5572200868672351
2018-02-02,25462842.327533145,0.3855044814430976
2018-02-04,30533437.189859387,0.4622726999265245
