Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,21728741.31286578,0.1012179570861553
2017-01-09,12198759.237103302,0.0568248970884644
2017-01-28,15336929.304834735,0.07144328471944145
2017-02-02,8350965.66651165,0.038900904212083476
2017-02-21,14026281.317406965,0.06533795584482459
2017-02-24,12896890.39395466,0.0600769680877564
2017-02-26,11374521.301310698,0.052985388908373045
2017-03-05,27469264.19433533,0.12795876044436164
2017-03-08,20903817.684886374,0.09737525477892431
2017-03-10,11037977.620430233,0.0514176835655511
2017-03-17,18016704.980893247,0.08392635566562685
2017-03-20,14921621.098646987,0.0695086743530992
2017-03-22,5491054.3472764855,0.025578716009255802
2017-04-01,10438535.559800848,0.048625331266133935
2017-04-03,7022597.202815248,0.03271302888985242
2017-04-10,9051311.384751687,0.042163291196842666
2017-04-13,10674497.047346998,0.049724499385287245
2017-04-15,5168272.140031046,0.02407511508130889
2017-04-22,8013508.940528186,0.03732894567489917
2017-04-25,8522505.29557354,0.03969997906703978
2017-04-27,7608045.012197936,0.03544019243757221
2017-05-07,11226618.284648223,0.05229641935519459
2017-05-09,7878970.649877454,0.036702232386105614
2017-05-19,12346929.51494664,0.05751511161162735
2017-05-21,10492630.63757812,0.0488773197813541
2017-05-28,15093033.747321196,0.07030715770138486
2017-05-31,11438394.810274847,0.05328292782221006
2017-06-02,19920110.470773585,0.09279289848180855
2017-06-03,20024534.415845893,0.09327933155397355
2017-06-06,18935810.18581854,0.08820777951113541
2017-06-09,22793757.16339292,0.10617906951796022
2017-06-12,28217671.26814963,0.13144502934459734
2017-06-24,42262854.733622655,0.19687103616228954
2017-07-03,33515505.21132747,0.15612367598082205
2017-07-06,36122621.26710652,0.16826828009078124
2017-07-15,77393045.56704606,0.3605163249991755
2017-07-18,70380480.96285167,0.3278500304839492
2017-07-27,50593487.37181184,0.23567722400039895
2017-07-30,39114311.93818521,0.18220432974962622
2017-08-01,29175176.37538834,0.13590532961964719
2017-08-08,30743235.63999333,0.1432097451432173
2017-08-11,32958708.39124912,0.15352997596714346
2017-08-13,32285038.669849515,0.15039185250342985
2017-08-23,58797007.45526115,0.2738912895003795
2017-08-25,47926771.73072858,0.22325498999090654
2017-09-01,31887332.727442794,0.14853923792112098
2017-09-04,33403415.04387504,0.15560153171136717
2017-09-06,27115202.08641539,0.12630944985019232
2017-09-16,27939544.029964536,0.1301494425246447
2017-09-18,25928913.20862037,0.1207834170719686
2017-09-25,28654568.63785495,0.13348020747945336
2017-09-28,27119942.840625387,0.12633153347893428
2017-09-30,28083817.78597775,0.13082150606640894
2017-10-10,35687112.24112402,0.1662395692111304
2017-10-12,26984547.399614155,0.12570082736758573
2017-10-22,40521109.44288139,0.18875754732486313
2017-10-24,36119845.59216386,0.16825535029686517
2017-10-31,28983107.25323752,0.13501062320828566
2017-11-03,32934492.3672491,0.15341717162000074
2017-11-05,26884843.935430914,0.1252363834859208
2017-11-12,25868876.29816299,0.12050375000157727
2017-11-15,26687081.126913413,0.12431515444749926
2017-11-17,21718831.9484914,0.10117179676772935
2017-11-24,27642798.49184535,0.12876712696801043
2017-11-27,27023553.92073895,0.12588252958054144
2017-11-29,20442604.490289357,0.09522680739920203
2017-12-06,37993071.39966258,0.17698130854111088
2017-12-09,37119158.72422249,0.17291040289562987
2017-12-11,24700584.46708348,0.11506155200586117
2017-12-21,26392471.382105947,0.12294278795476418
2017-12-23,19024520.92695508,0.08862101651645254
2017-12-30,30605594.38204764,0.14256857745018658
2018-01-02,30004062.985468697,0.13976649249697987
2018-01-04,23484763.72756061,0.109397952367689
2018-01-11,38313320.08469017,0.1784731076836055
2018-01-14,28247720.86949516,0.1315850079662604
2018-01-16,16176575.762438627,0.07535456968020314
