Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,21769777.81662275,0.06332207182306487
2017-01-09,8990316.200793099,0.026150264507706415
2017-01-28,38203700.62033568,0.11112366396043709
2017-02-02,20626102.31974362,0.05999544614200891
2017-02-21,24831341.06698917,0.07222728572389436
2017-02-24,16061060.739164792,0.046717042785040956
2017-02-26,3833024.231565677,0.011149173764438696
2017-03-05,9565646.687104678,0.027823736726077103
2017-03-08,6515727.881804222,0.018952393193288012
2017-03-10,1570411.3461581063,0.004567878500682213
2017-03-17,7530342.263562848,0.021903616917095463
2017-03-20,4774313.747617625,0.013887116376614888
2017-03-22,1226438.3916068284,0.0035673593260374223
2017-04-01,4203427.2828388605,0.012226570548814401
2017-04-03,2362717.0290666763,0.006872469653681959
2017-04-10,5511817.130733655,0.016032303276950072
2017-04-13,12747320.81004336,0.037078318882467945
2017-04-15,4568874.293615845,0.013289551625556255
2017-04-22,14832147.24839992,0.04314248410180407
2017-04-25,39799612.96665051,0.11576571759405295
2017-04-27,28691660.709553786,0.08345585405038483
2017-05-07,24486086.950183995,0.0712230400138232
2017-05-09,7864982.857057728,0.02287699091634757
2017-05-19,37140113.95395441,0.1080299938345425
2017-05-21,21473316.22620598,0.06245974964967013
2017-05-28,18676340.789374944,0.05432414620023451
2017-05-31,13979098.366559286,0.04066120831573462
2017-06-02,34117351.47913562,0.09923764031826598
2017-06-03,34086878.8777612,0.0991490042159998
2017-06-06,30524777.7489427,0.08878786845154404
2017-06-09,28257044.790969424,0.08219168035766886
2017-06-12,26961686.82670012,0.07842385366044789
2017-06-24,36870995.457530186,0.10724720491942191
2017-07-03,28714805.037226595,0.08352317429552188
2017-07-06,27252803.28592647,0.07927062837240344
2017-07-15,74081345.0563481,0.21548149420364923
2017-07-18,72636401.81649847,0.2112785666228199
2017-07-27,46670175.16997373,0.13575022257928393
2017-07-30,33446261.87770568,0.09728563215817301
2017-08-01,22569716.14279136,0.06564886415738964
2017-08-08,20741638.35902864,0.06033150751293261
2017-08-11,19783564.627191067,0.05754474440628818
2017-08-13,19309302.072975773,0.05616524996339681
2017-08-23,86678603.80752261,0.2521233253759691
2017-08-25,58657591.51986425,0.17061819622029867
2017-09-01,32615828.98869422,0.09487013984193694
2017-09-04,30837533.715720586,0.08969758631629318
2017-09-06,23897090.780450266,0.06950981822177942
2017-09-16,31109791.61575432,0.09048950686070817
2017-09-18,22616509.82080764,0.0657849736145082
2017-09-25,22368690.165963955,0.06506413695207812
2017-09-28,19598721.265872907,0.0570070878119031
2017-09-30,24398245.46969836,0.07096753421200887
2017-10-10,20001427.66608342,0.0581784458208152
2017-10-12,13935742.115950938,0.040535097354101185
2017-10-22,24152364.02788026,0.07025233525821542
2017-10-24,22678534.17143073,0.06596538475227991
2017-10-31,18283470.670344148,0.053181399126563944
2017-11-03,19582133.17343304,0.05695883778428532
2017-11-05,14576067.050288573,0.042397619876093424
2017-11-12,17155968.858564854,0.049901818080421684
2017-11-15,17997470.893242966,0.052349507382903004
2017-11-17,13527732.410145238,0.039348313542471806
2017-11-24,19205597.166853964,0.05586360198291833
2017-11-27,20345624.180355888,0.059179615266897814
2017-11-29,13207554.199518418,0.03841700648824864
2017-12-06,23148428.10003964,0.0673321721098374
2017-12-09,24010065.42199995,0.06983842921756696
2017-12-11,16835109.647754446,0.04896853019098284
2017-12-21,25167028.57381215,0.07320370489528892
2017-12-23,14282097.112108264,0.04154254520807997
2017-12-30,22261600.680344027,0.06475264419560439
2018-01-02,25255474.459662337,0.07346096873984612
2018-01-04,13986678.346743446,0.04068325631519892
2018-01-11,31945949.834015984,0.09292165252605263
2018-01-14,34093259.29330574,0.09916756302421437
2018-01-16,15424604.09702872,0.04486577202127441
2018-01-23,40659384.10755719,0.1182665465135985
2018-01-26,43154366.044536605,0.12552373704358294
2018-01-28,22649829.20322615,0.06588189019052369
2018-02-04,50047788.1565195,0.14557473498019863
2018-02-07,47847080.65533108,0.13917350481489096
2018-02-09,18795698.477610867,0.05467132365747706
2018-02-19,27904814.30360005,0.0811671423762823
2018-02-21,8479925.962124512,0.02466568493950863
2018-03-03,6158937.141428449,0.017914590737140385
2018-03-05,2617066.650710341,0.00761230012625534
2018-03-12,10194821.827982437,0.029653827680405875
2018-03-15,12032802.243486805,0.03499998825495645
2018-03-17,5415246.401299061,0.01575140658077002
2018-03-24,20278098.750301227,0.05898320305875209
2018-03-27,21781491.15717684,0.06335614258842143
2018-03-29,10438239.38849733,0.03036185990653865
2018-04-08,8784265.894241873,0.025550922960883713
2018-04-10,3595660.6520922193,0.01045875084169663
2018-04-17,11862593.9195638,0.034504900808353924
2018-04-20,14984152.837293293,0.04358462498622154
2018-04-22,25247474.36575238,0.07343769874942982
2018-04-29,21657690.95793156,0.0629960431342904
2018-05-02,24662505.21348217,0.0717361904021077
2018-05-04,14521815.701175345,0.04223981818174527
2018-05-11,41374739.908711456,0.12034731241765602
2018-05-14,30411498.30670319,0.08845837087752242
2018-05-16,27205164.39338552,0.07913206042740834
2018-05-23,84671869.22732057,0.24628630708906887
2018-05-26,68055326.01906013,0.19795352430425311
2018-05-28,49590719.74305412,0.14424525338652752
2018-06-04,54121302.536115795,0.15742342596316888
2018-06-07,45675871.73954684,0.13285807761732038
2018-06-09,31072717.847587824,0.09038166984783805
2018-06-16,44392317.84268495,0.12912458558398401
2018-06-19,38067097.13157822,0.11072632339043935
2018-06-28,33796268.77499664,0.09830370235050649
2018-07-01,31031502.22844969,0.09026178537233807
2018-07-10,36321482.812465005,0.10564882943430647
2018-07-13,41064028.24358433,0.11944354084308254
2018-07-15,41963013.39286756,0.12205843212356748
2018-07-22,23243761.933043037,0.06760947102723838
2018-07-25,27381713.158047996,0.07964559040692401
2018-07-27,26159833.35821829,0.0760914907236057
2018-08-03,25545557.35136181,0.07430473709878686
2018-08-06,25395602.90818779,0.07386856241198769
2018-08-08,22968357.7104342,0.06680839872823235
2018-08-15,25176058.57592723,0.07322997059479722
2018-08-18,25208055.29526803,0.0733230399213318
2018-08-20,19550107.42748671,0.05686568402763778
2018-08-27,21963825.17277149,0.0638865002121201
2018-08-30,19705931.019830134,0.057318930394652336
2018-09-01,17306550.541527484,0.05033981722878768
2018-09-08,20282587.259606186,0.0589962588515572
2018-09-11,22210339.8797675,0.06460354115361853
2018-09-13,22601335.79089637,0.06574083669129381
2018-09-20,18670663.791759666,0.05430763343406106
2018-09-23,23333016.513880026,0.06786908713475702
2018-09-25,17507474.53505817,0.050924247793789235
2018-10-02,16443376.366426982,0.047829089853803006
2018-10-05,16507720.054465475,0.048016247282310305
2018-10-07,12814041.116303867,0.03727238921523261
2018-10-14,16004529.400846947,0.04655260925267467
2018-10-17,17274075.074876968,0.050245355362936145
2018-10-19,13937268.517605714,0.040539537220967474
2018-10-26,19375007.23311761,0.05635636752576671
2018-10-29,20175662.092541564,0.05868524405087379
2018-10-31,13981069.851030095,0.04066694280151165
