Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,64627122.93940818,0.3200154364300418
2017-01-09,63161866.31547718,0.3127598954642322
2017-01-28,87002220.14647959,0.4308106594295068
2017-02-02,76205522.120333,0.37734843066713336
2017-02-21,83338919.18318915,0.41267101769361986
2017-02-24,79235403.75136016,0.3923515570386042
2017-02-26,72265873.28797665,0.3578403915788136
2017-03-05,69077513.4847138,0.34205252562516775
2017-03-08,62537939.20626662,0.309670382933375
2017-03-10,61115330.16047828,0.3026260208458949
2017-03-17,62817911.6626739,0.31105672822851627
2017-03-20,62724826.54110356,0.3105957967426384
2017-03-22,60928501.35527106,0.301700896858987
2017-04-01,65013159.75388699,0.3219269827598904
2017-04-03,63258317.42459791,0.3132374943789846
2017-04-10,62741176.91651895,0.310676759228455
2017-04-13,63638787.15187763,0.31512147405015134
2017-04-15,62713430.51305396,0.31053936679923394
2017-04-22,67518063.19979618,0.3343305639963521
2017-04-25,70533121.50581267,0.34926028940849074
2017-04-27,67724081.28544119,0.3353507079326988
2017-05-07,63540061.98304728,0.31463261462777703
2017-05-09,62372829.07790298,0.308852803759429
2017-05-19,64939737.72254424,0.3215634173970046
2017-05-21,63237516.1270889,0.31313449217189426
2017-05-28,65575181.02742785,0.3247099549077264
2017-05-31,69955844.96215945,0.34640177742999506
2017-06-02,76273258.39426783,0.37768384174965547
2017-06-03,76060627.9642387,0.37663095533340774
2017-06-06,90126789.79843529,0.4462826543961424
2017-06-09,80553899.57834901,0.39888037958731365
2017-06-12,88453707.34905638,0.4379980180721115
2017-06-24,86455983.97185272,0.4281058506763617
2017-07-03,95566958.80134048,0.4732208496698222
2017-07-06,85534013.83867988,0.4235405124542132
2017-07-15,98452229.11228722,0.4875079012323983
2017-07-18,106786913.95528224,0.5287789293429733
2017-07-27,123807951.30256394,0.6130623454605263
2017-07-30,106286904.52616514,0.5263030225038577
2017-08-01,98276656.50775014,0.4866385148028218
2017-08-08,111723994.87934536,0.5532259731652054
2017-08-11,111974272.84263209,0.5544652796360368
2017-08-13,109736179.89519396,0.5433828693604484
2017-08-23,113171958.80580844,0.5603958855299641
2017-08-25,106521707.61334956,0.5274657017165916
2017-09-01,108275731.87587512,0.5361511392596996
2017-09-04,93193267.97621106,0.46146699663096785
2017-09-06,87956892.35690686,0.4355379291913674
2017-09-16,72938830.12757893,0.3611726856208339
2017-09-18,70837910.70921282,0.3507695202934353
2017-09-25,70267152.82820264,0.34794328690906184
2017-09-28,66454480.45499865,0.32906399973083533
2017-09-30,63967303.02829957,0.3167481927834908
2017-10-10,66633625.64308661,0.32995107659489537
2017-10-12,64408711.90184876,0.3189339260621542
2017-10-22,73427762.75716695,0.3635937432468897
2017-10-24,67727071.25240763,0.3353655134128154
2017-10-31,64156519.46221395,0.3176851396399309
2017-11-03,64254462.98632503,0.31817012857628335
2017-11-05,63749920.21725944,0.3156717739057292
2017-11-12,64234828.79708085,0.31807290556287743
2017-11-15,63977604.40109339,0.3167992023002464
2017-11-17,63553300.25885293,0.31469816686678814
2017-11-24,65127985.67281152,0.3224955685933116
2017-11-27,64851975.07411204,0.3211288413093979
2017-11-29,63822536.61552201,0.3160313499989395
2017-12-06,65509706.70089461,0.32438574435606465
2017-12-09,64323779.29491858,0.3185133635484959
2017-12-11,63711626.22320585,0.31548215275810054
2017-12-21,65506913.6494546,0.3243719139465571
2017-12-23,64660801.46545442,0.3201822030710559
2017-12-30,65144888.03225257,0.32257926434963197
2018-01-02,65406215.96252567,0.3238732871662768
