Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,44904982.52724773,0.10300742498153932
2017-01-28,72219868.65724485,0.16566497266475447
2017-02-19,20867062.418974094,0.04786690130439998
2017-02-21,85048686.64390334,0.1950929655508602
2017-03-03,22523331.58468053,0.05166621292270915
2017-03-05,109320124.48451386,0.25076915495910085
2017-03-15,7738769.932565609,0.017751944626510967
2017-03-17,58922984.83273015,0.13516328474602876
2017-03-27,12985900.863716004,0.029788324897471432
2017-04-08,11849051.443599625,0.027180508909860537
2017-04-10,52261401.5578603,0.11988229584845907
2017-04-20,31616569.94820698,0.07252516923121784
2017-04-22,30527441.2124921,0.07002681959994217
2017-05-02,16037011.542805033,0.03678725990865714
2017-05-14,17475098.694325916,0.040086084360650136
2017-05-26,15085875.77195246,0.03460545198781215
2017-05-28,12812193.202411786,0.02938985733588947
2017-06-03,12954505.505677676,0.02971630716567654
2017-06-07,6543940.403258319,0.01501112821418595
2017-06-09,9577664.676813552,0.02197018059402592
2017-06-19,7874925.477135634,0.018064271483215728
2017-07-01,6925385.579615817,0.015886124332141757
2017-07-03,18274056.032149553,0.04191881056178786
2017-07-13,13985763.131419385,0.03208190640526587
2017-07-15,20426445.99775788,0.04685617241865721
2017-07-25,12179484.506984554,0.027938488471869947
2017-07-27,22897451.964641936,0.05252440670887877
2017-08-06,12344633.007956395,0.02831732219737798
2017-08-08,26432581.74929728,0.06063363191282875
2017-08-18,14353439.533924893,0.03292531836797151
2017-08-30,13922948.66300324,0.03193781645624506
2017-09-01,26056581.82356054,0.059771126641395
2017-09-11,14681891.63155152,0.03367875379767633
2017-09-23,15353116.54466916,0.03521847491529955
2017-09-25,23600624.61035009,0.054137412648874464
2017-10-05,14674811.597425476,0.03366251292543764
2017-10-17,14134619.869027747,0.032423368496313026
2017-10-29,14609851.865564855,0.03351350196206863
2017-10-31,24103175.17302688,0.05529021210387811
2017-11-10,15020386.892356602,0.03445522721380178
2017-11-12,25645951.43501099,0.05882918263956864
2017-11-22,15722156.29643669,0.036065014261402926
2017-11-24,31047973.56477037,0.07122086743628712
2017-12-04,17188875.064267978,0.039429516705084364
2017-12-06,35020128.5655211,0.08033258366970518
2017-12-16,15393712.68706574,0.03531159830288618
2017-12-28,15256257.10494268,0.03499628929335158
2017-12-30,32793138.639615074,0.07522409715402256
2018-01-09,16920157.42194726,0.03881310599017602
2018-01-11,51607096.74571158,0.11838138770732856
2018-01-21,14264799.343172893,0.03272198686029982
2018-01-23,51410980.25903178,0.11793151659832513
2018-02-02,16121509.127826998,0.03698108870360189
2018-02-04,56998905.51179332,0.13074964409513506
2018-02-14,13891503.951598099,0.03186568551288781
2018-02-26,15240270.067294998,0.03495961666843359
2018-03-12,93669386.1463577,0.21486796617019316
2018-03-22,19295910.88178119,0.044262840797220725
2018-03-24,94492661.56977148,0.21675647556589292
2018-04-03,37231729.16814221,0.08540576865592331
2018-04-15,40422487.37657712,0.092725040778792
2018-04-17,133785168.13104004,0.3068894562321384
2018-04-27,16372105.234963834,0.03755593047513359
2018-04-29,57798469.03357088,0.13258376082009987
2018-05-09,69352863.4126723,0.1590883566406242
2018-05-11,16356495.781118864,0.03752012398873839
2018-05-23,9897976.371965628,0.0227049427752397
2018-06-02,5401363.588893635,0.0123901741715048
2018-06-04,19081939.09090388,0.043772011451421816
2018-06-14,9386259.08579422,0.021531115796572596
2018-06-16,21499625.33076668,0.049317935755711514
2018-06-26,12697640.576742252,0.029127085359796776
2018-06-28,33278100.37469174,0.07633654964221838
2018-07-10,32729119.45732922,0.07507724371492618
2018-07-20,16494739.690276468,0.037837241339648525
2018-07-22,33261972.07175337,0.0762995529692101
2018-08-01,14445538.630435638,0.03313658425074836
2018-08-03,22550485.22584251,0.05172850059097115
2018-08-13,15547453.391585225,0.035664263713184256
2018-08-15,28743668.87348201,0.06593502877732611
2018-08-25,15333657.484882008,0.03517383782764408
2018-08-27,30172102.843269404,0.06921170982034122
2018-09-06,13822310.535236372,0.03170696291143101
2018-09-08,26381825.69248365,0.06051720272345279
2018-09-18,14449810.710745208,0.033146383964883334
2018-09-20,29580493.31213223,0.06785461822454784
2018-09-30,15031681.18086956,0.03448113515343883
2018-10-02,31942450.779811546,0.07327270644034736
2018-10-12,12294874.713033635,0.02820318177146076
2018-10-14,24156050.40038976,0.055411502453176414
2018-10-24,14611283.300362175,0.03351678552670227
2018-10-26,26655323.82491573,0.061144579392444796
2018-11-05,14280387.089529593,0.032757743551943
2018-11-07,25327240.939216204,0.05809809344547999
2018-11-17,15313102.666228196,0.03512668718151685
2018-11-19,39546275.81364632,0.09071510130755882
2018-11-29,17961352.21933175,0.04120150008247243
2018-12-01,39255261.61367404,0.09004754457587502
2018-12-11,14006029.882473055,0.03212839625385926
2018-12-13,32933529.30033689,0.07554613893287497
2018-12-23,15527938.724689718,0.035619499068524636
2018-12-25,34362471.92025714,0.07882398676713358
2019-01-04,16486333.574076308,0.03781795857111948
2019-01-16,9838668.0735663,0.022568895620685203
2019-01-18,9505422.113132363,0.02180446356130358
2019-01-28,9354975.348513493,0.021459354111349107
2019-01-30,8849008.559701923,0.020298718183920934
