Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,143903428.32248804,0.28993201216299164
2017-01-28,151798758.85122374,0.3058392708959687
2017-02-19,105128174.5503454,0.21180887444945387
2017-02-21,142564082.8190229,0.28723354179763744
2017-03-03,101503764.19767047,0.2045065287117241
2017-03-05,144349229.06078646,0.29083019719294767
2017-03-15,87088417.9771604,0.17546295147065616
2017-03-17,116754615.01777966,0.23523345382404875
2017-03-27,81749418.25014536,0.16470610605122546
2017-04-08,77984777.53558514,0.15712122867778902
2017-04-10,96729884.33333188,0.1948882686672844
2017-04-20,80521950.25393865,0.1622330428993987
2017-04-22,86276893.50366247,0.17382791798838576
2017-05-02,78648061.48718138,0.15845759191085085
2017-05-14,71413705.86717619,0.14388204422542453
2017-05-26,70229699.88803768,0.14149654695168798
2017-05-28,65643433.61620711,0.13225628475635495
2017-06-03,72199690.91533752,0.1454656216926184
2017-06-07,68341661.16286403,0.13769258708073537
2017-06-09,72630488.6763843,0.14633357920517814
2017-06-19,83984082.67555842,0.1692084362661604
2017-07-01,74767309.90362553,0.15063877808242981
2017-07-03,127210346.50973289,0.2562993263014192
2017-07-13,125446032.635145,0.25274464329136603
2017-07-15,135663001.5621228,0.27332946461033475
2017-07-25,124614666.18505009,0.2510696328310131
2017-07-27,141408869.3340828,0.2849060547177889
2017-08-06,127954962.31077798,0.2577995543363035
2017-08-08,141192805.02998468,0.2844707352874319
2017-08-18,133092747.57856128,0.26815099931655495
2017-08-30,130420859.0768674,0.2627677640552293
2017-09-01,145569529.51349452,0.2932888194080083
2017-09-11,135553547.55917555,0.2731089401955677
2017-09-23,177946567.7586476,0.35852103767913074
2017-09-25,142010639.81853214,0.2861184825900818
2017-10-05,133277957.96412712,0.26852415526138934
2017-10-17,133488544.35776496,0.26894843797343665
2017-10-29,135480558.70883858,0.272961884600782
2017-10-31,149793094.0945457,0.3017983218692026
2017-11-10,132269502.43925638,0.2664923514127178
2017-11-12,144993389.55598107,0.29212803109937235
2017-11-22,133992741.16454732,0.2699642775293155
2017-11-24,152109618.16517508,0.3064655802719451
2017-12-04,129466339.46879424,0.2608446285619074
2017-12-06,145956536.4247689,0.29406854852089165
2017-12-16,127516096.27780142,0.2569153411282225
2017-12-28,124985379.41486683,0.25181653395706094
2017-12-30,139781593.19843146,0.28162747094911794
2018-01-09,125411491.69923584,0.25267505132148127
2018-01-11,152416915.51015073,0.3070847131070675
2018-01-21,121336298.2925627,0.24446448234391466
2018-01-23,148852604.79672763,0.2999034541950074
2018-02-02,119296913.17687616,0.240355594619286
2018-02-04,148468246.49936324,0.2991290614244845
2018-02-14,113710449.4465242,0.2291001666625123
2018-02-26,109535613.8780632,0.22068884185306456
2018-03-12,158330221.82429445,0.31899865301928215
2018-03-22,100866700.6565832,0.2032229935208238
2018-03-24,131138636.04499932,0.2642139180703259
2018-04-03,99726870.30979836,0.20092649989436773
2018-04-15,93005744.75839132,0.1873849916910151
2018-04-17,137383881.91466972,0.2767966391531647
2018-04-27,81977113.68424948,0.16516485950928894
2018-04-29,91148701.19505347,0.18364347987806315
2018-05-09,76003109.67253059,0.15312862782267547
2018-05-11,83737990.57120442,0.16871261778688912
2018-05-23,80174766.35828124,0.1615335479211904
2018-06-02,77268547.2875772,0.1556781909447923
2018-06-04,86712272.22711934,0.1747051050770903
2018-06-14,109130909.92309073,0.21987345730411179
2018-06-16,140816574.63946176,0.2837127183629377
2018-06-26,126269083.87730208,0.2544029005374484
2018-06-28,148394330.10738426,0.29898013704854626
2018-07-10,153117260.17135745,0.3084957450692542
2018-07-20,135984799.32598692,0.27397781242438124
2018-07-22,148428393.55567405,0.29904876699168936
2018-08-01,132613387.04101758,0.26718519907939786
2018-08-03,144074821.87084422,0.2902773303873448
2018-08-13,137205800.31781775,0.276437846063199
2018-08-15,151153742.24508074,0.3045397121246621
2018-08-25,136952539.61701745,0.2759275845257164
2018-08-27,155312596.9421243,0.31291883918691094
2018-09-06,133130889.73235203,0.26822784690473056
2018-09-08,154542342.41961822,0.31136695507830325
2018-09-18,136618743.4869382,0.27525506278822726
2018-09-20,148813760.28988743,0.2998251915284334
2018-09-30,133512839.81092244,0.2689973876732629
2018-10-02,151665374.46545342,0.3055705323133767
2018-10-12,129037582.98619992,0.25998078375170647
2018-10-14,144327194.19395414,0.2907858020499485
2018-10-24,133967387.65852806,0.2699131960985168
2018-10-26,147382499.86368197,0.29694153392460576
2018-11-05,134152048.17743176,0.27028524418963545
2018-11-07,141115652.4621516,0.28431529076817236
2018-11-17,133024176.94897336,0.2680128454112348
2018-11-19,152237818.32305613,0.30672387383845257
2018-11-29,134803251.00073904,0.2715972667528825
2018-12-01,151803388.57640448,0.3058485987177799
2018-12-11,126551527.47600178,0.2549719588416748
2018-12-13,150804466.12991118,0.3038360018096816
2018-12-23,128321581.88629276,0.258538207698954
2018-12-25,148474012.0268953,0.29914067762444607
2019-01-04,118101146.28777751,0.2379464018413536
2019-01-16,116928180.5977446,0.23558314818802664
2019-01-18,115100750.62986101,0.2319013008974389
2019-01-28,113829429.30481485,0.22933988346511525
2019-01-30,111717880.86422896,0.22508560338787667
2019-02-09,108947819.10913712,0.21950457180418353
2019-02-21,110823902.59393664,0.22328444464025468
2019-03-05,109005517.07397284,0.2196208198132653
2019-03-17,107680910.16464151,0.21695204429468082
2019-03-29,112357050.89882794,0.22637338267434562
2019-04-10,89248143.38273971,0.1798142969518485
2019-04-22,110773896.54843968,0.22318369406356406
2019-05-04,89176470.68735853,0.17966989310385648
2019-05-16,97095059.01585986,0.19562401090588522
2019-05-28,74122814.86398174,0.1493402701465783
2019-06-09,71458503.68023795,0.14397230142244136
2019-06-21,69394532.49067125,0.139813878464675
2019-07-03,74322202.33531132,0.14974198962912688
2019-07-15,130548231.1472343,0.2630243892175714
2019-07-27,141357642.18627208,0.2848028439033193
2019-08-08,140173870.53793758,0.28241781875177124
2019-08-10,152301201.94550705,0.306851577128149
2019-08-20,141739937.75032252,0.28557308074491655
2019-08-22,154257469.81105813,0.3107930028829125
2019-09-01,140308416.743948,0.2826888981325215
2019-09-03,155412587.84233418,0.3131202976457801
2019-09-13,132929329.47475895,0.2678217497621031
2019-09-15,151470484.54017302,0.30517787434236426
2019-09-25,137473016.9461024,0.2769762255557873
2019-09-27,152597800.37084132,0.30744915412310997
2019-10-07,136447173.9616592,0.2749093900112138
2019-10-09,150991925.54211476,0.3042136890212558
2019-10-19,134822396.3267065,0.2716358401416194
2019-10-21,147328476.61085194,0.29683268960741893
2019-10-31,134521135.64495587,0.271028869781957
2019-11-02,147292039.38168734,0.29675927704670035
2019-11-12,129764527.62233096,0.2614454084902655
2019-11-14,138132294.51023272,0.2783045168478742
2019-11-24,134835604.1658794,0.2716624508723877
2019-11-26,150782006.22368288,0.3037907503109392
