Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,17420916.912896678,0.0774040087833068
2017-02-02,16482478.540406344,0.0732343722257121
2017-02-24,11040144.49154014,0.049053183909024106
2017-02-26,25158363.501179524,0.11178276087048547
2017-03-08,10395938.240932623,0.046190869225497255
2017-03-10,16188648.973766346,0.07192883897102097
2017-03-13,10085849.325337313,0.04481309300014963
2017-03-20,9452906.66074853,0.042000824288111235
2017-03-22,10456537.59897928,0.046460122173890214
2017-03-25,12858407.724893754,0.05713202751918316
2017-04-01,16233723.368643312,0.07212911194599717
2017-04-03,38400142.91601594,0.17061817207515217
2017-04-06,20598511.787448507,0.09152258720310959
2017-04-13,47863268.20497986,0.21266439941478432
2017-04-15,51200111.26819163,0.2274905438172154
2017-04-18,56919753.22694685,0.2529038569411137
2017-04-25,19271133.313557133,0.08562482558897787
2017-04-27,19390345.64055239,0.08615450563119127
2017-04-30,18728077.92479784,0.08321194087736844
2017-05-07,8716705.534744145,0.03872976119146459
2017-05-09,8919137.592626924,0.039629200231598105
2017-05-12,8191860.921902413,0.03639778996254506
2017-05-19,5784341.821171452,0.025700785289903383
2017-05-21,6670969.263353652,0.02964021733388416
2017-05-24,6726594.700194115,0.02988737032952166
2017-05-31,4946614.857909289,0.02197862614371321
2017-06-02,4987429.753246378,0.022159973459296985
2017-06-05,4613988.460691562,0.020500712168201367
2017-06-06,4610858.928407168,0.02048680713980131
2017-06-12,4715413.653777601,0.020951361039080747
2017-06-24,5689419.96821199,0.025279031832439684
2017-06-29,6103066.2650715215,0.027116930592613137
2017-07-06,5613835.004761133,0.02494319536619118
2017-07-11,6890659.074526822,0.03061633541989962
2017-07-18,7814184.620474908,0.03471971182813298
2017-07-23,9980673.275621343,0.04434577845426705
2017-07-30,16486629.147006098,0.07325281405580117
2017-08-01,18933090.411664873,0.08412284518932206
2017-08-04,21844436.56335148,0.0970584365949369
2017-08-11,26874242.980207685,0.11940669656398896
2017-08-13,40891909.66220425,0.18168950293978242
2017-08-16,36964945.93648213,0.16424135504737733
2017-08-23,34411840.4942291,0.15289748623352842
2017-08-25,38514967.12222482,0.17112835497254889
2017-08-28,40511855.93577287,0.18000086151373643
2017-09-04,26508606.51815418,0.11778211342282635
2017-09-06,26757865.10697381,0.11888961046760164
2017-09-09,24364299.98477232,0.10825460562436377
2017-09-16,22459685.023440693,0.09979208703634429
2017-09-18,19277536.99847643,0.0856532782178617
2017-09-21,19011101.199135065,0.0844694599920174
2017-09-28,15227144.58129165,0.06765671628009629
2017-09-30,15624168.65892235,0.06942075977710423
2017-10-03,15318981.845457073,0.06806476440050452
2017-10-10,13160769.394158445,0.058475470313871736
2017-10-12,14130635.760226078,0.06278474663342973
2017-10-15,13255731.432849808,0.05889740232317403
2017-10-22,13390895.414362948,0.05949795819888025
2017-10-24,15801421.9545467,0.07020832542132242
2017-10-27,15304511.827255365,0.06800047172167596
2017-11-03,9011371.891867213,0.04003901244436586
2017-11-05,8774126.478887461,0.03898489192235767
2017-11-08,8791971.656448457,0.03906418099121538
2017-11-15,6866833.295137863,0.030510473550153436
2017-11-17,7664872.441563508,0.0340562931765374
2017-11-20,8032091.251021054,0.035687906948347815
2017-11-27,7034229.906848603,0.03125424432111451
2017-11-29,8017874.853253563,0.03562474114696298
2017-12-02,9509845.340935703,0.04225381224066012
2017-12-09,6753120.527744157,0.03000522895883112
2017-12-11,6307688.675259579,0.028026101729508493
2017-12-14,7027718.941929477,0.03122531502948723
2017-12-21,6878206.805606018,0.030561007934111286
2017-12-23,8016575.788449659,0.03561896918765715
2017-12-26,9337907.23887359,0.04148986287859476
2018-01-02,6584557.094130036,0.029256273805595027
2018-01-04,10810879.74219264,0.04803452279256708
2018-01-07,11851562.556488546,0.05265844827830103
2018-01-14,8070765.159887843,0.03585974150772131
2018-01-16,10074517.363658976,0.04476274322432165
2018-01-19,11430787.089812027,0.05078887344011798
2018-01-26,9487491.85708998,0.042154492022982534
2018-01-28,16808075.054558013,0.0746810512706338
2018-01-31,18042256.04495004,0.08016472108538239
2018-02-07,11595380.113643687,0.05152018740746176
2018-02-09,17260200.074902873,0.07668991734931986
2018-02-12,16812267.03142123,0.07469967691563069
2018-02-19,10514297.949518008,0.04671676094340968
2018-02-21,14130664.81268939,0.06278487571831869
2018-02-24,12692469.434992446,0.05639473631268534
2018-03-03,7275272.268612014,0.03232523531317141
2018-03-05,8763983.086425234,0.03893982315570409
2018-03-08,8889203.758584388,0.03949619926702595
2018-03-15,8836964.087494371,0.03926408978736388
2018-03-17,13283593.15598247,0.059021196557017264
2018-03-20,10785625.600938173,0.04792231447533272
2018-03-27,8105497.202712916,0.03601406170575313
2018-03-29,14049663.445021898,0.06242497327427724
2018-04-01,9580191.993796248,0.042566374028487876
2018-04-08,8507967.939358909,0.03780230560761733
2018-04-10,10576043.272053797,0.04699110560114409
2018-04-13,15676325.796822336,0.06965250254818271
2018-04-20,11407779.322139906,0.050686646131424554
2018-04-22,15546640.292753786,0.06907628845186506
2018-04-25,15401126.966133988,0.0684297487279181
2018-05-02,5982895.728919802,0.026582993068986215
2018-05-04,5899413.900045423,0.026212069526456987
2018-05-07,6145243.619707115,0.027304331539704116
2018-05-14,5408051.3251828365,0.02402886451775301
2018-05-16,5269108.935915599,0.023411520552852217
2018-05-19,8360697.74432699,0.03714795982738282
2018-05-26,5025272.3020234965,0.022328114148594362
2018-05-28,5320169.201282877,0.02363838973825318
2018-05-31,5366625.683009127,0.023844803553183795
2018-06-07,5503590.347091856,0.024453360158709758
2018-06-09,5271430.036791542,0.0234218335870907
2018-06-12,5531676.027439819,0.024578149471419782
2018-06-19,5632283.02020252,0.025025162943236597
2018-06-24,6253358.4088836415,0.027784703389984282
2018-07-01,5646117.423409194,0.025086631479747924
2018-07-06,6855138.357882063,0.030458511013933657
2018-07-13,7696931.456644569,0.034198736671178113
2018-07-15,7707679.467019679,0.03424649185499753
2018-07-18,7920863.726931348,0.03519370470315994
2018-07-25,9317899.336839747,0.04140096446799407
2018-07-27,10410418.605183233,0.04625520787352846
2018-07-30,14869527.475592585,0.06606776446263489
2018-08-06,18715434.3198912,0.08315576325421924
2018-08-08,24767853.91333584,0.11004766232667455
2018-08-11,24799946.96306872,0.11019025704288997
2018-08-18,19762198.745859392,0.08780671034424946
2018-08-20,21927749.956248496,0.09742861174862205
2018-08-23,21280441.614161856,0.09455251396072148
2018-08-30,16615421.261185056,0.073825058673405
2018-09-01,18513187.37497385,0.08225714670153994
