Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,43799678.59522487,0.13956361296691674
2017-02-02,52461658.77124482,0.16716420930884857
2017-02-24,38077686.56099317,0.12133101612424592
2017-02-26,36464397.48286033,0.1161904201261549
2017-03-08,36527456.7531548,0.11639135264154357
2017-03-10,28001532.697277676,0.08922428650582342
2017-03-20,29916859.00157843,0.09532729610799727
2017-03-22,21325094.156745493,0.06795043440568894
2017-04-01,27560818.20340965,0.08781999065197638
2017-04-03,32976945.54410746,0.10507797802084018
2017-04-13,38005218.10463614,0.12110010211026899
2017-04-15,22909596.44749277,0.07299930397605048
2017-04-25,18828989.53020684,0.059996828552947586
2017-04-27,22198860.04526421,0.07073460835855934
2017-05-07,25533484.34519702,0.08136007936913055
2017-05-09,21884086.78965302,0.06973161257805502
2017-05-19,23785107.13325677,0.07578903756349484
2017-05-21,20755615.841781408,0.06613584458010596
2017-05-31,12164186.815001573,0.03876005293087323
2017-06-02,14447266.828909002,0.046034875615718625
2017-06-06,26385228.424728297,0.08407408287041482
2017-06-12,34920516.53732449,0.1112709867042564
2017-06-24,46082310.02506381,0.14683700628023874
2017-07-06,48862356.18628541,0.15569536549471008
2017-07-18,64392573.53355741,0.2051809624822429
2017-07-30,70589344.79383102,0.22492639928797387
2017-08-01,60430472.15907854,0.1925560939786703
2017-08-11,53115392.42640942,0.1692472709604194
2017-08-13,63957192.84493197,0.2037936623040353
2017-08-23,68551245.68940683,0.21843218554666372
2017-08-25,70406096.75633581,0.22434249641466106
2017-09-04,65496264.41195479,0.20869777108742207
2017-09-06,62224688.39685965,0.19827319758810047
2017-09-16,57221804.01943522,0.18233197058911468
2017-09-18,54136603.85070476,0.17250126643593156
2017-09-28,52128650.08685652,0.1661031080260721
2017-09-30,51636026.80561377,0.1645334096363366
2017-10-10,52129343.00937946,0.16610531595941566
2017-10-12,47438610.25231192,0.1511587311433804
2017-10-22,52413415.31645643,0.1670104860152487
2017-10-24,51082136.52641025,0.16276848964075188
2017-11-03,47011503.82417355,0.14979779612869093
2017-11-05,42103785.53080786,0.13415980702891203
2017-11-15,38483107.21073211,0.12262285141764759
2017-11-17,32836369.10923722,0.10463004425105589
2017-11-27,34660958.86930703,0.11044393027179818
2017-11-29,28356665.73593044,0.09035588499119913
2017-12-09,29541478.10686651,0.09413117970748877
2017-12-11,31059717.261282254,0.09896890794052651
2017-12-21,29869985.214634765,0.09517793713393365
2017-12-23,25487534.01913775,0.08121366291751443
2018-01-02,31184990.17409053,0.09936807845682154
2018-01-04,35167417.88083568,0.11205771493268145
2018-01-14,43759000.739238426,0.1394339967521111
2018-01-16,39940575.05169682,0.12726693749754642
2018-01-26,54301591.96608717,0.17302698576123002
2018-01-28,52001594.94490105,0.16569825860191983
2018-02-07,55487040.06198948,0.17680430615615444
2018-02-09,49142006.47346768,0.15658644519433712
2018-02-19,42389940.35626702,0.13507161283639463
2018-02-21,33347018.67608223,0.10625718172773707
2018-03-03,20329569.224012736,0.0647782865528511
2018-03-05,18879783.43557488,0.06015867862073864
2018-03-15,27737501.22649284,0.0883829747158388
2018-03-17,30008636.849491764,0.095619737707021
2018-03-27,17100139.605238345,0.05448800863588794
2018-03-29,19808571.213418096,0.06311817472008777
2018-04-08,21860009.91717451,0.06965489385728314
2018-04-10,30628384.45067442,0.09759450595013913
2018-04-20,18932227.840652347,0.06032578785275272
2018-04-22,16685502.881183878,0.0531668071765668
2018-05-02,19369118.940305214,0.06171790081559284
2018-05-04,18383780.97368514,0.05857821278532577
2018-05-14,17719860.60252985,0.05646269210817471
2018-05-16,17292462.457272068,0.05510082756394405
2018-05-26,26256676.49038001,0.08366446405614598
2018-05-28,26650586.02549297,0.08491962025056783
2018-06-07,32071476.79021729,0.10219278582823489
2018-06-09,32173208.985672176,0.10251694603233028
2018-06-19,27806946.869038574,0.08860425681400351
2018-07-01,40850978.605382256,0.13016785397194522
2018-07-13,51842382.66432244,0.1651909434384548
2018-07-15,48498625.38613334,0.15453637103984885
2018-07-25,46339539.43417394,0.14765664393165906
2018-07-27,48325812.70700198,0.15398571946797418
2018-08-06,49793687.99128714,0.1586629679006148
2018-08-08,52069360.36864114,0.16591418683871817
2018-08-18,49436497.70133482,0.15752481417480454
2018-08-20,49199027.87397036,0.1567681385977096
2018-08-30,43434096.236341,0.13839871869190798
2018-09-01,44633579.76441219,0.1422207616895059
2018-09-11,46414253.51236373,0.14789471341130125
2018-09-13,45903271.36716059,0.146266516204532
2018-09-23,51310932.72286528,0.16349752749752358
2018-09-25,49321819.95114508,0.1571594041613817
2018-10-05,41227225.64555033,0.1313667302646057
2018-10-07,37965178.83747584,0.1209725206995221
2018-10-17,36960220.227205664,0.1177703133082832
2018-10-19,34668173.86017089,0.11046692017092025
2018-10-29,30691568.13107854,0.09779583488680187
2018-10-31,30405727.07460061,0.09688502887507261
2018-11-10,30790714.07257027,0.09811175423254567
2018-11-12,27434210.864507224,0.08741656811071426
2018-11-22,28691155.81553677,0.09142170660242303
2018-11-24,26761826.69827603,0.08527407833565907
2018-12-04,29093172.540436674,0.09270269560507463
2018-12-16,17682045.096591398,0.056342196506284206
2018-12-18,15067444.295085682,0.048011013583765756
2018-12-28,21986549.378119968,0.07005810011173177
2018-12-30,20644658.29190192,0.06578228863988438
2019-01-09,26141316.644398205,0.0832968806077532
2019-01-11,25395275.642057225,0.08091969015687353
2019-01-21,57426494.69239257,0.18298419843129965
2019-01-23,59701653.31842269,0.19023378034846528
2019-02-02,63476610.76491278,0.2022623320850518
2019-02-04,60993446.77766656,0.1943499603790366
2019-02-14,56163655.28914826,0.17896027781438043
2019-02-16,51535599.36630929,0.16421340691668476
