Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,173996324.98120058,0.3720587716404923
2017-02-02,168960305.28287446,0.3612901803893898
2017-02-24,52478089.08165739,0.1122146307622954
2017-02-26,152539178.72974256,0.3261766561527633
2017-03-08,51908530.45608047,0.11099673559909415
2017-03-10,140469900.12540472,0.3003687491604634
2017-03-20,37317590.17656624,0.07979672423067942
2017-03-22,69147328.28140104,0.14785869773617116
2017-04-01,15398056.322868586,0.03292587887564056
2017-04-03,84512706.64557609,0.18071470087637564
2017-04-13,32656977.99746088,0.06983087212065346
2017-04-15,104554951.84824948,0.22357131369178937
2017-04-25,15408221.117926326,0.03294761439886824
2017-04-27,65887031.78038361,0.14088716019660874
2017-05-07,12933847.622933185,0.027656626998838914
2017-05-09,46040894.28362129,0.09844988722747276
2017-05-19,14746526.206329193,0.03153270292854728
2017-05-21,39714141.592102505,0.08492130359138743
2017-05-31,6956611.579150777,0.014875419691757931
2017-06-02,46759558.45814838,0.09998661686831702
2017-06-06,20845596.20254876,0.04457442947758797
2017-06-12,12066021.48342246,0.025800942245159452
2017-06-24,21560429.81202936,0.046102968167697815
2017-07-06,33210653.676923025,0.07101480455836534
2017-07-18,25973476.122482996,0.055539446723422405
2017-07-30,38100468.122684464,0.08147076307608979
2017-08-01,74551320.98943311,0.15941413081282851
2017-08-11,31267632.493447963,0.0668600152266177
2017-08-13,98880268.28196216,0.21143705857261103
2017-08-23,32223512.753991157,0.0689039873370144
2017-08-25,76700348.09253487,0.1640094254794748
2017-09-04,24666733.817688115,0.05274522140386362
2017-09-06,51755373.53301788,0.11066923801160741
2017-09-16,18578460.96305961,0.03972658253347382
2017-09-18,46269649.94535335,0.09893903865362522
2017-09-28,14586287.152496574,0.031190061521929987
2017-09-30,39023103.28619179,0.08344364673121267
2017-10-10,16147226.659932034,0.03452784026986791
2017-10-12,38332443.79308756,0.0819667998917523
2017-10-22,28743960.752490565,0.06146361269877189
2017-10-24,31835770.50557096,0.06807487267223095
2017-11-03,19188222.89350164,0.04103044498492449
2017-11-05,33698471.458612986,0.07205791213353721
2017-11-15,19515375.060783207,0.04172999903304278
2017-11-17,41668092.619793855,0.0890994643616627
2017-11-27,21548324.28186029,0.046077082743478374
2017-11-29,56827591.45831498,0.12151523243696566
2017-12-09,20349265.448765,0.04351311849530062
2017-12-11,35219136.53579453,0.07530957150481352
2017-12-21,22862863.129723825,0.048887979519962925
2017-12-23,47604934.41099213,0.10179429607432
2018-01-02,29252151.98566837,0.06255028510978418
2018-01-04,115598333.667982,0.24718553126247977
2018-01-14,48092138.42700285,0.10283609122576845
2018-01-16,119813476.26124597,0.25619882953592754
2018-01-26,61029656.85810248,0.13050056756497408
2018-01-28,178311623.18973798,0.3812862340647953
2018-02-07,69208052.46848097,0.14798854511344345
2018-02-09,175531382.43452793,0.37534120643067687
2018-02-19,64951458.75838702,0.13888661133799554
2018-02-21,162784850.9115518,0.3480851200643257
2018-03-03,29151090.86235194,0.0623341846984348
2018-03-05,97671805.87636235,0.20885298653402196
2018-03-15,40445470.69542318,0.08648511482634214
2018-03-17,168469764.55935568,0.36024125030967835
2018-03-27,12793487.270551885,0.02735649249714955
2018-03-29,76509934.71282555,0.163602261890438
2018-04-08,20129992.140944056,0.04304424331894145
2018-04-10,120167456.13552415,0.2569557496445771
2018-04-20,10941682.99231648,0.023396753547759018
2018-04-22,58313925.83673184,0.12469348199563055
2018-05-02,9339912.397821287,0.019971665116137648
2018-05-04,41757217.50749488,0.08929004135370104
2018-05-14,8029677.550304787,0.017169971643702372
2018-05-16,30999392.01591672,0.0662864328674195
2018-05-26,13259564.223788392,0.02835311135521942
2018-05-28,30739782.32570201,0.06573130584127289
2018-06-07,11963681.978352148,0.02558210825225259
2018-06-09,38898076.47679201,0.08317630015862018
2018-06-19,12448682.090297235,0.02661919076485903
2018-07-01,14118358.576581376,0.03018948331322757
2018-07-13,17267770.619882748,0.03692391506830679
2018-07-15,35344739.683126085,0.07557815046885433
2018-07-25,18970302.12706149,0.04056446196668869
2018-07-27,55539663.71373967,0.11876123855427778
2018-08-06,29149617.212072875,0.06233103357146292
2018-08-08,93417893.46587004,0.19975678621895773
2018-08-18,22783344.34822585,0.048717943398971966
2018-08-20,63708647.74930549,0.13622909120088852
2018-08-30,12661150.198133608,0.027073514287053662
2018-09-01,65933845.08101299,0.14098726173111234
