Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,56710746.84420674,0.2982744615785939
2017-01-09,38895545.83982168,0.2045740646838877
2017-01-28,60905259.85536125,0.32033581995610794
2017-02-02,42604668.53430272,0.22408247598491593
2017-02-21,25414311.89661581,0.13366849528852415
2017-02-24,26977837.466911264,0.141891976261635
2017-02-26,14980371.130777607,0.07879039480039321
2017-03-05,24167698.944993176,0.12711184019872915
2017-03-08,22494319.66956784,0.1183105753561862
2017-03-10,14729725.419557633,0.07747210472802823
2017-03-17,30991375.76801005,0.16300148446603271
2017-03-20,31561253.187545355,0.16599879784906138
2017-03-22,17648512.497035515,0.09282368608506705
2017-04-01,34127104.27335864,0.17949408566839278
2017-04-03,19647442.162260406,0.1033372078213681
2017-04-10,23819723.57765189,0.12528163743978
2017-04-13,27138921.21917605,0.1427392084380659
2017-04-15,16645342.561516013,0.08754743794799145
2017-04-22,25631483.999656595,0.13481072838734637
2017-04-25,22698441.01589156,0.1193841670131373
2017-04-27,40022703.37418669,0.21050243497321888
2017-05-07,41643004.39657185,0.21902453073004016
2017-05-09,42178690.3929174,0.22184201173719575
2017-05-19,29699492.869745456,0.15620672866849328
2017-05-21,26131642.786744684,0.13744135135079166
2017-05-28,40283820.66641057,0.21187580111775056
2017-05-31,38698570.32072282,0.20353805704560388
2017-06-02,66097362.14477006,0.3476440745817936
2017-06-03,65881717.6879781,0.3465098762539399
2017-06-06,73100904.77124593,0.3844797366441108
2017-06-09,79581816.92014681,0.418566584187524
2017-06-12,82117117.6579016,0.4319011901409787
2017-06-24,100394533.05960144,0.528032638611706
2017-07-03,97926709.19632415,0.5150529323822679
2017-07-06,100643982.88935754,0.5293446388550773
2017-07-15,104679832.77617404,0.5505714965317929
2017-07-18,103993735.89816524,0.5469629181182336
2017-07-27,101682236.08510073,0.534805410052348
2017-07-30,100270367.08596842,0.5273795782837665
2017-08-01,96112091.86097576,0.5055088152829262
2017-08-08,98633128.79228126,0.5187683996677106
2017-08-11,102815891.51116084,0.54076795649443
2017-08-13,112774659.65011925,0.5931468506182219
2017-08-23,113837979.88092698,0.5987394637820213
2017-08-25,111139103.19607824,0.5845445177649682
2017-09-01,108463460.72240916,0.5704717738386204
2017-09-04,106553231.30308202,0.5604247777532637
2017-09-06,103817924.33285272,0.546038223895339
2017-09-16,105813937.67089076,0.5565364069882638
2017-09-18,100506622.20860223,0.5286221799672247
2017-09-25,101988311.88373163,0.5364152388611569
2017-09-28,100853837.96884067,0.5304483875151739
2017-09-30,99110251.68020028,0.521277863577467
2017-10-10,98541118.79307082,0.5182844661189295
2017-10-12,89211861.8741419,0.46921653386146256
2017-10-22,101387650.34702064,0.5332560140859017
2017-10-24,91188087.3351427,0.47961064111872115
2017-10-31,86493416.52862325,0.45491866499380473
2017-11-03,85344420.14039303,0.4488754316010827
2017-11-05,78053490.03782265,0.4105282333755756
2017-11-12,74018829.19805032,0.3893076295817064
2017-11-15,70045076.75326446,0.36840737809725244
2017-11-17,50290688.36490864,0.264507678512302
2017-11-24,56719526.85425821,0.2983206407054171
2017-11-27,55844791.02473065,0.29371990146118526
2017-11-29,30513888.381159466,0.1604901034465818
2017-12-06,45276058.23124345,0.2381328521104597
2017-12-09,43864106.65959276,0.23070658604547348
2017-12-11,57778391.63650404,0.3038898201005774
2017-12-21,46137228.49560514,0.24266224223885333
2017-12-23,34024267.446845524,0.17895320760267241
2017-12-30,45366767.25290155,0.23860994306942235
2018-01-02,55131525.97158736,0.28996842997600814
2018-01-04,45696807.29247826,0.24034581361569748
2018-01-11,68686150.39126475,0.3612600021322712
2018-01-14,70183975.23275983,0.3691379251538691
2018-01-16,48681746.08297271,0.2560453249098384
2018-01-23,73930420.61889482,0.38884263797404905
2018-01-26,82152608.58144951,0.4320878573372557
2018-01-28,50503094.97640833,0.26562484714799023
2018-02-04,68102994.68301499,0.3581928505856248
2018-02-07,73948662.30504219,0.38893858150180477
2018-02-09,36643225.39202082,0.1927278149648384
2018-02-19,36775484.88253674,0.19342344375686735
2018-02-21,20217060.319646314,0.10633315759551622
2018-03-03,20651984.258335046,0.1086206729406483
2018-03-05,15151869.61913788,0.07969240406889623
2018-03-12,27447806.19703411,0.14436381233745432
2018-03-15,33271892.007401314,0.17499603208315967
2018-03-17,20292669.82305304,0.10673083149638762
2018-03-24,40190899.82826856,0.21138707694272987
2018-03-27,31672111.385316346,0.16658186492350063
2018-03-29,20752755.699302685,0.10915068795490465
2018-04-08,31662793.113269214,0.16653285476700708
2018-04-10,17958429.219858684,0.09445371652512158
2018-04-17,19822809.59700916,0.10425956610597685
2018-04-20,21086851.034392506,0.11090788763459845
2018-04-22,16931118.68545948,0.08905049908268999
2018-04-29,16763110.356597893,0.08816684657200138
2018-05-02,19086724.727254383,0.10038807206966292
2018-05-04,17844703.891995717,0.09385556956314693
2018-05-11,22074943.04070581,0.11610483226279852
2018-05-14,20514675.87426923,0.10789848911118877
2018-05-16,24746453.930291306,0.13015584581022221
2018-05-23,28208811.622231044,0.14836637791964596
2018-05-26,22921285.610187937,0.12055623500868058
2018-05-28,23812100.47612708,0.1252415431608399
2018-06-04,38086626.00562789,0.20031948964421784
2018-06-07,32157563.58598607,0.16913513748354445
2018-06-09,27800598.54493461,0.14621935036992198
2018-06-16,72585307.61128256,0.3817679143910551
