Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,10553238.53206566,0.10224896902802487
2017-01-09,4526075.139095021,0.043852559127672414
2017-01-28,21426156.816037204,0.20759527400199593
2017-02-02,13099494.106137767,0.12691931136319182
2017-02-21,7371987.341698172,0.07142623594510428
2017-02-24,16881665.989805516,0.16356428765333866
2017-02-26,2349818.339206949,0.022767087264920098
2017-03-05,2602008.192920251,0.025210522279030995
2017-03-08,3538869.9977982477,0.03428765565182888
2017-03-10,1274181.7947024477,0.012345383312121759
2017-03-17,3795601.69549453,0.03677509600736505
2017-03-20,5055655.905986353,0.04898359897550483
2017-03-22,1435952.8365327425,0.013912762102573438
2017-04-01,3434044.2388585988,0.033272012373550645
2017-04-03,1765797.0839306696,0.01710858053629753
2017-04-10,4609948.021102995,0.04466519267979642
2017-04-13,6621192.725916368,0.06415188360461424
2017-04-15,1116571.5482106227,0.01081831793185241
2017-04-22,3025935.3551051733,0.02931789795756597
2017-04-25,2376123.408146637,0.023021953690152672
2017-04-27,1533665.8950970813,0.014859491342931377
2017-05-07,2945905.620771042,0.028542500168310284
2017-05-09,1609627.3995160575,0.0155954725764701
2017-05-19,3091973.54777826,0.02995773350158219
2017-05-21,1933538.5545502012,0.018733806042380605
2017-05-28,2250274.5617198874,0.02180262042469083
2017-05-31,2058888.0321258246,0.019948300987355595
2017-06-02,12278305.54453987,0.11896292114744292
2017-06-03,12229555.77347873,0.11849059089391853
2017-06-06,9622711.42579322,0.09323321173419585
2017-06-09,8531290.815088872,0.08265857799675363
2017-06-12,8092956.757926999,0.07841161576819305
2017-06-24,13662408.723006392,0.13237331859052173
2017-07-03,11140682.436602937,0.10794063736454801
2017-07-06,11905747.259251555,0.11535325190156805
2017-07-15,15011339.8461487,0.14544293851923182
2017-07-18,15236019.497426208,0.14761983072487067
2017-07-27,11877170.48143673,0.11507637518160851
2017-07-30,10973532.3435616,0.10632114163965893
2017-08-01,7687140.74053413,0.07447971663908677
2017-08-08,8578655.75295455,0.08311749077979427
2017-08-11,10221145.120325517,0.09903135873064987
2017-08-13,17382671.550549626,0.16841846600889657
2017-08-23,29776815.94659071,0.28850373487011477
2017-08-25,26491215.30616279,0.2566699734043048
2017-09-01,21582290.8935814,0.2091080369714416
2017-09-04,19539933.86183068,0.1893199027177593
2017-09-06,14068061.887224415,0.13630363985619012
2017-09-16,16656380.164871575,0.1613815223092093
2017-09-18,10687798.695951156,0.10355270512644896
2017-09-25,10614439.157424178,0.10284193400534108
2017-09-28,10958557.957292827,0.10617605673959178
2017-09-30,10811090.897171948,0.10474726738577034
2017-10-10,9760294.083494743,0.0945662323859486
2017-10-12,5214407.069363311,0.05052171855254014
2017-10-22,13159681.094754595,0.12750245534466
2017-10-24,6091742.723558464,0.059022110717505565
2017-10-31,5409281.480065169,0.05240983162073862
2017-11-03,6745714.240199338,0.06535835651987677
2017-11-05,3806973.194064539,0.03688527299252029
2017-11-12,5194620.468444467,0.05033000872447423
2017-11-15,6330921.8808553675,0.06133948676963326
2017-11-17,3389400.068492816,0.032839460756419775
2017-11-24,5213014.428562627,0.05050822543517492
2017-11-27,6884769.986418329,0.06670564973656212
2017-11-29,2870290.1697488218,0.0278098718015659
2017-12-06,5503984.473222889,0.053327396725026045
2017-12-09,6415904.0030158525,0.06216286760674037
2017-12-11,3945493.666706789,0.038227380012456326
2017-12-21,6991638.248251342,0.06774108256232843
2017-12-23,3281934.788665323,0.0317982435001925
2017-12-30,6356432.924404282,0.061586659985113965
2018-01-02,9363825.090040833,0.09072489536802127
2018-01-04,4380481.983230231,0.04244192579085562
