Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,31343119.97548946,0.2236384812451684
2017-02-02,28124548.432330914,0.20067342696040733
2017-02-24,29181598.06106326,0.20821565548632737
2017-02-26,27923108.78178449,0.1992361208611425
2017-03-08,25558821.28474775,0.1823665282526938
2017-03-10,23302732.86846807,0.1662689544512929
2017-03-20,25088434.23730829,0.17901023682513256
2017-03-22,22747316.399790384,0.16230596367019748
2017-04-01,31506198.86679885,0.22480207681587416
2017-04-03,35274368.04291492,0.2516886035011709
2017-04-13,38713314.97585723,0.27622607359883106
2017-04-15,32722830.0831526,0.23348294705704947
2017-04-25,35141632.94469865,0.2507415160447776
2017-04-27,32011702.02469815,0.2284089276522185
2017-05-07,34064564.27960465,0.24305644829636117
2017-05-09,28560285.83712811,0.20378248730624274
2017-05-19,27952311.78609895,0.19944448925388034
2017-05-21,28314320.94875589,0.2020274860773218
2017-05-31,23295910.52525989,0.16622027587446955
2017-06-02,23777939.56837126,0.16965963491727667
2017-06-06,23210956.04658173,0.16561411124882233
2017-06-12,24994705.24461745,0.17834146455260796
2017-06-24,30769114.308671445,0.2195428533799882
2017-07-06,34103607.00260165,0.24333502475210497
2017-07-18,49237156.44089981,0.3513154687818101
2017-07-30,31535396.06989274,0.22501040381591852
2017-08-01,29321417.079791334,0.20921328791800578
2017-08-11,29059216.26019388,0.2073424405638857
2017-08-13,32193495.519653104,0.22970605509657538
2017-08-23,44510487.36766172,0.3175898826335866
2017-08-25,39739157.37434855,0.28354563323982745
2017-09-04,31423240.78097298,0.2242101567920982
2017-09-06,30750200.804174107,0.219407902314998
2017-09-16,30791779.91247832,0.21970457631043797
2017-09-18,29178494.05947882,0.2081935079081453
2017-09-28,29336854.287527274,0.2093234350155325
2017-09-30,28338517.90861459,0.2022001354931356
2017-10-10,29526835.46324985,0.21067898295195345
2017-10-12,27756268.94730475,0.1980456903225292
2017-10-22,28292160.865436226,0.20186937012135595
2017-10-24,27539279.62018055,0.19649743464146055
2017-11-03,28866281.52269588,0.2059658184628559
2017-11-05,28275645.677228346,0.2017515314501842
2017-11-15,29968584.95050563,0.21383094052662915
2017-11-17,28905984.138571996,0.20624910336630323
2017-11-27,33875041.64443777,0.24170417212463832
2017-11-29,30839095.312652864,0.22004217972205803
2017-12-09,35414453.99178326,0.25268814052470917
2017-12-11,28554048.283109114,0.20373798129954704
2017-12-21,31640106.05061524,0.2257575273019755
2017-12-23,29117543.987273995,0.20775861879722304
2018-01-02,32309483.73085922,0.2305336506715138
2018-01-04,32075759.512057066,0.2288659886977217
2018-01-14,36387572.97539747,0.2596315096512195
2018-01-16,33286277.433590326,0.2375032395426746
2018-01-26,34813335.11363879,0.24839905529448458
2018-01-28,35121898.97705926,0.25060071083600244
2018-02-07,33378596.283152245,0.2381619502046149
2018-02-09,30676507.77689221,0.21888209005659584
2018-02-19,29936161.549568783,0.21359959405735648
2018-02-21,28940261.88607672,0.20649368091309678
2018-03-03,27319970.25813836,0.19493262511744644
2018-03-05,26846214.47809736,0.19155229721096034
2018-03-15,35690485.67249371,0.254657673420538
2018-03-17,39800609.57783997,0.28398410514271194
2018-03-27,42293525.41233715,0.30177148277247434
2018-03-29,44401633.844511375,0.31681319426897686
2018-04-08,49307681.44650335,0.3518186766677932
2018-04-10,51826496.31095403,0.3697908482724073
2018-04-20,31946382.06331397,0.22794285864025113
2018-04-22,27071715.831029683,0.19316128764101173
2018-05-02,26581472.77337006,0.1896633202101458
2018-05-04,25842849.636536933,0.18439311875403427
2018-05-14,27670104.8215959,0.19743089465999097
2018-05-16,25229891.53873318,0.1800195586819369
2018-05-26,25098152.998798434,0.17907958183803935
2018-05-28,25424294.83833764,0.18140665922287186
2018-06-07,25678307.825061794,0.18321908499962805
2018-06-09,25461535.90578432,0.1816723805604489
2018-06-19,25149913.776613254,0.17944890377368672
2018-07-01,28066952.573103584,0.20026247072842776
2018-07-13,37122961.44475183,0.26487863120581356
2018-07-15,35646951.479322314,0.25434704956271215
2018-07-25,28825063.42561432,0.20567172034376804
2018-07-27,29512932.986061614,0.21057978641739164
2018-08-06,31167224.555919666,0.22238343756983128
2018-08-08,32121908.86696939,0.22919527217846988
2018-08-18,30277825.92285887,0.21603742735531567
2018-08-20,28962818.640888985,0.20665462718749383
2018-08-30,28310445.700566635,0.20199983552370201
2018-09-01,27721052.82786441,0.19779441733269454
2018-09-11,28810478.43168843,0.20556765393643187
2018-09-13,28447679.556709506,0.20297902238152632
2018-09-23,29787332.139680304,0.2125376709553136
2018-09-25,28553821.69448125,0.2037363645512258
2018-10-05,29390931.93299533,0.2097092881951537
2018-10-07,27439381.278352685,0.1957846430156503
2018-10-17,28104786.86145221,0.20053242479783423
2018-10-19,26838558.76468782,0.191497672396293
2018-10-29,27350726.75275677,0.19515207792719436
2018-10-31,28022911.07972936,0.19994822719754496
2018-11-10,30831564.02518853,0.21998844270762993
2018-11-12,29687326.35676866,0.21182411271913343
