Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,19779715.202184767,0.1282215689418409
2017-02-02,12548808.062834527,0.08134737238223437
2017-02-24,13320906.911343498,0.08635248619312857
2017-02-26,17816794.803958524,0.1154969806150731
2017-03-08,13108477.931563342,0.08497542000194713
2017-03-10,13944025.1643219,0.09039183656882885
2017-03-20,18422788.303325854,0.1194253201519767
2017-03-22,14111308.510089407,0.09147624718004842
2017-04-01,47666052.79138701,0.3089941392837232
2017-04-03,60266892.82213479,0.39067880775403435
2017-04-13,43771895.94038543,0.28375035311000274
2017-04-15,36992611.97050332,0.23980379381755434
2017-04-25,29215910.13163309,0.18939149511758613
2017-04-27,30072470.63687532,0.1949441297613672
2017-05-07,26540299.39755141,0.17204690735710665
2017-05-09,27465432.98726683,0.17804406551340843
2017-05-19,15986681.327272695,0.10363331023743566
2017-05-21,19157254.40374905,0.12418648050075945
2017-05-31,11876865.569958527,0.07699151994479704
2017-06-02,14218420.252505012,0.0921705966954098
2017-06-06,12119601.378297186,0.07856504948581446
2017-06-12,17205476.1376446,0.11153412080051181
2017-06-24,25195915.726453595,0.16333196976544134
2017-07-06,16171141.550691886,0.10482906958039925
2017-07-18,34974688.31944625,0.2267226481135552
2017-07-30,17178221.773254182,0.11135744498253713
2017-08-01,20202876.65111443,0.13096470373133834
2017-08-11,17692196.584509846,0.11468927539678438
2017-08-13,21289225.007131066,0.13800693306588693
2017-08-23,31313988.46612831,0.20299224179477524
2017-08-25,23268944.752067745,0.15084042278837212
2017-09-04,19354241.36735489,0.12546344416158306
2017-09-06,20772946.15544218,0.13466016676018555
2017-09-16,17775469.990113504,0.11522909341784729
2017-09-18,17884776.200008914,0.11593766852040123
2017-09-28,17181140.451265194,0.11137636524857648
2017-09-30,18064470.621358003,0.11710253365622135
2017-10-10,18434020.090704408,0.11949812996672773
2017-10-12,17352559.671920177,0.11248758657782706
2017-10-22,18181384.270069286,0.11786042381364992
2017-10-24,16122255.394597702,0.10451216614827907
2017-11-03,16249709.71151207,0.10533838595559793
2017-11-05,16452174.843923235,0.10665086172526471
2017-11-15,19922406.214358553,0.12914656029120075
2017-11-17,17461269.10990352,0.11319229311958104
2017-11-27,35841584.72665053,0.23234228501457083
2017-11-29,34171417.96982589,0.22151546573201075
2017-12-09,53571824.6199882,0.3472781753244509
2017-12-11,12411503.009297248,0.08045729539132558
2017-12-21,28075133.11720937,0.1819964332015257
2017-12-23,21236755.708950114,0.13766680199396453
2018-01-02,23992373.78992889,0.1555300356217458
