Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,19878872.96994922,0.05468674241917802
2017-02-02,63279196.02573213,0.17408095010130378
2017-02-24,71651947.93141103,0.19711437495882544
2017-02-26,65083226.30348871,0.17904383402662544
2017-03-08,37803232.26550115,0.10399662136988352
2017-03-10,34393357.04050082,0.09461606099339624
2017-03-20,15266478.267397927,0.04199805320549328
2017-03-22,19429562.850425124,0.05345069111939414
2017-04-01,19448094.141616587,0.05350167066685713
2017-04-03,47576823.65546928,0.1308837530328034
2017-04-13,51557952.25452942,0.14183583037458947
2017-04-15,50013630.69486898,0.1375874046477788
2017-04-25,19482624.35759685,0.05359666322653825
2017-04-27,33586146.23618581,0.0923954255780845
2017-05-07,25583488.04754336,0.0703801278450293
2017-05-09,27776562.524680045,0.0764132716363573
2017-05-19,8727750.955655593,0.024010026581094024
2017-05-21,20555475.69377399,0.05654807524895433
2017-05-31,3389035.521092224,0.00932323038995146
2017-06-02,4832530.44741956,0.013294282236743105
2017-06-06,7978081.666466507,0.021947687766442573
2017-06-12,12151825.541560724,0.033429649372914996
2017-06-24,26642118.83939472,0.07329241917656013
2017-07-06,45294453.08748081,0.12460495586229069
2017-07-18,103172830.01492214,0.28382826270950806
2017-07-30,103614068.0762513,0.2850421077922712
2017-08-01,67840360.01288068,0.1866287037125821
2017-08-11,46402322.82570684,0.12765270344335103
2017-08-13,70162755.09044424,0.19301760823419542
2017-08-23,113968130.11683229,0.3135261131310752
2017-08-25,105732860.07890505,0.29087090063500926
2017-09-04,57426214.82432842,0.15797940974590638
2017-09-06,63985519.67572088,0.17602404514345732
2017-09-16,44904237.88939924,0.12353147458104327
2017-09-18,42764874.05233783,0.11764608866026487
2017-09-28,29207296.330425404,0.08034921766425764
2017-09-30,32706326.955974344,0.08997504438116828
2017-10-10,27966963.36002943,0.07693706397885522
2017-10-12,25315270.332671337,0.06964226141227728
2017-10-22,30876405.27721217,0.08494093326002898
2017-10-24,27627685.32102012,0.07600371072709723
2017-11-03,18118801.80707989,0.049844789936823376
2017-11-05,16730028.777442995,0.046024277925641274
2017-11-15,11193495.86505232,0.03079328622239363
2017-11-17,11162589.120101087,0.030708261824747025
2017-11-27,11189983.151367154,0.030783622753605265
2017-11-29,17486929.01224646,0.04810650905817505
2017-12-09,9468707.463630136,0.026048396550894224
2017-12-11,12065851.662083225,0.03319313539101718
2017-12-21,8677866.110255554,0.02387279346455183
2017-12-23,10797301.620343283,0.029703356595039147
2018-01-02,8710000.170461345,0.02396119420417188
2018-01-04,16824748.632613037,0.04628485207033732
2018-01-14,13055094.374770673,0.03591454024634111
2018-01-16,19335726.76037469,0.053192548210891824
2018-01-26,28015042.965401117,0.07706933088345046
2018-01-28,38569805.003626294,0.10610546154099312
2018-02-07,62519514.03657256,0.1719910663677309
2018-02-09,65650434.51582764,0.1806042227595839
2018-02-19,83064490.19817355,0.22851025742328382
2018-02-21,75291571.19085842,0.20712697174905267
2018-03-03,41121145.94701068,0.11312419571195358
2018-03-05,35925011.119032115,0.09882963850327547
2018-03-15,22536257.205225624,0.061997201488111664
2018-03-17,27325836.53601196,0.07517332528320227
2018-03-27,12801068.093967568,0.03521571442221207
2018-03-29,24844545.659262266,0.06834729871474467
2018-04-08,17254551.647034615,0.0474672393604111
2018-04-10,46410734.73935653,0.12767584460209322
2018-04-20,23322518.649948876,0.06416020525430662
2018-04-22,29824457.92099281,0.08204702804744135
2018-05-02,9918504.842973806,0.027285788301531857
2018-05-04,13479832.022812905,0.037082992722964205
2018-05-14,9164201.87477154,0.025210702244567926
2018-05-16,8140001.750510061,0.02239312961528216
2018-05-26,10365891.267540157,0.028516547520079222
2018-05-28,16021501.098769307,0.044075119604691196
2018-06-07,14025136.635997938,0.03858312469555237
2018-06-09,22021144.82090538,0.06058012828075056
2018-06-19,11032261.670402946,0.030349731253996624
2018-07-01,16541011.759716025,0.045504292462838526
2018-07-13,47921214.85341357,0.13183117257524332
2018-07-15,45175179.29876236,0.12427683389225416
2018-07-25,35814615.0873255,0.0985259392262005
2018-07-27,38421480.09004177,0.10569741998069916
2018-08-06,44327158.32472437,0.12194392977624206
2018-08-08,52332262.55598407,0.14396595656796968
2018-08-18,39999224.76730332,0.11003779264161725
2018-08-20,39682456.83534197,0.10916636465231358
2018-08-30,21393335.45573828,0.058853025889526386
2018-09-01,22765462.94290392,0.06262774604445341
2018-09-11,20708176.534458566,0.05696815497652909
2018-09-13,30521314.62437665,0.08396407953716306
2018-09-23,35493867.44066085,0.09764356304917962
2018-09-25,33675005.37852209,0.09263987691271898
2018-10-05,15116609.272197645,0.04158576387955773
2018-10-07,14184259.9457121,0.039020872623434406
2018-10-17,9744570.467188576,0.02680729515854601
2018-10-19,10024829.94052357,0.027578288446343274
2018-10-29,9062767.09793369,0.02493165536290296
2018-10-31,11516018.378067644,0.031680545053430875
2018-11-10,10773901.14272401,0.029638981924805807
2018-11-12,20098274.682398155,0.05529031612042151
2018-11-22,13702214.19537934,0.037694765664425325
2018-11-24,26066089.30821363,0.07170776301193951
2018-12-04,11372219.184115332,0.03128495373939394
2018-12-16,4991823.9410795625,0.013732498340342352
2018-12-18,3853217.226156556,0.010600193393785819
2018-12-28,6626533.2519159075,0.018229580601850842
2018-12-30,5886159.337327277,0.01619281334536737
2019-01-09,8287370.330541156,0.022798540303756474
2019-01-11,9009965.250349637,0.024786397578799663
2019-01-21,19072634.233710106,0.05246878116132787
2019-01-23,23392104.499195974,0.06435163579564306
2019-02-02,69615663.38544156,0.19151255997535407
2019-02-04,65719705.22905184,0.18079478636230983
2019-02-14,88289175.07576892,0.2428833557651443
2019-02-16,94287809.906272,0.25938558898220526
2019-02-26,77400158.32414097,0.21292769101520684
2019-02-28,63499699.54160404,0.1746875548617064
2019-03-10,38158513.4235031,0.10497399917210656
2019-03-12,32059644.87343845,0.08819602317970486
2019-03-22,13481173.641874963,0.03708668351449863
2019-03-24,27421970.518908337,0.07543778969063276
2019-04-03,18814273.69306174,0.051758031796458166
2019-04-05,35526478.13112573,0.09773327499775239
2019-04-15,24016563.69983625,0.06606952189050992
2019-04-17,46256168.60014369,0.12725063344175042
2019-04-27,24459670.43363237,0.06728850768774014
2019-04-29,33891146.92045618,0.09323448189096406
2019-05-05,22603795.1917392,0.0621829983628923
2019-05-09,18735121.34720827,0.05154028384082175
2019-05-11,33896789.09053523,0.09325000349031552
2019-05-21,6309592.065217232,0.017357675989088314
2019-06-02,6678903.185580684,0.018373650191568752
2019-06-04,5362198.182241762,0.01475139718615491
2019-06-14,6972416.245625904,0.01918110407165654
2019-06-16,7318227.224128695,0.02013242942776169
2019-06-26,7093722.881962733,0.019514818401695142
2019-06-28,7205010.135562881,0.019820969428534996
2019-07-08,13294398.297233164,0.036572864890167166
2019-07-10,21115543.350264177,0.05808882032610695
2019-07-20,82421748.55199605,0.22674207635488408
2019-07-22,115021889.31192154,0.3164250027090105
2019-07-26,135852447.48534483,0.3737298293458001
2019-08-01,145393059.6403195,0.39997603556831074
2019-08-03,142981863.61838806,0.39334283981456536
2019-08-13,136814498.9260396,0.37637643106264834
2019-08-25,125703268.78455484,0.34580945769216875
2019-08-27,53034708.78763299,0.1458983848395109
2019-09-06,38796596.67088041,0.1067293649941059
2019-09-08,34744141.94382735,0.09558106960740337
2019-09-20,34891956.330282696,0.09598770670851829
2019-09-30,48716063.94375385,0.13401780093849447
2019-10-02,49178831.12611046,0.1352908725930013
2019-10-12,33112828.76094864,0.0910933300875645
2019-10-14,31737669.569273356,0.08731026971919276
2019-10-24,17888127.406963933,0.04921020509285816
