Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,73582945.13151541,0.4154730434645385
2017-02-02,59081620.00875967,0.3335938842075703
2017-02-24,23514121.504559826,0.13276831483753937
2017-02-26,29747905.86762357,0.16796627214945004
2017-03-08,20711789.437379334,0.11694544405316401
2017-03-10,26195177.8847202,0.14790642397375775
2017-03-13,24872320.846797794,0.14043714643081923
2017-03-20,18245541.26690674,0.10302021135836338
2017-03-22,23914801.69132768,0.13503068441726798
2017-03-25,22155671.791279927,0.12509806956859595
2017-04-01,17554836.264763564,0.09912026811929212
2017-04-03,30455619.40724714,0.17196225107748742
2017-04-06,28314645.65595896,0.15987362267540933
2017-04-13,17803085.548311926,0.10052196365063278
2017-04-15,11589928.91753041,0.06544047716896344
2017-04-18,11884361.22811031,0.067102936967933
2017-04-25,12604545.936708035,0.07116933213875587
2017-04-27,16932600.482381873,0.0956069241807395
2017-04-30,15676317.13513866,0.08851354316969047
2017-05-07,11700684.74561624,0.06606584030024353
2017-05-09,14858904.05309388,0.08389816523995579
2017-05-12,13944685.420308638,0.07873619194469839
2017-05-19,10108671.768219654,0.05707682150286042
2017-05-21,14036228.675095435,0.07925307468983643
2017-05-24,13120773.75967063,0.07408412094401506
2017-05-31,5434114.3630050365,0.03068276254635919
2017-06-02,23067988.17866067,0.13024930217270256
2017-06-05,40253348.91207038,0.22728339226225017
2017-06-06,40372855.58283234,0.2279581654739916
2017-06-12,31307763.58831223,0.1767737319953132
2017-06-24,40591480.76963307,0.22919259379941073
2017-06-29,42712564.5433305,0.24116891697220907
2017-07-06,44078336.50033305,0.2488805059911071
2017-07-11,46955952.94929209,0.26512845667907936
2017-07-18,43725124.86194736,0.24688615914721668
2017-07-23,47769178.65309352,0.26972019132055214
2017-07-30,53925844.19145557,0.30448271087239553
2017-08-01,54209755.11312176,0.30608576351573086
2017-08-04,49262291.71888664,0.27815078931541337
2017-08-11,43230884.12660865,0.2440955165309377
2017-08-13,56750127.3734211,0.3204295247314994
2017-08-16,53112812.51164666,0.2998920717529697
2017-08-23,46991580.12321462,0.26532961919511044
2017-08-25,51075007.79204351,0.288385968982461
