Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,10146306.644019902,0.03320087265935367
2017-01-09,30266276.91068379,0.09903769330454879
2017-01-27,37809522.89510104,0.12372079801974341
2017-02-02,47592591.87543925,0.15573307981149453
2017-02-08,34172093.035518296,0.11181835412440587
2017-02-20,17304212.79593422,0.056623063511172494
2017-02-26,23020342.301771093,0.07532745462471314
2017-03-04,11748459.450912625,0.038443457295194786
2017-03-10,20237699.34076263,0.06622205520734584
2017-03-13,14919849.159348102,0.04882091872595189
2017-03-22,48416710.68082618,0.1584297717678683
2017-03-25,34323323.425856024,0.11231321211638136
2017-03-28,9631403.51387054,0.03151600013817205
2017-04-03,79078139.57195991,0.25876048637014637
2017-04-06,46185738.64218941,0.15112955690544702
2017-04-09,29994653.81145648,0.09814888477104167
2017-04-15,63561809.51854366,0.20798775533430675
2017-04-18,57881516.24630548,0.1894006279966448
2017-04-21,4141855.1091752,0.013553030563517187
2017-04-27,36052171.08977072,0.11797036926241372
2017-04-30,54645114.53563988,0.17881043347165937
2017-05-03,8807849.822275888,0.028821157354281816
2017-05-09,37156250.53062697,0.1215831519436156
2017-05-12,27103562.65440569,0.08868861979783588
2017-05-15,3619328.0319427187,0.011843210866466657
2017-05-21,16438317.467185467,0.053789669887783394
2017-05-24,16000722.279599264,0.05235776539197767
2017-05-27,7000596.863300308,0.02290744141218056
2017-06-02,6844784.925325462,0.022397591622202163
2017-06-05,7658485.199951232,0.025060191930724666
2017-06-08,5038452.629699526,0.016486888286333514
2017-06-20,6700806.918376577,0.021926464970685587
2017-06-29,7178232.2852951065,0.02348870228200809
2017-07-02,4096894.651990195,0.013405910388060487
2017-07-11,7466854.8384254025,0.024433136643130453
2017-07-23,30975409.33768931,0.10135812538231426
2017-07-26,34612136.04158162,0.11325826840272689
2017-08-01,38228146.15546565,0.1250906223358457
2017-08-04,34107794.62704958,0.11160795606069003
2017-08-07,28823308.12467771,0.09431599263094986
2017-08-13,42886862.34088586,0.14033493223647037
2017-08-16,34710633.43790694,0.11358057282614013
2017-08-19,30720148.58494364,0.10052285792547717
2017-08-25,26279961.47329239,0.08599362161814333
2017-08-28,20017271.05792808,0.06550076699818026
2017-09-06,19828283.33010978,0.06488235896995709
2017-09-09,15318383.567659056,0.05012500804681835
2017-09-12,9081910.994704064,0.029717943781688273
2017-09-18,15751138.178394902,0.051541073145960334
2017-09-21,10532742.962456644,0.034465374457841064
2017-09-24,8315904.048796919,0.02721140618534696
2017-09-30,16957486.391344827,0.05548850099396405
2017-10-03,8868427.254230842,0.02901937959168605
2017-10-06,7784382.396153618,0.025472154325114613
2017-10-12,18854595.18750221,0.061696244340582095
2017-10-15,13168880.12674686,0.043091375758104684
2017-10-18,8875978.10351096,0.029044087576001396
2017-10-24,15334599.250262242,0.050178069208094235
2017-10-27,15986593.35935444,0.052311532560828315
2017-10-30,8679836.752498433,0.028402271371674614
2017-11-05,21113247.74107972,0.06908703573335442
2017-11-08,15735946.359177494,0.051491362283377806
2017-11-11,8796776.300004963,0.028784922434945508
2017-11-17,8329236.979991241,0.02725503437107891
2017-11-20,8283242.986328812,0.027104532244516293
2017-11-29,19053062.815235954,0.062345672616956505
2017-12-02,16209047.205156598,0.05303944884270158
2017-12-05,7843380.329783092,0.025665208108163015
2017-12-11,9379298.99119209,0.030691060537196405
2017-12-14,8166946.40562005,0.02672398510531608
2017-12-23,12633811.97908217,0.04134051901210225
2017-12-26,11696566.956899935,0.03827365402133976
2017-12-29,7500780.940656413,0.024544150063039644
2018-01-04,23293861.63268397,0.07622246803147455
2018-01-07,22522496.93114047,0.07369839871951853
2018-01-10,11784281.063256236,0.03856067322721808
2018-01-16,29644341.749980196,0.09700258922211256
2018-01-19,30697658.71275848,0.10044926628186322
2018-01-22,21469317.444390472,0.07025217151056275
2018-01-28,54148372.60819271,0.17718498826717644
2018-01-31,59551542.30160652,0.19486530833257096
2018-02-03,44817774.21088255,0.1466532864279415
2018-02-09,66694128.26708414,0.21823736827697213
2018-02-12,65829332.55620994,0.21540757283707065
2018-02-15,46738921.89618587,0.15293969013102304
2018-02-21,45580975.12763564,0.1491506421002694
2018-02-24,32736910.035320867,0.10712213019739614
2018-02-27,23702445.52666713,0.07755944140619439
2018-03-05,13264646.179321587,0.04340474264402435
2018-03-08,12581270.211383773,0.04116859117669822
2018-03-11,6700745.716560395,0.021926264705330236
2018-03-17,26163304.80322987,0.08561189619001498
2018-03-20,15169829.418823658,0.049638907286064224
2018-03-23,8562026.079388697,0.02801676980021024
2018-03-29,42413876.51966527,0.13878722206261315
2018-04-01,32024168.46370751,0.10478988823109309
2018-04-10,7302117.147746158,0.02389407989249881
2018-04-13,10441870.718852742,0.03416802115540159
2018-04-22,36894981.583506,0.12072822439731291
2018-04-25,29294047.3289672,0.09585635139653008
2018-04-28,13154002.815805385,0.04304269403347215
2018-05-04,11242446.576911237,0.03678767558238647
2018-05-07,10083277.048197756,0.032994626420393906
2018-05-10,9537840.650616094,0.031209842556153163
2018-05-16,41659189.03864145,0.13631772416212853
2018-05-19,16427370.492546685,0.05375384905920617
2018-05-22,9711320.965219503,0.03177750703113205
2018-05-28,24364078.42193077,0.07972444491669194
2018-05-31,22656684.361687876,0.07413748852336513
2018-06-09,17381115.4528367,0.05687470535569432
2018-06-12,16633180.677040253,0.054427303742482114
2018-06-15,9144055.518272787,0.0299212938760497
2018-06-24,17615949.474141352,0.05764313220409979
2018-06-27,7862313.568310487,0.02572716169023297
2018-07-06,30170819.842414554,0.09872533748097331
2018-07-09,15725664.484096425,0.0514577178019677
2018-07-15,21239568.91612692,0.0695003854766715
2018-07-18,20184164.32726039,0.0660468772604865
2018-07-21,16782907.73564585,0.054917242513389836
2018-07-27,46796183.78398833,0.15312706320300526
2018-07-30,39842153.58504696,0.13037199781766826
2018-08-02,31109683.78292324,0.10179749991671636
2018-08-08,45319778.51498094,0.1482959512477202
2018-08-11,39606114.12854143,0.1295996265289844
2018-08-20,33400731.522134416,0.109294295244786
2018-08-23,28401467.759646226,0.09293564126435282
2018-08-26,12856394.8028367,0.04206885733725912
2018-09-01,15812786.499636125,0.051742799560803035
2018-09-04,14143338.527159033,0.046280010834789505
2018-09-07,11830804.162923027,0.03871290670112614
2018-09-13,24168731.07126448,0.07908522685031935
2018-09-16,14361786.63533056,0.04699481949143051
2018-09-19,9332580.767241592,0.030538188575144495
2018-09-25,17273288.03989064,0.05652187113413847
2018-09-28,15058346.698998515,0.049274112123204206
2018-10-01,7913108.493608602,0.025893373485887505
2018-10-07,29223981.32960977,0.09562708054911415
2018-10-10,14859772.418812802,0.04862433485733038
2018-10-13,5996207.255156362,0.019620865059787416
2018-10-19,40380700.58822248,0.13213423811858063
2018-10-22,22051546.90604252,0.07215735010342805
2018-10-25,9884348.103156622,0.03234368861570387
2018-10-31,17137109.378619593,0.0560762655999862
2018-11-03,6963506.175917593,0.02278607279679703
2018-11-06,4813119.731570405,0.0157495511330988
2018-11-12,5536121.6915358,0.01811536727166603
2018-11-15,5360429.20228852,0.017540464090897115
2018-11-18,4680922.949461275,0.01531697515419633
2018-11-24,5225514.714145017,0.0170989952000082
2018-11-27,5600881.552545643,0.018327275306211043
2018-11-30,4558302.440205593,0.01491573477618918
2018-12-09,7616753.467440258,0.02492363682889678
2018-12-12,4970105.71307367,0.016263242643128756
2018-12-18,5877447.783252463,0.01923225881693378
2018-12-21,9377426.409199614,0.030684933050766354
2018-12-24,5827559.930662836,0.019069015156044325
2018-12-30,39353633.83663824,0.1287734573312089
2019-01-02,36244752.46066369,0.118600536454862
2019-01-05,14157996.012106802,0.046327973242030966
2019-01-11,43808719.99246745,0.143351446478946
2019-01-14,36590652.17083844,0.11973239385217294
2019-01-17,29586036.183571395,0.09681180101182217
2019-01-23,53584270.53737175,0.17533912635137844
2019-01-26,55566278.98989581,0.18182467942509697
2019-01-29,48832547.32942023,0.15979047769776453
2019-02-04,64880995.63653013,0.21230441279932333
2019-02-07,69394682.28537229,0.22707415521990723
2019-02-10,46356529.48856366,0.15168842086854206
