Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,43300382.84473741,0.1071527176326726
2017-01-09,123916224.77644265,0.30664764076539125
2017-01-27,122201794.30825432,0.3024050481648281
2017-02-02,156984823.60128558,0.38848040989106136
2017-02-08,83684324.38332419,0.20708830250024304
2017-02-20,34689532.91654817,0.0858439921592506
2017-02-26,68837521.05097926,0.17034785771196032
2017-03-04,30078055.206183907,0.07443226005656134
2017-03-10,53869780.98758124,0.13330813844750458
2017-03-13,32962804.97209245,0.08157096777228041
2017-03-22,98564507.7062602,0.2439113506391523
2017-03-25,59790825.75419527,0.14796057328260484
2017-03-28,30849396.381217305,0.07634104925648992
2017-04-03,83143723.71855645,0.20575051224116842
2017-04-06,61103833.96174096,0.15120979161439205
2017-04-09,30042728.383471586,0.07434483900366844
2017-04-15,39745862.360563256,0.09835657069960792
2017-04-18,51443848.85157103,0.12730483768921763
2017-04-21,17621075.181911036,0.043605759794821015
2017-04-27,35217904.93055449,0.08715152095004296
2017-04-30,27580792.44299113,0.06825244190856763
2017-05-03,12627252.942778105,0.031247863879297805
2017-05-09,55258024.52817375,0.13674353689753402
2017-05-12,52030043.24857479,0.1287554558725539
2017-05-15,8857064.070320219,0.021918016031972746
2017-05-21,32259918.81478702,0.07983157987329288
2017-05-24,29555897.105547555,0.0731401084440058
2017-05-27,18642313.904915668,0.046132954644669
2017-06-02,17957601.038086712,0.04443853903772483
2017-06-05,18145624.387109645,0.04490382852254176
2017-06-08,13075139.268456316,0.032356219829844914
2017-06-20,18806091.355167527,0.04653824433793483
2017-06-29,18679228.80731512,0.04622430561787932
2017-07-02,11363568.55325428,0.02812070407904861
2017-07-11,25139221.18185377,0.06221043999688024
2017-07-23,72383245.6813096,0.17912223810206757
2017-07-26,77455135.16311538,0.19167332208339796
2017-08-01,58693753.82267596,0.14524571878992437
2017-08-04,57547775.64054123,0.14240983909334543
2017-08-07,47848615.09730159,0.11840794020274406
2017-08-13,51935733.80732586,0.12852207426564116
2017-08-16,42770096.24452371,0.10584045093653659
2017-08-19,27695863.814336184,0.0685372017501966
2017-08-25,24397854.00694125,0.06037582555847261
2017-08-28,20463769.675761506,0.050640395989787895
2017-09-06,21040984.252649013,0.052068792380472614
2017-09-09,19075642.192549605,0.04720528473961485
2017-09-12,14515667.850198155,0.035921004762917104
2017-09-18,29053779.95971661,0.07189755091423362
2017-09-21,14586732.885872696,0.03609686491012399
2017-09-24,11925110.406005738,0.029510316170991528
2017-09-30,23783507.73995998,0.0588555417237875
2017-10-03,15894945.817667374,0.03933421667642697
2017-10-06,12061765.54767157,0.02984848800333946
2017-10-12,24067921.96486093,0.05955936361009285
2017-10-15,19380933.78267619,0.04796077052064737
2017-10-18,13078236.713024812,0.03236388487993052
2017-10-24,22261791.97036585,0.055089847993984316
2017-10-27,22284962.000304,0.05514718540100923
2017-10-30,14939390.124775127,0.03696956346516281
2017-11-05,21707137.188103527,0.053717278899607604
2017-11-08,20126030.589452315,0.04980461444303873
2017-11-11,14022277.345136154,0.0347000424988854
2017-11-17,17273310.009587545,0.04274516732740394
2017-11-20,16472567.150917292,0.0407636196413446
2017-11-29,27658690.83915462,0.06844521214060172
2017-12-02,30550512.40875492,0.07560142000145469
2017-12-05,17696904.7382297,0.043793410399795105
2017-12-11,19188365.485168755,0.04748423393939341
2017-12-14,20437539.19198256,0.05057548507129066
2017-12-23,38350234.36179564,0.09490289839817759
2017-12-26,43937998.609074295,0.1087305850201069
2017-12-29,26742335.56912581,0.06617756573542583
2018-01-04,78524686.30415963,0.1943200726172433
2018-01-07,88110224.56995632,0.2180407976472051
2018-01-10,69190503.52400059,0.17122136110329428
2018-01-16,142369837.86595064,0.3523136294420471
2018-01-19,147516277.24498358,0.3650491973369671
2018-01-22,123198224.5999253,0.3048708511593861
2018-01-28,180953847.4744784,0.4477950366513919
2018-01-31,177459662.83923462,0.43914819902597807
2018-02-03,134578994.96341592,0.3330341234697974
2018-02-09,156453600.90216768,0.38716582669019795
2018-02-12,134388521.35478657,0.33256277048257044
2018-02-15,83031171.96779819,0.2054719875451788
2018-02-21,58687840.3542273,0.14523108510372393
2018-02-24,40274374.14950034,0.0996644453825773
2018-02-27,28560776.34445485,0.07067754606191046
2018-03-05,33357570.79341928,0.0825478697718618
2018-03-08,28589318.83584709,0.0707481783593581
2018-03-11,19537628.684844404,0.04834853348031253
2018-03-17,69042944.32066232,0.17085620567947038
2018-03-20,37750362.56292786,0.09341843361387384
2018-03-23,27552563.573248915,0.0681825857107732
2018-03-29,69159722.54417676,0.17114518936016337
2018-04-01,66647131.61253556,0.16492743956358658
2018-04-10,15759936.144614093,0.039000116781138953
2018-04-13,75932335.53309016,0.18790494619276626
2018-04-22,28533754.74277954,0.07061067741401238
2018-04-25,25573453.807790063,0.06328500800060172
2018-04-28,26293604.30482393,0.06506711886872947
2018-05-04,25679655.7414494,0.06354781920599563
2018-05-07,17117869.516967893,0.042360508575676956
2018-05-10,15328922.141017362,0.03793351369846572
2018-05-16,29939930.0745692,0.07409045053309923
2018-05-19,14762415.781490555,0.03653161625573059
2018-05-22,11277738.10070654,0.027908304888974236
2018-05-28,34422330.55327273,0.08518276337784468
2018-05-31,28559493.15735009,0.07067437063997482
2018-06-09,30860372.100406837,0.0763682101742894
2018-06-12,39906741.72990654,0.09875468869542277
2018-06-15,32207366.95205051,0.07970153310375121
2018-06-24,32482966.888937626,0.08038354282922495
2018-06-27,23155383.43726164,0.05730116225590631
2018-07-06,47244747.67570202,0.11691358770368544
2018-07-09,29037166.93200176,0.07185643970572222
2018-07-15,43457524.04810271,0.10754158502567086
2018-07-18,56427398.69725688,0.1396373131626539
2018-07-21,42137504.86638968,0.1042750170797249
2018-07-27,106919610.61905451,0.2645871951557413
2018-07-30,96850360.63873953,0.23966945935228948
2018-08-02,96373279.92584652,0.23848885789895077
2018-08-08,100945783.930794,0.24980414423887168
2018-08-11,73698044.24038136,0.18237588690349343
2018-08-20,37483236.10327596,0.09275739266636236
2018-08-23,33196033.96928699,0.08214812481428045
2018-08-26,19243321.6467011,0.04762023047503528
2018-09-01,22730613.424302313,0.056250010781780505
2018-09-04,19626131.20141802,0.048567545058159266
2018-09-07,15528905.56744484,0.038428400030072425
2018-09-13,26800468.337482713,0.06632142321897946
2018-09-16,22348738.44272069,0.05530500892766016
2018-09-19,16371582.125444,0.040513718388543486
2018-09-25,22462710.160681505,0.05558704752663874
2018-09-28,17884088.632196974,0.04425662253830157
2018-10-01,12686202.826675238,0.03139374342697659
2018-10-07,39375980.90652837,0.09744124846922769
2018-10-10,23638907.26327062,0.058497708073590844
2018-10-13,12153321.661253804,0.03007505612448979
2018-10-19,32389924.894215986,0.08015329769203675
2018-10-22,23856202.07080694,0.05903543378466536
2018-10-25,14530058.942624735,0.03595661748876159
2018-10-31,24337768.927276284,0.060227136813655664
2018-11-03,12141747.26840922,0.030046413706876704
2018-11-06,10648015.519941982,0.026349970263492204
2018-11-12,12335660.245858764,0.030526277882499973
2018-11-15,12729677.413451042,0.03150132723605487
2018-11-18,11469443.392751265,0.02838270584521553
2018-11-24,13267575.341682073,0.032832429204035375
2018-11-27,18857501.738768395,0.046665466361285615
2018-11-30,11747666.870360665,0.029071207880912508
2018-12-09,34372300.5819526,0.08505895737342067
2018-12-12,15451016.278227925,0.0382356523344228
2018-12-18,15307425.801548947,0.03788031806734499
2018-12-21,39883508.04810844,0.09869719377316757
2018-12-24,18930576.99329993,0.0468463010699031
2018-12-30,116698751.48658936,0.2887870162941922
2019-01-02,97100782.85998744,0.24028916337796843
2019-01-05,45902805.1816548,0.11359276752388414
2019-01-11,110125234.99526179,0.2725199509665112
2019-01-14,117319008.15980384,0.2903219262372069
2019-01-17,100334806.69261795,0.24829219752659856
2019-01-23,162523441.17902243,0.4021864763595874
2019-01-26,172259911.13988182,0.42628070250525213
2019-01-29,159482368.58087766,0.3946609264221214
2019-02-04,173389768.77716854,0.42907668970950885
2019-02-07,172466541.26456758,0.4267920370004747
2019-02-10,125483498.22645698,0.31052607320430864
2019-02-16,126982839.11996822,0.31423639724401986
2019-02-19,100812445.63465428,0.24947418039427677
2019-02-22,50672000.4000505,0.1253947931642638
2019-02-28,83402736.0707567,0.20639147372038225
2019-03-03,49925008.80260223,0.12354626032328729
2019-03-12,24289073.987607226,0.060106634527585634
2019-03-15,28813249.4184549,0.07130232520312926
2019-03-18,18499363.26774872,0.04577920374794634
2019-03-24,82554634.29843238,0.2042927299272963
2019-03-27,50117927.23356406,0.12402366335764643
2019-03-30,26219460.92956154,0.06488364094932374
2019-04-05,36946774.35731692,0.09142984472777718
2019-04-08,18027886.477995414,0.044612469968618215
2019-04-11,18317853.694817547,0.04533003349267029
2019-04-17,44127257.72558861,0.10919893258054268
2019-04-20,36658731.61665075,0.09071704358309876
2019-04-23,9012567.916900067,0.02230283156173636
2019-04-29,54640014.2726279,0.13521418602218374
2019-05-02,55556809.87691042,0.13748292209467552
2019-05-05,11932470.602141675,0.029528529982659268
2019-05-08,50195921.95312643,0.12421667195510096
2019-05-11,115571522.97982512,0.28599753523288357
2019-05-14,89541207.29708104,0.22158196005786177
2019-05-23,80379141.62825957,0.19890917586878276
2019-06-04,64875238.63459773,0.16054264812603553
2019-06-07,35179809.771246515,0.08705724926974083
2019-06-16,41551229.39962735,0.10282419827818672
2019-06-19,40185900.90495297,0.09944550624236176
2019-06-28,33430863.26972089,0.08272924202544917
2019-07-01,28134821.38887053,0.06962346228524677
2019-07-10,20646094.02771029,0.051091582527144394
2019-07-13,16827343.9753745,0.041641563400640944
2019-07-22,43925342.83785504,0.10869926658385327
2019-07-25,29331615.50770285,0.07258509296503807
2019-07-28,27253383.22033729,0.06744222302179344
2019-08-03,56169255.43122428,0.1389985023559885
2019-08-06,59062810.61436905,0.14615900028058712
2019-08-09,59625896.63241099,0.1475524336206687
2019-08-18,64508165.00086398,0.1596342742308922
2019-08-21,41182238.93628813,0.10191108092610442
2019-08-27,29684095.722759776,0.07345735345036744
2019-08-30,26738433.669257317,0.06616790995071051
2019-09-02,11451069.707950788,0.028337237650018346
2019-09-08,13853572.652399253,0.03428255967040872
2019-09-11,13003591.967960492,0.03217916625239968
2019-09-14,9350275.01976857,0.023138533961088576
2019-09-20,17874064.46771342,0.044231816372724206
2019-09-23,16964893.673590295,0.041981948935480795
2019-09-26,6895609.194865327,0.017064127760996615
2019-10-02,16230919.739898795,0.04016563008332206
2019-10-05,10881947.371915627,0.026928866615741585
2019-10-08,8671597.262380652,0.02145905305761196
2019-10-14,32446104.99832677,0.0802923230409336
2019-10-17,17595156.474776175,0.04354162041025751
2019-10-20,9993598.562653216,0.024730526026940414
2019-10-26,21588857.528258447,0.053424579709429224
2019-10-29,15696586.656033505,0.0388433498101311
2019-11-01,8520422.299295641,0.021084949941926768
2019-11-07,16224479.370025098,0.040149692507504296
2019-11-10,8145768.813030646,0.02015781866533279
2019-11-13,6931070.989963878,0.017151882821513465
2019-11-19,15327329.221704667,0.037929571801833144
2019-11-22,22357569.917569727,0.05532686361966536
2019-11-25,11150384.02015354,0.027593149804045865
2019-12-01,24551434.46728312,0.060755881406013644
2019-12-04,35810307.619549416,0.08861750240074563
2019-12-07,15758025.268821714,0.03899538805772452
2019-12-13,57664488.32081634,0.14269866057833122
2019-12-16,53326769.65750951,0.13196438266753488
2019-12-19,24504352.80655781,0.060639371399266916
2019-12-25,90708999.58688083,0.2244718217464112
2019-12-28,46819219.66648517,0.11586056046418268
2019-12-31,46629900.18530539,0.11539206352312881
2020-01-06,30794245.007153746,0.07620456964074895
2020-01-09,55245979.37658713,0.13671372952304883
2020-01-12,40960533.56816329,0.10136244067981579
2020-01-18,115549773.06529656,0.2859437120956062
2020-01-21,137009374.52040222,0.3390484299793673
2020-01-24,116924096.11037004,0.28934466237618167
2020-01-30,155263867.01313677,0.3842216675143665
2020-02-02,160844050.86391369,0.39803059540871577
2020-02-05,138375708.44465214,0.34242961008814515
2020-02-11,167745346.7297017,0.4151087956144257
2020-02-14,155098795.30307588,0.38381317499824436
2020-02-17,126066278.39352752,0.3119682424088615
2020-02-23,76050313.87606852,0.18819689973316012
2020-02-26,58316549.82515645,0.14431227592451018
2020-02-29,36356179.12862998,0.08996833608473326
2020-03-06,33564386.0929687,0.08305966250760269
2020-03-09,27736605.571873296,0.06863802279967524
2020-03-12,25363833.547711305,0.06276627400652027
