Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,2680935.113369898,0.17984598510487074
2017-02-02,2000685.203467874,0.13421257363074926
2017-02-24,274101.4607640584,0.018387631608074138
2017-02-26,973797.5824870092,0.06532555922063228
2017-03-08,278555.6198077033,0.018686431313081234
2017-03-10,882365.8731938975,0.05919201807462058
2017-03-13,486850.48014301906,0.03265953874207767
2017-03-20,261402.14671325692,0.017535719663531898
2017-03-22,1101396.9845359952,0.07388534869328638
2017-03-25,756869.5335608984,0.050773308977263135
2017-04-01,280688.6974914551,0.018829525211708772
2017-04-03,1746188.6987539844,0.11714010724849379
2017-04-06,839614.954818336,0.05632414522270125
2017-04-13,307095.62652668665,0.02060098925880612
2017-04-15,992509.7403802908,0.06658083259631833
2017-04-18,686472.989197705,0.04605087619407536
2017-04-25,203003.78053523033,0.013618164314495347
2017-04-27,766189.869125845,0.05139854788096745
2017-04-30,403730.06253928406,0.027083546502757325
2017-05-07,253241.08886988024,0.0169882489395967
2017-05-09,831992.6490114998,0.0558128157653919
2017-05-12,464812.0992965997,0.031181131340990473
2017-05-19,261497.4224801755,0.017542111076764035
2017-05-21,729242.1208191816,0.04891997085070648
2017-05-24,392518.66723546037,0.02633144906378507
2017-05-31,234434.47779131136,0.01572663933217211
2017-06-02,733922.1179577394,0.049233920521280165
2017-06-05,296802.36038893147,0.019910482957754973
2017-06-06,295883.9559925155,0.019848873356472806
2017-06-12,412499.6365886317,0.027671838504301726
2017-06-24,420470.7432781741,0.028206566677246872
2017-06-29,453461.4387852686,0.030419691531772066
2017-07-06,475194.7222316965,0.0318776319912385
2017-07-11,610225.1832609592,0.04093592145220464
2017-07-18,719619.5256562476,0.04827445537451582
2017-07-23,1751628.3042055026,0.11750501395441568
2017-07-30,1253179.5157522443,0.08406742237055063
2017-08-01,1838050.7066382929,0.12330251424569194
2017-08-04,1404890.7103095576,0.09424471054904007
2017-08-11,969071.2166974541,0.06500849898774957
2017-08-13,2078623.7079967118,0.13944094602017654
2017-08-16,1546187.3185259057,0.10372335386641006
2017-08-23,1253114.8331423278,0.08406308324736873
2017-08-25,1880515.9651640973,0.1261512240910811
2017-08-28,1492837.4375987912,0.10014446758799357
2017-09-04,1158609.998562682,0.077723386703656
2017-09-06,1858133.838372444,0.12464975707626505
2017-09-09,1318205.701704945,0.08842959376811792
2017-09-16,1188291.6441092384,0.0797145295538625
2017-09-18,1973242.3380735815,0.13237161554999471
2017-09-21,1395027.1199169678,0.09358302831660573
2017-09-28,1210422.956071832,0.08119917108126327
2017-09-30,1673094.001470289,0.11223667345281178
2017-10-03,1368632.8130298073,0.09181241100490403
2017-10-10,802309.3539531627,0.05382156226048522
2017-10-12,1850094.1710319088,0.12411042962832972
2017-10-15,1508908.112159791,0.1012225415343972
2017-10-22,794540.2973880842,0.053300388277454466
2017-10-24,1726117.4340402354,0.11579366049685741
2017-10-27,1632163.2493129366,0.10949090336456471
2017-11-03,1317770.9352640486,0.08840042819881204
2017-11-05,2169658.958524697,0.14554789140234
2017-11-08,1607177.5711557425,0.10781478152212091
2017-11-15,1339103.4105220714,0.08983148112074639
2017-11-17,2257721.282674631,0.1514554030606366
2017-11-20,1591613.6836846748,0.10677070452811374
2017-11-27,1502802.126465054,0.10081293184006714
2017-11-29,2279377.304292807,0.15290816054139397
2017-12-02,1897471.595811372,0.12728866381561077
2017-12-09,1412797.3307351219,0.0947751127703376
2017-12-11,1923394.6183473181,0.12902766581592878
2017-12-14,1658938.299547412,0.11128706219796473
2017-12-21,1508327.5051943597,0.1011835925008544
2017-12-23,1969177.0007089968,0.13209889928786991
2017-12-26,1764967.523294606,0.11839985284314729
2018-01-02,1283315.938964573,0.08608907320914395
2018-01-04,2392193.017336978,0.16047621131090095
2018-01-07,1996054.3884864345,0.13390192326177092
2018-01-14,1284094.087748658,0.08614127400055215
2018-01-16,2126013.7530923286,0.14262002681996222
2018-01-19,2069955.4720573283,0.13885945211386552
2018-01-26,1234490.6314389382,0.08281371026350429
2018-01-28,2152228.57801014,0.14437860388815887
2018-01-31,1703397.400297604,0.114269525567339
2018-02-07,751097.3476282451,0.0503860916738344
2018-02-09,1274633.416134732,0.08550662089101774
2018-02-12,861308.2563470877,0.057779403563031344
2018-02-19,347636.7519803516,0.02332062190045914
2018-02-21,718361.276929519,0.04819004789272451
2018-02-24,387249.3344882144,0.025977964813439825
2018-03-03,240265.94623727247,0.016117833502460537
2018-03-05,608302.115470976,0.04080691571111521
2018-03-08,435734.8206209971,0.029230531417290987
2018-03-15,2062461.606742082,0.13835673886909414
2018-03-17,984290.0332190123,0.06602942748236335
2018-03-20,580305.9089452404,0.038928837679046986
2018-03-27,228756.32933343612,0.015345730373247457
2018-03-29,785985.7112616147,0.052726518376088036
2018-04-01,664466.6316203404,0.04457461701967992
2018-04-08,230364.60299320577,0.015453618684015232
2018-04-10,533631.7602959422,0.03579778157817296
2018-04-13,342524.2672696883,0.022977659534627364
2018-04-20,224173.2822066064,0.015038284429779369
2018-04-22,666299.5401955093,0.044697574582757256
2018-04-25,410439.1261702293,0.0275336126575931
2018-05-02,194653.3367822086,0.013057988958017856
2018-05-04,602163.1983615655,0.040395096868684775
2018-05-07,279415.203619295,0.018744095035192577
2018-05-14,194317.0749443504,0.013035431402938962
2018-05-16,426175.90669133776,0.028589287888628582
2018-05-19,568405.8319971726,0.03813054120000283
2018-05-26,286290.6979265997,0.0192053259096787
2018-05-28,538034.4883235557,0.036093131120698695
2018-05-31,351870.22374082095,0.02360461717336906
2018-06-07,240101.37243460858,0.01610679334803273
2018-06-09,402975.7857994525,0.02703294712694991
2018-06-12,294122.27551625564,0.01973069400960502
2018-06-19,238454.5447790406,0.015996318707845975
2018-06-24,299455.19332362147,0.020088443755865545
2018-07-01,243001.64324831488,0.01630135309659235
2018-07-06,286182.2413354912,0.019198050283210994
2018-07-13,233898.62844965322,0.015690692787909362
2018-07-15,412719.9160500022,0.027686615578364795
2018-07-18,321556.2779936251,0.021571057536609647
2018-07-25,289347.43303174764,0.01941038179985985
2018-07-27,423132.2706956153,0.028385110729986614
2018-07-30,384504.10774946044,0.02579380593368729
2018-08-06,468686.2932362874,0.03144102507064313
2018-08-08,800147.5351929612,0.0536765403154901
2018-08-11,515584.17877577274,0.03458709018132844
2018-08-18,464591.85895059607,0.03116635689091545
2018-08-20,788397.2630427941,0.05288829323723805
2018-08-23,476195.7514053344,0.0319447843355656
2018-08-30,413915.8533672256,0.027766843004932148
2018-09-01,744518.3078536692,0.04994474794887738
2018-09-04,524922.6103093465,0.03521354302239659
2018-09-11,423505.3393547809,0.02841013740824704
2018-09-13,699170.0973128082,0.04690264015716263
2018-09-16,504631.1324253754,0.0338523236437264
2018-09-23,545644.9740436029,0.036603667647533165
2018-09-25,924459.2660634656,0.062015781943160465
2018-09-28,631058.5017231061,0.04233348928707799
2018-10-05,537239.4171454639,0.03603979511918962
2018-10-07,800207.4808422009,0.05368056166769907
2018-10-10,648262.5114993224,0.043487591104211576
2018-10-17,669327.2035119749,0.044900680241301595
2018-10-19,838502.277988,0.05624950318468355
2018-10-22,736366.9751738311,0.0493979296210439
2018-10-29,602981.1555694877,0.04044996814068938
2018-10-31,1248285.592428738,0.08373912182468723
2018-11-03,790294.6446096076,0.053015575861611035
2018-11-10,725944.9470087994,0.048698785537778566
2018-11-12,1130936.9169641836,0.0758669849592984
2018-11-15,956331.858262155,0.06415390073359022
2018-11-22,802416.6637269864,0.05382876095466042
2018-11-24,1325463.7787483665,0.08891648955658048
2018-11-27,1084606.6238306689,0.07275899582250771
2018-12-04,964107.808748672,0.06467553718364831
2018-12-09,1154285.7918980927,0.07743330463359331
2018-12-16,976061.3622603166,0.06547742104726158
