Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,1964390.2311074927,0.15834832433541568
2017-02-02,1888858.437968416,0.15225975156193014
2017-02-24,970556.5552222757,0.07823598476436879
2017-02-26,1943618.1604430862,0.15667390011430193
2017-03-08,1028530.7032314516,0.08290924624095981
2017-03-10,1766431.8682405942,0.14239101883075383
2017-03-13,1304907.3048992672,0.10518779918150356
2017-03-20,986196.5661052343,0.07949671670891115
2017-03-22,1685032.5939443847,0.1358294719024448
2017-03-25,1379689.3607721652,0.11121593608134689
2017-04-01,1051631.7319332948,0.08477140637973167
2017-04-03,2020545.7138733529,0.1628749842919799
2017-04-06,1456935.5476357262,0.11744270510994727
2017-04-13,1105637.3245887898,0.08912476497738533
2017-04-15,1945687.3664980102,0.15684069757964933
2017-04-18,1440897.1305147363,0.11614985787629484
2017-04-25,930413.9199132277,0.07500011088608559
2017-04-27,1729498.6938705132,0.13941385768360598
2017-04-30,1369246.760229675,0.11037416428294247
2017-05-07,1031483.8538413844,0.08314729794941762
2017-05-09,1817590.8865748376,0.1465149167709839
2017-05-12,1407835.3291514663,0.11348476579709395
2017-05-19,1069213.7725999146,0.08618868418628377
2017-05-21,1727046.1912591683,0.13921616291156683
2017-05-24,1324468.5273214595,0.10676461764835177
2017-05-31,979860.6278801996,0.07898598050938255
2017-06-02,1352671.9869710908,0.10903808170109387
2017-06-05,979227.7190724388,0.07893496210805934
2017-06-06,977766.8880247516,0.07881720538901477
2017-06-12,980268.726396,0.07901887708722001
2017-06-24,988342.0627890788,0.07966966391633155
2017-06-29,1057836.3160636462,0.08527155420406969
2017-07-06,913271.5138544124,0.07361827176292914
2017-07-11,1215042.4254852596,0.0979438448762586
2017-07-18,1015950.2200277286,0.08189514099695426
2017-07-23,1329886.668169387,0.10720137074898131
2017-07-30,1051263.1668603935,0.08474169656913585
2017-08-01,1397131.4089187023,0.11262192917439168
2017-08-04,1179225.165212983,0.09505663689864464
2017-08-11,1082088.3815124813,0.08722649872816803
2017-08-13,1404670.1510781073,0.11322962268133073
2017-08-16,1286125.3643161857,0.10367379815869174
2017-08-23,988054.1309140377,0.07964645389969967
2017-08-25,1435285.9020483568,0.11569754009796143
2017-08-28,1266066.5864179134,0.10205687204181885
2017-09-04,1033274.3205701644,0.08329162640401433
2017-09-06,1487476.1430579103,0.11990456428269536
2017-09-09,1265478.0315773129,0.10200942898732145
2017-09-16,1065809.902201482,0.08591430022462924
2017-09-18,1515643.2263848416,0.12217509606177115
2017-09-21,1250518.5511005495,0.10080355419273528
2017-09-28,1056960.8243049185,0.08520098133582353
2017-09-30,1311793.9533732696,0.10574292780558074
2017-10-03,1213252.555492387,0.09779956452418728
2017-10-10,993508.3721676387,0.08008611703248868
2017-10-12,1370417.5785874606,0.11046854325211092
2017-10-15,1308248.2486418495,0.10545711066297969
2017-10-22,998589.378072612,0.08049569388654239
2017-10-24,1289607.254664463,0.10395447126194705
2017-10-27,1308377.8641067494,0.10546755888826093
2017-11-03,1012989.6462226713,0.08165649090916705
2017-11-05,1514900.4179967234,0.12211521872085479
2017-11-08,1364680.2918617378,0.11000606399271355
2017-11-15,1048047.6992068714,0.08448249964032457
2017-11-17,1388713.280047487,0.11194334882936267
2017-11-20,1303536.2254701792,0.10507727728687755
