Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,11835420.23405672,0.045426670137873264
2017-01-09,14742615.240655398,0.056585056234820824
2017-01-27,30168214.238060303,0.11579153842780984
2017-02-02,33294281.47793427,0.12778999919441097
2017-02-08,36943582.27329756,0.1417967332339699
2017-02-20,26699595.51153169,0.10247829769718837
2017-02-26,28787929.44082428,0.11049373396118549
2017-03-04,23995302.457836315,0.09209868919348131
2017-03-10,24313964.15953145,0.09332177546521538
2017-03-13,19784587.651639484,0.07593713778566963
2017-03-22,21318548.87469692,0.0818247825930424
2017-03-25,31444073.74110507,0.12068853808146893
2017-03-28,11733314.624743925,0.04503476873160701
2017-04-03,23917551.77865849,0.09180026679814944
2017-04-06,51492686.65820058,0.19763905675305107
2017-04-09,32947215.99638631,0.1264578936303724
2017-04-15,39018038.93000503,0.14975890579700235
2017-04-18,55888285.79280813,0.2145102305683721
2017-04-21,9169589.667758716,0.03519468822393906
2017-04-27,16354686.956425086,0.06277250447262321
2017-04-30,42861969.5855805,0.16451266751145513
2017-05-03,10570673.849070173,0.04057232481656997
2017-05-09,16116580.674040996,0.06185860574036756
2017-05-12,27738296.720258825,0.10646503718320026
2017-05-15,3583101.949471148,0.013752649851893414
2017-05-21,5623465.262254753,0.021583965456938872
2017-05-24,16659547.33501952,0.0639426185524483
2017-05-27,9352405.23470309,0.03589637031814585
2017-06-02,9945820.341672199,0.038174014185961155
2017-06-05,14379162.302492002,0.05519005238991465
2017-06-08,5194978.521796611,0.01993934909078448
2017-06-20,7159992.571203493,0.027481459406549478
2017-06-29,10929151.64515734,0.04194823308789139
2017-07-02,6332265.792771853,0.02430448126935574
2017-07-11,12577158.14652061,0.048273606098904416
2017-07-23,27327535.986393444,0.10488845671593469
2017-07-26,21513843.992124874,0.08257436365594448
2017-08-01,22557630.99446493,0.08658062341789709
2017-08-04,23273893.071617395,0.08932977811351539
2017-08-07,20173801.10596809,0.07743101555708422
2017-08-13,23612216.40340029,0.09062832958772697
2017-08-16,23880588.375530496,0.09165839398857763
2017-08-19,18175426.792581454,0.06976086198830822
2017-08-25,18873038.361853983,0.07243843236730652
2017-08-28,12630937.394348236,0.04848002142704787
2017-09-06,12969683.76823015,0.04978019662002113
