Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,115624573.11059928,0.32198457022184684
2017-02-02,151245645.55221716,0.42118005602904335
2017-02-24,40730948.34027103,0.11342517030117528
2017-02-26,76747225.65731028,0.21372119960478242
2017-03-08,21707761.22618226,0.06045050788818899
2017-03-10,60625164.92836318,0.1688254248118662
2017-03-20,23544105.62268461,0.06556425270367496
2017-03-22,46873368.29090463,0.13053022327322
2017-04-01,13784206.975472365,0.03838545595840643
2017-04-03,67940271.41587052,0.1891961068835233
2017-04-13,72257061.40488163,0.20121725197367799
2017-04-15,44282291.21181298,0.12331474288459207
2017-04-25,21376529.637876,0.05952811347205848
2017-04-27,62349399.61463425,0.1736269730423582
2017-05-07,13129941.58990592,0.03656349585671476
2017-05-09,35534697.76060378,0.0989549546312001
2017-05-19,20557774.065162487,0.05724809068706853
2017-05-21,60030047.31749408,0.1671681759848037
2017-05-31,13811002.948192198,0.03846007582101659
2017-06-02,56628968.29782653,0.15769704941562107
2017-06-12,18686954.472425368,0.05203834135503098
2017-06-24,33121404.9625954,0.092234557543611
2017-07-06,36359455.3008027,0.1012516913453254
2017-07-18,58924832.98602668,0.16409043954913996
2017-07-30,79450937.55170183,0.2212503388603855
2017-08-01,101526526.62885252,0.28272515230338424
2017-08-11,63289539.59000395,0.1762450200350873
2017-08-13,140144314.8456408,0.3902657174910885
2017-08-23,122075758.59754476,0.33994945545821137
2017-08-25,110628895.24048357,0.30807289773993096
2017-09-04,59522879.55358369,0.16575584476402713
2017-09-06,67629591.36156976,0.18833094318112553
2017-09-16,40133898.16759225,0.11176253978865462
2017-09-18,45931018.4372549,0.12790602234029377
2017-09-28,21740440.498293385,0.060541511219944416
2017-09-30,51042362.81352709,0.142139796165133
2017-10-10,27044513.325037677,0.0753119839974831
2017-10-12,47712141.75268219,0.13286599070862148
2017-10-22,25238658.69708357,0.0702831453118799
2017-10-24,32647007.71787093,0.09091348375412399
2017-11-03,22562121.88029366,0.06282968162805984
2017-11-05,35815820.98218265,0.09973781018901368
2017-11-15,20346541.67105377,0.05665986303091996
2017-11-17,29989201.83638879,0.08351218088692512
2017-11-27,17842362.717994932,0.04968637147745942
2017-11-29,39345083.89134074,0.10956589578045792
2017-12-09,17401393.515925206,0.048458386152283976
2017-12-11,23057836.127508953,0.06421011776329026
2017-12-21,17542154.042197824,0.04885036785943144
2017-12-23,32725170.871368464,0.09113114794702885
2018-01-02,19462768.2662717,0.05419878237776105
2018-01-04,58201813.09951827,0.16207701592165055
2018-01-14,28847732.61897009,0.0803334839585441
2018-01-16,62806453.75698395,0.17489975077146439
2018-01-26,70428273.03003392,0.19612454872677562
2018-01-28,139223958.17886788,0.38770276190276187
2018-02-07,107688535.86101492,0.2998847563645644
2018-02-09,149398075.85495728,0.4160350516504491
2018-02-19,75883057.61596729,0.21131471482472516
2018-02-21,99500858.50307828,0.27708418980430005
2018-03-03,22631987.68374993,0.06302423984430988
2018-03-05,38323502.70589512,0.10672105605397698
2018-03-15,17032390.375540312,0.04743080772002726
2018-03-17,45516787.85419017,0.1267524971624472
2018-03-27,17113190.335250974,0.047655814737147174
2018-03-29,72361376.86426726,0.20150774358332615
2018-04-08,22852318.38387332,0.06363780393261186
2018-04-10,93557658.97715142,0.2605339142563177
2018-04-20,16261568.711276373,0.045284268488714315
2018-04-22,57266388.90555727,0.1594721011620557
2018-05-02,9328576.853324348,0.025977676959948612
2018-05-04,35454697.69651442,0.09873217511677204
2018-05-14,15815016.360699674,0.04404073553707729
2018-05-16,28247011.47662341,0.07866063074371185
2018-05-26,12100575.587420538,0.033696977425600634
2018-05-28,27012576.90351811,0.07522304931274644
2018-06-07,15157711.896813454,0.04221031238726067
2018-06-09,27009228.396345574,0.07521372458519218
2018-06-19,13957885.47412513,0.03886910571590214
2018-07-01,13208836.486981472,0.03678319776647464
2018-07-13,16570804.217165688,0.04614540949691388
2018-07-15,39362272.36592234,0.1096137612423752
2018-07-25,15971009.721311707,0.0444751367532105
2018-07-27,27965741.587184597,0.07787736675379274
2018-08-06,41884251.24963716,0.1166368210049807
2018-08-08,62894977.12051217,0.17514626547325673
2018-08-18,40237727.97798776,0.11205167899130868
2018-08-20,50884425.59431009,0.1416999818048847
2018-08-30,30464160.84490799,0.08483481904347655
2018-09-01,47211659.55354295,0.1314722770588475
2018-09-11,25237413.080652334,0.07027967659186232
2018-09-13,63664136.29059122,0.1772881750876879
2018-09-23,25327615.598821294,0.07053086730560255
2018-09-25,45310774.85365518,0.1261788041692292
2018-10-05,18896628.996652108,0.05262223074595689
2018-10-07,48277588.11012679,0.1344406127589979
2018-10-17,15491617.598960645,0.043140153519713086
2018-10-19,65564585.15829885,0.18258043429726023
2018-10-29,20507410.95195256,0.05710784242559888
2018-10-31,59507279.45632104,0.1657124025226644
2018-11-10,15945366.578139987,0.044403727223115315
2018-11-12,44333656.95221922,0.12345778320382429
2018-11-22,6400665.286366423,0.017824199527147602
2018-11-24,6398814.100256197,0.01781904445199302
2018-12-04,9977019.665079664,0.027783422697550318
2018-12-16,21021688.06162567,0.05853997133797668
2018-12-18,11038999.067537347,0.03074076102352806
2018-12-28,18586611.37048424,0.05175891173480365
2018-12-30,95871441.82511982,0.26697720183652063
2019-01-09,36436154.65786751,0.10146527924326457
2019-01-11,135733449.68008947,0.3779825973339394
2019-01-21,54468512.59752607,0.15168073833718637
2019-01-23,156709857.06819725,0.43639647369219176
2019-02-02,113087306.30205391,0.3149189375374677
2019-02-04,188880437.01000875,0.5259832291515483
2019-02-14,114012676.72608931,0.31749585514471407
2019-02-16,152086287.19063982,0.42352102585385043
2019-02-26,43400794.11709762,0.12086000116699681
2019-02-28,56845850.71001487,0.15830101091271861
2019-03-10,16493763.784648946,0.04593087179194107
2019-03-12,45685274.99827028,0.1272216903383878
2019-03-22,18671890.06364491,0.051996390867722515
2019-03-24,69940517.36937743,0.19476627519940418
2019-04-03,18696435.166835256,0.052064742640093906
2019-04-05,82794366.60910079,0.23056092517566723
2019-04-15,25579411.20683756,0.07123205303498308
2019-04-17,49436746.27031209,0.1376685688239202
2019-04-27,17858225.75849604,0.04973054594782287
2019-04-29,50501383.97388776,0.14063330983187086
2019-05-09,12428827.213330165,0.034611073416182456
2019-05-11,33855630.58318144,0.09427918624605931
2019-05-21,8029114.462667401,0.022359009853823095
2019-06-02,29731394.024811294,0.08279425272358208
2019-06-04,71141351.06101082,0.19811028685459658
2019-06-14,19885044.645221423,0.05537471301891384
2019-06-16,37970440.119284496,0.10573786794652774
2019-06-26,13073777.075489242,0.03640709219138945
2019-06-28,37145482.15527325,0.10344057310385472
2019-07-08,12914984.95794998,0.035964897160134374
2019-07-10,75997424.87761472,0.2116331981072863
2019-07-20,147472847.1460752,0.41067378698385254
2019-07-22,189731824.34138632,0.5283541229556162
2019-07-26,142809717.03735292,0.39768817412014673
2019-08-01,129229613.92117336,0.35987109468973105
2019-08-03,154200379.01257288,0.4294082255068474
2019-08-13,128311503.94954228,0.35731439556705186
2019-08-25,137039142.4202724,0.3816186143541921
2019-08-27,82017401.18987472,0.22839727717372008
2019-09-06,42217228.67401486,0.11756407712361976
2019-09-08,64423642.91159315,0.1794032048461981
2019-09-20,58096376.39485347,0.1617834019335182
2019-09-30,21181407.17742876,0.058984747819952346
2019-10-02,57915889.5963038,0.16128079281939722
2019-10-12,21840397.11376876,0.06081986457519428
2019-10-14,39186859.24056126,0.10912528099755187
2019-10-24,21730712.608382486,0.060514421559261906
2019-10-26,40724886.97217702,0.11340829095668818
2019-11-05,17575899.24383662,0.04894433952959124
2019-11-07,33531189.65805604,0.09337570207285543
2019-11-17,17601069.246573117,0.04901443148578676
2019-11-19,31907218.68935267,0.08885336239761578
2019-11-29,15015289.491195528,0.04181370277540087
2019-12-01,33063050.941343896,0.09207205666730152
2019-12-11,22750302.89747335,0.06335371715364448
2019-12-13,64945918.36752287,0.1808576070869233
2019-12-23,25681696.40507977,0.07151689089176436
2019-12-25,59020933.32367873,0.16435805416673058
2020-01-04,16096725.940518225,0.04482522395113171
2020-01-06,33943304.13968267,0.09452333445478711
2020-01-16,26360675.27823409,0.07340767167288074
2020-01-18,63898974.83773397,0.17794213978255388
2020-01-28,51221249.061937,0.14263794816053768
2020-01-30,123787162.1555858,0.3447152723108703
2020-02-09,110443368.72393684,0.30755625431295014
2020-02-11,183061089.52691635,0.5097778495518088
2020-02-21,118373072.33573592,0.3296384306249827
2020-02-23,159819053.41679874,0.4450547824159108
2020-03-04,43599087.87056217,0.12141219805100942
2020-03-06,60030890.29268156,0.16717052345295988
2020-03-16,13793207.479107488,0.03841052003619518
2020-03-18,45887036.28238863,0.12778354339960613
2020-03-28,18662090.959887587,0.05196910289487229
2020-03-30,74056148.74152023,0.20622724550096258
2020-04-09,27804165.761130303,0.07742741981335674
2020-04-11,94265530.24152446,0.2625051528840576
2020-04-21,24558406.869460285,0.0683888196813723
2020-04-23,52326480.55117296,0.145715732376155
2020-05-03,9115055.070750218,0.02538307394827417
2020-05-05,34387711.54176024,0.09576089427889545
2020-05-15,11847781.112265255,0.03299301010924589
2020-05-17,25033931.419380274,0.06971303272464527
2020-05-23,31864023.87494141,0.08873307599672488
2020-05-27,22321134.993322726,0.062158595394891956
2020-05-29,45915652.09030756,0.12786323103318137
2020-06-08,25712860.06541147,0.07160367363619745
2020-06-10,43692350.08516561,0.1216719092289984
2020-06-20,23873906.191228595,0.06648266209940074
2020-06-22,49340580.35367832,0.1374007715858046
2020-07-02,45079600.50473971,0.12553504331996176
2020-07-04,74599771.55192521,0.20774109460986795
2020-07-14,86524839.00829996,0.24094932722435336
2020-07-16,116650298.9514438,0.324840951743047
2020-07-20,123124705.34196751,0.34287050119790463
2020-07-22,177632246.17214674,0.49465992308201595
2020-07-26,170522162.25681698,0.47486017591642965
2020-07-28,206362106.96916476,0.5746651644627804
2020-08-07,152454636.765598,0.42454678427521003
2020-08-09,170404534.5790241,0.4745326132170707
2020-08-19,152210279.96079987,0.4238663136913451
2020-08-21,172656276.85273343,0.4808031338230767
2020-08-31,63405412.94078683,0.176567697386867
2020-09-02,103064750.17554209,0.287008707556922
2020-09-12,60655008.2433015,0.16890853073542464
2020-09-14,68631199.71820304,0.1911201637383568
2020-09-24,41846468.07973436,0.11653160463621509
2020-09-26,81694702.97818011,0.2274986460072771
2020-10-06,30356431.0526418,0.08453481939868013
2020-10-08,50663698.51640104,0.14108531390683426
2020-10-18,26473246.995515145,0.07372115482817165
2020-10-20,43642202.44483433,0.121532261003839
2020-10-30,23259135.61469805,0.06477068483934303
2020-11-01,51148434.07601862,0.14243517723290613
2020-11-11,27979298.52231943,0.0779151193163794
2020-11-13,41002870.01703375,0.11418240193343997
2020-11-23,23743676.504814066,0.06612000606113629
