Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,45937847.64167167,0.2047635121675108
2017-01-09,66904292.80585722,0.29821941334455443
2017-01-27,59609712.40444444,0.26570452683022366
2017-02-02,77965116.91172133,0.3475219668522918
2017-02-08,75015364.3647131,0.33437373021173666
2017-02-20,78988660.64469972,0.35208431403182266
2017-02-24,37881444.43311476,0.1688528741835653
2017-02-26,81132773.30481902,0.36164148880834807
2017-03-04,71802886.81021832,0.32005442226442793
2017-03-08,27168782.856679074,0.12110222147202936
2017-03-10,66905781.70685792,0.29822604997673957
2017-03-13,56255415.6254565,0.25075307340830305
2017-03-20,19371360.213379264,0.08634596430580999
2017-03-22,40937330.54708745,0.1824741909322706
2017-03-25,34369887.23692433,0.15320044766420032
2017-03-28,30678281.98712749,0.1367454743624317
2017-04-01,5344673.641478593,0.023823365751805853
2017-04-03,33233262.96692138,0.14813405492947604
2017-04-06,29841886.26140817,0.13301732132191302
2017-04-09,27408233.194809504,0.12216954819155132
2017-04-13,22981935.63358047,0.10243975498039591
2017-04-15,23738095.12564778,0.10581026277088387
2017-04-18,19761897.91295087,0.08808674832385703
2017-04-21,19340270.960025568,0.08620738696633547
2017-04-25,2636428.293015035,0.011751624087103375
2017-04-27,18301585.967515685,0.08157754908709894
2017-04-30,15715221.974207595,0.07004908177308089
2017-05-03,14912818.516700475,0.06647244597995183
2017-05-07,2209327.9710093183,0.00984786571636002
2017-05-09,21405720.494182453,0.09541392846818547
2017-05-12,17467296.090687767,0.07785878266430908
2017-05-15,17659905.82937817,0.07871732194284804
2017-05-19,5625300.089480292,0.02507423099799983
2017-05-21,21754491.361564167,0.09696854087196745
2017-05-24,18517853.063908584,0.08254153874915504
2017-05-27,18584137.935055334,0.08283699715037249
2017-05-31,2489998.6963702627,0.011098928324599766
2017-06-02,10518536.575694935,0.04688535929898305
2017-06-05,10073927.897443013,0.04490355912390402
2017-06-08,10176120.588206364,0.04535907315759963
2017-06-12,1405769.3716829186,0.006266080990311598
2017-06-20,6306205.5845786035,0.02810930137652605
2017-06-24,7641764.815147523,0.03406242745444341
2017-06-29,3643399.783521405,0.016240102098894142
2017-07-02,3857293.565779681,0.017193512942772406
2017-07-06,39168474.86959585,0.1745896878561608
2017-07-11,28071979.622522376,0.12512813368705106
2017-07-18,35214765.673612624,0.15696641156830707
2017-07-23,53565832.56896959,0.23876451710483132
2017-07-26,57084766.04979411,0.2544498226994243
2017-07-30,73328136.35554034,0.32685307457108764
2017-08-01,105349217.4699022,0.46958394615048776
2017-08-04,89499009.22384435,0.3989331761282303
2017-08-07,81423931.74502684,0.36293929939101205
2017-08-11,25348247.17812525,0.11298735979033439
2017-08-13,102015773.81836516,0.45472544352699873
2017-08-16,75912018.9224131,0.33837048116680546
2017-08-19,67400738.68270189,0.30043227281800483
2017-08-23,26118553.00256197,0.11642092348894507
2017-08-25,46349751.64857656,0.20659953443367385
2017-08-28,44543324.31346493,0.19854755932813334
2017-09-04,25118251.361528207,0.11196217568598543
2017-09-06,41937830.16352196,0.18693382119142835
2017-09-09,37005800.44188211,0.1649497757961144
2017-09-12,36293169.02449341,0.1617732901879151
2017-09-16,11852534.049036235,0.05283152399513139
